thai,romanization,english,breakdown,difficulty
อย่างไรก็ต้องเริ่ม,yang rai ko tong roem,"Anyway, we have to start.","[{""thai"":""อย่างไร"",""english"":""however / anyway"",""grammar"":true,""romanization"":""yàang-rai""},{""thai"":""ก็"",""english"":""still / anyway"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""gâw""},{""thai"":""ต้อง"",""english"":""must"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""tâwng""},{""thai"":""เริ่ม"",""english"":""start"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""rôem""}]",hard
อย่างไรก็ต้องเริ่ม,yaang-rai gaaw dtawng roem,"Anyway, we have to start.","[{""thai"":""อย่างไรก็"",""english"":""anyway / in any case"",""tones"":[""falling"",""mid"",""falling""],""grammar"":true,""romanization"":""yaang-rai gaaw""},{""thai"":""ต้องเริ่ม"",""english"":""must start"",""tones"":[""falling"",""falling""],""romanization"":""dtawng roem""}]",hard
อย่างไรก็ต้องแจ้งลูกค้าก่อน,yaang-rai gaaw dtawng jaeng luuk-khaa gawn,"Anyway, we have to inform the customer first.","[{""thai"":""อย่างไรก็"",""english"":""anyway / in any case"",""tones"":[""falling"",""mid"",""falling""],""grammar"":true,""romanization"":""yaang-rai gaaw""},{""thai"":""ต้องแจ้งลูกค้าก่อน"",""english"":""must inform the customer first"",""tones"":[""falling"",""falling"",""high"",""high"",""falling""],""romanization"":""dtawng jaeng luuk-khaa gawn""}]",hard
อย่างไรก็ควรฟังทั้งสองฝ่าย,yaang-rai gaaw khuan fang thang saawng faai,"Anyway, we should hear both sides.","[{""thai"":""อย่างไรก็"",""english"":""anyway / in any case"",""tones"":[""falling"",""mid"",""falling""],""grammar"":true,""romanization"":""yaang-rai gaaw""},{""thai"":""ควรฟังทั้งสองฝ่าย"",""english"":""should hear both sides"",""tones"":[""mid"",""mid"",""high"",""rising"",""low""],""romanization"":""khuan fang thang saawng faai""}]",hard
อย่างไรก็ยังดีกว่าไม่ทำอะไร,yaang-rai gaaw yang dii gwaa mai tham a-rai,"Anyway, it is still better than doing nothing.","[{""thai"":""อย่างไรก็"",""english"":""anyway / in any case"",""tones"":[""falling"",""mid"",""falling""],""grammar"":true,""romanization"":""yaang-rai gaaw""},{""thai"":""ยังดีกว่าไม่ทำอะไร"",""english"":""is still better than doing nothing"",""tones"":[""mid"",""mid"",""low"",""falling"",""mid"",""low""],""romanization"":""yang dii gwaa mai tham a-rai""}]",hard
อย่างไรก็ต้องมีคนรับผิดชอบ,yaang-rai gaaw dtawng mii khon rap-phit-chaawp,"Anyway, someone has to take responsibility.","[{""thai"":""อย่างไรก็"",""english"":""anyway / in any case"",""tones"":[""falling"",""mid"",""falling""],""grammar"":true,""romanization"":""yaang-rai gaaw""},{""thai"":""ต้องมีคนรับผิดชอบ"",""english"":""must have someone take responsibility"",""tones"":[""falling"",""mid"",""mid"",""high"",""low"",""falling""],""romanization"":""dtawng mii khon rap-phit-chaawp""}]",hard
อย่างไรก็ควรเตรียมแผนสำรองไว้,yaang-rai gaaw khuan dtriiam phaen sam-raawng wai,"Anyway, we should prepare a backup plan.","[{""thai"":""อย่างไรก็"",""english"":""anyway / in any case"",""tones"":[""falling"",""mid"",""falling""],""grammar"":true,""romanization"":""yaang-rai gaaw""},{""thai"":""ควรเตรียมแผนสำรองไว้"",""english"":""should prepare a backup plan"",""tones"":[""mid"",""mid"",""rising"",""mid"",""mid"",""falling""],""romanization"":""khuan dtriiam phaen sam-raawng wai""}]",hard
อย่างไรก็ต้องคุยกันให้ชัด,yaang-rai gaaw dtawng khui gan hai chat,"Anyway, we have to talk it through clearly.","[{""thai"":""อย่างไรก็"",""english"":""anyway / in any case"",""tones"":[""falling"",""mid"",""falling""],""grammar"":true,""romanization"":""yaang-rai gaaw""},{""thai"":""ต้องคุยกันให้ชัด"",""english"":""must talk it through clearly"",""tones"":[""falling"",""mid"",""mid"",""falling"",""high""],""romanization"":""dtawng khui gan hai chat""}]",hard
อย่างไรก็ฉันยังไม่เห็นด้วย,yaang-rai gaaw chan yang mai hen duai,"Anyway, I still do not agree.","[{""thai"":""อย่างไรก็"",""english"":""anyway / in any case"",""tones"":[""falling"",""mid"",""falling""],""grammar"":true,""romanization"":""yaang-rai gaaw""},{""thai"":""ฉันยังไม่เห็นด้วย"",""english"":""I still do not agree"",""tones"":[""rising"",""mid"",""falling"",""rising"",""falling""],""romanization"":""chan yang mai hen duai""}]",hard
อย่างไรก็เราต้องหาทางออก,yaang-rai gaaw rao dtawng haa thaang-aawk,"Anyway, we have to find a solution.","[{""thai"":""อย่างไรก็"",""english"":""anyway / in any case"",""tones"":[""falling"",""mid"",""falling""],""grammar"":true,""romanization"":""yaang-rai gaaw""},{""thai"":""เราต้องหาทางออก"",""english"":""we must find a solution"",""tones"":[""mid"",""falling"",""rising"",""mid"",""low""],""romanization"":""rao dtawng haa thaang-aawk""}]",hard
อย่างไรก็เขาควรขอโทษก่อน,yaang-rai gaaw khao khuan khaaw-thot gawn,"Anyway, he should apologize first.","[{""thai"":""อย่างไรก็"",""english"":""anyway / in any case"",""tones"":[""falling"",""mid"",""falling""],""grammar"":true,""romanization"":""yaang-rai gaaw""},{""thai"":""เขาควรขอโทษก่อน"",""english"":""he should apologize first"",""tones"":[""high"",""mid"",""falling"",""low"",""falling""],""romanization"":""khao khuan khaaw-thot gawn""}]",hard
อย่างไรก็เรื่องนี้ต้องจบวันนี้,yaang-rai gaaw rueang nii dtawng jop wan-nii,"Anyway, this matter has to end today.","[{""thai"":""อย่างไรก็"",""english"":""anyway / in any case"",""tones"":[""falling"",""mid"",""falling""],""grammar"":true,""romanization"":""yaang-rai gaaw""},{""thai"":""เรื่องนี้ต้องจบวันนี้"",""english"":""this matter must end today"",""tones"":[""falling"",""high"",""falling"",""low"",""mid"",""high""],""romanization"":""rueang nii dtawng jop wan-nii""}]",hard
อย่างไรก็เราควรรอข้อมูลเพิ่ม,yaang-rai gaaw rao khuan raaw khaaw-muun phern,"Anyway, we should wait for more information.","[{""thai"":""อย่างไรก็"",""english"":""anyway / in any case"",""tones"":[""falling"",""mid"",""falling""],""grammar"":true,""romanization"":""yaang-rai gaaw""},{""thai"":""เราควรรอข้อมูลเพิ่ม"",""english"":""we should wait for more information"",""tones"":[""mid"",""mid"",""mid"",""falling"",""rising"",""mid""],""romanization"":""rao khuan raaw khaaw-muun phern""}]",hard
