thai,romanization,english,breakdown,difficulty
เรื่องนี้ทำให้ฉันเครียด,rueang ni tham hai chan khriat,This matter makes me stressed.,"[{""thai"":""เรื่องนี้"",""english"":""this matter"",""romanization"":""rueang ni""},{""thai"":""ทำให้"",""english"":""cause / make"",""grammar"":true,""romanization"":""tham hai""},{""thai"":""ฉัน"",""english"":""me"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""},{""thai"":""เครียด"",""english"":""stressed"",""romanization"":""khriat""}]",hard
เรื่องนี้ทำให้ฉันเครียด,rueang nii tham hai chan khriiat,This matter makes me stressed.,"[{""thai"":""เรื่องนี้"",""english"":""this matter"",""tones"":[""falling"",""high""],""romanization"":""rueang nii""},{""thai"":""ทำให้"",""english"":""cause / make"",""tones"":[""mid"",""falling""],""grammar"":true,""romanization"":""tham hai""},{""thai"":""ฉันเครียด"",""english"":""me feel stressed"",""tones"":[""rising"",""falling""],""romanization"":""chan khriiat""}]",hard
การรอนานทำให้ลูกค้าหงุดหงิด,gaan raw naan tham hai luuk-khaa ngut-ngit,Waiting a long time makes customers irritated.,"[{""thai"":""การรอนาน"",""english"":""waiting a long time"",""tones"":[""mid"",""mid"",""mid""],""romanization"":""gaan raw naan""},{""thai"":""ทำให้"",""english"":""cause / make"",""tones"":[""mid"",""falling""],""grammar"":true,""romanization"":""tham hai""},{""thai"":""ลูกค้าหงุดหงิด"",""english"":""customers irritated"",""tones"":[""falling"",""high"",""low"",""low""],""romanization"":""luuk-khaa ngut-ngit""}]",hard
เสียงดังทำให้ฉันปวดหัว,siang dang tham hai chan bpuat hua,Loud noise gives me a headache.,"[{""thai"":""เสียงดัง"",""english"":""loud noise"",""tones"":[""rising"",""mid""],""romanization"":""siang dang""},{""thai"":""ทำให้"",""english"":""cause / make"",""tones"":[""mid"",""falling""],""grammar"":true,""romanization"":""tham hai""},{""thai"":""ฉันปวดหัว"",""english"":""me get a headache"",""tones"":[""rising"",""low"",""rising""],""romanization"":""chan bpuat hua""}]",hard
ข่าวนี้ทำให้ทุกคนกังวล,khaao nii tham hai thuk-khon gang-won,This news makes everyone worried.,"[{""thai"":""ข่าวนี้"",""english"":""this news"",""tones"":[""falling"",""high""],""romanization"":""khaao nii""},{""thai"":""ทำให้"",""english"":""cause / make"",""tones"":[""mid"",""falling""],""grammar"":true,""romanization"":""tham hai""},{""thai"":""ทุกคนกังวล"",""english"":""everyone worried"",""tones"":[""high"",""mid"",""mid"",""mid""],""romanization"":""thuk-khon gang-won""}]",hard
การเปลี่ยนแผนกะทันหันทำให้ทีมสับสน,gaan bplian phaen ga-than-han tham hai thiim sap-son,Changing the plan suddenly confuses the team.,"[{""thai"":""การเปลี่ยนแผนกะทันหัน"",""english"":""changing the plan suddenly"",""tones"":[""mid"",""low"",""falling"",""mid"",""mid"",""rising""],""romanization"":""gaan bplian phaen ga-than-han""},{""thai"":""ทำให้"",""english"":""cause / make"",""tones"":[""mid"",""falling""],""grammar"":true,""romanization"":""tham hai""},{""thai"":""ทีมสับสน"",""english"":""the team confused"",""tones"":[""mid"",""high"",""high""],""romanization"":""thiim sap-son""}]",hard
ฝนตกหนักทำให้ถนนลื่น,fon dtok nak tham hai tha-non leun,Heavy rain makes the road slippery.,"[{""thai"":""ฝนตกหนัก"",""english"":""heavy rain"",""tones"":[""rising"",""low"",""high""],""romanization"":""fon dtok nak""},{""thai"":""ทำให้"",""english"":""cause / make"",""tones"":[""mid"",""falling""],""grammar"":true,""romanization"":""tham hai""},{""thai"":""ถนนลื่น"",""english"":""the road slippery"",""tones"":[""mid"",""mid"",""falling""],""romanization"":""tha-non leun""}]",hard
คำอธิบายนี้ทำให้เรื่องยากง่ายขึ้น,kham a-thi-baai nii tham hai rueang yaak ngaai kheun,This explanation makes a hard topic easier.,"[{""thai"":""คำอธิบายนี้"",""english"":""this explanation"",""tones"":[""mid"",""low"",""high"",""high""],""romanization"":""kham a-thi-baai nii""},{""thai"":""ทำให้"",""english"":""cause / make"",""tones"":[""mid"",""falling""],""grammar"":true,""romanization"":""tham hai""},{""thai"":""เรื่องยากง่ายขึ้น"",""english"":""the hard topic easier"",""tones"":[""falling"",""falling"",""falling"",""falling""],""romanization"":""rueang yaak ngaai kheun""}]",hard
งานด่วนทำให้เขาต้องกลับดึก,ngaan duan tham hai khao dtong glap deuk,Urgent work makes him get home late.,"[{""thai"":""งานด่วน"",""english"":""urgent work"",""tones"":[""mid"",""low""],""romanization"":""ngaan duan""},{""thai"":""ทำให้"",""english"":""cause / make"",""tones"":[""mid"",""falling""],""grammar"":true,""romanization"":""tham hai""},{""thai"":""เขาต้องกลับดึก"",""english"":""him have to go home late"",""tones"":[""rising"",""falling"",""low"",""falling""],""romanization"":""khao dtong glap deuk""}]",hard
คำพูดแบบนั้นทำให้คนฟังเสียใจ,kham-phuut baep nan tham hai khon fang sia-jai,Words like that hurt the listener.,"[{""thai"":""คำพูดแบบนั้น"",""english"":""words like that"",""tones"":[""mid"",""falling"",""low"",""high""],""romanization"":""kham-phuut baep nan""},{""thai"":""ทำให้"",""english"":""cause / make"",""tones"":[""mid"",""falling""],""grammar"":true,""romanization"":""tham hai""},{""thai"":""คนฟังเสียใจ"",""english"":""the listener hurt"",""tones"":[""mid"",""mid"",""rising"",""mid""],""romanization"":""khon fang sia-jai""}]",hard
