thai,romanization,english,breakdown,difficulty
เอาร่มไปเผื่อว่าฝนจะตก,ao rom pai phuea wa fon cha tok,Take an umbrella in case it rains.,"[{""thai"":""เอาร่มไป"",""english"":""take an umbrella"",""romanization"":""ao rom pai""},{""thai"":""เผื่อว่า"",""english"":""in case"",""grammar"":true,""romanization"":""phuea wa""},{""thai"":""ฝน"",""english"":""rain"",""romanization"":""fon""},{""thai"":""จะ"",""english"":""will"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""cha""},{""thai"":""ตก"",""english"":""fall / rain"",""romanization"":""tok""}]",hard
เอาร่มไปเผื่อว่าฝนจะตก,ao rom bpai phuea waa fon ja dtok,Take an umbrella in case it rains.,"[{""thai"":""เอาร่มไป"",""english"":""take an umbrella"",""tones"":[""mid"",""mid"",""mid""],""romanization"":""ao rom bpai""},{""thai"":""เผื่อว่า"",""english"":""in case"",""tones"":[""falling"",""falling""],""grammar"":true,""romanization"":""phuea waa""},{""thai"":""ฝนจะตก"",""english"":""it will rain"",""tones"":[""rising"",""low"",""low""],""romanization"":""fon ja dtok""}]",medium
จองโต๊ะไว้เผื่อว่าคนจะมาเยอะ,jaawng dto wai phuea waa khon ja maa yoe,Book a table in case a lot of people come.,"[{""thai"":""จองโต๊ะไว้"",""english"":""book a table"",""tones"":[""mid"",""high"",""high""],""romanization"":""jaawng dto wai""},{""thai"":""เผื่อว่า"",""english"":""in case"",""tones"":[""falling"",""falling""],""grammar"":true,""romanization"":""phuea waa""},{""thai"":""คนจะมาเยอะ"",""english"":""a lot of people will come"",""tones"":[""mid"",""low"",""mid"",""high""],""romanization"":""khon ja maa yoe""}]",medium
ซื้อข้าวเพิ่มเผื่อว่าเพื่อนจะหิว,sue khaao phoem phuea waa phuean ja hiu,Buy extra food in case your friend gets hungry.,"[{""thai"":""ซื้อข้าวเพิ่ม"",""english"":""buy extra food"",""tones"":[""high"",""falling"",""falling""],""romanization"":""sue khaao phoem""},{""thai"":""เผื่อว่า"",""english"":""in case"",""tones"":[""falling"",""falling""],""grammar"":true,""romanization"":""phuea waa""},{""thai"":""เพื่อนจะหิว"",""english"":""your friend gets hungry"",""tones"":[""falling"",""low"",""rising""],""romanization"":""phuean ja hiu""}]",medium
ออกแต่เช้าเผื่อว่ารถจะติด,awk dtae chao phuea waa rot ja dtit,Leave early in case traffic gets bad.,"[{""thai"":""ออกแต่เช้า"",""english"":""leave early"",""tones"":[""low"",""falling"",""falling""],""romanization"":""awk dtae chao""},{""thai"":""เผื่อว่า"",""english"":""in case"",""tones"":[""falling"",""falling""],""grammar"":true,""romanization"":""phuea waa""},{""thai"":""รถจะติด"",""english"":""traffic gets bad"",""tones"":[""high"",""low"",""low""],""romanization"":""rot ja dtit""}]",medium
ชาร์จแบตไว้เผื่อว่าไฟจะดับ,chaat baet wai phuea waa fai ja dap,Charge the battery in case the power goes out.,"[{""thai"":""ชาร์จแบตไว้"",""english"":""charge the battery"",""tones"":[""falling"",""low"",""high""],""romanization"":""chaat baet wai""},{""thai"":""เผื่อว่า"",""english"":""in case"",""tones"":[""falling"",""falling""],""grammar"":true,""romanization"":""phuea waa""},{""thai"":""ไฟจะดับ"",""english"":""the power goes out"",""tones"":[""mid"",""low"",""low""],""romanization"":""fai ja dap""}]",medium
เตรียมเงินสดไว้เผื่อว่าร้านจะไม่รับบัตร,dtriam ngoen sot wai phuea waa raan ja mai rap bat,Prepare cash in case the shop does not take cards.,"[{""thai"":""เตรียมเงินสดไว้"",""english"":""prepare cash"",""tones"":[""mid"",""mid"",""low"",""high""],""romanization"":""dtriam ngoen sot wai""},{""thai"":""เผื่อว่า"",""english"":""in case"",""tones"":[""falling"",""falling""],""grammar"":true,""romanization"":""phuea waa""},{""thai"":""ร้านจะไม่รับบัตร"",""english"":""the shop will not take cards"",""tones"":[""high"",""low"",""falling"",""high"",""low""],""romanization"":""raan ja mai rap bat""}]",hard
ส่งรายละเอียดไปเผื่อว่าเขาจะลืม,song raai-la-iat bpai phuea waa khao ja leum,Send the details in case he forgets.,"[{""thai"":""ส่งรายละเอียดไป"",""english"":""send the details"",""tones"":[""low"",""falling"",""high"",""low"",""mid""],""romanization"":""song raai-la-iat bpai""},{""thai"":""เผื่อว่า"",""english"":""in case"",""tones"":[""falling"",""falling""],""grammar"":true,""romanization"":""phuea waa""},{""thai"":""เขาจะลืม"",""english"":""he forgets"",""tones"":[""rising"",""low"",""mid""],""romanization"":""khao ja leum""}]",medium
พกเสื้อกันหนาวไปเผื่อว่าอากาศจะเย็น,phok suea gan-naao bpai phuea waa aa-gaat ja yen,Bring a jacket in case the weather gets cold.,"[{""thai"":""พกเสื้อกันหนาวไป"",""english"":""bring a jacket"",""tones"":[""high"",""falling"",""mid"",""rising"",""mid""],""romanization"":""phok suea gan-naao bpai""},{""thai"":""เผื่อว่า"",""english"":""in case"",""tones"":[""falling"",""falling""],""grammar"":true,""romanization"":""phuea waa""},{""thai"":""อากาศจะเย็น"",""english"":""the weather gets cold"",""tones"":[""mid"",""low"",""low"",""mid""],""romanization"":""aa-gaat ja yen""}]",hard
ถ่ายรูปเก็บไว้เผื่อว่าต้องใช้,thaai ruup gep wai phuea waa dtawng chai,Take and keep a photo in case you need it.,"[{""thai"":""ถ่ายรูปเก็บไว้"",""english"":""take and keep a photo"",""tones"":[""falling"",""falling"",""low"",""high""],""romanization"":""thaai ruup gep wai""},{""thai"":""เผื่อว่า"",""english"":""in case"",""tones"":[""falling"",""falling""],""grammar"":true,""romanization"":""phuea waa""},{""thai"":""ต้องใช้"",""english"":""need to use it"",""tones"":[""falling"",""high""],""romanization"":""dtawng chai""}]",medium
