thai,romanization,english,breakdown,difficulty
เสียดายที่ไม่ได้ไป,sia dai thi mai dai pai,It's a pity that I couldn't go.,"[{""thai"":""เสียดาย"",""english"":""regret / pity"",""grammar"":true,""romanization"":""sia dai""},{""thai"":""ที่"",""english"":""that"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""thi""},{""thai"":""ไม่ได้"",""english"":""did not / could not"",""grammar"":true,""romanization"":""mai dai""},{""thai"":""ไป"",""english"":""go"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""pai""}]",hard
เสียดายที่ไม่ได้ไป,sia-daai thii mai dai bpai,It's a pity that I couldn't go.,"[{""thai"":""เสียดาย"",""english"":""regret / what a pity"",""tones"":[""rising"",""mid""],""grammar"":true,""romanization"":""sia-daai""},{""thai"":""ที่ไม่ได้ไป"",""english"":""that I couldn't go"",""tones"":[""falling"",""falling"",""mid"",""mid""],""romanization"":""thii mai dai bpai""}]",hard
เสียดายที่มาช้า,sia-daai thii maa chaa,It's a pity that I arrived late.,"[{""thai"":""เสียดาย"",""english"":""regret / what a pity"",""tones"":[""rising"",""mid""],""grammar"":true,""romanization"":""sia-daai""},{""thai"":""ที่มาช้า"",""english"":""that I arrived late"",""tones"":[""falling"",""mid"",""high""],""romanization"":""thii maa chaa""}]",hard
เสียดายที่ลืมบอกคุณ,sia-daai thii luem bok khun,It's a pity that I forgot to tell you.,"[{""thai"":""เสียดาย"",""english"":""regret / what a pity"",""tones"":[""rising"",""mid""],""grammar"":true,""romanization"":""sia-daai""},{""thai"":""ที่ลืมบอกคุณ"",""english"":""that I forgot to tell you"",""tones"":[""falling"",""mid"",""low"",""mid""],""romanization"":""thii luem bok khun""}]",hard
เสียดายที่ฝนตกวันเดินทาง,sia-daai thii fon dtok wan dern-thaang,It's a pity that it rained on the travel day.,"[{""thai"":""เสียดาย"",""english"":""regret / what a pity"",""tones"":[""rising"",""mid""],""grammar"":true,""romanization"":""sia-daai""},{""thai"":""ที่ฝนตกวันเดินทาง"",""english"":""that it rained on the travel day"",""tones"":[""falling"",""rising"",""low"",""mid"",""mid"",""mid""],""romanization"":""thii fon dtok wan dern-thaang""}]",hard
เสียดายที่เราไม่ได้คุยกันนานกว่านี้,sia-daai thii rao mai dai khui gan naan gwaa nii,It's a pity that we couldn't talk longer.,"[{""thai"":""เสียดาย"",""english"":""regret / what a pity"",""tones"":[""rising"",""mid""],""grammar"":true,""romanization"":""sia-daai""},{""thai"":""ที่เราไม่ได้คุยกันนานกว่านี้"",""english"":""that we couldn't talk longer"",""tones"":[""falling"",""mid"",""falling"",""mid"",""mid"",""mid"",""mid"",""low"",""high""],""romanization"":""thii rao mai dai khui gan naan gwaa nii""}]",hard
เสียดายเวลา,sia-daai wee-laa,What a waste of time.,"[{""thai"":""เสียดาย"",""english"":""regret / what a pity"",""tones"":[""rising"",""mid""],""grammar"":true,""romanization"":""sia-daai""},{""thai"":""เวลา"",""english"":""time"",""tones"":[""mid"",""mid""],""romanization"":""wee-laa""}]",hard
เสียดายเงินที่จ่ายไป,sia-daai ngern thii jaai bpai,It's a pity about the money we spent.,"[{""thai"":""เสียดาย"",""english"":""regret / what a pity"",""tones"":[""rising"",""mid""],""grammar"":true,""romanization"":""sia-daai""},{""thai"":""เงินที่จ่ายไป"",""english"":""the money we spent"",""tones"":[""mid"",""falling"",""falling"",""mid""],""romanization"":""ngern thii jaai bpai""}]",hard
เสียดายโอกาสครั้งนั้น,sia-daai oo-gaat khrang nan,It's a pity about that opportunity.,"[{""thai"":""เสียดาย"",""english"":""regret / what a pity"",""tones"":[""rising"",""mid""],""grammar"":true,""romanization"":""sia-daai""},{""thai"":""โอกาสครั้งนั้น"",""english"":""that opportunity"",""tones"":[""mid"",""low"",""high"",""high""],""romanization"":""oo-gaat khrang nan""}]",hard
เสียดายแทนเขา,sia-daai thaen khao,I feel bad for him.,"[{""thai"":""เสียดาย"",""english"":""regret / what a pity"",""tones"":[""rising"",""mid""],""grammar"":true,""romanization"":""sia-daai""},{""thai"":""แทนเขา"",""english"":""for him"",""tones"":[""mid"",""rising""],""romanization"":""thaen khao""}]",hard
เสียดายของที่เสียไป,sia-daai khawng thii sia bpai,It's a pity about what was lost.,"[{""thai"":""เสียดาย"",""english"":""regret / what a pity"",""tones"":[""rising"",""mid""],""grammar"":true,""romanization"":""sia-daai""},{""thai"":""ของที่เสียไป"",""english"":""the thing that was lost"",""tones"":[""rising"",""falling"",""rising"",""mid""],""romanization"":""khawng thii sia bpai""}]",hard
เสียดายที่อ่านไม่จบ,sia-daai thii aan mai jop,It's a pity that I didn't finish reading it.,"[{""thai"":""เสียดาย"",""english"":""regret / what a pity"",""tones"":[""rising"",""mid""],""grammar"":true,""romanization"":""sia-daai""},{""thai"":""ที่อ่านไม่จบ"",""english"":""that I didn't finish reading"",""tones"":[""falling"",""low"",""falling"",""low""],""romanization"":""thii aan mai jop""}]",hard
เสียดายที่ร้านปิดเร็ว,sia-daai thii raan bpit reo,It's a pity that the shop closed early.,"[{""thai"":""เสียดาย"",""english"":""regret / what a pity"",""tones"":[""rising"",""mid""],""grammar"":true,""romanization"":""sia-daai""},{""thai"":""ที่ร้านปิดเร็ว"",""english"":""that the shop closed early"",""tones"":[""falling"",""high"",""low"",""mid""],""romanization"":""thii raan bpit reo""}]",hard
เสียดายที่ตัดสินใจช้า,sia-daai thii dtat-sin-jai chaa,It's a pity that I decided too slowly.,"[{""thai"":""เสียดาย"",""english"":""regret / what a pity"",""tones"":[""rising"",""mid""],""grammar"":true,""romanization"":""sia-daai""},{""thai"":""ที่ตัดสินใจช้า"",""english"":""that I decided too slowly"",""tones"":[""falling"",""low"",""rising"",""mid"",""high""],""romanization"":""thii dtat-sin-jai chaa""}]",hard
เสียดายที่ไม่ได้ถามให้ชัด,sia-daai thii mai dai thaam hai chat,It's a pity I didn't ask clearly.,"[{""thai"":""เสียดาย"",""english"":""regret / what a pity"",""tones"":[""rising"",""mid""],""grammar"":true,""romanization"":""sia-daai""},{""thai"":""ที่ไม่ได้ถามให้ชัด"",""english"":""that I didn't ask clearly"",""tones"":[""falling"",""falling"",""mid"",""rising"",""falling"",""low""],""romanization"":""thii mai dai thaam hai chat""}]",hard
เสียดายแทนทีม,sia-daai thaen thiim,I feel bad for the team.,"[{""thai"":""เสียดาย"",""english"":""regret / what a pity"",""tones"":[""rising"",""mid""],""grammar"":true,""romanization"":""sia-daai""},{""thai"":""แทนทีม"",""english"":""for the team"",""tones"":[""mid"",""mid""],""romanization"":""thaen thiim""}]",hard
เสียดายที่ไม่ได้เก็บรูปไว้,sia-daai thii mai dai gep ruup wai,It's a pity I didn't keep the photo.,"[{""thai"":""เสียดาย"",""english"":""regret / what a pity"",""tones"":[""rising"",""mid""],""grammar"":true,""romanization"":""sia-daai""},{""thai"":""ที่ไม่ได้เก็บรูปไว้"",""english"":""that I didn't keep the photo"",""tones"":[""falling"",""falling"",""mid"",""low"",""falling"",""high""],""romanization"":""thii mai dai gep ruup wai""}]",hard
เสียดายที่พลาดรอบแรก,sia-daai thii phlaat rawp raek,It's a pity I missed the first round.,"[{""thai"":""เสียดาย"",""english"":""regret / what a pity"",""tones"":[""rising"",""mid""],""grammar"":true,""romanization"":""sia-daai""},{""thai"":""ที่พลาดรอบแรก"",""english"":""that I missed the first round"",""tones"":[""falling"",""falling"",""falling"",""falling""],""romanization"":""thii phlaat rawp raek""}]",hard
เสียดายที่เขาไม่ได้ลอง,sia-daai thii khao mai dai lawng,It's a pity he didn't try.,"[{""thai"":""เสียดาย"",""english"":""regret / what a pity"",""tones"":[""rising"",""mid""],""grammar"":true,""romanization"":""sia-daai""},{""thai"":""ที่เขาไม่ได้ลอง"",""english"":""that he didn't try"",""tones"":[""falling"",""rising"",""falling"",""mid"",""mid""],""romanization"":""thii khao mai dai lawng""}]",hard
เสียดายที่คุณไม่อยู่ด้วย,sia-daai thii khun mai yuu duay,It's a pity you weren't there.,"[{""thai"":""เสียดาย"",""english"":""regret / what a pity"",""tones"":[""rising"",""mid""],""grammar"":true,""romanization"":""sia-daai""},{""thai"":""ที่คุณไม่อยู่ด้วย"",""english"":""that you weren't there too"",""tones"":[""falling"",""mid"",""falling"",""high"",""falling""],""romanization"":""thii khun mai yuu duay""}]",hard
เสียดายที่เรามาไม่ทัน,sia-daai thii rao maa mai than,It's a pity we didn't make it in time.,"[{""thai"":""เสียดาย"",""english"":""regret / what a pity"",""tones"":[""rising"",""mid""],""grammar"":true,""romanization"":""sia-daai""},{""thai"":""ที่เรามาไม่ทัน"",""english"":""that we didn't make it in time"",""tones"":[""falling"",""mid"",""mid"",""falling"",""mid""],""romanization"":""thii rao maa mai than""}]",hard
เสียดายวันหยุดที่ผ่านมา,sia-daai wan-yut thii phaan maa,It's a pity about the holiday that passed.,"[{""thai"":""เสียดาย"",""english"":""regret / what a pity"",""tones"":[""rising"",""mid""],""grammar"":true,""romanization"":""sia-daai""},{""thai"":""วันหยุดที่ผ่านมา"",""english"":""the past holiday"",""tones"":[""mid"",""low"",""falling"",""falling"",""mid""],""romanization"":""wan-yut thii phaan maa""}]",hard
เสียดายที่งานนี้ไม่ได้ใช้ต่อ,sia-daai thii ngaan nii mai dai chai dtaw,It's a pity this wasn't used further.,"[{""thai"":""เสียดาย"",""english"":""regret / what a pity"",""tones"":[""rising"",""mid""],""grammar"":true,""romanization"":""sia-daai""},{""thai"":""ที่งานนี้ไม่ได้ใช้ต่อ"",""english"":""that this wasn't used further"",""tones"":[""falling"",""mid"",""high"",""falling"",""mid"",""high"",""low""],""romanization"":""thii ngaan nii mai dai chai dtaw""}]",hard
เสียดายที่เขาย้ายออกเร็ว,sia-daai thii khao yaai awk reo,It's a pity he moved out so early.,"[{""thai"":""เสียดาย"",""english"":""regret / what a pity"",""tones"":[""rising"",""mid""],""grammar"":true,""romanization"":""sia-daai""},{""thai"":""ที่เขาย้ายออกเร็ว"",""english"":""that he moved out early"",""tones"":[""falling"",""rising"",""falling"",""low"",""mid""],""romanization"":""thii khao yaai awk reo""}]",hard
เสียดายที่ฉันไม่ได้ฟังให้จบ,sia-daai thii chan mai dai fang hai jop,It's a pity I didn't listen until the end.,"[{""thai"":""เสียดาย"",""english"":""regret / what a pity"",""tones"":[""rising"",""mid""],""grammar"":true,""romanization"":""sia-daai""},{""thai"":""ที่ฉันไม่ได้ฟังให้จบ"",""english"":""that I didn't listen until the end"",""tones"":[""falling"",""rising"",""falling"",""mid"",""mid"",""falling"",""low""],""romanization"":""thii chan mai dai fang hai jop""}]",hard
เสียดายที่ไม่ได้เจอกันอีก,sia-daai thii mai dai jer gan iik,It's a pity we didn't meet again.,"[{""thai"":""เสียดาย"",""english"":""regret / what a pity"",""tones"":[""rising"",""mid""],""grammar"":true,""romanization"":""sia-daai""},{""thai"":""ที่ไม่ได้เจอกันอีก"",""english"":""that we didn't meet again"",""tones"":[""falling"",""falling"",""mid"",""mid"",""mid"",""mid""],""romanization"":""thii mai dai jer gan iik""}]",hard
