thai,romanization,english,breakdown,difficulty
ในขณะที่เขาพัก ฉันยังทำงาน,nai khana thi khao phak chan yang tham ngan,"While he was resting, I was still working.","[{""thai"":""ในขณะที่"",""english"":""while / whereas"",""grammar"":true,""romanization"":""nai khana thi""},{""thai"":""เขา"",""english"":""he / she"",""romanization"":""khao""},{""thai"":""พัก"",""english"":""rest"",""tones"":[""high""],""tone"":""high"",""romanization"":""phak""},{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""},{""thai"":""ยัง"",""english"":""still"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""yang""},{""thai"":""ทำงาน"",""english"":""work"",""romanization"":""tham ngan""}]",hard
ยอดขายเพิ่มขึ้น ในขณะที่ต้นทุนลดลง,"yod-khaai phern kheun, nai-kha-na-thii nai-kha-na-thii dton-thun lot long","Sales increased, while costs decreased.","[{""thai"":""ยอดขายเพิ่มขึ้น"",""english"":""sales increased"",""tones"":[""falling"",""rising"",""mid"",""falling""],""romanization"":""yod-khaai phern kheun""},{""thai"":""ในขณะที่"",""english"":""while / whereas"",""tones"":[""mid"",""low"",""low""],""grammar"":true,""romanization"":""nai-kha-na-thii""},{""thai"":""ต้นทุนลดลง"",""english"":""while costs decreased"",""tones"":[""mid"",""low"",""low"",""mid"",""low"",""mid""],""romanization"":""nai-kha-na-thii dton-thun lot long""}]",hard
เขาชอบทำงานเช้า ในขณะที่ฉันทำงานดึก,"khao chaawp tham-ngaan chao, nai-kha-na-thii nai-kha-na-thii chan tham-ngaan deuk","He likes working early, whereas I work late.","[{""thai"":""เขาชอบทำงานเช้า"",""english"":""he likes working early"",""tones"":[""high"",""falling"",""mid"",""mid"",""falling""],""romanization"":""khao chaawp tham-ngaan chao""},{""thai"":""ในขณะที่"",""english"":""while / whereas"",""tones"":[""mid"",""low"",""low""],""grammar"":true,""romanization"":""nai-kha-na-thii""},{""thai"":""ฉันทำงานดึก"",""english"":""while I work late"",""tones"":[""mid"",""low"",""low"",""rising"",""mid"",""mid"",""low""],""romanization"":""nai-kha-na-thii chan tham-ngaan deuk""}]",hard
ทีมหนึ่งเน้นความเร็ว ในขณะที่อีกทีมเน้นความละเอียด,"thiim neung nen khwaam-reo, nai-kha-na-thii nai-kha-na-thii iik thiim nen khwaam-la-iat","One team emphasizes speed, while the other emphasizes detail.","[{""thai"":""ทีมหนึ่งเน้นความเร็ว"",""english"":""one team emphasizes speed"",""tones"":[""mid"",""high"",""high"",""mid"",""mid""],""romanization"":""thiim neung nen khwaam-reo""},{""thai"":""ในขณะที่"",""english"":""while / whereas"",""tones"":[""mid"",""low"",""low""],""grammar"":true,""romanization"":""nai-kha-na-thii""},{""thai"":""อีกทีมเน้นความละเอียด"",""english"":""while the other team emphasizes detail"",""tones"":[""mid"",""low"",""low"",""mid"",""mid"",""high"",""mid"",""low""],""romanization"":""nai-kha-na-thii iik thiim nen khwaam-la-iat""}]",hard
ลูกค้ากลุ่มนี้ดูราคา ในขณะที่อีกกลุ่มดูคุณภาพ,"luuk-khaa glum nii duu raa-khaa, nai-kha-na-thii nai-kha-na-thii iik glum duu khun-na-phap","This customer group looks at price, whereas the other looks at quality.","[{""thai"":""ลูกค้ากลุ่มนี้ดูราคา"",""english"":""this customer group looks at price"",""tones"":[""high"",""high"",""low"",""high"",""mid"",""high""],""romanization"":""luuk-khaa glum nii duu raa-khaa""},{""thai"":""ในขณะที่"",""english"":""while / whereas"",""tones"":[""mid"",""low"",""low""],""grammar"":true,""romanization"":""nai-kha-na-thii""},{""thai"":""อีกกลุ่มดูคุณภาพ"",""english"":""while the other group looks at quality"",""tones"":[""mid"",""low"",""low"",""mid"",""low"",""mid"",""low""],""romanization"":""nai-kha-na-thii iik glum duu khun-na-phap""}]",hard
บริษัทเล็กปรับตัวเร็ว ในขณะที่บริษัทใหญ่เปลี่ยนช้า,"baw-ri-sat lek bprap-dtua reo, nai-kha-na-thii nai-kha-na-thii baw-ri-sat yai bplian chaa","Small companies adapt quickly, while large companies change slowly.","[{""thai"":""บริษัทเล็กปรับตัวเร็ว"",""english"":""small companies adapt quickly"",""tones"":[""mid"",""low"",""low"",""high"",""low"",""mid""],""romanization"":""baw-ri-sat lek bprap-dtua reo""},{""thai"":""ในขณะที่"",""english"":""while / whereas"",""tones"":[""mid"",""low"",""low""],""grammar"":true,""romanization"":""nai-kha-na-thii""},{""thai"":""บริษัทใหญ่เปลี่ยนช้า"",""english"":""while large companies change slowly"",""tones"":[""mid"",""low"",""low"",""mid"",""low"",""low"",""low"",""high""],""romanization"":""nai-kha-na-thii baw-ri-sat yai bplian chaa""}]",hard
บางคนอยากเสี่ยง ในขณะที่บางคนอยากมั่นคง,"baang khon yaak siang, nai-kha-na-thii nai-kha-na-thii baang khon yaak man-khong","Some people want risk, while others want stability.","[{""thai"":""บางคนอยากเสี่ยง"",""english"":""some people want risk"",""tones"":[""mid"",""mid"",""low"",""low""],""romanization"":""baang khon yaak siang""},{""thai"":""ในขณะที่"",""english"":""while / whereas"",""tones"":[""mid"",""low"",""low""],""grammar"":true,""romanization"":""nai-kha-na-thii""},{""thai"":""บางคนอยากมั่นคง"",""english"":""while some people want stability"",""tones"":[""mid"",""low"",""low"",""mid"",""mid"",""low"",""falling"",""mid""],""romanization"":""nai-kha-na-thii baang khon yaak man-khong""}]",hard
ฝ่ายหนึ่งเสนอให้รอ ในขณะที่อีกฝ่ายอยากเริ่มเลย,"faai neung sa-noe hai raaw, nai-kha-na-thii nai-kha-na-thii iik faai yaak roem loei","One side proposed waiting, while the other wanted to begin immediately.","[{""thai"":""ฝ่ายหนึ่งเสนอให้รอ"",""english"":""one side proposed waiting"",""tones"":[""low"",""high"",""low"",""falling"",""falling"",""mid""],""romanization"":""faai neung sa-noe hai raaw""},{""thai"":""ในขณะที่"",""english"":""while / whereas"",""tones"":[""mid"",""low"",""low""],""grammar"":true,""romanization"":""nai-kha-na-thii""},{""thai"":""อีกฝ่ายอยากเริ่มเลย"",""english"":""while the other side wanted to begin immediately"",""tones"":[""mid"",""low"",""low"",""mid"",""low"",""low"",""falling"",""mid""],""romanization"":""nai-kha-na-thii iik faai yaak roem loei""}]",hard
แผนเดิมเน้นประหยัด ในขณะที่แผนใหม่เน้นคุณภาพ,"phaen doem nen bpra-yat, nai-kha-na-thii nai-kha-na-thii phaen mai nen khun-na-phap","The old plan emphasized saving, while the new plan emphasizes quality.","[{""thai"":""แผนเดิมเน้นประหยัด"",""english"":""the old plan emphasized saving"",""tones"":[""falling"",""mid"",""high"",""low""],""romanization"":""phaen doem nen bpra-yat""},{""thai"":""ในขณะที่"",""english"":""while / whereas"",""tones"":[""mid"",""low"",""low""],""grammar"":true,""romanization"":""nai-kha-na-thii""},{""thai"":""แผนใหม่เน้นคุณภาพ"",""english"":""while the new plan emphasizes quality"",""tones"":[""mid"",""low"",""low"",""rising"",""falling"",""high"",""low""],""romanization"":""nai-kha-na-thii phaen mai nen khun-na-phap""}]",hard
เขาพูดน้อยแต่ฟังเยอะ ในขณะที่ฉันถามเยอะ,"khao phuut naawy dtae fang yoe, nai-kha-na-thii while I ask a lot","He speaks little but listens a lot, while I ask a lot.","[{""thai"":""เขาพูดน้อยแต่ฟังเยอะ"",""english"":""he speaks little but listens a lot"",""tones"":[""high"",""falling"",""low"",""low"",""mid"",""low""],""romanization"":""khao phuut naawy dtae fang yoe""},{""thai"":""ในขณะที่"",""english"":""while / whereas"",""tones"":[""mid"",""low"",""low""],""grammar"":true,""romanization"":""nai-kha-na-thii""},{""thai"":""ฉันถามเยอะ"",""english"":""nai-kha-na-thii chan thaam yoe"",""tones"":[""mid"",""low"",""low"",""rising"",""falling"",""low""],""romanization"":""while I ask a lot""}]",hard
