thai,romanization,english,breakdown,difficulty
อย่างน้อยวันนี้ก็เสร็จ,yang noi wanni ko set,At least it is finished today.,"[{""thai"":""อย่างน้อย"",""english"":""at least"",""tones"":[""low"",""high""],""grammar"":true,""romanization"":""yàang nói""},{""thai"":""วันนี้"",""english"":""today"",""romanization"":""wan níi""},{""thai"":""ก็"",""english"":""then / at least"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""gâw""},{""thai"":""เสร็จ"",""english"":""finished"",""tones"":[""low""],""tone"":""low"",""romanization"":""sèt""}]",hard
อย่างน้อยวันนี้เราก็เริ่มแล้ว,yaang noi wan nii rao go roem laeo,At least we started today.,"[{""thai"":""อย่างน้อย"",""english"":""at least"",""tones"":[""high"",""high""],""grammar"":true,""romanization"":""yaang noi""},{""thai"":""วันนี้เราก็เริ่มแล้ว"",""english"":""today we got started already"",""tones"":[""mid"",""high"",""mid"",""falling"",""falling"",""high""],""romanization"":""wan nii rao go roem laeo""}]",medium
อย่างน้อยเขาก็โทรมาบอก,yaang noi khao go thoo maa bok,At least he called to let us know.,"[{""thai"":""อย่างน้อย"",""english"":""at least"",""tones"":[""high"",""high""],""grammar"":true,""romanization"":""yaang noi""},{""thai"":""เขาก็โทรมาบอก"",""english"":""he called to tell us"",""tones"":[""rising"",""falling"",""mid"",""mid"",""low""],""romanization"":""khao go thoo maa bok""}]",medium
อย่างน้อยฉันก็ทำส่วนของตัวเองเสร็จแล้ว,yaang noi chan go tham suan khong dtua-eeng set laeo,At least I finished my part.,"[{""thai"":""อย่างน้อย"",""english"":""at least"",""tones"":[""high"",""high""],""grammar"":true,""romanization"":""yaang noi""},{""thai"":""ฉันก็ทำส่วนของตัวเองเสร็จแล้ว"",""english"":""I finished my part already"",""tones"":[""rising"",""falling"",""mid"",""rising"",""rising"",""mid"",""low"",""high""],""romanization"":""chan go tham suan khong dtua-eeng set laeo""}]",medium
อย่างน้อยร้านนี้ก็ยังเปิดอยู่,yaang noi raan nii go yang bpoet yuu,At least this place is still open.,"[{""thai"":""อย่างน้อย"",""english"":""at least"",""tones"":[""high"",""high""],""grammar"":true,""romanization"":""yaang noi""},{""thai"":""ร้านนี้ก็ยังเปิดอยู่"",""english"":""this place is still open"",""tones"":[""high"",""high"",""falling"",""mid"",""low"",""low""],""romanization"":""raan nii go yang bpoet yuu""}]",medium
อย่างน้อยเราก็มาถึงทันเวลา,yaang noi rao go maa thueng than wee-laa,At least we got here on time.,"[{""thai"":""อย่างน้อย"",""english"":""at least"",""tones"":[""high"",""high""],""grammar"":true,""romanization"":""yaang noi""},{""thai"":""เราก็มาถึงทันเวลา"",""english"":""we arrived on time"",""tones"":[""mid"",""falling"",""mid"",""rising"",""mid"",""mid"",""mid""],""romanization"":""rao go maa thueng than wee-laa""}]",medium
อย่างน้อยฝนก็ยังไม่ตก,yaang noi fon go yang mai dtok,At least it hasn't rained yet.,"[{""thai"":""อย่างน้อย"",""english"":""at least"",""tones"":[""high"",""high""],""grammar"":true,""romanization"":""yaang noi""},{""thai"":""ฝนก็ยังไม่ตก"",""english"":""it still hasn't rained"",""tones"":[""rising"",""falling"",""mid"",""falling"",""low""],""romanization"":""fon go yang mai dtok""}]",medium
อย่างน้อยเขาก็ยอมฟัง,yaang noi khao go yawm fang,At least he was willing to listen.,"[{""thai"":""อย่างน้อย"",""english"":""at least"",""tones"":[""high"",""high""],""grammar"":true,""romanization"":""yaang noi""},{""thai"":""เขาก็ยอมฟัง"",""english"":""he was willing to listen"",""tones"":[""rising"",""falling"",""mid"",""mid""],""romanization"":""khao go yawm fang""}]",medium
อย่างน้อยตอนนี้เราก็มีข้อมูลพอ,yaang noi dtawn nii rao go mii kho-muun phaw,At least now we have enough information.,"[{""thai"":""อย่างน้อย"",""english"":""at least"",""tones"":[""high"",""high""],""grammar"":true,""romanization"":""yaang noi""},{""thai"":""ตอนนี้เราก็มีข้อมูลพอ"",""english"":""now we have enough information"",""tones"":[""mid"",""high"",""mid"",""falling"",""mid"",""high"",""mid"",""mid""],""romanization"":""dtawn nii rao go mii kho-muun phaw""}]",medium
อย่างน้อยฉันก็ได้พักหน่อยหนึ่ง,yaang noi chan go dai phak noi nueng,At least I got a little rest.,"[{""thai"":""อย่างน้อย"",""english"":""at least"",""tones"":[""high"",""high""],""grammar"":true,""romanization"":""yaang noi""},{""thai"":""ฉันก็ได้พักหน่อยหนึ่ง"",""english"":""I got a little rest"",""tones"":[""rising"",""falling"",""mid"",""high"",""low"",""low""],""romanization"":""chan go dai phak noi nueng""}]",medium
