thai,romanization,english,breakdown,difficulty
แม่บอกว่าฝนจะตก,mâe bòk wâa fǒn jà tòk,Mom said that it will rain.,"[{""thai"":""แม่"",""english"":""Mom"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""mâe""},{""thai"":""บอก"",""english"":""said"",""tones"":[""low""],""tone"":""low"",""romanization"":""bòk""},{""thai"":""ว่า"",""english"":""that"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""wâa""},{""thai"":""ฝน"",""english"":""rain"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""fǒn""},{""thai"":""จะ"",""english"":""will"",""tones"":[""low""],""tone"":""low"",""romanization"":""jà""},{""thai"":""ตก"",""english"":""fall"",""tones"":[""low""],""tone"":""low"",""romanization"":""tòk""}]",easy
เขาคิดว่าเธออยากไปทะเล,khǎo khít wâa thoe yàak pai thalé,He thinks that you want to go to the beach.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khǎo""},{""thai"":""คิด"",""english"":""thinks"",""tones"":[""high""],""tone"":""high"",""romanization"":""khít""},{""thai"":""ว่า"",""english"":""that"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""wâa""},{""thai"":""เธอ"",""english"":""you"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""thoe""},{""thai"":""อยาก"",""english"":""want"",""tones"":[""low""],""tone"":""low"",""romanization"":""yàak""},{""thai"":""ไป"",""english"":""go"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""pai""},{""thai"":""ทะเล"",""english"":""beach"",""tones"":[""high""],""tone"":""high"",""romanization"":""thalé""}]",medium
เธอถามว่าเราจะไปด้วยกันไหม,thoe thǎam wâa rao jà pai dûai kan mǎi,She asked if we will go together.,"[{""thai"":""เธอ"",""english"":""she"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""thoe""},{""thai"":""ถาม"",""english"":""asked"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""thǎam""},{""thai"":""ว่า"",""english"":""if"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""wâa""},{""thai"":""เรา"",""english"":""we"",""romanization"":""rao""},{""thai"":""จะ"",""english"":""will"",""tones"":[""low""],""tone"":""low"",""romanization"":""jà""},{""thai"":""ไป"",""english"":""go"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""pai""},{""thai"":""ด้วยกัน"",""english"":""together"",""romanization"":""dûai kan""},{""thai"":""ไหม"",""english"":""question"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""mǎi""}]",hard
คนที่โรงเรียนบอกว่าไม่ต้องกลัว,khon thîi roong-riian bòk wâa mâi tông glua,The people at school said there's no need to be afraid.,"[{""thai"":""คน"",""english"":""people"",""romanization"":""khon""},{""thai"":""ที่โรงเรียน"",""english"":""at school"",""romanization"":""thîi roong-riian""},{""thai"":""บอก"",""english"":""said"",""tones"":[""low""],""tone"":""low"",""romanization"":""bòk""},{""thai"":""ว่า"",""english"":""that"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""wâa""},{""thai"":""ไม่ต้อง"",""english"":""no need"",""tones"":[""falling"",""falling""],""romanization"":""mâi tông""},{""thai"":""กลัว"",""english"":""afraid"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""glua""}]",medium
พ่อบอกว่าวันนี้มีประชุม,phâw bòk wâa wan-níi mii prachum,Dad said that there is a meeting today.,"[{""thai"":""พ่อ"",""english"":""Dad"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""phâw""},{""thai"":""บอก"",""english"":""said"",""tones"":[""low""],""tone"":""low"",""romanization"":""bòk""},{""thai"":""ว่า"",""english"":""that"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""wâa""},{""thai"":""วันนี้"",""english"":""today"",""romanization"":""wan-níi""},{""thai"":""มี"",""english"":""there is"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""mii""},{""thai"":""ประชุม"",""english"":""meeting"",""romanization"":""prachum""}]",easy
เขาเชื่อว่ามันจะสำเร็จ,khǎo chûea wâa man jà sǎmrèt,He believes that it will succeed.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khǎo""},{""thai"":""เชื่อ"",""english"":""believes"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""chûea""},{""thai"":""ว่า"",""english"":""that"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""wâa""},{""thai"":""มัน"",""english"":""it"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""man""},{""thai"":""จะ"",""english"":""will"",""tones"":[""low""],""tone"":""low"",""romanization"":""jà""},{""thai"":""สำเร็จ"",""english"":""succeed"",""romanization"":""sǎmrèt""}]",medium
เธอคิดว่าเราควรพักบ้าง,thoe khít wâa rao khuan phák bâang,She thinks that we should rest a bit.,"[{""thai"":""เธอ"",""english"":""she"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""thoe""},{""thai"":""คิด"",""english"":""thinks"",""tones"":[""high""],""tone"":""high"",""romanization"":""khít""},{""thai"":""ว่า"",""english"":""that"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""wâa""},{""thai"":""เรา"",""english"":""we"",""romanization"":""rao""},{""thai"":""ควร"",""english"":""should"",""romanization"":""khuan""},{""thai"":""พัก"",""english"":""rest"",""tones"":[""high""],""tone"":""high"",""romanization"":""phák""},{""thai"":""บ้าง"",""english"":""a bit"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""bâang""}]",medium
เขารู้ว่าฉันไม่ว่าง,khǎo rúu wâa chǎn mâi wâang,He knows that I am not available.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khǎo""},{""thai"":""รู้"",""english"":""knows"",""tones"":[""high""],""tone"":""high"",""romanization"":""rúu""},{""thai"":""ว่า"",""english"":""that"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""wâa""},{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chǎn""},{""thai"":""ไม่ว่าง"",""english"":""not available"",""tones"":[""falling"",""falling""],""romanization"":""mâi wâang""}]",easy
เขาบอกว่าความรักเป็นสิ่งสำคัญ,khǎo bòk wâa khwaam-rák pen sìng sǎmkhan,He said that love is important.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khǎo""},{""thai"":""บอก"",""english"":""said"",""tones"":[""low""],""tone"":""low"",""romanization"":""bòk""},{""thai"":""ว่า"",""english"":""that"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""wâa""},{""thai"":""ความรัก"",""english"":""love"",""romanization"":""khwaam-rák""},{""thai"":""เป็น"",""english"":""is"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""pen""},{""thai"":""สิ่ง"",""english"":""thing"",""tones"":[""low""],""tone"":""low"",""romanization"":""sìng""},{""thai"":""สำคัญ"",""english"":""important"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""sǎmkhan""}]",hard
น้องบอกว่าพรุ่งนี้จะไปสวนสัตว์,nóng bòk wâa phrûngníi jà pai sǔan sàt,My little brother said that he will go to the zoo tomorrow.,"[{""thai"":""น้อง"",""english"":""little brother"",""tones"":[""high""],""tone"":""high"",""romanization"":""nóng""},{""thai"":""บอก"",""english"":""said"",""tones"":[""low""],""tone"":""low"",""romanization"":""bòk""},{""thai"":""ว่า"",""english"":""that"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""wâa""},{""thai"":""พรุ่งนี้"",""english"":""tomorrow"",""romanization"":""phrûngníi""},{""thai"":""จะ"",""english"":""will"",""tones"":[""low""],""tone"":""low"",""romanization"":""jà""},{""thai"":""ไป"",""english"":""go"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""pai""},{""thai"":""สวนสัตว์"",""english"":""zoo"",""tones"":[""rising"",""low""],""romanization"":""sǔan sàt""}]",easy
