thai,romanization,english,breakdown,difficulty
ฉันบังเอิญเจอเขา,chan bang-oen joe khao,I happened to run into him.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chán""},{""thai"":""บังเอิญ"",""english"":""by chance"",""grammar"":true,""romanization"":""bang-oen""},{""thai"":""เจอ"",""english"":""meet / run into"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""joe""},{""thai"":""เขา"",""english"":""him / her"",""tones"":[""high""],""tone"":""high"",""romanization"":""kháo""}]",hard
ฉันบังเอิญเจอเขา,chan bang-oen joe khao,I happened to run into him.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""},{""thai"":""บังเอิญ"",""english"":""by chance / happen to"",""tones"":[""mid"",""mid""],""grammar"":true,""romanization"":""bang-oen""},{""thai"":""เจอเขา"",""english"":""meet him"",""tones"":[""mid"",""rising""],""romanization"":""joe khao""}]",easy
เราบังเอิญนั่งโต๊ะข้างกัน,rao bang-oen nang dto khang gan,We happened to sit at tables next to each other.,"[{""thai"":""เรา"",""english"":""we"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""rao""},{""thai"":""บังเอิญ"",""english"":""happen to"",""tones"":[""mid"",""mid""],""grammar"":true,""romanization"":""bang-oen""},{""thai"":""นั่งโต๊ะข้างกัน"",""english"":""sit at tables next to each other"",""tones"":[""falling"",""high"",""falling"",""mid""],""romanization"":""nang dto khang gan""}]",medium
ฉันบังเอิญได้ยินชื่อร้านนี้เมื่อเช้า,chan bang-oen dai-yin chue raan nii muea chao,I happened to hear the name of this shop this morning.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""},{""thai"":""บังเอิญได้ยิน"",""english"":""happen to hear"",""tones"":[""mid"",""mid"",""falling"",""mid""],""grammar"":true,""romanization"":""bang-oen dai-yin""},{""thai"":""ชื่อร้านนี้"",""english"":""the name of this shop"",""tones"":[""falling"",""high"",""high""],""romanization"":""chue raan nii""},{""thai"":""เมื่อเช้า"",""english"":""this morning"",""tones"":[""falling"",""high""],""romanization"":""muea chao""}]",medium
เขาบังเอิญเจอเพื่อนเก่าที่สถานี,khao bang-oen joe phuean gao thii sa-thaanii,He happened to meet an old friend at the station.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khao""},{""thai"":""บังเอิญเจอ"",""english"":""happen to meet"",""tones"":[""mid"",""mid"",""mid""],""grammar"":true,""romanization"":""bang-oen joe""},{""thai"":""เพื่อนเก่า"",""english"":""old friend"",""tones"":[""falling"",""low""],""romanization"":""phuean gao""},{""thai"":""ที่สถานี"",""english"":""at the station"",""tones"":[""falling"",""low"",""mid"",""mid""],""romanization"":""thii sa-thaanii""}]",medium
เราบังเอิญเลือกเที่ยวเดียวกัน,rao bang-oen lueak thiao diao gan,We happened to choose the same trip.,"[{""thai"":""เรา"",""english"":""we"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""rao""},{""thai"":""บังเอิญเลือก"",""english"":""happen to choose"",""tones"":[""mid"",""mid"",""low""],""grammar"":true,""romanization"":""bang-oen lueak""},{""thai"":""เที่ยวเดียวกัน"",""english"":""the same trip"",""tones"":[""falling"",""mid"",""mid""],""romanization"":""thiao diao gan""}]",medium
ฉันบังเอิญเปิดเจอเพลงนี้,chan bang-oen bpoet joe phleeng nii,I happened to come across this song.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""},{""thai"":""บังเอิญเปิดเจอ"",""english"":""happen to come across"",""tones"":[""mid"",""mid"",""low"",""mid""],""grammar"":true,""romanization"":""bang-oen bpoet joe""},{""thai"":""เพลงนี้"",""english"":""this song"",""tones"":[""mid"",""high""],""romanization"":""phleeng nii""}]",easy
เขาบังเอิญอ่านอีเมลนั้นก่อนประชุม,khao bang-oen aan ii-meen nan gawn bpra-chum,He happened to read that email before the meeting.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khao""},{""thai"":""บังเอิญอ่าน"",""english"":""happen to read"",""tones"":[""mid"",""mid"",""low""],""grammar"":true,""romanization"":""bang-oen aan""},{""thai"":""อีเมลนั้น"",""english"":""that email"",""tones"":[""mid"",""mid"",""high""],""romanization"":""ii-meen nan""},{""thai"":""ก่อนประชุม"",""english"":""before the meeting"",""tones"":[""low"",""low"",""mid""],""romanization"":""gawn bpra-chum""}]",medium
พ่อบังเอิญขับผ่านบ้านครู,phaw bang-oen khap phaan baan khruu,Dad happened to drive past the teacher's house.,"[{""thai"":""พ่อ"",""english"":""Dad"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""phaw""},{""thai"":""บังเอิญขับผ่าน"",""english"":""happen to drive past"",""tones"":[""mid"",""mid"",""low"",""low""],""grammar"":true,""romanization"":""bang-oen khap phaan""},{""thai"":""บ้านครู"",""english"":""the teacher's house"",""tones"":[""falling"",""mid""],""romanization"":""baan khruu""}]",medium
แม่บังเอิญเจอกระเป๋าใบเดิมในตู้,mae bang-oen joe gra-bpao bai doem nai dtuu,Mom happened to find the same old bag in the cabinet.,"[{""thai"":""แม่"",""english"":""Mom"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""mae""},{""thai"":""บังเอิญเจอ"",""english"":""happen to find"",""tones"":[""mid"",""mid"",""mid""],""grammar"":true,""romanization"":""bang-oen joe""},{""thai"":""กระเป๋าใบเดิม"",""english"":""the same old bag"",""tones"":[""low"",""rising"",""mid"",""mid""],""romanization"":""gra-bpao bai doem""},{""thai"":""ในตู้"",""english"":""in the cabinet"",""tones"":[""mid"",""falling""],""romanization"":""nai dtuu""}]",medium
