thai,romanization,english,breakdown,difficulty
เขาถูกชม แต่ฉันโดนดุ,khao thuk chom tae chan don du,"He was praised, but I got scolded.","[{""thai"":""เขา"",""english"":""he / she"",""romanization"":""khao""},{""thai"":""ถูก"",""english"":""be affected by"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""thuk""},{""thai"":""ชม"",""english"":""praise"",""romanization"":""chom""},{""thai"":""แต่"",""english"":""but"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""tae""},{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""},{""thai"":""โดน"",""english"":""get hit by / suffer"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""don""},{""thai"":""ดุ"",""english"":""scold"",""tones"":[""low""],""tone"":""low"",""romanization"":""du""}]",hard
ฉันโดนฝน,chan dohn f?n,I got caught in the rain.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""},{""thai"":""โดน"",""english"":""get hit by / get caught in"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""dohn""},{""thai"":""ฝน"",""english"":""rain"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""f?n""}]",hard
เขาโดนเพื่อนแซวทั้งวัน,khao dohn phuean saeo thang wan,He got teased by his friends all day.,"[{""thai"":""เขา"",""english"":""he / she"",""tones"":[""high""],""tone"":""high"",""romanization"":""khao""},{""thai"":""โดน"",""english"":""get hit by / get caught in"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""dohn""},{""thai"":""เพื่อนแซวทั้งวัน"",""english"":""got teased by friends all day"",""tones"":[""falling"",""high"",""high"",""mid""],""romanization"":""phuean saeo thang wan""}]",hard
รถฉันโดนชนตอนเช้า,rot chan dohn chon dtaawn chao,My car got hit this morning.,"[{""thai"":""รถฉัน"",""english"":""my car"",""tones"":[""high"",""rising""],""romanization"":""rot chan""},{""thai"":""โดน"",""english"":""get hit by / get caught in"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""dohn""},{""thai"":""ชนตอนเช้า"",""english"":""got hit this morning"",""tones"":[""mid"",""falling"",""falling""],""romanization"":""chon dtaawn chao""}]",hard
เราโดนย้ายโต๊ะกะทันหัน,rao dohn yaai dto ga-than-han,We got moved to another desk suddenly.,"[{""thai"":""เรา"",""english"":""we"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""rao""},{""thai"":""โดน"",""english"":""get hit by / get caught in"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""dohn""},{""thai"":""ย้ายโต๊ะกะทันหัน"",""english"":""moved to another desk suddenly"",""tones"":[""falling"",""high"",""low"",""high""],""romanization"":""yaai dto ga-than-han""}]",hard
เด็กคนนั้นโดนครูดุ,d?k khon nan dohn khruu du,That child got scolded by the teacher.,"[{""thai"":""เด็กคนนั้น"",""english"":""that child"",""tones"":[""low"",""mid"",""falling""],""romanization"":""d?k khon nan""},{""thai"":""โดน"",""english"":""get hit by / get caught in"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""dohn""},{""thai"":""ครูดุ"",""english"":""got scolded by the teacher"",""tones"":[""mid"",""low""],""romanization"":""khruu du""}]",hard
เขาโดนตัดเงินเดือน,khao dohn dtat ngern duean,He got his salary cut.,"[{""thai"":""เขา"",""english"":""he / she"",""tones"":[""high""],""tone"":""high"",""romanization"":""khao""},{""thai"":""โดน"",""english"":""get hit by / get caught in"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""dohn""},{""thai"":""ตัดเงินเดือน"",""english"":""got his salary cut"",""tones"":[""low"",""mid"",""mid""],""romanization"":""dtat ngern duean""}]",hard
ทีมเราโดนเปลี่ยนแผน,thiim rao dohn plian phaen,Our team had the plan changed on us.,"[{""thai"":""ทีมเรา"",""english"":""our team"",""tones"":[""mid"",""mid""],""romanization"":""thiim rao""},{""thai"":""โดน"",""english"":""get hit by / get caught in"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""dohn""},{""thai"":""เปลี่ยนแผน"",""english"":""had the plan changed on us"",""tones"":[""low"",""rising""],""romanization"":""plian phaen""}]",hard
ฉันโดนยกเลิกนัด,chan dohn yok loek nat,I had my appointment canceled.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""},{""thai"":""โดน"",""english"":""get hit by / get caught in"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""dohn""},{""thai"":""ยกเลิกนัด"",""english"":""had the appointment canceled"",""tones"":[""high"",""falling"",""high""],""romanization"":""yok loek nat""}]",hard
เธอโดนถามเรื่องเดิมอีกแล้ว,hoe dohn thaam rueang doem iik laeo,She got asked the same thing again.,"[{""thai"":""เธอ"",""english"":""she / you"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""hoe""},{""thai"":""โดน"",""english"":""get hit by / get caught in"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""dohn""},{""thai"":""ถามเรื่องเดิมอีกแล้ว"",""english"":""got asked the same thing again"",""tones"":[""falling"",""falling"",""mid"",""falling""],""romanization"":""thaam rueang doem iik laeo""}]",hard
