thai,romanization,english,breakdown,difficulty
ระบบนี้ต่างจากเดิม,rabop ni tang jak doem,This system is different from the old one.,"[{""thai"":""ระบบ"",""english"":""system"",""tones"":[""low""],""tone"":""low"",""romanization"":""rabòp""},{""thai"":""นี้"",""english"":""this"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""níi""},{""thai"":""ต่างจาก"",""english"":""be different from"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""tàangjàak""},{""thai"":""เดิม"",""english"":""former / previous"",""romanization"":""doem""}]",hard
ระบบนี้ต่างจากเดิม,ra-bop nii dtaang jaak doem,This system is different from the old one.,"[{""thai"":""ระบบนี้"",""english"":""this system"",""tones"":[""high"",""low"",""high""],""romanization"":""ra-bop nii""},{""thai"":""ต่างจาก"",""english"":""be different from"",""tones"":[""low"",""low""],""grammar"":true,""romanization"":""dtaang jaak""},{""thai"":""เดิม"",""english"":""the old one"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""doem""}]",medium
เมนูนี้ต่างจากที่เราสั่งเมื่อวาน,may-nuu nii dtaang jaak thii rao sang muea waan,This menu item is different from what we ordered yesterday.,"[{""thai"":""เมนูนี้"",""english"":""this menu item"",""tones"":[""mid"",""mid"",""high""],""romanization"":""may-nuu nii""},{""thai"":""ต่างจาก"",""english"":""be different from"",""tones"":[""low"",""low""],""grammar"":true,""romanization"":""dtaang jaak""},{""thai"":""ที่เราสั่งเมื่อวาน"",""english"":""what we ordered yesterday"",""tones"":[""falling"",""mid"",""falling"",""falling"",""falling""],""romanization"":""thii rao sang muea waan""}]",hard
เขาทำงานต่างจากคนอื่น,khao tham-ngaan dtaang jaak khon uen,He works differently from other people.,"[{""thai"":""เขาทำงาน"",""english"":""he works"",""tones"":[""rising"",""mid"",""mid""],""romanization"":""khao tham-ngaan""},{""thai"":""ต่างจาก"",""english"":""be different from"",""tones"":[""low"",""low""],""grammar"":true,""romanization"":""dtaang jaak""},{""thai"":""คนอื่น"",""english"":""other people"",""tones"":[""mid"",""falling""],""romanization"":""khon uen""}]",medium
ราคาที่นี่ต่างจากในเว็บ,raa-khaa thii nii dtaang jaak nai wep,The price here is different from the price on the website.,"[{""thai"":""ราคาที่นี่"",""english"":""the price here"",""tones"":[""mid"",""high"",""falling"",""falling""],""romanization"":""raa-khaa thii nii""},{""thai"":""ต่างจาก"",""english"":""be different from"",""tones"":[""low"",""low""],""grammar"":true,""romanization"":""dtaang jaak""},{""thai"":""ในเว็บ"",""english"":""on the website"",""tones"":[""mid"",""high""],""romanization"":""nai wep""}]",medium
สภาพอากาศวันนี้ต่างจากเมื่อเช้า,sa-phaap aa-gaat wan nii dtaang jaak muea chao,The weather today is different from this morning.,"[{""thai"":""สภาพอากาศวันนี้"",""english"":""today's weather"",""tones"":[""low"",""falling"",""mid"",""low"",""mid"",""high""],""romanization"":""sa-phaap aa-gaat wan nii""},{""thai"":""ต่างจาก"",""english"":""be different from"",""tones"":[""low"",""low""],""grammar"":true,""romanization"":""dtaang jaak""},{""thai"":""เมื่อเช้า"",""english"":""this morning"",""tones"":[""falling"",""falling""],""romanization"":""muea chao""}]",hard
วิธีคิดของเขาต่างจากของฉัน,wi-thii khit khawng khao dtaang jaak khawng chan,His way of thinking is different from mine.,"[{""thai"":""วิธีคิดของเขา"",""english"":""his way of thinking"",""tones"":[""mid"",""falling"",""high"",""rising"",""rising""],""romanization"":""wi-thii khit khawng khao""},{""thai"":""ต่างจาก"",""english"":""be different from"",""tones"":[""low"",""low""],""grammar"":true,""romanization"":""dtaang jaak""},{""thai"":""ของฉัน"",""english"":""mine"",""tones"":[""rising"",""rising""],""romanization"":""khawng chan""}]",hard
ตารางใหม่ต่างจากตารางเดิม,dtaa-raang mai dtaang jaak dtaa-raang doem,The new schedule is different from the old schedule.,"[{""thai"":""ตารางใหม่"",""english"":""the new schedule"",""tones"":[""mid"",""mid"",""falling""],""romanization"":""dtaa-raang mai""},{""thai"":""ต่างจาก"",""english"":""be different from"",""tones"":[""low"",""low""],""grammar"":true,""romanization"":""dtaang jaak""},{""thai"":""ตารางเดิม"",""english"":""the old schedule"",""tones"":[""mid"",""mid"",""mid""],""romanization"":""dtaa-raang doem""}]",medium
คุณภาพสินค้าจริงต่างจากในรูป,khun-na-phap sin-khaa jing dtaang jaak nai ruup,The actual quality of the product is different from the picture.,"[{""thai"":""คุณภาพสินค้าจริง"",""english"":""the actual quality of the product"",""tones"":[""rising"",""mid"",""falling"",""rising"",""high""],""romanization"":""khun-na-phap sin-khaa jing""},{""thai"":""ต่างจาก"",""english"":""be different from"",""tones"":[""low"",""low""],""grammar"":true,""romanization"":""dtaang jaak""},{""thai"":""ในรูป"",""english"":""in the picture"",""tones"":[""mid"",""falling""],""romanization"":""nai ruup""}]",hard
ห้องนี้ต่างจากที่ฉันจำได้,hawng nii dtaang jaak thii chan jam dai,This room is different from how I remember it.,"[{""thai"":""ห้องนี้"",""english"":""this room"",""tones"":[""falling"",""high""],""romanization"":""hawng nii""},{""thai"":""ต่างจาก"",""english"":""be different from"",""tones"":[""low"",""low""],""grammar"":true,""romanization"":""dtaang jaak""},{""thai"":""ที่ฉันจำได้"",""english"":""how I remember it"",""tones"":[""falling"",""rising"",""mid"",""falling""],""romanization"":""thii chan jam dai""}]",hard
