thai,romanization,english,breakdown,difficulty
พูดไปเรื่อยๆเดี๋ยวก็คล่อง,phut pai rueai rueai diao ko khlong,Keep speaking and you will become fluent.,"[{""thai"":""พูด"",""english"":""speak"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""phut""},{""thai"":""ไปเรื่อยๆ"",""english"":""keep doing continuously"",""grammar"":true,""romanization"":""pai rueai rueai""},{""thai"":""เดี๋ยวก็คล่อง"",""english"":""you will soon become fluent"",""romanization"":""diao ko khlong""}]",medium
เขาเดินไปเรื่อยๆโดยไม่รีบ,khao doen pai rueai rueai doi mai rip,He kept walking without rushing.,"[{""thai"":""เขาเดิน"",""english"":""he walked"",""romanization"":""khao doen""},{""thai"":""ไปเรื่อยๆ"",""english"":""kept on continuously"",""grammar"":true,""romanization"":""pai rueai rueai""},{""thai"":""โดยไม่รีบ"",""english"":""without rushing"",""romanization"":""doi mai rip""}]",medium
ถ้าฝึกไปเรื่อยๆก็จะดีขึ้น,tha fuk pai rueai rueai ko cha di khuen,If you keep practicing it will improve.,"[{""thai"":""ถ้าฝึก"",""english"":""if you practice"",""romanization"":""tha fuk""},{""thai"":""ไปเรื่อยๆ"",""english"":""continuously"",""grammar"":true,""romanization"":""pai rueai rueai""},{""thai"":""ก็จะดีขึ้น"",""english"":""it will improve"",""romanization"":""ko cha di khuen""}]",hard
พูดไปเรื่อยๆ เดี๋ยวก็คล่อง,phuut bpai rueai-rueai diao gaaw khlong,Keep speaking and you will become fluent.,"[{""thai"":""พูดไปเรื่อยๆ"",""english"":""keep speaking"",""tones"":[""falling"",""mid"",""falling"",""falling""],""grammar"":true,""romanization"":""phuut bpai rueai-rueai""},{""thai"":""เดี๋ยวก็คล่อง"",""english"":""you will become fluent soon"",""tones"":[""falling"",""falling"",""falling""],""romanization"":""diao gaaw khlong""}]",hard
เขาเดินไปเรื่อยๆโดยไม่รีบ,khao doen bpai rueai-rueai dooi mai riip,He kept walking without rushing.,"[{""thai"":""เขาเดินไปเรื่อยๆ"",""english"":""he kept walking"",""tones"":[""high"",""mid"",""mid"",""falling"",""falling""],""grammar"":true,""romanization"":""khao doen bpai rueai-rueai""},{""thai"":""โดยไม่รีบ"",""english"":""without rushing"",""tones"":[""mid"",""falling"",""falling""],""romanization"":""dooi mai riip""}]",hard
ถ้าฝึกไปเรื่อยๆ ก็จะดีขึ้น,thaa feuk bpai rueai-rueai gaaw ja dii kheun,"If you keep practicing, it will improve.","[{""thai"":""ถ้าฝึกไปเรื่อยๆ"",""english"":""if you keep practicing"",""tones"":[""falling"",""low"",""mid"",""falling"",""falling""],""grammar"":true,""romanization"":""thaa feuk bpai rueai-rueai""},{""thai"":""ก็จะดีขึ้น"",""english"":""it will improve"",""tones"":[""falling"",""low"",""mid"",""falling""],""romanization"":""gaaw ja dii kheun""}]",hard
อ่านไปเรื่อยๆ แล้วจะเข้าใจเอง,aan bpai rueai-rueai laeo ja khao-jai eeng,Keep reading and you will understand on your own.,"[{""thai"":""อ่านไปเรื่อยๆ"",""english"":""keep reading"",""tones"":[""falling"",""mid"",""falling"",""falling""],""grammar"":true,""romanization"":""aan bpai rueai-rueai""},{""thai"":""แล้วจะเข้าใจเอง"",""english"":""and you will understand on your own"",""tones"":[""falling"",""low"",""falling"",""mid"",""mid""],""romanization"":""laeo ja khao-jai eeng""}]",hard
ฝนตกเรื่อยๆทั้งคืน,fon dtok rueai-rueai thang khuen,It kept raining all night.,"[{""thai"":""ฝนตกเรื่อยๆ"",""english"":""it kept raining"",""tones"":[""rising"",""low"",""falling"",""falling""],""grammar"":true,""romanization"":""fon dtok rueai-rueai""},{""thai"":""ทั้งคืน"",""english"":""all night"",""tones"":[""high"",""low""],""romanization"":""thang khuen""}]",hard
ราคาขึ้นเรื่อยๆทุกเดือน,raa-khaa kheun rueai-rueai thuk duean,Prices keep rising every month.,"[{""thai"":""ราคาขึ้นเรื่อยๆ"",""english"":""prices keep rising"",""tones"":[""mid"",""high"",""falling"",""falling""],""grammar"":true,""romanization"":""raa-khaa kheun rueai-rueai""},{""thai"":""ทุกเดือน"",""english"":""every month"",""tones"":[""high"",""mid""],""romanization"":""thuk duean""}]",hard
เขาถามเรื่อยๆจนฉันรำคาญ,khao thaam rueai-rueai jon chan ram-khaan,He kept asking until I got annoyed.,"[{""thai"":""เขาถามเรื่อยๆ"",""english"":""he kept asking"",""tones"":[""high"",""falling"",""falling"",""falling""],""grammar"":true,""romanization"":""khao thaam rueai-rueai""},{""thai"":""จนฉันรำคาญ"",""english"":""until I got annoyed"",""tones"":[""mid"",""rising"",""mid"",""high""],""romanization"":""jon chan ram-khaan""}]",hard
รถยังวิ่งเรื่อยๆแม้ว่าถนนจะแคบ,rot yang wing rueai-rueai mae tha-non ja khaep,The car kept moving even though the road was narrow.,"[{""thai"":""รถยังวิ่งเรื่อยๆ"",""english"":""the car kept moving"",""tones"":[""high"",""mid"",""falling"",""falling"",""falling""],""grammar"":true,""romanization"":""rot yang wing rueai-rueai""},{""thai"":""แม้ว่าถนนจะแคบ"",""english"":""even though the road was narrow"",""tones"":[""high"",""mid"",""mid"",""low"",""high""],""romanization"":""mae tha-non ja khaep""}]",hard
เราคุยกันเรื่อยๆระหว่างทาง,rao khui gan rueai-rueai ra-waang thaang,We kept talking on the way.,"[{""thai"":""เราคุยกันเรื่อยๆ"",""english"":""we kept talking"",""tones"":[""mid"",""mid"",""mid"",""falling"",""falling""],""grammar"":true,""romanization"":""rao khui gan rueai-rueai""},{""thai"":""ระหว่างทาง"",""english"":""on the way"",""tones"":[""mid"",""mid"",""mid""],""romanization"":""ra-waang thaang""}]",hard
ร้านนี้มีคนเข้าเรื่อยๆตั้งแต่เช้า,raan nii khon khao rueai-rueai dtang-dtae chao,People have been coming into this shop since morning.,"[{""thai"":""ร้านนี้มีคนเข้าเรื่อยๆ"",""english"":""people keep coming into this shop"",""tones"":[""high"",""high"",""mid"",""high"",""falling"",""falling""],""grammar"":true,""romanization"":""raan nii khon khao rueai-rueai""},{""thai"":""ตั้งแต่เช้า"",""english"":""since morning"",""tones"":[""falling"",""low"",""falling""],""romanization"":""dtang-dtae chao""}]",hard
เธอเก็บเงินเรื่อยๆเพื่อซื้อบ้าน,thoe gep ngern rueai-rueai phuea sue baan,She keeps saving money to buy a house.,"[{""thai"":""เธอเก็บเงินเรื่อยๆ"",""english"":""she keeps saving money"",""tones"":[""mid"",""low"",""mid"",""falling"",""falling""],""grammar"":true,""romanization"":""thoe gep ngern rueai-rueai""},{""thai"":""เพื่อซื้อบ้าน"",""english"":""to buy a house"",""tones"":[""falling"",""high"",""falling""],""romanization"":""phuea sue baan""}]",hard
เขาพัฒนาขึ้นเรื่อยๆหลังจากย้ายทีม,khao phat-tha-naa kheun rueai-rueai lang-jaak yaai thiim,He keeps improving after changing teams.,"[{""thai"":""เขาพัฒนาขึ้นเรื่อยๆ"",""english"":""he keeps improving"",""tones"":[""high"",""high"",""mid"",""mid"",""falling"",""falling""],""grammar"":true,""romanization"":""khao phat-tha-naa kheun rueai-rueai""},{""thai"":""หลังจากย้ายทีม"",""english"":""after changing teams"",""tones"":[""falling"",""low"",""falling"",""mid""],""romanization"":""lang-jaak yaai thiim""}]",hard
ถ้าเดินไปเรื่อยๆ ก็จะถึงเอง,thaa doen bpai rueai-rueai gaaw ja thueng eeng,"If you keep walking, you will get there eventually.","[{""thai"":""ถ้าเดินไปเรื่อยๆ"",""english"":""if you keep walking"",""tones"":[""falling"",""mid"",""mid"",""falling"",""falling""],""grammar"":true,""romanization"":""thaa doen bpai rueai-rueai""},{""thai"":""ก็จะถึงเอง"",""english"":""you will get there eventually"",""tones"":[""falling"",""low"",""rising"",""mid""],""romanization"":""gaaw ja thueng eeng""}]",hard
น้ำหยดเรื่อยๆจากก๊อกนั้น,naam yot rueai-rueai jaak gaawk nan,Water keeps dripping from that faucet.,"[{""thai"":""น้ำหยดเรื่อยๆ"",""english"":""water keeps dripping"",""tones"":[""high"",""low"",""falling"",""falling""],""grammar"":true,""romanization"":""naam yot rueai-rueai""},{""thai"":""จากก๊อกนั้น"",""english"":""from that faucet"",""tones"":[""low"",""falling"",""falling""],""romanization"":""jaak gaawk nan""}]",hard
เขาพูดเร็วขึ้นเรื่อยๆตอนอธิบาย,khao phuut reo kheun rueai-rueai dtaawn a-thi-baai,He spoke faster and faster while explaining.,"[{""thai"":""เขาพูดเร็วขึ้นเรื่อยๆ"",""english"":""he spoke faster and faster"",""tones"":[""high"",""falling"",""mid"",""falling"",""falling"",""falling""],""grammar"":true,""romanization"":""khao phuut reo kheun rueai-rueai""},{""thai"":""ตอนอธิบาย"",""english"":""while explaining"",""tones"":[""falling"",""low"",""low"",""mid""],""romanization"":""dtaawn a-thi-baai""}]",hard
