thai,romanization,english,breakdown,difficulty
ยิ่งเรียนยิ่งเข้าใจ,ying rian ying khaochai,"The more you study, the more you understand.","[{""thai"":""ยิ่ง"",""english"":""the more"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""yîng""},{""thai"":""เรียน"",""english"":""study"",""romanization"":""rian""},{""thai"":""ยิ่ง"",""english"":""the more"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""yîng""},{""thai"":""เข้าใจ"",""english"":""understand"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""khâochai""}]",hard
ยิ่งอ่านยิ่งเข้าใจ,ying aan ying khao-jai,"The more you read, the more you understand.","[{""thai"":""ยิ่ง"",""english"":""the more"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""ying""},{""thai"":""อ่าน"",""english"":""read"",""tones"":[""low""],""tone"":""low"",""romanization"":""aan""},{""thai"":""ยิ่ง"",""english"":""the more"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""ying""},{""thai"":""เข้าใจ"",""english"":""understand"",""tones"":[""falling"",""mid""],""romanization"":""khao-jai""}]",medium
ยิ่งฝึกยิ่งเก่ง,ying fuek ying geng,"The more you practice, the better you get.","[{""thai"":""ยิ่ง"",""english"":""the more"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""ying""},{""thai"":""ฝึก"",""english"":""practice"",""tones"":[""low""],""tone"":""low"",""romanization"":""fuek""},{""thai"":""ยิ่ง"",""english"":""the more"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""ying""},{""thai"":""เก่ง"",""english"":""skilled"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""geng""}]",medium
ยิ่งพูดยิ่งมั่นใจ,ying phuut ying man-jai,"The more you speak, the more confident you become.","[{""thai"":""ยิ่ง"",""english"":""the more"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""ying""},{""thai"":""พูด"",""english"":""speak"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""phuut""},{""thai"":""ยิ่ง"",""english"":""the more"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""ying""},{""thai"":""มั่นใจ"",""english"":""confident"",""tones"":[""falling"",""mid""],""romanization"":""man-jai""}]",medium
ยิ่งคิดมากยิ่งเครียด,ying khit maak ying khriiat,"The more you overthink, the more stressed you get.","[{""thai"":""ยิ่ง"",""english"":""the more"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""ying""},{""thai"":""คิดมาก"",""english"":""overthink"",""tones"":[""high"",""falling""],""romanization"":""khit maak""},{""thai"":""ยิ่ง"",""english"":""the more"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""ying""},{""thai"":""เครียด"",""english"":""stressed"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""khriiat""}]",medium
ยิ่งรอยิ่งหิว,ying raw ying hiu,"The longer you wait, the hungrier you get.","[{""thai"":""ยิ่ง"",""english"":""the more"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""ying""},{""thai"":""รอ"",""english"":""wait"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""raw""},{""thai"":""ยิ่ง"",""english"":""the more"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""ying""},{""thai"":""หิว"",""english"":""hungry"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""hiu""}]",medium
ยิ่งดึกยิ่งเงียบ,ying deuk ying ngiap,"The later it gets, the quieter it becomes.","[{""thai"":""ยิ่ง"",""english"":""the more"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""ying""},{""thai"":""ดึก"",""english"":""late"",""tones"":[""low""],""tone"":""low"",""romanization"":""deuk""},{""thai"":""ยิ่ง"",""english"":""the more"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""ying""},{""thai"":""เงียบ"",""english"":""quiet"",""tones"":[""low""],""tone"":""low"",""romanization"":""ngiap""}]",medium
ยิ่งอธิบายชัด งานยิ่งง่าย,ying a-thi-baai chat ying tham-ngaan ngaai,"The clearer the explanation, the easier the work becomes.","[{""thai"":""ยิ่ง"",""english"":""the more"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""ying""},{""thai"":""อธิบายชัด"",""english"":""explain clearly"",""tones"":[""low"",""high"",""mid"",""high""],""romanization"":""a-thi-baai chat""},{""thai"":""งาน"",""english"":""the more"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""ying""},{""thai"":""ยิ่งง่าย"",""english"":""work becomes easy"",""tones"":[""mid"",""mid"",""falling""],""romanization"":""tham-ngaan ngaai""}]",hard
ยิ่งซ้อมยิ่งคล่อง,ying saawm ying khlawng,"The more you rehearse, the more fluent you become.","[{""thai"":""ยิ่ง"",""english"":""the more"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""ying""},{""thai"":""ซ้อม"",""english"":""rehearse"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""saawm""},{""thai"":""ยิ่ง"",""english"":""the more"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""ying""},{""thai"":""คล่อง"",""english"":""fluent / smooth"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""khlawng""}]",medium
ยิ่งรีบยิ่งพลาด,ying riip ying phlaat,"The more you rush, the more mistakes you make.","[{""thai"":""ยิ่ง"",""english"":""the more"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""ying""},{""thai"":""รีบ"",""english"":""rush"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""riip""},{""thai"":""ยิ่ง"",""english"":""the more"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""ying""},{""thai"":""พลาด"",""english"":""make mistakes / miss"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""phlaat""}]",medium
