thai,romanization,english,breakdown,difficulty
ฉันไม่ได้ไปเพราะฝนตก,chan mai dai pai phro fon tok,I did not go because it rained.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""},{""thai"":""ไม่ได้"",""english"":""did not"",""grammar"":true,""romanization"":""mai dai""},{""thai"":""ไป"",""english"":""go"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""pai""},{""thai"":""เพราะ"",""english"":""because"",""grammar"":true,""romanization"":""phro""},{""thai"":""ฝน"",""english"":""rain"",""romanization"":""fon""},{""thai"":""ตก"",""english"":""fall / rain"",""romanization"":""tok""}]",easy
ช่วงนี้ฉันไม่ค่อยออกไปไหน,chuang ni chan mai khoi ok pai nai,These days I do not go out much.,"[{""thai"":""ช่วงนี้"",""english"":""these days"",""romanization"":""chuang ni""},{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""},{""thai"":""ไม่ค่อย"",""english"":""not very / rarely"",""grammar"":true,""romanization"":""mai khoi""},{""thai"":""ออกไป"",""english"":""go out"",""romanization"":""ok pai""},{""thai"":""ไหน"",""english"":""where"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""nai""}]",easy
วันนี้ฉันไม่ค่อยหิว,wan-níi chǎn mâi khây hìu,I am not very hungry today.,"[{""thai"":""วันนี้"",""english"":""today"",""romanization"":""wan-ni""},{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""},{""thai"":""ไม่ค่อย"",""english"":""not very"",""grammar"":true,""romanization"":""mai khoi""},{""thai"":""หิว"",""english"":""hungry"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""hiu""}]",easy
เขายังไม่มาถึงที่ทำงาน,khǎo yang mâi maa thǔeng thîi tham-ngaan,He has not yet arrived at work.,"[{""thai"":""เขา"",""english"":""he"",""romanization"":""khao""},{""thai"":""ยังไม่"",""english"":""not yet"",""grammar"":true,""romanization"":""yang mai""},{""thai"":""มาถึง"",""english"":""arrive"",""romanization"":""maa thueng""},{""thai"":""ที่ทำงาน"",""english"":""at work"",""romanization"":""thi tham-ngaan""}]",medium
ฉันไม่ได้ไปเพราะปวดหัว,chǎn mâi dâi pai phráw puàt hǔa,I didn't go because I had a headache.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""},{""thai"":""ไม่ได้"",""english"":""didn't"",""grammar"":true,""romanization"":""mai dai""},{""thai"":""ไป"",""english"":""go"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""pai""},{""thai"":""เพราะ"",""english"":""because"",""grammar"":true,""romanization"":""phraw""},{""thai"":""ปวดหัว"",""english"":""had a headache"",""romanization"":""puat hua""}]",hard
เธอไม่ค่อยชอบกินผัก,thoe mâi khây chôp kin phàk,She doesn't really like eating vegetables.,"[{""thai"":""เธอ"",""english"":""she"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""thoe""},{""thai"":""ไม่ค่อย"",""english"":""not really"",""grammar"":true,""romanization"":""mai khoi""},{""thai"":""ชอบ"",""english"":""like"",""romanization"":""chop""},{""thai"":""กิน"",""english"":""eating"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""kin""},{""thai"":""ผัก"",""english"":""vegetables"",""tones"":[""low""],""tone"":""low"",""romanization"":""phak""}]",medium
พวกเขายังไม่ตัดสินใจ,phûak khǎo yang mâi tàt-sǐn-jai,They have not yet decided.,"[{""thai"":""พวกเขา"",""english"":""they"",""romanization"":""phuak khao""},{""thai"":""ยังไม่"",""english"":""not yet"",""grammar"":true,""romanization"":""yang mai""},{""thai"":""ตัดสินใจ"",""english"":""decided"",""romanization"":""tat-sin-jai""}]",medium
ตอนนี้ฉันยังไม่พร้อมจะย้ายบ้าน,ton-níi chǎn yang mâi phráwm jà yáai bâan,I am not ready to move house yet.,"[{""thai"":""ตอนนี้"",""english"":""now"",""romanization"":""ton-ni""},{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""},{""thai"":""ยังไม่"",""english"":""not yet"",""grammar"":true,""romanization"":""yang mai""},{""thai"":""พร้อม"",""english"":""ready"",""romanization"":""phrom""},{""thai"":""จะ"",""english"":""to"",""tones"":[""low""],""tone"":""low"",""romanization"":""ja""},{""thai"":""ย้ายบ้าน"",""english"":""move house"",""romanization"":""yai baan""}]",hard
เขาไม่ได้ดูหนังเพราะไม่มีเวลา,khǎo mâi dâi duu nang phráw mâi mii welaa,He didn't watch the movie because he had no time.,"[{""thai"":""เขา"",""english"":""he"",""romanization"":""khao""},{""thai"":""ไม่ได้"",""english"":""didn't"",""grammar"":true,""romanization"":""mai dai""},{""thai"":""ดูหนัง"",""english"":""watch the movie"",""romanization"":""duu nang""},{""thai"":""เพราะ"",""english"":""because"",""grammar"":true,""romanization"":""phraw""},{""thai"":""ไม่มีเวลา"",""english"":""had no time"",""romanization"":""mai mii welaa""}]",hard
เราไม่ค่อยเห็นด้วยกับแผนนี้,rao mâi khây hěn dûai gàp phǎen níi,We don't quite agree with this plan.,"[{""thai"":""เรา"",""english"":""we"",""romanization"":""rao""},{""thai"":""ไม่ค่อย"",""english"":""not quite"",""grammar"":true,""romanization"":""mai khoi""},{""thai"":""เห็นด้วย"",""english"":""agree"",""romanization"":""hen duai""},{""thai"":""กับ"",""english"":""with"",""tones"":[""low""],""tone"":""low"",""romanization"":""gap""},{""thai"":""แผนนี้"",""english"":""this plan"",""romanization"":""phaen ni""}]",hard
