thai,romanization,english,breakdown,difficulty
พี่จอดรถที่ไหนประจำคะ,phii jôt rót thîi nǎi prà-jam khá,Where do you usually park?,"[{""thai"":""พี่"",""english"":""older sister / you (polite)"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""phii""},{""thai"":""จอดรถ"",""english"":""park the car"",""tones"":[""falling"",""high""],""romanization"":""jôt rót""},{""thai"":""ที่ไหน"",""english"":""where"",""tones"":[""falling"",""rising""],""romanization"":""thîi nǎi""},{""thai"":""ประจำ"",""english"":""regularly"",""tones"":[""low"",""mid""],""romanization"":""prà-jam""},{""thai"":""คะ"",""english"":""female polite particle (question)"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""khá""}]",easy
คุณตอบหัวหน้าแล้วหรือยังคะ,khun tɔ̀ɔp hǔu-nâa láew rɯ̆ɯ yang khá,Have you replied to the manager yet?,"[{""thai"":""คุณ"",""english"":""you"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""khun""},{""thai"":""ตอบ"",""english"":""reply"",""tones"":[""low""],""tone"":""low"",""romanization"":""tɔ̀ɔp""},{""thai"":""หัวหน้า"",""english"":""manager / boss"",""tones"":[""rising"",""falling""],""romanization"":""hǔu-nâa""},{""thai"":""แล้ว"",""english"":""already"",""tones"":[""high""],""tone"":""high"",""romanization"":""láew""},{""thai"":""หรือยัง"",""english"":""or yet"",""tones"":[""rising"",""mid""],""romanization"":""rɯ̆ɯ yang""},{""thai"":""คะ"",""english"":""female polite particle (question)"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""khá""}]",easy
เพื่อนโทรมาเช้านี้ค่ะ,phɯ̂an too maa cháao níi khâ,My friend called this morning.,"[{""thai"":""เพื่อน"",""english"":""friend"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""phɯ̂an""},{""thai"":""โทรมา"",""english"":""called (came by phone)"",""tones"":[""mid"",""mid""],""romanization"":""too maa""},{""thai"":""เช้านี้"",""english"":""this morning"",""tones"":[""high"",""high""],""romanization"":""cháao níi""},{""thai"":""ค่ะ"",""english"":""female polite particle (statement)"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""khâ""}]",easy
เราต้องปริ้นอะไรเพิ่มไหมคะ,rao tɔ̂ŋ prín à-rai phɯ̂m mǎi khá,Do we need to print anything else?,"[{""thai"":""เรา"",""english"":""we"",""tones"":[""mid"",""mid""],""romanization"":""rao""},{""thai"":""ต้อง"",""english"":""need to"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""tɔ̂ŋ""},{""thai"":""ปริ้น"",""english"":""print"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""prín""},{""thai"":""อะไร"",""english"":""anything"",""tones"":[""low"",""mid""],""romanization"":""à-rai""},{""thai"":""เพิ่ม"",""english"":""more"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""phɯ̂m""},{""thai"":""ไหม"",""english"":""question particle"",""tones"":[""rising""],""tone"":""rising"",""grammar"":true,""romanization"":""mǎi""},{""thai"":""คะ"",""english"":""female polite particle (question)"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""khá""}]",easy
ฉันจะไปร้านทำผมหลังจากนี้ค่ะ,chǎn cà pai ráan tham-phǒm lǎŋ càak níi khâ,I'm going to the salon after this.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chǎn""},{""thai"":""จะไป"",""english"":""will go"",""tones"":[""low"",""mid""],""grammar"":true,""romanization"":""cà pai""},{""thai"":""ร้านทำผม"",""english"":""salon"",""tones"":[""high"",""rising""],""romanization"":""ráan tham-phǒm""},{""thai"":""หลังจากนี้"",""english"":""after this"",""tones"":[""rising"",""low"",""high""],""romanization"":""lǎŋ càak níi""},{""thai"":""ค่ะ"",""english"":""female polite particle (statement)"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""khâ""}]",easy
ฉันวางกระเป๋าไว้ตรงนี้แป๊บหนึ่งได้ไหมคะ,chǎn waang kra-pǎo wái troŋ níi pɛ́p nɯ̀ŋ dâai mǎi khá,Can I leave my bag here for a moment?,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chǎn""},{""thai"":""วาง"",""english"":""place / leave"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""waang""},{""thai"":""กระเป๋า"",""english"":""bag"",""tones"":[""low"",""low"",""rising""],""romanization"":""kra-pǎo""},{""thai"":""ไว้"",""english"":""keep"",""tones"":[""high""],""tone"":""high"",""romanization"":""wái""},{""thai"":""ตรงนี้"",""english"":""right here"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""troŋ níi""},{""thai"":""แป๊บหนึ่ง"",""english"":""a short while"",""tones"":[""high"",""low""],""romanization"":""pɛ́p nɯ̀ŋ""},{""thai"":""ได้ไหม"",""english"":""can / is it okay?"",""tones"":[""falling"",""rising""],""grammar"":true,""romanization"":""dâai mǎi""},{""thai"":""คะ"",""english"":""female polite particle (question)"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""khá""}]",easy
ฉันดูตารางเมื่อคืนแล้วค่ะ,chǎn duu taa-raaŋ mɯ̂a khɯan láew khâ,I checked the schedule last night.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chǎn""},{""thai"":""ดู"",""english"":""check / look"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""duu""},{""thai"":""ตาราง"",""english"":""schedule"",""tones"":[""mid"",""mid""],""romanization"":""taa-raaŋ""},{""thai"":""เมื่อคืน"",""english"":""last night"",""tones"":[""falling"",""mid"",""mid""],""romanization"":""mɯ̂a khɯan""},{""thai"":""แล้ว"",""english"":""already"",""tones"":[""high""],""tone"":""high"",""romanization"":""láew""},{""thai"":""ค่ะ"",""english"":""female polite particle (statement)"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""khâ""}]",easy
พรุ่งนี้คุณไปเรียนโยคะด้วยไหมคะ,phrûŋ-níi khun pai rian yo-khá dûai mǎi khá,Are you going to the yoga class tomorrow too?,"[{""thai"":""พรุ่งนี้"",""english"":""tomorrow"",""tones"":[""falling"",""high""],""romanization"":""phrûŋ-níi""},{""thai"":""คุณ"",""english"":""you"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""khun""},{""thai"":""ไปเรียน"",""english"":""go study / attend"",""tones"":[""mid"",""mid"",""mid""],""romanization"":""pai rian""},{""thai"":""โยคะ"",""english"":""yoga"",""tones"":[""mid"",""high""],""romanization"":""yo-khá""},{""thai"":""ด้วย"",""english"":""too / as well"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""dûai""},{""thai"":""ไหม"",""english"":""question particle"",""tones"":[""rising""],""tone"":""rising"",""grammar"":true,""romanization"":""mǎi""},{""thai"":""คะ"",""english"":""female polite particle (question)"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""khá""}]",easy
เพื่อนบ้านย้ายออกแล้วหรือคะ,phɯ̂an-báan yáai ɔ̀ɔk láew rɯ̆ɯ khá,Did the neighbors move out already?,"[{""thai"":""เพื่อนบ้าน"",""english"":""neighbors"",""tones"":[""falling"",""high""],""romanization"":""phɯ̂an-báan""},{""thai"":""ย้ายออก"",""english"":""move out"",""tones"":[""high"",""low""],""romanization"":""yáai ɔ̀ɔk""},{""thai"":""แล้ว"",""english"":""already"",""tones"":[""high""],""tone"":""high"",""romanization"":""láew""},{""thai"":""หรือ"",""english"":""or"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""rɯ̆ɯ""},{""thai"":""คะ"",""english"":""female polite particle (question)"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""khá""}]",easy
ตอนนี้ฉันรอรถไฟขบวนถัดไปค่ะ,tɔɔn-níi chǎn rɔ ɔ rót-fai khà-buuàn thàt-pai khâ,I'm waiting for the next train right now.,"[{""thai"":""ตอนนี้"",""english"":""right now"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""tɔɔn-níi""},{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chǎn""},{""thai"":""รอ"",""english"":""wait"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""rɔ ɔ""},{""thai"":""รถไฟ"",""english"":""train"",""tones"":[""high""],""tone"":""high"",""romanization"":""rót-fai""},{""thai"":""ขบวนถัดไป"",""english"":""next trip"",""tones"":[""low"",""low""],""romanization"":""khà-buuàn thàt-pai""},{""thai"":""ค่ะ"",""english"":""female polite particle (statement)"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""khâ""}]",easy
