thai,romanization,english,breakdown,difficulty
ฉันแปรงฟันแล้ว,chǎn prɛɛŋ-fan láeo,I've brushed my teeth already.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chǎn""},{""thai"":""แปรงฟัน"",""english"":""brush teeth"",""tones"":[""mid"",""mid""],""romanization"":""prɛɛŋ-fan""},{""thai"":""แล้ว"",""english"":""already / completed"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""láeo""}]",easy
พวกเราเช็คอินแล้ว,phûak-rao chék-in láeo,We've already checked in.,"[{""thai"":""พวกเรา"",""english"":""we"",""tones"":[""falling"",""mid""],""romanization"":""phûak-rao""},{""thai"":""เช็คอิน"",""english"":""check in"",""tones"":[""high"",""mid""],""romanization"":""chék-in""},{""thai"":""แล้ว"",""english"":""already"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""láeo""}]",easy
การประชุมเริ่มแล้ว,gaan-prà-chum rôm láeo,The meeting has started.,"[{""thai"":""การประชุม"",""english"":""meeting"",""tones"":[""mid"",""low"",""mid""],""romanization"":""gaan-prà-chum""},{""thai"":""เริ่ม"",""english"":""start"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""rôm""},{""thai"":""แล้ว"",""english"":""already"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""láeo""}]",easy
ฉันบันทึกเบอร์คุณแล้ว,chǎn ban-thúk bəə khun láeo,I've already saved your number.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chǎn""},{""thai"":""บันทึก"",""english"":""save / record"",""tones"":[""mid"",""high""],""romanization"":""ban-thúk""},{""thai"":""เบอร์"",""english"":""number"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""bəə""},{""thai"":""คุณ"",""english"":""you"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""khun""},{""thai"":""แล้ว"",""english"":""already"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""láeo""}]",easy
รถเมล์ออกแล้ว,rót-mee ɔ̀ɔk láeo,The bus has already left.,"[{""thai"":""รถเมล์"",""english"":""bus"",""tones"":[""high""],""tone"":""high"",""romanization"":""rót-mee""},{""thai"":""ออก"",""english"":""depart"",""tones"":[""low""],""tone"":""low"",""romanization"":""ɔ̀ɔk""},{""thai"":""แล้ว"",""english"":""already"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""láeo""}]",easy
เขาย้ายไปเชียงใหม่แล้ว,kháo yáai pai chiang-mài láeo,He's already moved to Chiang Mai.,"[{""thai"":""เขา"",""english"":""they"",""tones"":[""high""],""tone"":""high"",""romanization"":""kháo""},{""thai"":""ย้าย"",""english"":""move"",""tones"":[""high""],""tone"":""high"",""romanization"":""yáai""},{""thai"":""ไป"",""english"":""go"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""pai""},{""thai"":""เชียงใหม่"",""english"":""Chiang Mai"",""tones"":[""mid"",""falling"",""falling""],""romanization"":""chiang-mài""},{""thai"":""แล้ว"",""english"":""already"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""láeo""}]",easy
ฉันจ่ายเงินที่ร้านอาหารแล้ว,chǎn jàai ngən thîi ráan-aa-hăan láeo,I've paid the restaurant bill.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chǎn""},{""thai"":""จ่ายเงิน"",""english"":""pay money"",""tones"":[""falling"",""falling"",""mid""],""romanization"":""jàai-ngən""},{""thai"":""ที่ร้านอาหาร"",""english"":""at the restaurant"",""tones"":[""falling"",""high"",""mid"",""rising""],""romanization"":""thîi ráan-aa-hăan""},{""thai"":""แล้ว"",""english"":""already"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""láeo""}]",easy
สวนปิดแล้ว,sǔan pìt láeo,The park is already closed.,"[{""thai"":""สวน"",""english"":""park"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""sǔan""},{""thai"":""ปิด"",""english"":""close"",""tones"":[""low""],""tone"":""low"",""romanization"":""pìt""},{""thai"":""แล้ว"",""english"":""already"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""láeo""}]",easy
เธออ่านข้อความแล้ว,thoe àan khɔ̂ɔ-khwaam láeo,She's already read the message.,"[{""thai"":""เธอ"",""english"":""she"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""thoe""},{""thai"":""อ่าน"",""english"":""read"",""tones"":[""low""],""tone"":""low"",""romanization"":""àan""},{""thai"":""ข้อความ"",""english"":""message"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""khɔ̂ɔ-khwaam""},{""thai"":""แล้ว"",""english"":""already"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""láeo""}]",easy
เขาปิดไฟแล้ว,kháo pìt-fai láeo,He's already turned off the light.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""high""],""tone"":""high"",""romanization"":""kháo""},{""thai"":""ปิดไฟ"",""english"":""turn off the light"",""tones"":[""low"",""mid""],""romanization"":""pìt-fai""},{""thai"":""แล้ว"",""english"":""already"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""láeo""}]",easy
เธอย้ายบ้านแล้ว,ter yáai bâan léao,She's already moved house.,"[{""thai"":""เธอ"",""english"":""she"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""ter""},{""thai"":""ย้ายบ้าน"",""english"":""moved house"",""tones"":[""high"",""falling""],""romanization"":""yáai bâan""},{""thai"":""แล้ว"",""english"":""already"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""léao""}]",easy
เราล็อกประตูแล้ว,rao lók bprà-dtuu léao,We've already locked the door.,"[{""thai"":""เรา"",""english"":""we"",""tones"":[""mid"",""mid""],""romanization"":""rao""},{""thai"":""ล็อกประตู"",""english"":""locked the door"",""tones"":[""high"",""mid""],""romanization"":""lók bprà-dtuu""},{""thai"":""แล้ว"",""english"":""already"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""léao""}]",easy
พ่อรดน้ำต้นไม้แล้ว,pôr rót náam dtôn máai léao,Dad has already watered the plants.,"[{""thai"":""พ่อ"",""english"":""dad"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""pôr""},{""thai"":""รดน้ำต้นไม้"",""english"":""watered the plants"",""tones"":[""high"",""high"",""falling"",""high""],""romanization"":""rót náam dtôn máai""},{""thai"":""แล้ว"",""english"":""already"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""léao""}]",easy
พวกเขายกเลิกประชุมแล้ว,pûak-kăo yók-lerrk bprà-chum léao,They've already canceled the meeting.,"[{""thai"":""พวกเขา"",""english"":""they"",""tones"":[""falling"",""rising""],""romanization"":""pûak-kăo""},{""thai"":""ยกเลิก"",""english"":""cancelled"",""tones"":[""high"",""falling""],""romanization"":""yók-lerrk""},{""thai"":""ประชุม"",""english"":""meeting"",""tones"":[""low"",""mid""],""romanization"":""bprà-chum""},{""thai"":""แล้ว"",""english"":""already"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""léao""}]",easy
ฉันส่งอีเมลแล้ว,chăn sòng ii-may léao,I've already sent the email.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chăn""},{""thai"":""ส่ง"",""english"":""sent"",""tones"":[""low""],""tone"":""low"",""romanization"":""sòng""},{""thai"":""อีเมล"",""english"":""email"",""tones"":[""mid"",""mid""],""romanization"":""ii-may""},{""thai"":""แล้ว"",""english"":""already"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""léao""}]",easy
ย่ากินยาแล้ว,yâa gin yaa léao,Grandma has already taken her medicine.,"[{""thai"":""ย่า"",""english"":""grandma"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""yâa""},{""thai"":""กินยา"",""english"":""take medicine"",""tones"":[""mid"",""mid""],""romanization"":""gin yaa""},{""thai"":""แล้ว"",""english"":""already"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""léao""}]",easy
ฉันตั้งนาฬิกาปลุกแล้ว,chǎn dtâng naa-lí-gok plùk láew,I've already set my alarm.,"[{""thai"":""ฉัน"",""english"":""I (female speaker)"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chǎn""},{""thai"":""ตั้ง"",""english"":""set"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""dtâng""},{""thai"":""นาฬิกาปลุก"",""english"":""alarm clock"",""tones"":[""mid"",""high"",""mid"",""low""],""romanization"":""naa-lí-gok plùk""},{""thai"":""แล้ว"",""english"":""already"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""láew""}]",easy
