thai,romanization,english,breakdown,difficulty
ฉันไม่กินเผ็ด,chǎn mâi kin phèt,I don't eat spicy food.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chǎn""},{""thai"":""ไม่"",""english"":""not"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""mâi""},{""thai"":""กิน"",""english"":""eat"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""kin""},{""thai"":""เผ็ด"",""english"":""spicy food"",""tones"":[""low""],""tone"":""low"",""romanization"":""phèt""}]",easy
ฉันไม่ดื่มชา,chǎn mâi dùuem chaa,I don't drink tea.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chǎn""},{""thai"":""ไม่"",""english"":""not"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""mâi""},{""thai"":""ดื่ม"",""english"":""drink"",""tones"":[""low""],""tone"":""low"",""romanization"":""dùuem""},{""thai"":""ชา"",""english"":""tea"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""chaa""}]",easy
แม่ไม่ดื่มกาแฟตอนเย็น,mâe mâi dùuem gaa-fae dtawn yen,Mom doesn't drink coffee in the evening.,"[{""thai"":""แม่"",""english"":""Mom"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""mâe""},{""thai"":""ไม่"",""english"":""not"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""mâi""},{""thai"":""ดื่ม"",""english"":""drink"",""tones"":[""low""],""tone"":""low"",""romanization"":""dùuem""},{""thai"":""กาแฟ"",""english"":""coffee"",""tones"":[""mid"",""mid""],""romanization"":""gaa-fae""},{""thai"":""ตอน"",""english"":""in / during"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""dtawn""},{""thai"":""เย็น"",""english"":""evening"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""yen""}]",easy
เขาไม่ดูทีวีตอนเช้า,khǎo mâi duu thii-wii dtawn cháo,He doesn't watch TV in the morning.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khǎo""},{""thai"":""ไม่"",""english"":""not"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""mâi""},{""thai"":""ดู"",""english"":""watch"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""duu""},{""thai"":""ทีวี"",""english"":""TV"",""tones"":[""mid"",""mid""],""romanization"":""thii-wii""},{""thai"":""ตอน"",""english"":""in / during"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""dtawn""},{""thai"":""เช้า"",""english"":""morning"",""tones"":[""high""],""tone"":""high"",""romanization"":""cháo""}]",easy
เราไม่อ่านข่าวตอนเช้า,rao mâi àan khàao dtawn cháo,We don't read the news in the morning.,"[{""thai"":""เรา"",""english"":""we"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""rao""},{""thai"":""ไม่"",""english"":""not"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""mâi""},{""thai"":""อ่าน"",""english"":""read"",""tones"":[""low""],""tone"":""low"",""romanization"":""àan""},{""thai"":""ข่าว"",""english"":""news"",""tones"":[""low""],""tone"":""low"",""romanization"":""khàao""},{""thai"":""ตอน"",""english"":""in / during"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""dtawn""},{""thai"":""เช้า"",""english"":""morning"",""tones"":[""high""],""tone"":""high"",""romanization"":""cháo""}]",easy
พ่อไม่ขับรถไปทำงานวันนี้,phâw mâi khàp rót bpai tham-ngaan wan-níi,Dad isn't driving to work today.,"[{""thai"":""พ่อ"",""english"":""Dad"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""phâw""},{""thai"":""ไม่"",""english"":""not"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""mâi""},{""thai"":""ขับ"",""english"":""drive"",""tones"":[""low""],""tone"":""low"",""romanization"":""khàp""},{""thai"":""รถ"",""english"":""car"",""tones"":[""high""],""tone"":""high"",""romanization"":""rót""},{""thai"":""ไป"",""english"":""go"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""bpai""},{""thai"":""ทำงาน"",""english"":""work"",""tones"":[""mid"",""mid""],""romanization"":""tham-ngaan""},{""thai"":""วันนี้"",""english"":""today"",""tones"":[""mid"",""high""],""romanization"":""wan-níi""}]",easy
ครูไม่ใช้ไมค์,khruu mâi chái mai,The teacher isn't using a microphone.,"[{""thai"":""ครู"",""english"":""teacher"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""khruu""},{""thai"":""ไม่"",""english"":""not"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""mâi""},{""thai"":""ใช้"",""english"":""use"",""tones"":[""high""],""tone"":""high"",""romanization"":""chái""},{""thai"":""ไมค์"",""english"":""microphone"",""tones"":[""high""],""tone"":""high"",""romanization"":""mai""}]",easy
เด็กไม่กินผัก,dèk mâi kin phàk,The child doesn't eat vegetables.,"[{""thai"":""เด็ก"",""english"":""child"",""tones"":[""low""],""tone"":""low"",""romanization"":""dèk""},{""thai"":""ไม่"",""english"":""not"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""mâi""},{""thai"":""กิน"",""english"":""eat"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""kin""},{""thai"":""ผัก"",""english"":""vegetables"",""tones"":[""low""],""tone"":""low"",""romanization"":""phàk""}]",easy
เพื่อนไม่ตอบข้อความ,phûean mâi dtòp khâaw-khwaam,My friend doesn't reply to messages.,"[{""thai"":""เพื่อน"",""english"":""my friend"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""phûean""},{""thai"":""ไม่"",""english"":""not"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""mâi""},{""thai"":""ตอบ"",""english"":""reply"",""tones"":[""low""],""tone"":""low"",""romanization"":""dtòp""},{""thai"":""ข้อความ"",""english"":""messages"",""tones"":[""falling"",""mid""],""romanization"":""khâaw-khwaam""}]",easy
คุณไม่กินหมู,khun mâi kin mǔu,You don't eat pork.,"[{""thai"":""คุณ"",""english"":""you"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""khun""},{""thai"":""ไม่"",""english"":""not"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""mâi""},{""thai"":""กิน"",""english"":""eat"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""kin""},{""thai"":""หมู"",""english"":""pork"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""mǔu""}]",easy
น้องไม่ดูการ์ตูนแล้ว,nóng mâi duu gaan-tuun láew,My younger sibling doesn't watch cartoons anymore.,"[{""thai"":""น้อง"",""english"":""my younger sibling"",""tones"":[""high""],""tone"":""high"",""romanization"":""nóng""},{""thai"":""ไม่"",""english"":""not"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""mâi""},{""thai"":""ดู"",""english"":""watch"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""duu""},{""thai"":""การ์ตูน"",""english"":""cartoons"",""tones"":[""mid"",""mid""],""romanization"":""gaan-tuun""},{""thai"":""แล้ว"",""english"":""anymore / already"",""tones"":[""high""],""tone"":""high"",""romanization"":""láew""}]",easy
ฉันไม่ซื้อของที่ตลาดนี้,chǎn mâi súue khǎawng thîi dtà-làat níi,I don't shop at this market.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chǎn""},{""thai"":""ไม่"",""english"":""not"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""mâi""},{""thai"":""ซื้อ"",""english"":""buy"",""tones"":[""high""],""tone"":""high"",""romanization"":""súue""},{""thai"":""ของ"",""english"":""things"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khǎawng""},{""thai"":""ที่"",""english"":""at"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""thîi""},{""thai"":""ตลาด"",""english"":""market"",""tones"":[""low"",""low""],""romanization"":""dtà-làat""},{""thai"":""นี้"",""english"":""this"",""tones"":[""high""],""tone"":""high"",""romanization"":""níi""}]",easy
