thai,romanization,english,breakdown,difficulty
สวยเนาะ,suai naw,"Pretty, isn't it?","[{""thai"":""สวย"",""english"":""beautiful"",""romanization"":""suai""},{""thai"":""เนาะ"",""english"":""right? / isn't it?"",""grammar"":true,""romanization"":""naw""}]",hard
วันนี้อากาศดีเนาะ,wan-nii aa-kaat dii naw,"The weather is nice today, isn't it?","[{""thai"":""วันนี้อากาศดี"",""english"":""the weather is nice today"",""tones"":[""mid"",""high"",""mid"",""high"",""mid""],""romanization"":""wan-nii aa-kaat dii""},{""thai"":""เนาะ"",""english"":""right? / isn't it?"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""naw""}]",medium
ร้านนี้เงียบดีเนาะ,raan nii ngiap dii naw,"This place is pleasantly quiet, isn't it?","[{""thai"":""ร้านนี้เงียบดี"",""english"":""this place is pleasantly quiet"",""tones"":[""high"",""high"",""low"",""mid""],""romanization"":""raan nii ngiap dii""},{""thai"":""เนาะ"",""english"":""right? / isn't it?"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""naw""}]",medium
แบบนี้เข้าใจง่ายขึ้นเนาะ,baep nii khao-jai ngaai kheun naw,"This is easier to understand now, isn't it?","[{""thai"":""แบบนี้เข้าใจง่ายขึ้น"",""english"":""this is easier to understand"",""tones"":[""low"",""high"",""rising"",""mid"",""falling"",""falling""],""romanization"":""baep nii khao-jai ngaai kheun""},{""thai"":""เนาะ"",""english"":""right? / isn't it?"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""naw""}]",medium
เดินทางวันนี้สะดวกดีเนาะ,dern-thaang wan-nii sa-duak dii naw,"Traveling today is convenient, isn't it?","[{""thai"":""เดินทางวันนี้สะดวกดี"",""english"":""traveling today is convenient"",""tones"":[""mid"",""mid"",""mid"",""high"",""low"",""low"",""mid""],""romanization"":""dern-thaang wan-nii sa-duak dii""},{""thai"":""เนาะ"",""english"":""right? / isn't it?"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""naw""}]",medium
กาแฟร้านนี้หอมดีเนาะ,gaa-fae raan nii hom dii naw,"This shop's coffee smells good, doesn't it?","[{""thai"":""กาแฟร้านนี้หอมดี"",""english"":""this shop's coffee smells good"",""tones"":[""mid"",""mid"",""high"",""high"",""rising"",""mid""],""romanization"":""gaa-fae raan nii hom dii""},{""thai"":""เนาะ"",""english"":""right? / isn't it?"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""naw""}]",medium
เขาพูดนุ่มนวลดีเนาะ,khao phuut num-nuan dii naw,"He speaks gently, doesn't he?","[{""thai"":""เขาพูดนุ่มนวลดี"",""english"":""he speaks gently"",""tones"":[""rising"",""falling"",""falling"",""mid"",""mid""],""romanization"":""khao phuut num-nuan dii""},{""thai"":""เนาะ"",""english"":""right? / isn't it?"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""naw""}]",medium
เจอกันอีกทีสัปดาห์หน้าเนาะ,jer gan iik thii sap-daa naa naw,"We'll meet again next week, okay?","[{""thai"":""เจอกันอีกทีสัปดาห์หน้า"",""english"":""we'll meet again next week"",""tones"":[""mid"",""mid"",""mid"",""mid"",""low"",""falling""],""romanization"":""jer gan iik thii sap-daa naa""},{""thai"":""เนาะ"",""english"":""right? / isn't it?"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""naw""}]",medium
ถ้าเริ่มตอนนี้ก็ดีเนาะ,thaa reum dtawn-nii gor dii naw,"If we start now, that'd be good, right?","[{""thai"":""ถ้าเริ่มตอนนี้ก็ดี"",""english"":""it'd be good if we start now"",""tones"":[""falling"",""mid"",""mid"",""high"",""falling"",""mid""],""romanization"":""thaa reum dtawn-nii gor dii""},{""thai"":""เนาะ"",""english"":""right? / isn't it?"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""naw""}]",medium
วิวตรงนี้สวยเนาะ,wio dtrong nii suai naw,"The view here is beautiful, isn't it?","[{""thai"":""วิวตรงนี้สวย"",""english"":""the view here is beautiful"",""tones"":[""mid"",""mid"",""high"",""rising""],""romanization"":""wio dtrong nii suai""},{""thai"":""เนาะ"",""english"":""right? / isn't it?"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""naw""}]",medium
