thai,romanization,english,breakdown,difficulty
ค่อยๆพูดก็ได้,khoi khoi phut ko dai,You can speak slowly / bit by bit.,"[{""thai"":""ค่อยๆ"",""english"":""slowly / gradually"",""grammar"":true,""romanization"":""khoi khoi""},{""thai"":""พูด"",""english"":""speak"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""phut""},{""thai"":""ก็ได้"",""english"":""that is fine"",""romanization"":""ko dai""}]",hard
ค่อยๆ พูดก็ได้,khoi khoi phuut gaw dai,You can speak slowly.,"[{""thai"":""ค่อยๆ"",""english"":""gradually / slowly"",""tones"":[""falling"",""falling""],""grammar"":true,""romanization"":""khoi khoi""},{""thai"":""พูด"",""english"":""speak"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""phuut""},{""thai"":""ก็ได้"",""english"":""can / it's okay"",""tones"":[""low"",""falling""],""romanization"":""gaw dai""}]",easy
ค่อยๆ เดินนะ ถนนลื่น,khoi khoi doen na thanon luen,Walk carefully. The road is slippery.,"[{""thai"":""ค่อยๆ"",""english"":""carefully / slowly"",""tones"":[""falling"",""falling""],""grammar"":true,""romanization"":""khoi khoi""},{""thai"":""เดินนะ"",""english"":""walk, okay"",""tones"":[""mid"",""high""],""romanization"":""doen na""},{""thai"":""ถนนลื่น"",""english"":""the road is slippery"",""tones"":[""low"",""rising"",""falling""],""romanization"":""thanon luen""}]",easy
เขาค่อยๆ เปิดประตู,khao khoi khoi bpoet bpra-dtuu,He slowly opened the door.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khao""},{""thai"":""ค่อยๆ"",""english"":""slowly"",""tones"":[""falling"",""falling""],""grammar"":true,""romanization"":""khoi khoi""},{""thai"":""เปิดประตู"",""english"":""open the door"",""tones"":[""low"",""low"",""mid""],""romanization"":""bpoet bpra-dtuu""}]",easy
เด็กค่อยๆ กินข้าว,dek khoi khoi kin khao,The child is eating slowly.,"[{""thai"":""เด็ก"",""english"":""child"",""tones"":[""low""],""tone"":""low"",""romanization"":""dek""},{""thai"":""ค่อยๆ"",""english"":""slowly"",""tones"":[""falling"",""falling""],""grammar"":true,""romanization"":""khoi khoi""},{""thai"":""กินข้าว"",""english"":""eat a meal"",""tones"":[""mid"",""falling""],""romanization"":""kin khao""}]",easy
ฉันค่อยๆ อ่านทีละบรรทัด,chan khoi khoi aan thii la ban-that,"I read it slowly, one line at a time.","[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""},{""thai"":""ค่อยๆ อ่าน"",""english"":""read slowly"",""tones"":[""falling"",""falling"",""low""],""grammar"":true,""romanization"":""khoi khoi aan""},{""thai"":""ทีละบรรทัด"",""english"":""one line at a time"",""tones"":[""falling"",""high"",""mid"",""low""],""romanization"":""thii la ban-that""}]",medium
อาการเขาค่อยๆ ดีขึ้น,aa-gaan khao khoi khoi dii khuen,His condition is gradually improving.,"[{""thai"":""อาการเขา"",""english"":""his condition"",""tones"":[""mid"",""mid"",""rising""],""romanization"":""aa-gaan khao""},{""thai"":""ค่อยๆ ดีขึ้น"",""english"":""gradually improve"",""tones"":[""falling"",""falling"",""mid"",""falling""],""grammar"":true,""romanization"":""khoi khoi dii khuen""}]",medium
เราค่อยๆ เก็บของออกมาก่อน,rao khoi khoi gep khong ok maa gawn,Let's gradually bring the things out first.,"[{""thai"":""เรา"",""english"":""we"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""rao""},{""thai"":""ค่อยๆ เก็บของ"",""english"":""gradually gather the things"",""tones"":[""falling"",""falling"",""low"",""rising""],""grammar"":true,""romanization"":""khoi khoi gep khong""},{""thai"":""ออกมาก่อน"",""english"":""bring them out first"",""tones"":[""low"",""mid"",""low""],""romanization"":""ok maa gawn""}]",medium
แม่ค่อยๆ วางแก้วลง,mae khoi khoi waang gaeo long,Mom slowly put the glass down.,"[{""thai"":""แม่"",""english"":""Mom"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""mae""},{""thai"":""ค่อยๆ วาง"",""english"":""slowly put down"",""tones"":[""falling"",""falling"",""mid""],""grammar"":true,""romanization"":""khoi khoi waang""},{""thai"":""แก้วลง"",""english"":""the glass down"",""tones"":[""falling"",""mid""],""romanization"":""gaeo long""}]",easy
รถค่อยๆ เคลื่อนออกจากป้าย,rot khoi khoi khluean ok jaak bpai,The bus slowly pulled away from the stop.,"[{""thai"":""รถ"",""english"":""vehicle / bus"",""tones"":[""high""],""tone"":""high"",""romanization"":""rot""},{""thai"":""ค่อยๆ เคลื่อน"",""english"":""slowly move"",""tones"":[""falling"",""falling"",""falling""],""grammar"":true,""romanization"":""khoi khoi khluean""},{""thai"":""ออกจากป้าย"",""english"":""pull away from the stop"",""tones"":[""low"",""low"",""falling""],""romanization"":""ok jaak bpai""}]",medium
