thai,romanization,english,breakdown,difficulty
รอนี่นะ,ro ni na,"Wait here, okay?","[{""thai"":""รอ"",""english"":""wait"",""romanization"":""ro""},{""thai"":""นี่"",""english"":""here"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""ni""},{""thai"":""นะ"",""english"":""softening particle"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""na""}]",hard
รอสักครู่นะ,raw sak-khruu na,"Wait a moment, okay?","[{""thai"":""รอสักครู่"",""english"":""wait a moment"",""tones"":[""mid"",""low"",""rising""],""romanization"":""raw sak-khruu""},{""thai"":""นะ"",""english"":""okay? / softener"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""na""}]",medium
ช่วยปิดประตูให้หน่อยนะ,chuai pit bpratuu hai noi na,"Please close the door for me, okay?","[{""thai"":""ช่วยปิดประตูให้หน่อย"",""english"":""please close the door for me"",""tones"":[""falling"",""low"",""low"",""mid"",""falling"",""low""],""romanization"":""chuai pit bpratuu hai noi""},{""thai"":""นะ"",""english"":""okay? / softener"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""na""}]",medium
พรุ่งนี้อย่าลืมโทรหาฉันนะ,phrung-nii yaa luem thoo haa chan na,"Don't forget to call me tomorrow, okay?","[{""thai"":""พรุ่งนี้อย่าลืมโทรหาฉัน"",""english"":""don't forget to call me tomorrow"",""tones"":[""mid"",""high"",""low"",""mid"",""mid"",""rising"",""rising""],""romanization"":""phrung-nii yaa luem thoo haa chan""},{""thai"":""นะ"",""english"":""okay? / softener"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""na""}]",medium
ถึงแล้วส่งข้อความมานะ,theung laeo song khaw-khwaam maa na,"Message me when you arrive, okay?","[{""thai"":""ถึงแล้วส่งข้อความมา"",""english"":""message me when you arrive"",""tones"":[""rising"",""high"",""rising"",""falling"",""mid""],""romanization"":""theung laeo song khaw-khwaam maa""},{""thai"":""นะ"",""english"":""okay? / softener"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""na""}]",medium
ใจเย็นๆ นะ,jai-yen yen-yen na,"Stay calm, okay?","[{""thai"":""ใจเย็นๆ"",""english"":""stay calm"",""tones"":[""mid"",""mid"",""mid""],""romanization"":""jai-yen yen-yen""},{""thai"":""นะ"",""english"":""okay? / softener"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""na""}]",medium
นั่งตรงนี้ก่อนนะ,nang dtrong nii gawn na,"Sit here first, okay?","[{""thai"":""นั่งตรงนี้ก่อน"",""english"":""sit here first"",""tones"":[""falling"",""mid"",""high"",""falling""],""romanization"":""nang dtrong nii gawn""},{""thai"":""นะ"",""english"":""okay? / softener"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""na""}]",medium
เรื่องนี้เก็บไว้ก่อนนะ,rueang nii gep wai gawn na,"Let's set this aside first, okay?","[{""thai"":""เรื่องนี้เก็บไว้ก่อน"",""english"":""set this aside first"",""tones"":[""falling"",""high"",""low"",""high"",""falling""],""romanization"":""rueang nii gep wai gawn""},{""thai"":""นะ"",""english"":""okay? / softener"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""na""}]",medium
ถ้ามีอะไรโทรมาได้นะ,thaa mii a-rai thoo maa dai na,"Call me if anything comes up, okay?","[{""thai"":""ถ้ามีอะไรโทรมาได้"",""english"":""call me if anything comes up"",""tones"":[""falling"",""mid"",""mid"",""mid"",""mid"",""mid""],""romanization"":""thaa mii a-rai thoo maa dai""},{""thai"":""นะ"",""english"":""okay? / softener"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""na""}]",medium
ลองอ่านย่อหน้านี้อีกทีนะ,lawng aan yaw-naa nii iik thii na,"Read this paragraph again, okay?","[{""thai"":""ลองอ่านย่อหน้านี้อีกที"",""english"":""read this paragraph again"",""tones"":[""mid"",""low"",""falling"",""high"",""high"",""mid"",""mid""],""romanization"":""lawng aan yaw-naa nii iik thii""},{""thai"":""นะ"",""english"":""okay? / softener"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""na""}]",medium
วันนี้กลับเร็วๆ นะ,wan-nii glap reo-reo na,"Go home early today, okay?","[{""thai"":""วันนี้กลับเร็วๆ"",""english"":""go home early today"",""tones"":[""mid"",""high"",""low"",""mid"",""mid""],""romanization"":""wan-nii glap reo-reo""},{""thai"":""นะ"",""english"":""okay? / softener"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""na""}]",medium
เอาเอกสารชุดนี้ไปด้วยนะ,ao eek-ga-saan chut nii bpai duay na,"Take this set of documents with you, okay?","[{""thai"":""เอาเอกสารชุดนี้ไปด้วย"",""english"":""take this set of documents with you"",""tones"":[""mid"",""low"",""low"",""high"",""high"",""mid"",""falling""],""romanization"":""ao eek-ga-saan chut nii bpai duay""},{""thai"":""นะ"",""english"":""okay? / softener"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""na""}]",medium
ตอนประชุมช่วยฟังให้จบนะ,dtawn bpra-chum chuai fang hai jop na,"Please listen until the end during the meeting, okay?","[{""thai"":""ตอนประชุมช่วยฟังให้จบ"",""english"":""please listen until the end during the meeting"",""tones"":[""mid"",""low"",""mid"",""falling"",""mid"",""falling"",""low""],""romanization"":""dtawn bpra-chum chuai fang hai jop""},{""thai"":""นะ"",""english"":""okay? / softener"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""na""}]",medium
ขับรถดีๆ นะ,khap rot dii-dii na,"Drive carefully, okay?","[{""thai"":""ขับรถดีๆ"",""english"":""drive carefully"",""tones"":[""low"",""high"",""mid"",""mid""],""romanization"":""khap rot dii-dii""},{""thai"":""นะ"",""english"":""okay? / softener"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""na""}]",medium
ถ้าไม่เข้าใจถามได้เลยนะ,thaa mai khao-jai thaam dai loei na,"If you don't understand, just ask, okay?","[{""thai"":""ถ้าไม่เข้าใจถามได้เลย"",""english"":""if you don't understand, just ask"",""tones"":[""falling"",""falling"",""rising"",""mid"",""rising"",""mid"",""mid""],""romanization"":""thaa mai khao-jai thaam dai loei""},{""thai"":""นะ"",""english"":""okay? / softener"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""na""}]",medium
อย่าเพิ่งบอกใครนะ,yaa phoeng bok khrai na,"Don't tell anyone yet, okay?","[{""thai"":""อย่าเพิ่งบอกใคร"",""english"":""don't tell anyone yet"",""tones"":[""low"",""falling"",""low"",""mid""],""romanization"":""yaa phoeng bok khrai""},{""thai"":""นะ"",""english"":""okay? / softener"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""na""}]",medium
นัดครั้งหน้าเป็นวันศุกร์นะ,nat khrang naa bpen wan suk na,"Let's make the next appointment on Friday, okay?","[{""thai"":""นัดครั้งหน้าเป็นวันศุกร์"",""english"":""let's make the next appointment on Friday"",""tones"":[""high"",""high"",""falling"",""mid"",""mid"",""low""],""romanization"":""nat khrang naa bpen wan suk""},{""thai"":""นะ"",""english"":""okay? / softener"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""na""}]",medium
ฝากปิดไฟด้วยนะ,faak pit fai duay na,"Please turn off the light too, okay?","[{""thai"":""ฝากปิดไฟด้วย"",""english"":""please turn off the light too"",""tones"":[""falling"",""low"",""mid"",""falling""],""romanization"":""faak pit fai duay""},{""thai"":""นะ"",""english"":""okay? / softener"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""na""}]",medium
คิดอีกทีก็ได้นะ,khit iik thii gor dai na,"You can think about it again, okay?","[{""thai"":""คิดอีกทีก็ได้"",""english"":""you can think about it again"",""tones"":[""high"",""mid"",""mid"",""falling"",""mid""],""romanization"":""khit iik thii gor dai""},{""thai"":""นะ"",""english"":""okay? / softener"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""na""}]",medium
เดี๋ยวฉันช่วยดูให้นะ,diao chan chuai duu hai na,"I'll help take a look, okay?","[{""thai"":""เดี๋ยวฉันช่วยดูให้"",""english"":""I'll help take a look"",""tones"":[""falling"",""rising"",""falling"",""mid"",""falling""],""romanization"":""diao chan chuai duu hai""},{""thai"":""นะ"",""english"":""okay? / softener"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""na""}]",medium
ครั้งหน้าเตรียมข้อมูลมาให้ครบหน่อยนะ,khrang naa dtriam khaw-muun maa hai khrop noi na,"Please bring complete information next time, okay?","[{""thai"":""ครั้งหน้าเตรียมข้อมูลมาให้ครบหน่อย"",""english"":""bring complete information next time"",""tones"":[""high"",""falling"",""mid"",""low"",""rising"",""mid"",""falling"",""high"",""low""],""romanization"":""khrang naa dtriam khaw-muun maa hai khrop noi""},{""thai"":""นะ"",""english"":""okay? / softener"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""na""}]",medium
พักก่อนก็ได้นะ,phak gawn gor dai na,"You can rest first, okay?","[{""thai"":""พักก่อนก็ได้"",""english"":""you can rest first"",""tones"":[""high"",""falling"",""falling"",""mid""],""romanization"":""phak gawn gor dai""},{""thai"":""นะ"",""english"":""okay? / softener"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""na""}]",medium
ถ้าถึงบ้านแล้วบอกฉันนะ,thaa theung baan laeo bok chan na,"Let me know when you get home, okay?","[{""thai"":""ถ้าถึงบ้านแล้วบอกฉัน"",""english"":""let me know when you get home"",""tones"":[""falling"",""rising"",""falling"",""high"",""low"",""rising""],""romanization"":""thaa theung baan laeo bok chan""},{""thai"":""นะ"",""english"":""okay? / softener"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""na""}]",medium
เอาแบบเดิมนะ,ao baep derm na,"Let's go with the usual one, okay?","[{""thai"":""เอาแบบเดิม"",""english"":""take the usual one"",""tones"":[""mid"",""low"",""mid""],""romanization"":""ao baep derm""},{""thai"":""นะ"",""english"":""okay? / softener"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""na""}]",medium
ลองคุยกับเขาตรงๆ ดูนะ,lawng khui gap khao dtrong-dtrong duu na,"Try talking to him directly, okay?","[{""thai"":""ลองคุยกับเขาตรงๆ ดู"",""english"":""try talking to him directly"",""tones"":[""mid"",""mid"",""low"",""rising"",""mid"",""mid"",""mid""],""romanization"":""lawng khui gap khao dtrong-dtrong duu""},{""thai"":""นะ"",""english"":""okay? / softener"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""na""}]",medium
