thai,romanization,english,breakdown,difficulty
ฉันไม่ได้ตั้งใจทำแก้วแตก,chan mai dai tangjai tham kaeo taek,I didn't mean to break the glass.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chán""},{""thai"":""ไม่ได้ตั้งใจ"",""english"":""did not mean to"",""grammar"":true,""romanization"":""mâi dâi tâng jai""},{""thai"":""ทำ"",""english"":""do / make"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""tham""},{""thai"":""แก้ว"",""english"":""glass"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""kâeo""},{""thai"":""แตก"",""english"":""break"",""tones"":[""low""],""tone"":""low"",""romanization"":""tàek""}]",hard
ฉันไม่ได้ตั้งใจทำแก้วแตก,chan mai dai tang-jai tham gaeo dtaek,I didn't mean to break the glass.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""},{""thai"":""ไม่ได้ตั้งใจ"",""english"":""didn't mean to / unintentionally"",""tones"":[""falling"",""falling"",""falling"",""mid""],""grammar"":true,""romanization"":""mai dai tang-jai""},{""thai"":""ทำแก้วแตก"",""english"":""break the glass"",""tones"":[""mid"",""falling"",""low""],""romanization"":""tham gaeo dtaek""}]",easy
เขาไม่ได้ตั้งใจพูดเสียงดัง,khao mai dai tang-jai phuut siang dang,He didn't mean to speak so loudly.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khao""},{""thai"":""ไม่ได้ตั้งใจ"",""english"":""didn't mean to"",""tones"":[""falling"",""falling"",""falling"",""mid""],""grammar"":true,""romanization"":""mai dai tang-jai""},{""thai"":""พูดเสียงดัง"",""english"":""speak loudly"",""tones"":[""falling"",""rising"",""mid""],""romanization"":""phuut siang dang""}]",medium
เราไม่ได้ตั้งใจมาสาย,rao mai dai tang-jai maa saai,We didn't mean to be late.,"[{""thai"":""เรา"",""english"":""we"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""rao""},{""thai"":""ไม่ได้ตั้งใจ"",""english"":""didn't mean to"",""tones"":[""falling"",""falling"",""falling"",""mid""],""grammar"":true,""romanization"":""mai dai tang-jai""},{""thai"":""มาสาย"",""english"":""arrive late"",""tones"":[""mid"",""rising""],""romanization"":""maa saai""}]",easy
เด็กไม่ได้ตั้งใจเหยียบน้ำ,dek mai dai tang-jai yiiap naam,The child didn't mean to step in the water.,"[{""thai"":""เด็ก"",""english"":""child"",""tones"":[""low""],""tone"":""low"",""romanization"":""dek""},{""thai"":""ไม่ได้ตั้งใจ"",""english"":""didn't mean to"",""tones"":[""falling"",""falling"",""falling"",""mid""],""grammar"":true,""romanization"":""mai dai tang-jai""},{""thai"":""เหยียบน้ำ"",""english"":""step in the water"",""tones"":[""low"",""high""],""romanization"":""yiiap naam""}]",medium
ฉันไม่ได้ตั้งใจลืมวันนัด,chan mai dai tang-jai luem wan-nat,I didn't mean to forget the appointment date.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""},{""thai"":""ไม่ได้ตั้งใจ"",""english"":""didn't mean to"",""tones"":[""falling"",""falling"",""falling"",""mid""],""grammar"":true,""romanization"":""mai dai tang-jai""},{""thai"":""ลืมวันนัด"",""english"":""forget the appointment date"",""tones"":[""rising"",""mid"",""high""],""romanization"":""luem wan-nat""}]",medium
เขาไม่ได้ตั้งใจตอบสั้นขนาดนั้น,khao mai dai tang-jai dtop san kha-naat nan,He didn't mean to reply that briefly.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khao""},{""thai"":""ไม่ได้ตั้งใจ"",""english"":""didn't mean to"",""tones"":[""falling"",""falling"",""falling"",""mid""],""grammar"":true,""romanization"":""mai dai tang-jai""},{""thai"":""ตอบสั้นขนาดนั้น"",""english"":""reply that briefly"",""tones"":[""low"",""falling"",""low"",""falling"",""high""],""romanization"":""dtop san kha-naat nan""}]",medium
แม่ไม่ได้ตั้งใจปิดไฟห้องนี้,mae mai dai tang-jai bpit fai hong nii,Mom didn't mean to turn off the light in this room.,"[{""thai"":""แม่"",""english"":""Mom"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""mae""},{""thai"":""ไม่ได้ตั้งใจ"",""english"":""didn't mean to"",""tones"":[""falling"",""falling"",""falling"",""mid""],""grammar"":true,""romanization"":""mai dai tang-jai""},{""thai"":""ปิดไฟห้องนี้"",""english"":""turn off the light in this room"",""tones"":[""low"",""mid"",""falling"",""high""],""romanization"":""bpit fai hong nii""}]",medium
พ่อไม่ได้ตั้งใจทำโทรศัพท์ตก,phaw mai dai tang-jai tham thoo-ra-sap dtok,Dad didn't mean to drop the phone.,"[{""thai"":""พ่อ"",""english"":""Dad"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""phaw""},{""thai"":""ไม่ได้ตั้งใจ"",""english"":""didn't mean to"",""tones"":[""falling"",""falling"",""falling"",""mid""],""grammar"":true,""romanization"":""mai dai tang-jai""},{""thai"":""ทำโทรศัพท์ตก"",""english"":""drop the phone"",""tones"":[""mid"",""mid"",""high"",""low"",""low""],""romanization"":""tham thoo-ra-sap dtok""}]",medium
ฉันไม่ได้ตั้งใจเปิดเพลงดัง,chan mai dai tang-jai bpoet phleeng dang,I didn't mean to play the music so loudly.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""},{""thai"":""ไม่ได้ตั้งใจ"",""english"":""didn't mean to"",""tones"":[""falling"",""falling"",""falling"",""mid""],""grammar"":true,""romanization"":""mai dai tang-jai""},{""thai"":""เปิดเพลงดัง"",""english"":""play loud music"",""tones"":[""low"",""mid"",""mid""],""romanization"":""bpoet phleeng dang""}]",easy
เราไม่ได้ตั้งใจเดินเข้าผิดห้อง,rao mai dai tang-jai doen khao phit hong,We didn't mean to walk into the wrong room.,"[{""thai"":""เรา"",""english"":""we"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""rao""},{""thai"":""ไม่ได้ตั้งใจ"",""english"":""didn't mean to"",""tones"":[""falling"",""falling"",""falling"",""mid""],""grammar"":true,""romanization"":""mai dai tang-jai""},{""thai"":""เดินเข้าผิดห้อง"",""english"":""walk into the wrong room"",""tones"":[""mid"",""falling"",""low"",""falling""],""romanization"":""doen khao phit hong""}]",medium
เขาไม่ได้ตั้งใจทำให้เธอเสียใจ,khao mai dai tang-jai tham hai thoe sia-jai,He didn't mean to hurt her feelings.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khao""},{""thai"":""ไม่ได้ตั้งใจ"",""english"":""didn't mean to"",""tones"":[""falling"",""falling"",""falling"",""mid""],""grammar"":true,""romanization"":""mai dai tang-jai""},{""thai"":""ทำให้เธอเสียใจ"",""english"":""make her feel hurt"",""tones"":[""mid"",""falling"",""mid"",""rising"",""mid""],""romanization"":""tham hai thoe sia-jai""}]",medium
ฉันไม่ได้ตั้งใจอ่านช้าขนาดนี้,chan mai dai tang-jai aan chaa kha-naat nii,I didn't mean to read this slowly.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""},{""thai"":""ไม่ได้ตั้งใจ"",""english"":""didn't mean to"",""tones"":[""falling"",""falling"",""falling"",""mid""],""grammar"":true,""romanization"":""mai dai tang-jai""},{""thai"":""อ่านช้าขนาดนี้"",""english"":""read this slowly"",""tones"":[""low"",""high"",""low"",""falling"",""high""],""romanization"":""aan chaa kha-naat nii""}]",medium
เด็กไม่ได้ตั้งใจทำเสื้อเปื้อน,dek mai dai tang-jai tham suea bpeuan,The child didn't mean to stain the shirt.,"[{""thai"":""เด็ก"",""english"":""child"",""tones"":[""low""],""tone"":""low"",""romanization"":""dek""},{""thai"":""ไม่ได้ตั้งใจ"",""english"":""didn't mean to"",""tones"":[""falling"",""falling"",""falling"",""mid""],""grammar"":true,""romanization"":""mai dai tang-jai""},{""thai"":""ทำเสื้อเปื้อน"",""english"":""make the shirt dirty"",""tones"":[""mid"",""falling"",""falling""],""romanization"":""tham suea bpeuan""}]",medium
