thai,romanization,english,breakdown,difficulty
สวยเชียว,suai chiao,That's really pretty.,"[{""thai"":""สวย"",""english"":""beautiful"",""romanization"":""suai""},{""thai"":""เชียว"",""english"":""really / indeed"",""grammar"":true,""romanization"":""chiao""}]",hard
วันนี้หนาวเชียว,wan nii naao chiao,It's really cold today.,"[{""thai"":""วันนี้"",""english"":""today"",""tones"":[""mid"",""high""],""romanization"":""wan nii""},{""thai"":""หนาวเชียว"",""english"":""is really cold"",""tones"":[""rising"",""mid""],""grammar"":true,""romanization"":""naao chiao""}]",medium
เขามาเช้าเชียว,khao maa chao chiao,He came awfully early.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khao""},{""thai"":""มาเช้าเชียว"",""english"":""came awfully early"",""tones"":[""mid"",""falling"",""mid""],""grammar"":true,""romanization"":""maa chao chiao""}]",medium
ร้านนี้คนเยอะเชียว,raan nii khon yoe chiao,This place is really crowded.,"[{""thai"":""ร้านนี้"",""english"":""this place"",""tones"":[""high"",""high""],""romanization"":""raan nii""},{""thai"":""คนเยอะเชียว"",""english"":""is really crowded"",""tones"":[""mid"",""high"",""mid""],""grammar"":true,""romanization"":""khon yoe chiao""}]",medium
งานนี้ยากเชียว,ngaan nii yaak chiao,This task is really difficult.,"[{""thai"":""งานนี้"",""english"":""this task"",""tones"":[""mid"",""high""],""romanization"":""ngaan nii""},{""thai"":""ยากเชียว"",""english"":""is really difficult"",""tones"":[""falling"",""mid""],""grammar"":true,""romanization"":""yaak chiao""}]",medium
เด็กคนนี้พูดเก่งเชียว,dek khon nii phuut geng chiao,This child speaks so well.,"[{""thai"":""เด็กคนนี้"",""english"":""this child"",""tones"":[""low"",""mid"",""high""],""romanization"":""dek khon nii""},{""thai"":""พูดเก่งเชียว"",""english"":""speaks so well"",""tones"":[""falling"",""falling"",""mid""],""grammar"":true,""romanization"":""phuut geng chiao""}]",medium
เธอดูเหนื่อยเชียว,thoe duu nueai chiao,She looks really tired.,"[{""thai"":""เธอ"",""english"":""she"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""thoe""},{""thai"":""ดูเหนื่อยเชียว"",""english"":""looks really tired"",""tones"":[""mid"",""falling"",""mid""],""grammar"":true,""romanization"":""duu nueai chiao""}]",medium
ถนนเส้นนี้รถติดเชียว,tha-non sen nii rot dtit chiao,This road is really backed up.,"[{""thai"":""ถนนเส้นนี้"",""english"":""this road"",""tones"":[""mid"",""mid"",""falling"",""high""],""romanization"":""tha-non sen nii""},{""thai"":""รถติดเชียว"",""english"":""is really backed up"",""tones"":[""high"",""low"",""mid""],""grammar"":true,""romanization"":""rot dtit chiao""}]",medium
ห้องนี้รกเชียว,hong nii rok chiao,This room is awfully messy.,"[{""thai"":""ห้องนี้"",""english"":""this room"",""tones"":[""falling"",""high""],""romanization"":""hong nii""},{""thai"":""รกเชียว"",""english"":""is awfully messy"",""tones"":[""high"",""mid""],""grammar"":true,""romanization"":""rok chiao""}]",medium
ราคาแพงเชียว,raa-khaa phaeng chiao,The price is really expensive.,"[{""thai"":""ราคา"",""english"":""the price"",""tones"":[""mid"",""high""],""romanization"":""raa-khaa""},{""thai"":""แพงเชียว"",""english"":""is really expensive"",""tones"":[""mid"",""mid""],""grammar"":true,""romanization"":""phaeng chiao""}]",medium
