thai,romanization,english,breakdown,difficulty
ฉันต้องไปซื้อของที่ตลาด,chǎn tǒng pai súue khǎawng thîi tà-làat,I have to go shopping at the market.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chǎn""},{""thai"":""ต้อง"",""english"":""have to"",""tones"":[""rising""],""tone"":""rising"",""grammar"":true,""romanization"":""tǒng""},{""thai"":""ไป"",""english"":""go"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""pai""},{""thai"":""ซื้อของ"",""english"":""shopping"",""tones"":[""high"",""rising""],""romanization"":""súue khǎawng""},{""thai"":""ที่ตลาด"",""english"":""at the market"",""tones"":[""falling"",""low"",""low""],""romanization"":""thîi tà-làat""}]",easy
พรุ่งนี้เราต้องส่งงาน,phrûng-níi rao tǒng sòng ngaan,Tomorrow we must submit the work.,"[{""thai"":""พรุ่งนี้"",""english"":""tomorrow"",""tones"":[""falling"",""high""],""romanization"":""phrûng-níi""},{""thai"":""เรา"",""english"":""we"",""romanization"":""rao""},{""thai"":""ต้อง"",""english"":""must"",""tones"":[""rising""],""tone"":""rising"",""grammar"":true,""romanization"":""tǒng""},{""thai"":""ส่งงาน"",""english"":""submit the work"",""romanization"":""sòng ngaan""}]",medium
เขาต้องรีบไปประชุม,khǎo tǒng rîip pai prachum,He must hurry to the meeting.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khǎo""},{""thai"":""ต้อง"",""english"":""must"",""tones"":[""rising""],""tone"":""rising"",""grammar"":true,""romanization"":""tǒng""},{""thai"":""รีบ"",""english"":""hurry"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""rîip""},{""thai"":""ไปประชุม"",""english"":""to the meeting"",""romanization"":""pai prachum""}]",easy
คุณต้องเตรียมเอกสารให้พร้อมก่อนประชุม,khun tǒng triam èk-kà-sǎan hâi phráawm kàwn prachum,You have to prepare the documents before the meeting.,"[{""thai"":""คุณ"",""english"":""you"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""khun""},{""thai"":""ต้อง"",""english"":""have to"",""tones"":[""rising""],""tone"":""rising"",""grammar"":true,""romanization"":""tǒng""},{""thai"":""เตรียมเอกสาร"",""english"":""prepare the documents"",""romanization"":""triam èk-kà-sǎan""},{""thai"":""ให้พร้อมก่อนประชุม"",""english"":""before the meeting"",""romanization"":""hâi phráawm kàwn prachum""}]",medium
นักเรียนต้องทำการบ้านทุกวัน,nák-rian tǒng tham kaan-bâan thúk wan,Students must do homework every day.,"[{""thai"":""นักเรียน"",""english"":""students"",""romanization"":""nák-rian""},{""thai"":""ต้อง"",""english"":""must"",""tones"":[""rising""],""tone"":""rising"",""grammar"":true,""romanization"":""tǒng""},{""thai"":""ทำการบ้าน"",""english"":""do homework"",""romanization"":""tham kaan-bâan""},{""thai"":""ทุกวัน"",""english"":""every day"",""romanization"":""thúk wan""}]",medium
ผมต้องจ่ายค่าไฟวันนี้,phǒm tǒng jàai khâa fai wan-níi,I must pay the electricity bill today.,"[{""thai"":""ผม"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""phǒm""},{""thai"":""ต้อง"",""english"":""must"",""tones"":[""rising""],""tone"":""rising"",""grammar"":true,""romanization"":""tǒng""},{""thai"":""จ่ายค่าไฟ"",""english"":""pay the electricity bill"",""romanization"":""jàai khâa fai""},{""thai"":""วันนี้"",""english"":""today"",""romanization"":""wan-níi""}]",easy
พวกเราต้องดูแลสุขภาพให้ดี,phûak-rao tǒng duu-lae sùk-khà-phâap hâi dii,We must take care of our health well.,"[{""thai"":""พวกเรา"",""english"":""we"",""romanization"":""phûak-rao""},{""thai"":""ต้อง"",""english"":""must"",""tones"":[""rising""],""tone"":""rising"",""grammar"":true,""romanization"":""tǒng""},{""thai"":""ดูแลสุขภาพ"",""english"":""take care of our health"",""romanization"":""duu-lae sùk-khà-phâap""},{""thai"":""ให้ดี"",""english"":""well"",""romanization"":""hâi dii""}]",medium
เธอต้องกลับบ้านก่อนมืด,thoe tǒng klàp bâan kàwn mûuet,She must return home before dark.,"[{""thai"":""เธอ"",""english"":""she"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""thoe""},{""thai"":""ต้อง"",""english"":""must"",""tones"":[""rising""],""tone"":""rising"",""grammar"":true,""romanization"":""tǒng""},{""thai"":""กลับบ้าน"",""english"":""return home"",""tones"":[""low"",""falling""],""romanization"":""klàp bâan""},{""thai"":""ก่อนมืด"",""english"":""before dark"",""tones"":[""low"",""falling""],""romanization"":""kàwn mûuet""}]",medium
เราต้องจองตั๋วก่อนราคาขึ้น,rao tǒng jaawng tàu kàwn raakhaa khûn,We must book the tickets before prices go up.,"[{""thai"":""เรา"",""english"":""we"",""romanization"":""rao""},{""thai"":""ต้อง"",""english"":""must"",""tones"":[""rising""],""tone"":""rising"",""grammar"":true,""romanization"":""tǒng""},{""thai"":""จองตั๋ว"",""english"":""book the tickets"",""romanization"":""jaawng tàu""},{""thai"":""ก่อนราคาขึ้น"",""english"":""before prices go up"",""romanization"":""kàwn raakhaa khûn""}]",hard
ฉันต้องเตรียมตัวสำหรับงานสัมมนาพรุ่งนี้,chǎn tǒng triam tua sǎm-ràp ngaan sǎm-man-aa phrûng-níi,I must prepare myself for the seminar tomorrow.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chǎn""},{""thai"":""ต้อง"",""english"":""must"",""tones"":[""rising""],""tone"":""rising"",""grammar"":true,""romanization"":""tǒng""},{""thai"":""เตรียมตัว"",""english"":""prepare myself"",""romanization"":""triam tua""},{""thai"":""สำหรับงานสัมมนา"",""english"":""for the seminar"",""romanization"":""sǎm-ràp ngaan sǎm-man-aa""},{""thai"":""พรุ่งนี้"",""english"":""tomorrow"",""tones"":[""falling"",""high""],""romanization"":""phrûng-níi""}]",hard
