thai,romanization,english,breakdown,difficulty
ทันทีที่ได้ยินข่าว เขาก็โทรมา,thanthi thi dai yin khao khao ko thoh ma,"As soon as he heard the news, he called.","[{""thai"":""ทันทีที่"",""english"":""as soon as"",""grammar"":true,""romanization"":""thanthi thi""},{""thai"":""ได้ยิน"",""english"":""hear"",""romanization"":""dai yin""},{""thai"":""ข่าว"",""english"":""news"",""tones"":[""low""],""tone"":""low"",""romanization"":""khao""},{""thai"":""เขา"",""english"":""he / she"",""romanization"":""khao""},{""thai"":""ก็"",""english"":""then"",""grammar"":true,""romanization"":""ko""},{""thai"":""โทรมา"",""english"":""call / phone"",""romanization"":""thoh ma""}]",hard
ทันทีที่ได้ยินข่าว เขาก็โทรมา,thanthii thii dai-yin khao khao gaw thoo maa,"As soon as he heard the news, he called.","[{""thai"":""ทันทีที่"",""english"":""as soon as"",""tones"":[""mid"",""mid"",""falling""],""grammar"":true,""romanization"":""thanthii thii""},{""thai"":""ได้ยินข่าว"",""english"":""hear the news"",""tones"":[""falling"",""mid"",""falling""],""romanization"":""dai-yin khao""},{""thai"":""เขาก็"",""english"":""he then"",""tones"":[""rising"",""low""],""romanization"":""khao gaw""},{""thai"":""โทรมา"",""english"":""call"",""tones"":[""mid"",""mid""],""romanization"":""thoo maa""}]",medium
ทันทีที่ถึงบ้าน ฉันก็เปิดแอร์,thanthii thii thueng baan chan gaw bpoet ae,"As soon as I got home, I turned on the air conditioner.","[{""thai"":""ทันทีที่"",""english"":""as soon as"",""tones"":[""mid"",""mid"",""falling""],""grammar"":true,""romanization"":""thanthii thii""},{""thai"":""ถึงบ้าน"",""english"":""arrive home"",""tones"":[""rising"",""falling""],""romanization"":""thueng baan""},{""thai"":""ฉันก็"",""english"":""I then"",""tones"":[""rising"",""low""],""romanization"":""chan gaw""},{""thai"":""เปิดแอร์"",""english"":""turn on the air conditioner"",""tones"":[""low"",""mid""],""romanization"":""bpoet ae""}]",medium
ทันทีที่ประชุมจบ เราก็ออกจากห้อง,thanthii thii bpra-chum jop rao gaw ok jaak hong,"As soon as the meeting ended, we left the room.","[{""thai"":""ทันทีที่"",""english"":""as soon as"",""tones"":[""mid"",""mid"",""falling""],""grammar"":true,""romanization"":""thanthii thii""},{""thai"":""ประชุมจบ"",""english"":""the meeting ends"",""tones"":[""low"",""mid"",""low""],""romanization"":""bpra-chum jop""},{""thai"":""เราก็"",""english"":""we then"",""tones"":[""mid"",""low""],""romanization"":""rao gaw""},{""thai"":""ออกจากห้อง"",""english"":""leave the room"",""tones"":[""low"",""low"",""falling""],""romanization"":""ok jaak hong""}]",medium
ทันทีที่ฝนหยุด เด็กๆ ก็วิ่งออกไป,thanthii thii fon yut dek dek gaw wing ok bpai,"As soon as the rain stopped, the children ran out.","[{""thai"":""ทันทีที่"",""english"":""as soon as"",""tones"":[""mid"",""mid"",""falling""],""grammar"":true,""romanization"":""thanthii thii""},{""thai"":""ฝนหยุด"",""english"":""the rain stops"",""tones"":[""rising"",""low""],""romanization"":""fon yut""},{""thai"":""เด็กๆ ก็"",""english"":""the children then"",""tones"":[""low"",""low"",""low""],""romanization"":""dek dek gaw""},{""thai"":""วิ่งออกไป"",""english"":""run out"",""tones"":[""falling"",""low"",""mid""],""romanization"":""wing ok bpai""}]",medium
ทันทีที่ร้านเปิด ลูกค้าก็เข้ามา,thanthii thii raan bpoet luuk-khaa gaw khao maa,"As soon as the shop opened, customers came in.","[{""thai"":""ทันทีที่"",""english"":""as soon as"",""tones"":[""mid"",""mid"",""falling""],""grammar"":true,""romanization"":""thanthii thii""},{""thai"":""ร้านเปิด"",""english"":""the shop opens"",""tones"":[""high"",""low""],""romanization"":""raan bpoet""},{""thai"":""ลูกค้าก็"",""english"":""customers then"",""tones"":[""falling"",""high"",""low""],""romanization"":""luuk-khaa gaw""},{""thai"":""เข้ามา"",""english"":""come in"",""tones"":[""falling"",""mid""],""romanization"":""khao maa""}]",medium
ทันทีที่เธอเห็นข้อความ เธอก็ตอบกลับ,thanthii thii thoe hen kho-khwaam thoe gaw dtop glap,"As soon as she saw the message, she replied.","[{""thai"":""ทันทีที่"",""english"":""as soon as"",""tones"":[""mid"",""mid"",""falling""],""grammar"":true,""romanization"":""thanthii thii""},{""thai"":""เธอเห็นข้อความ"",""english"":""she sees the message"",""tones"":[""mid"",""rising"",""falling"",""mid""],""romanization"":""thoe hen kho-khwaam""},{""thai"":""เธอก็"",""english"":""she then"",""tones"":[""mid"",""low""],""romanization"":""thoe gaw""},{""thai"":""ตอบกลับ"",""english"":""reply"",""tones"":[""low"",""low""],""romanization"":""dtop glap""}]",medium
ทันทีที่เครื่องบินลง เราก็เปิดโทรศัพท์,thanthii thii khrueang-bin long rao gaw bpoet thoo-ra-sap,"As soon as the plane landed, we turned on our phones.","[{""thai"":""ทันทีที่"",""english"":""as soon as"",""tones"":[""mid"",""mid"",""falling""],""grammar"":true,""romanization"":""thanthii thii""},{""thai"":""เครื่องบินลง"",""english"":""the plane lands"",""tones"":[""mid"",""mid"",""mid""],""romanization"":""khrueang-bin long""},{""thai"":""เราก็"",""english"":""we then"",""tones"":[""mid"",""low""],""romanization"":""rao gaw""},{""thai"":""เปิดโทรศัพท์"",""english"":""turn on our phones"",""tones"":[""low"",""mid"",""high"",""low""],""romanization"":""bpoet thoo-ra-sap""}]",medium
ทันทีที่ไฟเขียว รถก็เคลื่อน,thanthii thii fai khiao rot gaw khluean,"As soon as the light turned green, the car moved.","[{""thai"":""ทันทีที่"",""english"":""as soon as"",""tones"":[""mid"",""mid"",""falling""],""grammar"":true,""romanization"":""thanthii thii""},{""thai"":""ไฟเขียว"",""english"":""the light turns green"",""tones"":[""mid"",""rising""],""romanization"":""fai khiao""},{""thai"":""รถก็"",""english"":""the car then"",""tones"":[""high"",""low""],""romanization"":""rot gaw""},{""thai"":""เคลื่อน"",""english"":""move"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""khluean""}]",medium
ทันทีที่ครูถาม เขาก็ยกมือ,thanthii thii khruu thaam khao gaw yok mue,"As soon as the teacher asked, he raised his hand.","[{""thai"":""ทันทีที่"",""english"":""as soon as"",""tones"":[""mid"",""mid"",""falling""],""grammar"":true,""romanization"":""thanthii thii""},{""thai"":""ครูถาม"",""english"":""the teacher asks"",""tones"":[""mid"",""rising""],""romanization"":""khruu thaam""},{""thai"":""เขาก็"",""english"":""he then"",""tones"":[""rising"",""low""],""romanization"":""khao gaw""},{""thai"":""ยกมือ"",""english"":""raise his hand"",""tones"":[""high"",""mid""],""romanization"":""yok mue""}]",easy
