thai,romanization,english,breakdown,difficulty
ฉันนั่งอ่านหนังสือ,chan nang an nangsue,I sat and read a book.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chán""},{""thai"":""นั่ง"",""english"":""sit"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""nâng""},{""thai"":""อ่าน"",""english"":""read"",""tones"":[""low""],""tone"":""low"",""romanization"":""àan""},{""thai"":""หนังสือ"",""english"":""book"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""nǎngsǔe""}]",hard
ฉันนั่งอ่านหนังสืออยู่ที่โต๊ะ,chan nang aan nangsue yuu thii to,I was sitting and reading a book at the table.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""},{""thai"":""นั่ง"",""english"":""sit"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""nang""},{""thai"":""อ่าน"",""english"":""read"",""tones"":[""low""],""tone"":""low"",""romanization"":""aan""},{""thai"":""หนังสือ"",""english"":""book"",""tones"":[""rising"",""rising""],""romanization"":""nangsue""},{""thai"":""อยู่"",""english"":""be / be in progress"",""tones"":[""low""],""tone"":""low"",""romanization"":""yuu""},{""thai"":""ที่"",""english"":""at"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""thii""},{""thai"":""โต๊ะ"",""english"":""table"",""tones"":[""high""],""tone"":""high"",""romanization"":""to""}]",easy
เขายืนรอรถเมล์อยู่หน้าตึก,khao yuen ro rot mee yuu naa tuek,He was standing and waiting for the bus in front of the building.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khao""},{""thai"":""ยืน"",""english"":""stand"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""yuen""},{""thai"":""รอ"",""english"":""wait for"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""ro""},{""thai"":""รถเมล์"",""english"":""bus"",""tones"":[""high"",""mid""],""romanization"":""rot mee""},{""thai"":""อยู่"",""english"":""be / be in progress"",""tones"":[""low""],""tone"":""low"",""romanization"":""yuu""},{""thai"":""หน้า"",""english"":""in front of"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""naa""},{""thai"":""ตึก"",""english"":""building"",""tones"":[""low""],""tone"":""low"",""romanization"":""tuek""}]",easy
เด็กนอนดูการ์ตูนบนโซฟา,dek naon duu gaan tuin bon soofaa,The child was lying on the sofa watching cartoons.,"[{""thai"":""เด็ก"",""english"":""child"",""tones"":[""low""],""tone"":""low"",""romanization"":""dek""},{""thai"":""นอน"",""english"":""lie down"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""naon""},{""thai"":""ดู"",""english"":""watch"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""duu""},{""thai"":""การ์ตูน"",""english"":""cartoons"",""tones"":[""mid"",""mid""],""romanization"":""gaan tuin""},{""thai"":""บน"",""english"":""on"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""bon""},{""thai"":""โซฟา"",""english"":""sofa"",""tones"":[""mid"",""mid""],""romanization"":""soofaa""}]",easy
เรายืนคุยกันอยู่หน้าร้าน,rao yuen khui kan yuu naa raan,We were standing and talking in front of the shop.,"[{""thai"":""เรา"",""english"":""we"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""rao""},{""thai"":""ยืน"",""english"":""stand"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""yuen""},{""thai"":""คุย"",""english"":""talk"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""khui""},{""thai"":""กัน"",""english"":""together / each other"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""kan""},{""thai"":""อยู่"",""english"":""be / be in progress"",""tones"":[""low""],""tone"":""low"",""romanization"":""yuu""},{""thai"":""หน้า"",""english"":""in front of"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""naa""},{""thai"":""ร้าน"",""english"":""shop"",""tones"":[""high""],""tone"":""high"",""romanization"":""raan""}]",easy
แม่เดินคุยโทรศัพท์อยู่ข้างนอก,mae doen khui thoorasap yuu khang nok,Mom was walking outside while talking on the phone.,"[{""thai"":""แม่"",""english"":""Mom"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""mae""},{""thai"":""เดิน"",""english"":""walk"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""doen""},{""thai"":""คุย"",""english"":""talk"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""khui""},{""thai"":""โทรศัพท์"",""english"":""phone"",""tones"":[""mid"",""high"",""low""],""romanization"":""thoorasap""},{""thai"":""อยู่"",""english"":""be / be in progress"",""tones"":[""low""],""tone"":""low"",""romanization"":""yuu""},{""thai"":""ข้างนอก"",""english"":""outside"",""tones"":[""falling"",""low""],""romanization"":""khang nok""}]",medium
พ่อนั่งกินข้าวอยู่คนเดียว,pho nang gin khao yuu khon diao,Dad was sitting and eating by himself.,"[{""thai"":""พ่อ"",""english"":""Dad"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""pho""},{""thai"":""นั่ง"",""english"":""sit"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""nang""},{""thai"":""กิน"",""english"":""eat"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""gin""},{""thai"":""ข้าว"",""english"":""food / rice"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""khao""},{""thai"":""อยู่"",""english"":""be / be in progress"",""tones"":[""low""],""tone"":""low"",""romanization"":""yuu""},{""thai"":""คนเดียว"",""english"":""alone"",""tones"":[""mid"",""mid""],""romanization"":""khon diao""}]",easy
เขายืนดูแผนที่อยู่นานมาก,khao yuen duu phaen thii yuu naan maak,He stood looking at the map for a long time.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khao""},{""thai"":""ยืน"",""english"":""stand"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""yuen""},{""thai"":""ดู"",""english"":""look at"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""duu""},{""thai"":""แผนที่"",""english"":""map"",""tones"":[""rising"",""falling""],""romanization"":""phaen thii""},{""thai"":""อยู่"",""english"":""be / be in progress"",""tones"":[""low""],""tone"":""low"",""romanization"":""yuu""},{""thai"":""นาน"",""english"":""a long time"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""naan""},{""thai"":""มาก"",""english"":""very"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""maak""}]",medium
ฉันนอนฟังเพลงอยู่บนเตียง,chan naon fang phleeng yuu bon tiiang,I was lying on the bed listening to music.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""},{""thai"":""นอน"",""english"":""lie down"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""naon""},{""thai"":""ฟัง"",""english"":""listen to"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""fang""},{""thai"":""เพลง"",""english"":""music"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""phleeng""},{""thai"":""อยู่"",""english"":""be / be in progress"",""tones"":[""low""],""tone"":""low"",""romanization"":""yuu""},{""thai"":""บน"",""english"":""on"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""bon""},{""thai"":""เตียง"",""english"":""bed"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""tiiang""}]",easy
เรานั่งรอผลอยู่ข้างใน,rao nang ro phon yuu khang nai,We were sitting inside waiting for the result.,"[{""thai"":""เรา"",""english"":""we"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""rao""},{""thai"":""นั่ง"",""english"":""sit"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""nang""},{""thai"":""รอ"",""english"":""wait for"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""ro""},{""thai"":""ผล"",""english"":""result"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""phon""},{""thai"":""อยู่"",""english"":""be / be in progress"",""tones"":[""low""],""tone"":""low"",""romanization"":""yuu""},{""thai"":""ข้างใน"",""english"":""inside"",""tones"":[""falling"",""mid""],""romanization"":""khang nai""}]",easy
