thai,romanization,english,breakdown,difficulty
ข้อมูลไม่ครบ จึงตัดสินใจไม่ได้,khomun mai khrop chueng tatsinchai mai dai,"The information is incomplete, so a decision can't be made.","[{""thai"":""ข้อมูล"",""english"":""information"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""khôomun""},{""thai"":""ไม่"",""english"":""not"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""mâi""},{""thai"":""ครบ"",""english"":""complete"",""tones"":[""high""],""tone"":""high"",""romanization"":""khróp""},{""thai"":""จึง"",""english"":""therefore"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""jueng""},{""thai"":""ตัดสินใจ"",""english"":""decide"",""tones"":[""low""],""tone"":""low"",""romanization"":""tàtsĭnchai""},{""thai"":""ไม่ได้"",""english"":""cannot"",""tones"":[""falling"",""falling""],""grammar"":true,""romanization"":""mâi dâi""}]",hard
ข้อมูลยังไม่ครบ จึงตัดสินใจไม่ได้,khaaw-muun yang mai khrop jueng dtat-sin-jai mai dai,"The information is still incomplete, therefore a decision cannot be made.","[{""thai"":""ข้อมูลยังไม่ครบ"",""english"":""the information is still incomplete"",""tones"":[""falling"",""rising"",""mid"",""falling"",""high""],""romanization"":""khaaw-muun yang mai khrop""},{""thai"":""จึง"",""english"":""therefore"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""jueng""},{""thai"":""ตัดสินใจไม่ได้"",""english"":""cannot make a decision"",""tones"":[""low"",""mid"",""mid"",""falling"",""falling""],""romanization"":""dtat-sin-jai mai dai""}]",hard
บริษัทได้รับคำร้องเรียนจำนวนมาก จึงปรับระบบบริการใหม่,baw-ri-sat dai-rap kham-raawng-rian jam-nuan maak jueng bprap ra-bop baw-ri-gaan mai,"The company received many complaints, therefore it adjusted the service system.","[{""thai"":""บริษัทได้รับคำร้องเรียนจำนวนมาก"",""english"":""the company received many complaints"",""tones"":[""mid"",""low"",""low"",""falling"",""high"",""falling"",""mid"",""mid"",""high""],""romanization"":""baw-ri-sat dai-rap kham-raawng-rian jam-nuan maak""},{""thai"":""จึง"",""english"":""therefore"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""jueng""},{""thai"":""ปรับระบบบริการใหม่"",""english"":""adjusted the service system"",""tones"":[""low"",""mid"",""low"",""mid"",""low"",""mid"",""falling""],""romanization"":""bprap ra-bop baw-ri-gaan mai""}]",hard
ทีมพบข้อผิดพลาดหลายจุด จึงต้องตรวจทั้งหมดอีกครั้ง,thiim phop khaaw-phit-phlaat lai jut jueng dtawng dtruat thang mot iik khrang,"The team found several errors, therefore it had to recheck everything.","[{""thai"":""ทีมพบข้อผิดพลาดหลายจุด"",""english"":""the team found several errors"",""tones"":[""mid"",""high"",""falling"",""low"",""high"",""rising"",""low""],""romanization"":""thiim phop khaaw-phit-phlaat lai jut""},{""thai"":""จึง"",""english"":""therefore"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""jueng""},{""thai"":""ต้องตรวจทั้งหมดอีกครั้ง"",""english"":""had to recheck everything"",""tones"":[""falling"",""low"",""high"",""low"",""mid"",""high""],""romanization"":""dtawng dtruat thang mot iik khrang""}]",hard
ลูกค้ายืนยันกำหนดเดิม จึงจำเป็นต้องเร่งงาน,luuk-khaa yuen-yan gam-not doem jueng rao dtawng reng ngaan,"The customer confirmed the original deadline, therefore we had to speed up the work.","[{""thai"":""ลูกค้ายืนยันกำหนดเดิม"",""english"":""the customer confirmed the original deadline"",""tones"":[""high"",""high"",""mid"",""mid"",""low"",""mid""],""romanization"":""luuk-khaa yuen-yan gam-not doem""},{""thai"":""จึง"",""english"":""therefore"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""jueng""},{""thai"":""จำเป็นต้องเร่งงาน"",""english"":""we had to speed up the work"",""tones"":[""mid"",""falling"",""falling"",""mid""],""romanization"":""rao dtawng reng ngaan""}]",hard
งบประมาณปีนี้ลดลง จึงเลื่อนโครงการบางส่วน,ngop-bpra-maan bpii nii lot long jueng khroong-gaan baang suan thuuk luean,"This year's budget decreased, therefore part of the project was postponed.","[{""thai"":""งบประมาณปีนี้ลดลง"",""english"":""this year's budget decreased"",""tones"":[""low"",""low"",""mid"",""high"",""low"",""mid""],""romanization"":""ngop-bpra-maan bpii nii lot long""},{""thai"":""จึง"",""english"":""therefore"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""jueng""},{""thai"":""เลื่อนโครงการบางส่วน"",""english"":""part of the project was postponed"",""tones"":[""mid"",""mid"",""mid"",""mid"",""low"",""falling""],""romanization"":""khroong-gaan baang suan thuuk luean""}]",hard
เอกสารที่แนบมายังไม่ครบ จึงขอข้อมูลเพิ่ม,eek-ga-saan naep maa mai khrop jueng rao khaaw khaaw-muun phern,"The attached documents were incomplete, therefore we requested more information.","[{""thai"":""เอกสารที่แนบมายังไม่ครบ"",""english"":""the attached documents were incomplete"",""tones"":[""mid"",""low"",""low"",""mid"",""falling"",""high""],""romanization"":""eek-ga-saan naep maa mai khrop""},{""thai"":""จึง"",""english"":""therefore"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""jueng""},{""thai"":""ขอข้อมูลเพิ่ม"",""english"":""we requested more information"",""tones"":[""mid"",""falling"",""falling"",""rising"",""mid""],""romanization"":""rao khaaw khaaw-muun phern""}]",hard
ผลทดสอบยังไม่นิ่ง ทีมงานจึงยังไม่เปิดใช้,phon thot-saawp yang mai ning jueng thiim-ngaan yang mai bpoet chai,"The test results were still unstable, therefore the team did not activate it yet.","[{""thai"":""ผลทดสอบยังไม่นิ่ง"",""english"":""the test results were still unstable"",""tones"":[""rising"",""low"",""low"",""mid"",""falling"",""falling""],""romanization"":""phon thot-saawp yang mai ning""},{""thai"":""จึง"",""english"":""therefore"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""jueng""},{""thai"":""ทีมงานยังไม่เปิดใช้"",""english"":""the team did not activate it yet"",""tones"":[""mid"",""mid"",""mid"",""falling"",""low"",""high""],""romanization"":""thiim-ngaan yang mai bpoet chai""}]",hard
จำนวนผู้เข้าร่วมเกินคาด สถานที่เดิมจึงไม่พอ,phuu-khao-ruam dtaawp-rap gern khaat jueng sa-thaan-thii doem mai phaaw,"Attendance exceeded expectations, therefore the original venue was not large enough.","[{""thai"":""จำนวนผู้เข้าร่วมเกินคาด"",""english"":""attendance exceeded expectations"",""tones"":[""low"",""falling"",""rising"",""falling"",""mid"",""falling""],""romanization"":""phuu-khao-ruam dtaawp-rap gern khaat""},{""thai"":""จึง"",""english"":""therefore"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""jueng""},{""thai"":""สถานที่เดิมไม่พอ"",""english"":""the original venue was not enough"",""tones"":[""low"",""mid"",""falling"",""falling"",""mid""],""romanization"":""sa-thaan-thii doem mai phaaw""}]",hard
ข้อเสนอเดิมไม่ชัดเจน จึงยังไม่ได้รับการอนุมัติจากคณะกรรมการ,khaaw-sa-noe doem mai chat-jen jueng kha-na-gam-maan yang mai a-nu-mat,"The original proposal was unclear, therefore the committee did not approve it yet.","[{""thai"":""ข้อเสนอเดิมไม่ชัดเจน"",""english"":""the original proposal was unclear"",""tones"":[""falling"",""low"",""mid"",""falling"",""high"",""mid""],""romanization"":""khaaw-sa-noe doem mai chat-jen""},{""thai"":""จึง"",""english"":""therefore"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""jueng""},{""thai"":""ยังไม่ได้รับการอนุมัติจากคณะกรรมการ"",""english"":""the committee did not approve it yet"",""tones"":[""low"",""low"",""mid"",""mid"",""mid"",""falling"",""low"",""low"",""low""],""romanization"":""kha-na-gam-maan yang mai a-nu-mat""}]",hard
