thai,romanization,english,breakdown,difficulty
เขาเก่งมาก ไม่ใช่หรือ,khao keng mak mai chai rue,"He's very capable, isn't he?","[{""thai"":""เขา"",""english"":""he / she"",""romanization"":""khao""},{""thai"":""เก่ง"",""english"":""capable"",""tones"":[""low""],""tone"":""low"",""romanization"":""kèng""},{""thai"":""มาก"",""english"":""very"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""mâak""},{""thai"":""ไม่ใช่หรือ"",""english"":""isn't it / right?"",""tones"":[""falling"",""falling"",""rising""],""grammar"":true,""romanization"":""mâi châi rǔe""}]",hard
เขาเก่งมาก ไม่ใช่หรือ,khao keng maak mai chai rue,"He's very capable, isn't he?","[{""thai"":""เขาเก่งมาก"",""english"":""he is very capable"",""tones"":[""rising"",""falling"",""falling""],""romanization"":""khao keng maak""},{""thai"":""ไม่ใช่หรือ"",""english"":""isn't it / right?"",""tones"":[""falling"",""falling"",""rising""],""grammar"":true,""romanization"":""mai chai rue""}]",hard
วันนี้อากาศดีมาก ไม่ใช่หรือ,wan-nii aa-kaat dii maak mai chai rue,"The weather is very nice today, isn't it?","[{""thai"":""วันนี้อากาศดีมาก"",""english"":""the weather is very nice today"",""tones"":[""mid"",""high"",""mid"",""high"",""mid"",""falling""],""romanization"":""wan-nii aa-kaat dii maak""},{""thai"":""ไม่ใช่หรือ"",""english"":""isn't it / right?"",""tones"":[""falling"",""falling"",""rising""],""grammar"":true,""romanization"":""mai chai rue""}]",hard
วิธีนี้ง่ายกว่า ไม่ใช่หรือ,wi-thii nii ngaai gwaa mai chai rue,"This method is easier, isn't it?","[{""thai"":""วิธีนี้ง่ายกว่า"",""english"":""this method is easier"",""tones"":[""mid"",""falling"",""high"",""falling"",""low""],""romanization"":""wi-thii nii ngaai gwaa""},{""thai"":""ไม่ใช่หรือ"",""english"":""isn't it / right?"",""tones"":[""falling"",""falling"",""rising""],""grammar"":true,""romanization"":""mai chai rue""}]",hard
ร้านนี้เงียบดี ไม่ใช่หรือ,raan nii ngiap dii mai chai rue,"This place is nicely quiet, isn't it?","[{""thai"":""ร้านนี้เงียบดี"",""english"":""this place is nicely quiet"",""tones"":[""high"",""high"",""low"",""mid""],""romanization"":""raan nii ngiap dii""},{""thai"":""ไม่ใช่หรือ"",""english"":""isn't it / right?"",""tones"":[""falling"",""falling"",""rising""],""grammar"":true,""romanization"":""mai chai rue""}]",hard
คุณเคยเห็นที่นี่แล้ว ไม่ใช่หรือ,khun koey hen thii nii laeo mai chai rue,"You've seen this place before, haven't you?","[{""thai"":""คุณเคยเห็นที่นี่แล้ว"",""english"":""you've seen this place before"",""tones"":[""mid"",""mid"",""rising"",""falling"",""high"",""high""],""romanization"":""khun koey hen thii nii laeo""},{""thai"":""ไม่ใช่หรือ"",""english"":""isn't it / right?"",""tones"":[""falling"",""falling"",""rising""],""grammar"":true,""romanization"":""mai chai rue""}]",hard
เราคุยเรื่องนี้กันแล้ว ไม่ใช่หรือ,rao khui rueang nii gan laeo mai chai rue,"We've already talked about this, haven't we?","[{""thai"":""เราคุยเรื่องนี้กันแล้ว"",""english"":""we've already talked about this"",""tones"":[""mid"",""mid"",""falling"",""high"",""mid"",""high""],""romanization"":""rao khui rueang nii gan laeo""},{""thai"":""ไม่ใช่หรือ"",""english"":""isn't it / right?"",""tones"":[""falling"",""falling"",""rising""],""grammar"":true,""romanization"":""mai chai rue""}]",hard
ข้อนี้ชัดเจนมาก ไม่ใช่หรือ,khaw nii chat-jen maak mai chai rue,"This point is very clear, isn't it?","[{""thai"":""ข้อนี้ชัดเจนมาก"",""english"":""this point is very clear"",""tones"":[""falling"",""high"",""low"",""mid"",""falling""],""romanization"":""khaw nii chat-jen maak""},{""thai"":""ไม่ใช่หรือ"",""english"":""isn't it / right?"",""tones"":[""falling"",""falling"",""rising""],""grammar"":true,""romanization"":""mai chai rue""}]",hard
ทีมนี้พร้อมแล้ว ไม่ใช่หรือ,thiim nii phrawm laeo mai chai rue,"This team is ready already, isn't it?","[{""thai"":""ทีมนี้พร้อมแล้ว"",""english"":""this team is ready already"",""tones"":[""mid"",""high"",""falling"",""high""],""romanization"":""thiim nii phrawm laeo""},{""thai"":""ไม่ใช่หรือ"",""english"":""isn't it / right?"",""tones"":[""falling"",""falling"",""rising""],""grammar"":true,""romanization"":""mai chai rue""}]",hard
เขาตอบชัดมาก ไม่ใช่หรือ,khao dtop chat maak mai chai rue,"He answered very clearly, didn't he?","[{""thai"":""เขาตอบชัดมาก"",""english"":""he answered very clearly"",""tones"":[""rising"",""low"",""low"",""falling""],""romanization"":""khao dtop chat maak""},{""thai"":""ไม่ใช่หรือ"",""english"":""isn't it / right?"",""tones"":[""falling"",""falling"",""rising""],""grammar"":true,""romanization"":""mai chai rue""}]",hard
