thai,romanization,english,breakdown,difficulty
เขาแอบกินขนม,khao aep kin khanom,He secretly ate snacks.,"[{""thai"":""เขา"",""english"":""he / she"",""romanization"":""khao""},{""thai"":""แอบ"",""english"":""secretly"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""aep""},{""thai"":""กิน"",""english"":""eat"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""kin""},{""thai"":""ขนม"",""english"":""snack"",""romanization"":""khanom""}]",hard
เขาแอบกินขนม,khao aep kin kha-nom,He secretly ate snacks.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khao""},{""thai"":""แอบ"",""english"":""secretly"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""aep""},{""thai"":""กินขนม"",""english"":""eat snacks"",""tones"":[""mid"",""rising"",""mid""],""romanization"":""kin kha-nom""}]",easy
ฉันแอบดูรูปเก่า,chan aep duu ruup gao,I secretly looked at old photos.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""},{""thai"":""แอบ"",""english"":""secretly"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""aep""},{""thai"":""ดูรูปเก่า"",""english"":""look at old photos"",""tones"":[""mid"",""falling"",""low""],""romanization"":""duu ruup gao""}]",easy
เด็กแอบเปิดตู้เย็นตอนดึก,dek aep bpoet dtuu-yen dton duek,The child secretly opened the fridge late at night.,"[{""thai"":""เด็ก"",""english"":""child"",""tones"":[""low""],""tone"":""low"",""romanization"":""dek""},{""thai"":""แอบ"",""english"":""secretly"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""aep""},{""thai"":""เปิดตู้เย็น"",""english"":""open the fridge"",""tones"":[""low"",""falling"",""mid""],""romanization"":""bpoet dtuu-yen""},{""thai"":""ตอนดึก"",""english"":""late at night"",""tones"":[""mid"",""low""],""romanization"":""dton duek""}]",medium
เขาแอบยิ้มตอนอ่านแชต,khao aep yim dton aan chaet,He secretly smiled while reading the chat.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khao""},{""thai"":""แอบ"",""english"":""secretly"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""aep""},{""thai"":""ยิ้ม"",""english"":""smile"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""yim""},{""thai"":""ตอนอ่านแชต"",""english"":""while reading the chat"",""tones"":[""mid"",""low"",""high""],""romanization"":""dton aan chaet""}]",medium
เราแอบไปซื้อเค้กให้แม่,rao aep bpai sue khaek hai mae,We secretly went to buy a cake for Mom.,"[{""thai"":""เรา"",""english"":""we"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""rao""},{""thai"":""แอบไป"",""english"":""secretly go"",""tones"":[""low"",""mid""],""grammar"":true,""romanization"":""aep bpai""},{""thai"":""ซื้อเค้ก"",""english"":""buy a cake"",""tones"":[""high"",""high""],""romanization"":""sue khaek""},{""thai"":""ให้แม่"",""english"":""for Mom"",""tones"":[""falling"",""falling""],""romanization"":""hai mae""}]",medium
พ่อแอบหลับบนโซฟา,phaw aep lap bon soo-faa,Dad secretly dozed off on the sofa.,"[{""thai"":""พ่อ"",""english"":""Dad"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""phaw""},{""thai"":""แอบ"",""english"":""secretly"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""aep""},{""thai"":""หลับบนโซฟา"",""english"":""fall asleep on the sofa"",""tones"":[""low"",""mid"",""mid"",""mid""],""romanization"":""lap bon soo-faa""}]",easy
เธอแอบฟังคนข้างโต๊ะคุยกัน,thoe aep fang khon khang dto khui gan,She secretly listened to the people at the next table talking.,"[{""thai"":""เธอ"",""english"":""she"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""thoe""},{""thai"":""แอบฟัง"",""english"":""secretly listen"",""tones"":[""low"",""mid""],""grammar"":true,""romanization"":""aep fang""},{""thai"":""คนข้างโต๊ะ"",""english"":""the people at the next table"",""tones"":[""mid"",""falling"",""high""],""romanization"":""khon khang dto""},{""thai"":""คุยกัน"",""english"":""talking"",""tones"":[""mid"",""mid""],""romanization"":""khui gan""}]",hard
ฉันแอบถ่ายรูปทะเลตอนเช้า,chan aep thai ruup tha-lae dton chao,I secretly took a photo of the sea in the morning.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""},{""thai"":""แอบถ่ายรูป"",""english"":""secretly take a photo"",""tones"":[""low"",""falling"",""falling""],""grammar"":true,""romanization"":""aep thai ruup""},{""thai"":""ทะเล"",""english"":""sea"",""tones"":[""mid"",""mid""],""romanization"":""tha-lae""},{""thai"":""ตอนเช้า"",""english"":""in the morning"",""tones"":[""mid"",""high""],""romanization"":""dton chao""}]",medium
เขาแอบเก็บเงินไว้เที่ยว,khao aep gep ngoen wai thiao,He secretly saved money for a trip.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khao""},{""thai"":""แอบเก็บเงิน"",""english"":""secretly save money"",""tones"":[""low"",""low"",""mid""],""grammar"":true,""romanization"":""aep gep ngoen""},{""thai"":""ไว้เที่ยว"",""english"":""for travelling later"",""tones"":[""high"",""falling""],""romanization"":""wai thiao""}]",medium
