thai,romanization,english,breakdown,difficulty
เขาแกล้งทำเป็นหลับ,khao klaeng tham pen lap,He pretended to be asleep.,"[{""thai"":""เขา"",""english"":""he / she"",""tones"":[""high""],""tone"":""high"",""romanization"":""kháo""},{""thai"":""แกล้ง"",""english"":""pretend / do on purpose"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""klâeng""},{""thai"":""ทำเป็น"",""english"":""act as if"",""grammar"":true,""romanization"":""tham pen""},{""thai"":""หลับ"",""english"":""sleep"",""tones"":[""low""],""tone"":""low"",""romanization"":""làp""}]",hard
เขาแกล้งทำเป็นหลับ,khao klaeng tham-bpen lap,He pretended to be asleep.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khao""},{""thai"":""แกล้งทำเป็น"",""english"":""pretended to act as if"",""tones"":[""falling"",""mid""],""grammar"":true,""romanization"":""klaeng tham-bpen""},{""thai"":""หลับ"",""english"":""asleep"",""tones"":[""low""],""tone"":""low"",""romanization"":""lap""}]",hard
เธอแกล้งทำเป็นไม่เห็น,thoe klaeng tham-bpen mai hen,She pretended not to see it.,"[{""thai"":""เธอ"",""english"":""she"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""thoe""},{""thai"":""แกล้งทำเป็น"",""english"":""pretended to act as if"",""tones"":[""falling"",""mid""],""grammar"":true,""romanization"":""klaeng tham-bpen""},{""thai"":""ไม่เห็น"",""english"":""didn't see it"",""tones"":[""falling"",""rising""],""romanization"":""mai hen""}]",hard
เด็กแกล้งร้องไห้,dek klaeng rong-hai,The child pretended to cry.,"[{""thai"":""เด็ก"",""english"":""the child"",""tones"":[""low""],""tone"":""low"",""romanization"":""dek""},{""thai"":""แกล้ง"",""english"":""pretended / did it on purpose"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""klaeng""},{""thai"":""ร้องไห้"",""english"":""to cry"",""tones"":[""high"",""falling""],""romanization"":""rong-hai""}]",hard
เขาแกล้งลืม,khao klaeng luem,He pretended to forget.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khao""},{""thai"":""แกล้ง"",""english"":""pretended / did it on purpose"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""klaeng""},{""thai"":""ลืม"",""english"":""to forget"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""luem""}]",hard
เพื่อนแกล้งตกใจ,phuean klaeng dtok-jai,My friend pretended to be startled.,"[{""thai"":""เพื่อน"",""english"":""my friend"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""phuean""},{""thai"":""แกล้ง"",""english"":""pretended / did it on purpose"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""klaeng""},{""thai"":""ตกใจ"",""english"":""to be startled"",""tones"":[""low"",""mid""],""romanization"":""dtok-jai""}]",hard
เขาแกล้งถามทั้งที่รู้แล้ว,khao klaeng thaam thang-thii ruu laeo,He pretended to ask even though he already knew.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khao""},{""thai"":""แกล้ง"",""english"":""pretended / did it on purpose"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""klaeng""},{""thai"":""ถามทั้งที่รู้แล้ว"",""english"":""to ask even though he already knew"",""tones"":[""rising"",""high"",""falling"",""high""],""romanization"":""thaam thang-thii ruu laeo""}]",hard
เธอแกล้งเดินผ่านไป,thoe klaeng dern phaan bpai,She pretended and just walked past.,"[{""thai"":""เธอ"",""english"":""she"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""thoe""},{""thai"":""แกล้ง"",""english"":""pretended / did it on purpose"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""klaeng""},{""thai"":""เดินผ่านไป"",""english"":""to walk past"",""tones"":[""mid"",""falling"",""mid""],""romanization"":""dern phaan bpai""}]",hard
เด็กแกล้งไม่ตอบ,dek klaeng mai dtop,The child pretended not to answer.,"[{""thai"":""เด็ก"",""english"":""the child"",""tones"":[""low""],""tone"":""low"",""romanization"":""dek""},{""thai"":""แกล้ง"",""english"":""pretended / did it on purpose"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""klaeng""},{""thai"":""ไม่ตอบ"",""english"":""not to answer"",""tones"":[""falling"",""low""],""romanization"":""mai dtop""}]",hard
เขาแกล้งทำเป็นยุ่ง,khao klaeng tham-bpen yung,He pretended to be busy.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khao""},{""thai"":""แกล้งทำเป็น"",""english"":""pretended to act as if"",""tones"":[""falling"",""mid""],""grammar"":true,""romanization"":""klaeng tham-bpen""},{""thai"":""ยุ่ง"",""english"":""busy"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""yung""}]",hard
พ่อแกล้งพูดเข้ม,phaw klaeng phuut khem,Dad pretended to speak sternly.,"[{""thai"":""พ่อ"",""english"":""Dad"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""phaw""},{""thai"":""แกล้ง"",""english"":""pretended / did it on purpose"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""klaeng""},{""thai"":""พูดเข้ม"",""english"":""to speak sternly"",""tones"":[""falling"",""falling""],""romanization"":""phuut khem""}]",hard
แม่แกล้งโกรธเล่นๆ,mae klaeng grot len-len,Mom pretended to be angry.,"[{""thai"":""แม่"",""english"":""Mom"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""mae""},{""thai"":""แกล้ง"",""english"":""pretended / did it on purpose"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""klaeng""},{""thai"":""โกรธเล่นๆ"",""english"":""to be fake angry"",""tones"":[""low"",""falling""],""romanization"":""grot len-len""}]",hard
เขาแกล้งอ่านไม่ออก,khao klaeng aan mai awk,He pretended not to be able to read it.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khao""},{""thai"":""แกล้ง"",""english"":""pretended / did it on purpose"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""klaeng""},{""thai"":""อ่านไม่ออก"",""english"":""not to be able to read"",""tones"":[""low"",""falling"",""low""],""romanization"":""aan mai awk""}]",hard
เธอแกล้งทำเป็นจำไม่ได้,thoe klaeng tham-bpen jam mai dai,She pretended she couldn't remember.,"[{""thai"":""เธอ"",""english"":""she"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""thoe""},{""thai"":""แกล้งทำเป็น"",""english"":""pretended to act as if"",""tones"":[""falling"",""mid""],""grammar"":true,""romanization"":""klaeng tham-bpen""},{""thai"":""จำไม่ได้"",""english"":""couldn't remember"",""tones"":[""mid"",""falling"",""mid""],""romanization"":""jam mai dai""}]",hard
เขาแกล้งทำช้า,khao klaeng tham chaa,He pretended by doing it slowly on purpose.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khao""},{""thai"":""แกล้ง"",""english"":""pretended / did it on purpose"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""klaeng""},{""thai"":""ทำช้า"",""english"":""to work slowly"",""tones"":[""mid"",""high""],""romanization"":""tham chaa""}]",hard
เพื่อนแกล้งแซวฉัน,phuean klaeng saeo chan,My friend pretended and teased me.,"[{""thai"":""เพื่อน"",""english"":""my friend"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""phuean""},{""thai"":""แกล้ง"",""english"":""pretended / did it on purpose"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""klaeng""},{""thai"":""แซวฉัน"",""english"":""to tease me"",""tones"":[""mid"",""rising""],""romanization"":""saeo chan""}]",hard
เขาแกล้งหันไปทางอื่น,khao klaeng han bpai thaang eun,He pretended by turning away.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khao""},{""thai"":""แกล้ง"",""english"":""pretended / did it on purpose"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""klaeng""},{""thai"":""หันไปทางอื่น"",""english"":""to turn away"",""tones"":[""rising"",""mid"",""mid"",""mid""],""romanization"":""han bpai thaang eun""}]",hard
เธอแกล้งทำเป็นไม่รู้จักฉัน,thoe klaeng tham-bpen mai ruu-jak chan,She pretended not to know me.,"[{""thai"":""เธอ"",""english"":""she"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""thoe""},{""thai"":""แกล้งทำเป็น"",""english"":""pretended to act as if"",""tones"":[""falling"",""mid""],""grammar"":true,""romanization"":""klaeng tham-bpen""},{""thai"":""ไม่รู้จักฉัน"",""english"":""didn't know me"",""tones"":[""falling"",""high"",""mid"",""rising""],""romanization"":""mai ruu-jak chan""}]",hard
เด็กแกล้งซ่อนรองเท้า,dek klaeng sawn rawng-thaao,The child hid the shoes as a prank.,"[{""thai"":""เด็ก"",""english"":""the child"",""tones"":[""low""],""tone"":""low"",""romanization"":""dek""},{""thai"":""แกล้ง"",""english"":""pretended / did it on purpose"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""klaeng""},{""thai"":""ซ่อนรองเท้า"",""english"":""to hide the shoes"",""tones"":[""falling"",""mid"",""high""],""romanization"":""sawn rawng-thaao""}]",hard
เขาแกล้งปิดโทรศัพท์,khao klaeng bpit thoo-ra-sap,He pretended by turning off the phone.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khao""},{""thai"":""แกล้ง"",""english"":""pretended / did it on purpose"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""klaeng""},{""thai"":""ปิดโทรศัพท์"",""english"":""to turn off the phone"",""tones"":[""low"",""mid"",""high"",""low""],""romanization"":""bpit thoo-ra-sap""}]",hard
เธอแกล้งพูดเบาๆ,thoe klaeng phuut bao-bao,She pretended by speaking softly.,"[{""thai"":""เธอ"",""english"":""she"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""thoe""},{""thai"":""แกล้ง"",""english"":""pretended / did it on purpose"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""klaeng""},{""thai"":""พูดเบาๆ"",""english"":""to speak softly"",""tones"":[""falling"",""mid""],""romanization"":""phuut bao-bao""}]",hard
เขาแกล้งเดินช้า,khao klaeng dern chaa,He pretended by walking slowly.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khao""},{""thai"":""แกล้ง"",""english"":""pretended / did it on purpose"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""klaeng""},{""thai"":""เดินช้า"",""english"":""to walk slowly"",""tones"":[""mid"",""high""],""romanization"":""dern chaa""}]",hard
เพื่อนแกล้งทำเป็นจริงจัง,phuean klaeng tham-bpen jing-jang,My friend pretended to be serious.,"[{""thai"":""เพื่อน"",""english"":""my friend"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""phuean""},{""thai"":""แกล้งทำเป็น"",""english"":""pretended to act as if"",""tones"":[""falling"",""mid""],""grammar"":true,""romanization"":""klaeng tham-bpen""},{""thai"":""จริงจัง"",""english"":""serious"",""tones"":[""mid"",""mid""],""romanization"":""jing-jang""}]",hard
เขาแกล้งบ่นไปเรื่อย,khao klaeng bon bpai reuai,He kept complaining on purpose.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khao""},{""thai"":""แกล้ง"",""english"":""pretended / did it on purpose"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""klaeng""},{""thai"":""บ่นไปเรื่อย"",""english"":""to keep complaining"",""tones"":[""falling"",""mid"",""falling""],""romanization"":""bon bpai reuai""}]",hard
เธอแกล้งไม่สนใจ,thoe klaeng mai son-jai,She pretended not to care.,"[{""thai"":""เธอ"",""english"":""she"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""thoe""},{""thai"":""แกล้ง"",""english"":""pretended / did it on purpose"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""klaeng""},{""thai"":""ไม่สนใจ"",""english"":""not to care"",""tones"":[""falling"",""rising"",""mid""],""romanization"":""mai son-jai""}]",hard
เขาแกล้งทำเป็นป่วย,khao klaeng tham-bpen bpuay,He pretended to be sick.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khao""},{""thai"":""แกล้งทำเป็น"",""english"":""pretended to act as if"",""tones"":[""falling"",""mid""],""grammar"":true,""romanization"":""klaeng tham-bpen""},{""thai"":""ป่วย"",""english"":""sick"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""bpuay""}]",hard
