thai,romanization,english,breakdown,difficulty
อากาศที่เชียงใหม่ค่อนข้างหนาว,aagàat thîi chiang-mài kôn-khâang nǎao,The weather in Chiang Mai is quite cold.,"[{""thai"":""อากาศ"",""english"":""weather"",""tones"":[""low""],""tone"":""low"",""romanization"":""aagàat""},{""thai"":""ที่เชียงใหม่"",""english"":""in Chiang Mai"",""romanization"":""thîi chiang-mài""},{""thai"":""ค่อนข้าง"",""english"":""quite"",""tones"":[""falling"",""falling""],""grammar"":true,""romanization"":""kôn-khâang""},{""thai"":""หนาว"",""english"":""cold"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""nǎao""}]",easy
หนังสือเล่มนี้ค่อนข้างน่าสนใจ,nǎng-sǔe lem níi kôn-khâang nâa sǒn-jai,This book is quite interesting.,"[{""thai"":""หนังสือเล่มนี้"",""english"":""this book"",""romanization"":""nǎng-sǔe lem níi""},{""thai"":""ค่อนข้าง"",""english"":""quite"",""tones"":[""falling"",""falling""],""grammar"":true,""romanization"":""kôn-khâang""},{""thai"":""น่าสนใจ"",""english"":""interesting"",""romanization"":""nâa sǒn-jai""}]",easy
งานวันนี้ค่อนข้างยุ่ง,ngaan wan níi kôn-khâang yûng,Today's work is quite busy.,"[{""thai"":""งานวันนี้"",""english"":""today's work"",""romanization"":""ngaan wan níi""},{""thai"":""ค่อนข้าง"",""english"":""quite"",""tones"":[""falling"",""falling""],""grammar"":true,""romanization"":""kôn-khâang""},{""thai"":""ยุ่ง"",""english"":""busy"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""yûng""}]",easy
อาหารร้านนี้ค่อนข้างอร่อย,aa-hǎan ráan níi kôn-khâang a-ràwy,The food at this restaurant is quite delicious.,"[{""thai"":""อาหาร"",""english"":""food"",""romanization"":""aa-hǎan""},{""thai"":""ร้านนี้"",""english"":""this restaurant"",""tones"":[""high"",""high""],""romanization"":""ráan níi""},{""thai"":""ค่อนข้าง"",""english"":""quite"",""tones"":[""falling"",""falling""],""grammar"":true,""romanization"":""kôn-khâang""},{""thai"":""อร่อย"",""english"":""delicious"",""romanization"":""a-ràwy""}]",medium
บ้านใหม่ของเธอค่อนข้างสวย,bâan mài khǒng thoe kôn-khâang sǔay,Her new house is quite beautiful.,"[{""thai"":""บ้านใหม่ของเธอ"",""english"":""her new house"",""romanization"":""bâan mài khǒng thoe""},{""thai"":""ค่อนข้าง"",""english"":""quite"",""tones"":[""falling"",""falling""],""grammar"":true,""romanization"":""kôn-khâang""},{""thai"":""สวย"",""english"":""beautiful"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""sǔay""}]",medium
เขาค่อนข้างเก่งในเรื่องการเขียนโค้ด,kháo kôn-khâang gèng nai rûeang gaan khǐan khóte,He is quite skilled in coding.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""high""],""tone"":""high"",""romanization"":""kháo""},{""thai"":""ค่อนข้าง"",""english"":""quite"",""tones"":[""falling"",""falling""],""grammar"":true,""romanization"":""kôn-khâang""},{""thai"":""เก่ง"",""english"":""skilled"",""tones"":[""low""],""tone"":""low"",""romanization"":""gèng""},{""thai"":""ในเรื่อง"",""english"":""in"",""romanization"":""nai rûeang""},{""thai"":""การเขียนโค้ด"",""english"":""coding"",""romanization"":""gaan khǐan khóte""}]",medium
วันนี้ค่อนข้างเหนื่อยเพราะทำงานหนัก,wan níi kôn-khâang nèuay phór tham-ngaan nàk,Today I am quite tired because I worked hard.,"[{""thai"":""วันนี้"",""english"":""today"",""romanization"":""wan níi""},{""thai"":""ค่อนข้าง"",""english"":""quite"",""tones"":[""falling"",""falling""],""grammar"":true,""romanization"":""kôn-khâang""},{""thai"":""เหนื่อย"",""english"":""tired"",""tones"":[""low""],""tone"":""low"",""romanization"":""nèuay""},{""thai"":""เพราะ"",""english"":""because"",""tones"":[""high""],""tone"":""high"",""romanization"":""phór""},{""thai"":""ทำงานหนัก"",""english"":""worked hard"",""romanization"":""tham-ngaan nàk""}]",medium
เธอค่อนข้างใจดีและช่วยเหลือคนอื่น,thoe kôn-khâang jai-dii láe chûai-lǔe khon ùen,She is quite kind and helps others.,"[{""thai"":""เธอ"",""english"":""she"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""thoe""},{""thai"":""ค่อนข้าง"",""english"":""quite"",""tones"":[""falling"",""falling""],""grammar"":true,""romanization"":""kôn-khâang""},{""thai"":""ใจดี"",""english"":""kind"",""romanization"":""jai-dii""},{""thai"":""และ"",""english"":""and"",""tones"":[""high""],""tone"":""high"",""romanization"":""láe""},{""thai"":""ช่วยเหลือ"",""english"":""helps"",""tones"":[""falling"",""rising""],""romanization"":""chûai-lǔe""},{""thai"":""คนอื่น"",""english"":""others"",""romanization"":""khon ùen""}]",medium
รถเมล์ในกรุงเทพฯ ค่อนข้างช้านิดหน่อย,rot-mee nai grung-thêep kôn-khâang cháa nít-nòy,The bus in Bangkok is quite slow.,"[{""thai"":""รถเมล์"",""english"":""bus"",""romanization"":""rot-mee""},{""thai"":""ในกรุงเทพฯ"",""english"":""in Bangkok"",""romanization"":""nai grung-thêep""},{""thai"":""ค่อนข้าง"",""english"":""quite"",""tones"":[""falling"",""falling""],""grammar"":true,""romanization"":""kôn-khâang""},{""thai"":""ช้า"",""english"":""slow"",""tones"":[""high""],""tone"":""high"",""romanization"":""cháa""},{""thai"":""นิดหน่อย"",""english"":""a little"",""tones"":[""high"",""low""],""romanization"":""nít-nòy""}]",medium
เพื่อนร่วมงานของผมค่อนข้างขยัน,phuêan-rûam-ngaan khǒng phǒm kôn-khâang khà-yan,My coworker is quite diligent.,"[{""thai"":""เพื่อนร่วมงาน"",""english"":""coworker"",""romanization"":""phuêan-rûam-ngaan""},{""thai"":""ของผม"",""english"":""of mine"",""tones"":[""rising"",""rising""],""romanization"":""khǒng phǒm""},{""thai"":""ค่อนข้าง"",""english"":""quite"",""tones"":[""falling"",""falling""],""grammar"":true,""romanization"":""kôn-khâang""},{""thai"":""ขยัน"",""english"":""diligent"",""romanization"":""khà-yan""}]",medium
