thai,romanization,english,breakdown,difficulty
เขาเอาขนมมาให้ฉัน,khao ao khanom ma hai chan,He brought me snacks.,"[{""thai"":""เขา"",""english"":""he / she"",""tones"":[""high""],""tone"":""high"",""romanization"":""kháo""},{""thai"":""เอา"",""english"":""take / bring"",""romanization"":""ao""},{""thai"":""ขนม"",""english"":""snack"",""romanization"":""khà-nŏm""},{""thai"":""มาให้"",""english"":""bring to / give to"",""grammar"":true,""romanization"":""maa hâi""},{""thai"":""ฉัน"",""english"":""me"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chăn""}]",hard
เขาเอาขนมมาให้ฉัน,khao ao khanom maa hai chan,He brought me snacks.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khao""},{""thai"":""เอา"",""english"":""bring / take"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""ao""},{""thai"":""ขนม"",""english"":""snacks"",""tones"":[""rising"",""mid""],""romanization"":""khanom""},{""thai"":""มาให้"",""english"":""bring to / give to"",""tones"":[""mid"",""falling""],""grammar"":true,""romanization"":""maa hai""},{""thai"":""ฉัน"",""english"":""me"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""}]",easy
แม่หยิบน้ำมาให้พ่อ,mae yip naam maa hai pho,Mom picked up some water and brought it to Dad.,"[{""thai"":""แม่"",""english"":""Mom"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""mae""},{""thai"":""หยิบ"",""english"":""pick up"",""tones"":[""low""],""tone"":""low"",""romanization"":""yip""},{""thai"":""น้ำ"",""english"":""water"",""tones"":[""high""],""tone"":""high"",""romanization"":""naam""},{""thai"":""มาให้"",""english"":""bring to / give to"",""tones"":[""mid"",""falling""],""grammar"":true,""romanization"":""maa hai""},{""thai"":""พ่อ"",""english"":""Dad"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""pho""}]",easy
ฉันส่งรูปไปให้เพื่อน,chan song ruup pai hai phuean,I sent the photo to a friend.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""},{""thai"":""ส่ง"",""english"":""send"",""tones"":[""low""],""tone"":""low"",""romanization"":""song""},{""thai"":""รูป"",""english"":""photo"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""ruup""},{""thai"":""ไปให้"",""english"":""send to / give to"",""tones"":[""mid"",""falling""],""grammar"":true,""romanization"":""pai hai""},{""thai"":""เพื่อน"",""english"":""friend"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""phuean""}]",easy
เขายื่นเอกสารมาให้ครู,khao yuen ekkasaan maa hai khruu,He handed the document to the teacher.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khao""},{""thai"":""ยื่น"",""english"":""hand over"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""yuen""},{""thai"":""เอกสาร"",""english"":""document"",""tones"":[""low"",""low"",""rising""],""romanization"":""ekkasaan""},{""thai"":""มาให้"",""english"":""bring to / give to"",""tones"":[""mid"",""falling""],""grammar"":true,""romanization"":""maa hai""},{""thai"":""ครู"",""english"":""teacher"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""khruu""}]",medium
พ่อซื้อข้าวมาให้แม่,pho sue khao maa hai mae,Dad bought food for Mom and brought it to her.,"[{""thai"":""พ่อ"",""english"":""Dad"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""pho""},{""thai"":""ซื้อ"",""english"":""buy"",""tones"":[""high""],""tone"":""high"",""romanization"":""sue""},{""thai"":""ข้าว"",""english"":""food"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""khao""},{""thai"":""มาให้"",""english"":""bring to / give to"",""tones"":[""mid"",""falling""],""grammar"":true,""romanization"":""maa hai""},{""thai"":""แม่"",""english"":""Mom"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""mae""}]",easy
ฉันฝากกุญแจไว้ให้เขา,chan faak gunjae wai hai khao,I left the key with him.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""},{""thai"":""ฝาก"",""english"":""leave with /ฝาก"",""tones"":[""low""],""tone"":""low"",""romanization"":""faak""},{""thai"":""กุญแจ"",""english"":""key"",""tones"":[""mid"",""mid""],""romanization"":""gunjae""},{""thai"":""ไว้ให้"",""english"":""leave for / give for keeping"",""tones"":[""high"",""falling""],""grammar"":true,""romanization"":""wai hai""},{""thai"":""เขา"",""english"":""him"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khao""}]",medium
เธอเขียนที่อยู่ให้ฉัน,thoe khian thii yuu hai chan,She wrote the address down for me.,"[{""thai"":""เธอ"",""english"":""she"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""thoe""},{""thai"":""เขียน"",""english"":""write"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khian""},{""thai"":""ที่อยู่"",""english"":""address"",""tones"":[""falling"",""low""],""romanization"":""thii yuu""},{""thai"":""ให้"",""english"":""for / to"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""hai""},{""thai"":""ฉัน"",""english"":""me"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""}]",easy
เราส่งลิงก์ไปให้ทีมแล้ว,rao song ling pai hai thiim laeo,We already sent the link to the team.,"[{""thai"":""เรา"",""english"":""we"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""rao""},{""thai"":""ส่ง"",""english"":""send"",""tones"":[""low""],""tone"":""low"",""romanization"":""song""},{""thai"":""ลิงก์"",""english"":""link"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""ling""},{""thai"":""ไปให้"",""english"":""send to"",""tones"":[""mid"",""falling""],""grammar"":true,""romanization"":""pai hai""},{""thai"":""ทีม"",""english"":""team"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""thiim""},{""thai"":""แล้ว"",""english"":""already"",""tones"":[""high""],""tone"":""high"",""romanization"":""laeo""}]",medium
เขาเอาเก้าอี้มาให้ลูกค้านั่ง,khao ao kao ii maa hai luukkhaa nang,He brought a chair for the customer to sit on.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khao""},{""thai"":""เอา"",""english"":""bring"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""ao""},{""thai"":""เก้าอี้"",""english"":""chair"",""tones"":[""falling"",""falling""],""romanization"":""kao ii""},{""thai"":""มาให้"",""english"":""bring to / for"",""tones"":[""mid"",""falling""],""grammar"":true,""romanization"":""maa hai""},{""thai"":""ลูกค้า"",""english"":""customer"",""tones"":[""falling"",""high""],""romanization"":""luukkhaa""},{""thai"":""นั่ง"",""english"":""sit"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""nang""}]",medium
แม่ทำกับข้าวไว้ให้เรา,mae tham gapkhao wai hai rao,Mom cooked and left food for us.,"[{""thai"":""แม่"",""english"":""Mom"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""mae""},{""thai"":""ทำ"",""english"":""make"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""tham""},{""thai"":""กับข้าว"",""english"":""food / dishes"",""tones"":[""low"",""falling""],""romanization"":""gapkhao""},{""thai"":""ไว้ให้"",""english"":""leave for"",""tones"":[""high"",""falling""],""grammar"":true,""romanization"":""wai hai""},{""thai"":""เรา"",""english"":""us"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""rao""}]",medium
ฉันอธิบายเรื่องนี้ให้เขาฟัง,chan athibai rueang nii hai khao fang,I explained this to him.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""},{""thai"":""อธิบาย"",""english"":""explain"",""tones"":[""low"",""mid"",""mid""],""romanization"":""athibai""},{""thai"":""เรื่องนี้"",""english"":""this matter"",""tones"":[""falling"",""falling""],""romanization"":""rueang nii""},{""thai"":""ให้"",""english"":""to / for"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""hai""},{""thai"":""เขา"",""english"":""him"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khao""},{""thai"":""ฟัง"",""english"":""listen"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""fang""}]",medium
