thai,romanization,english,breakdown,difficulty
ฉันอยู่ที่นี่ตั้งแต่เช้า,chan yu thi ni tang tae chao,I have been here since morning.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chǎn""},{""thai"":""อยู่"",""english"":""stay / be located"",""tones"":[""low""],""tone"":""low"",""romanization"":""yùu""},{""thai"":""ที่นี่"",""english"":""here"",""tones"":[""falling"",""falling""],""romanization"":""thîi-nîi""},{""thai"":""ตั้งแต่"",""english"":""since / starting from"",""tones"":[""falling"",""low""],""grammar"":true,""romanization"":""tâng-tàe""},{""thai"":""เช้า"",""english"":""morning"",""tones"":[""high""],""tone"":""high"",""romanization"":""cháo""}]",easy
เขาทำงานที่นี่ตั้งแต่ปีที่แล้ว,khao tham ngan thi ni tang tae pi thi laeo,He has worked here since last year.,"[{""thai"":""เขา"",""english"":""he / she"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khǎo""},{""thai"":""ทำงาน"",""english"":""work"",""romanization"":""tham-ngaan""},{""thai"":""ที่นี่"",""english"":""here"",""tones"":[""falling"",""falling""],""romanization"":""thîi-nîi""},{""thai"":""ตั้งแต่"",""english"":""since / starting from"",""tones"":[""falling"",""low""],""grammar"":true,""romanization"":""tâng-tàe""},{""thai"":""ปีที่แล้ว"",""english"":""last year"",""romanization"":""pii-thîi-láaeo""}]",easy
ฉันเรียนที่นี่ตั้งแต่มกราคม,chǎn rian thîi-nîi tâng-tàe mok-gà-raa-khom,I have been studying here since January.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chǎn""},{""thai"":""เรียน"",""english"":""study"",""romanization"":""rian""},{""thai"":""ที่นี่"",""english"":""here"",""tones"":[""falling"",""falling""],""romanization"":""thîi-nîi""},{""thai"":""ตั้งแต่"",""english"":""since"",""tones"":[""falling"",""low""],""grammar"":true,""romanization"":""tâng-tàe""},{""thai"":""มกราคม"",""english"":""January"",""romanization"":""mók-gà-raa-khom""}]",easy
เขาทำงานที่บริษัทนี้ตั้งแต่เรียนจบ,kǎo tham-ngaan thîi borisàt níi tâng-tàe rian jòp,He has been working at this company since he graduated.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khǎo""},{""thai"":""ทำงาน"",""english"":""work"",""romanization"":""tham-ngaan""},{""thai"":""ที่บริษัทนี้"",""english"":""at this company"",""tones"":[""falling"",""low"",""high""],""romanization"":""thîi-borisàt-níi""},{""thai"":""ตั้งแต่"",""english"":""since"",""tones"":[""falling"",""low""],""grammar"":true,""romanization"":""tâng-tàe""},{""thai"":""เรียนจบ"",""english"":""graduated"",""romanization"":""rian-jòp""}]",medium
เราอยู่ที่เชียงใหม่ตั้งแต่ฤดูฝน,rao yùu thîi chiang-mai tâng-tàe réu-duu fǒn,We have been in Chiang Mai since the rainy season.,"[{""thai"":""เรา"",""english"":""we"",""romanization"":""rao""},{""thai"":""อยู่"",""english"":""have been"",""tones"":[""low""],""tone"":""low"",""romanization"":""yùu""},{""thai"":""ที่เชียงใหม่"",""english"":""in Chiang Mai"",""romanization"":""thîi-chiang-mai""},{""thai"":""ตั้งแต่"",""english"":""since"",""tones"":[""falling"",""low""],""grammar"":true,""romanization"":""tâng-tàe""},{""thai"":""ฤดูฝน"",""english"":""rainy season"",""romanization"":""réu-duu-fǒn""}]",medium
เธอไม่ได้กลับบ้านตั้งแต่ปีที่แล้ว,theoe mái dâai glàp bâan tâng-tàe pii thîi láaeo,She hasn't returned home since last year.,"[{""thai"":""เธอ"",""english"":""she"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""theoe""},{""thai"":""ไม่ได้"",""english"":""hasn't"",""tones"":[""high"",""falling""],""romanization"":""mái-dâai""},{""thai"":""กลับบ้าน"",""english"":""returned home"",""tones"":[""low"",""falling""],""romanization"":""glàp-bâan""},{""thai"":""ตั้งแต่"",""english"":""since"",""tones"":[""falling"",""low""],""grammar"":true,""romanization"":""tâng-tàe""},{""thai"":""ปีที่แล้ว"",""english"":""last year"",""romanization"":""pii-thîi-láaeo""}]",medium
ตั้งแต่เขาได้รับงานใหม่ เขาก็ยุ่งมาก,tâng-tàe khao dâi ráp ngaan mài khǎo gôr yûng mâak,"Since he got the new job, he has been very busy.","[{""thai"":""ตั้งแต่"",""english"":""since"",""tones"":[""falling"",""low""],""grammar"":true,""romanization"":""tâng-tàe""},{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khǎo""},{""thai"":""ได้รับงานใหม่"",""english"":""got the new job"",""romanization"":""dâai-ráp-ngaan-mài""},{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khǎo""},{""thai"":""ก็ยุ่งมาก"",""english"":""has been very busy"",""tones"":[""falling"",""falling"",""falling""],""romanization"":""gôr-yûng-mâak""}]",hard
เธอไม่ได้ว่ายน้ำตั้งแต่เดือนที่แล้ว,theoe mái dâai wâai náam tâng-tàe duean thîi láaeo,She hasn't gone swimming since last month.,"[{""thai"":""เธอ"",""english"":""she"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""theoe""},{""thai"":""ไม่ได้"",""english"":""hasn't"",""tones"":[""high"",""falling""],""romanization"":""mái-dâai""},{""thai"":""ว่ายน้ำ"",""english"":""gone swimming"",""tones"":[""falling"",""high""],""romanization"":""wâai-náam""},{""thai"":""ตั้งแต่"",""english"":""since"",""tones"":[""falling"",""low""],""grammar"":true,""romanization"":""tâng-tàe""},{""thai"":""เดือนที่แล้ว"",""english"":""last month"",""romanization"":""duean-thîi-láaeo""}]",medium
ฉันรู้สึกดีขึ้นตั้งแต่เริ่มออกกำลังกาย,chǎn rúusùek dii khûen tâng-tàe rêem òrk gamlanggaai,I have felt better since I started exercising.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chǎn""},{""thai"":""รู้สึกดีขึ้น"",""english"":""have felt better"",""romanization"":""rúu-sùek-dii-khûen""},{""thai"":""ตั้งแต่"",""english"":""since"",""tones"":[""falling"",""low""],""grammar"":true,""romanization"":""tâng-tàe""},{""thai"":""เริ่มออกกำลังกาย"",""english"":""started exercising"",""romanization"":""rêem-òrk-gamlanggaai""}]",hard
เขาไม่ได้เจอเพื่อนๆ ตั้งแต่ย้ายโรงเรียน,khao mái dâai joe pheûan-pheûan tâng-tàe yáai rongrian,He hasn't met his friends since he moved schools.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khǎo""},{""thai"":""ไม่ได้เจอ"",""english"":""hasn't met"",""romanization"":""mái-dâai-joe""},{""thai"":""เพื่อนๆ"",""english"":""his friends"",""tones"":[""falling"",""falling""],""romanization"":""pheûan-pheûan""},{""thai"":""ตั้งแต่"",""english"":""since"",""tones"":[""falling"",""low""],""grammar"":true,""romanization"":""tâng-tàe""},{""thai"":""ย้ายโรงเรียน"",""english"":""moved schools"",""romanization"":""yáai-rongrian""}]",medium
เราไม่ได้ไปเที่ยวต่างจังหวัดตั้งแต่มีลูก,rao mái dâai pai thîeao tàang jangwàt tâng-tàe mii lûuk,We haven't traveled out of town since having a child.,"[{""thai"":""เรา"",""english"":""we"",""romanization"":""rao""},{""thai"":""ไม่ได้ไปเที่ยว"",""english"":""haven't traveled"",""romanization"":""mái-dâai-pai-thîeao""},{""thai"":""ต่างจังหวัด"",""english"":""out of town"",""tones"":[""low"",""low""],""romanization"":""tàang-jangwàt""},{""thai"":""ตั้งแต่"",""english"":""since"",""tones"":[""falling"",""low""],""grammar"":true,""romanization"":""tâng-tàe""},{""thai"":""มีลูก"",""english"":""having a child"",""romanization"":""mii-lûuk""}]",hard
ตั้งแต่มีอินเทอร์เน็ต การค้นหาข้อมูลก็ง่ายขึ้น,tâng-tàe mii intœ̂œnet gaan khón hǎa khâawmūn gôr ngâai khûen,"Since there has been the internet, searching for information has become easier.","[{""thai"":""ตั้งแต่"",""english"":""since"",""tones"":[""falling"",""low""],""grammar"":true,""romanization"":""tâng-tàe""},{""thai"":""มีอินเทอร์เน็ต"",""english"":""there has been the internet"",""romanization"":""mii-intœ̂œnet""},{""thai"":""การค้นหาข้อมูล"",""english"":""searching for information"",""romanization"":""gaan-khón-hǎa-khâawmūn""},{""thai"":""ก็ง่ายขึ้น"",""english"":""has become easier"",""tones"":[""falling"",""falling"",""falling""],""romanization"":""gôr-ngâai-khûen""}]",hard
