thai,romanization,english,breakdown,difficulty
แมวอยู่ในกล่อง,maeo yùu nai glòng,The cat is in the box.,"[{""thai"":""แมว"",""english"":""cat"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""maeo""},{""thai"":""อยู่"",""english"":""is / is located"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""yùu""},{""thai"":""ใน"",""english"":""in"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""nai""},{""thai"":""กล่อง"",""english"":""box"",""tones"":[""low""],""tone"":""low"",""romanization"":""glòng""}]",easy
หมาอยู่ใต้โต๊ะ,mǎa yùu dtâi dtó,The dog is under the table.,"[{""thai"":""หมา"",""english"":""dog"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""mǎa""},{""thai"":""อยู่"",""english"":""is / is located"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""yùu""},{""thai"":""ใต้"",""english"":""under"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""dtâi""},{""thai"":""โต๊ะ"",""english"":""table"",""tones"":[""high""],""tone"":""high"",""romanization"":""dtó""}]",easy
โทรศัพท์อยู่บนโต๊ะ,thoo-rá-sàp yùu bon dtó,The phone is on the table.,"[{""thai"":""โทรศัพท์"",""english"":""phone"",""tones"":[""mid"",""high"",""low""],""romanization"":""thoo-rá-sàp""},{""thai"":""อยู่"",""english"":""is / is located"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""yùu""},{""thai"":""บน"",""english"":""on"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""bon""},{""thai"":""โต๊ะ"",""english"":""table"",""tones"":[""high""],""tone"":""high"",""romanization"":""dtó""}]",easy
หนังสืออยู่ในกระเป๋า,nǎng-sǔue yùu nai grà-bpǎo,The book is in the bag.,"[{""thai"":""หนังสือ"",""english"":""book"",""tones"":[""rising"",""rising""],""romanization"":""nǎng-sǔue""},{""thai"":""อยู่"",""english"":""is / is located"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""yùu""},{""thai"":""ใน"",""english"":""in"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""nai""},{""thai"":""กระเป๋า"",""english"":""bag"",""tones"":[""low"",""rising""],""romanization"":""grà-bpǎo""}]",easy
กระเป๋าอยู่ข้างเก้าอี้,grà-bpǎo yùu khâang gâo-îi,The bag is next to the chair.,"[{""thai"":""กระเป๋า"",""english"":""bag"",""tones"":[""low"",""rising""],""romanization"":""grà-bpǎo""},{""thai"":""อยู่"",""english"":""is / is located"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""yùu""},{""thai"":""ข้าง"",""english"":""next to"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""khâang""},{""thai"":""เก้าอี้"",""english"":""chair"",""tones"":[""falling"",""falling""],""romanization"":""gâo-îi""}]",medium
จานอยู่บนโต๊ะ,jaan yùu bon dtó,The plate is on the table.,"[{""thai"":""จาน"",""english"":""plate"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""jaan""},{""thai"":""อยู่"",""english"":""is / is located"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""yùu""},{""thai"":""บน"",""english"":""on"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""bon""},{""thai"":""โต๊ะ"",""english"":""table"",""tones"":[""high""],""tone"":""high"",""romanization"":""dtó""}]",easy
แก้วน้ำอยู่ในครัว,gâew-náam yùu nai khrua,The glass is in the kitchen.,"[{""thai"":""แก้วน้ำ"",""english"":""glass"",""tones"":[""falling"",""high""],""romanization"":""gâew-náam""},{""thai"":""อยู่"",""english"":""is / is located"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""yùu""},{""thai"":""ใน"",""english"":""in"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""nai""},{""thai"":""ครัว"",""english"":""kitchen"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""khrua""}]",medium
นาฬิกาอยู่บนผนัง,naa-lí-gaa yùu bon phà-nǎng,The clock is on the wall.,"[{""thai"":""นาฬิกา"",""english"":""clock"",""tones"":[""mid"",""high"",""mid""],""romanization"":""naa-lí-gaa""},{""thai"":""อยู่"",""english"":""is / is located"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""yùu""},{""thai"":""บน"",""english"":""on"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""bon""},{""thai"":""ผนัง"",""english"":""wall"",""tones"":[""low"",""rising""],""romanization"":""phà-nǎng""}]",medium
หมวกอยู่บนเตียง,mùak yùu bon dtiiang,The hat is on the bed.,"[{""thai"":""หมวก"",""english"":""hat"",""tones"":[""low""],""tone"":""low"",""romanization"":""mùak""},{""thai"":""อยู่"",""english"":""is / is located"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""yùu""},{""thai"":""บน"",""english"":""on"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""bon""},{""thai"":""เตียง"",""english"":""bed"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""dtiiang""}]",easy
เสื้ออยู่ในตู้,sʉ̂a yùu nai dtûu,The shirt is in the closet.,"[{""thai"":""เสื้อ"",""english"":""shirt"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""sʉ̂a""},{""thai"":""อยู่"",""english"":""is / is located"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""yùu""},{""thai"":""ใน"",""english"":""in"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""nai""},{""thai"":""ตู้"",""english"":""closet / cabinet"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""dtûu""}]",easy
