thai,romanization,english,breakdown,difficulty
คนเราย่อมผิดพลาดได้,khon rao yom phitphlat dai,People inevitably make mistakes.,"[{""thai"":""คนเรา"",""english"":""people / human beings"",""romanization"":""khon rao""},{""thai"":""ย่อม"",""english"":""inevitably / naturally"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""yôm""},{""thai"":""ผิดพลาด"",""english"":""make a mistake"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""phitphlât""},{""thai"":""ได้"",""english"":""can"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""dâi""}]",hard
คนเราย่อมผิดพลาดได้,khon-rao yawm phit-phlaat dai,People are bound to make mistakes.,"[{""thai"":""คนเรา"",""english"":""people / human beings"",""tones"":[""mid"",""mid""],""romanization"":""khon-rao""},{""thai"":""ย่อม"",""english"":""inevitably / naturally"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""yawm""},{""thai"":""ผิดพลาดได้"",""english"":""make mistakes"",""tones"":[""low"",""falling"",""falling""],""romanization"":""phit-phlaat dai""}]",medium
การเปลี่ยนแปลงย่อมใช้เวลา,gaan bplian-bplaeng yawm chai wee-laa,Change inevitably takes time.,"[{""thai"":""การเปลี่ยนแปลง"",""english"":""change"",""tones"":[""mid"",""low"",""mid""],""romanization"":""gaan bplian-bplaeng""},{""thai"":""ย่อม"",""english"":""inevitably"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""yawm""},{""thai"":""ใช้เวลา"",""english"":""take time"",""tones"":[""high"",""mid"",""mid""],""romanization"":""chai wee-laa""}]",medium
คนที่ขยันย่อมพัฒนาได้เร็วขึ้น,khon thii kha-yan yawm phat-tha-naa dai reo khuen,People who work hard naturally improve faster.,"[{""thai"":""คนที่ขยัน"",""english"":""people who work hard"",""tones"":[""mid"",""falling"",""rising"",""mid""],""romanization"":""khon thii kha-yan""},{""thai"":""ย่อม"",""english"":""naturally"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""yawm""},{""thai"":""พัฒนาได้เร็วขึ้น"",""english"":""improve faster"",""tones"":[""high"",""mid"",""mid"",""falling"",""mid"",""falling""],""romanization"":""phat-tha-naa dai reo khuen""}]",hard
ถ้าฝึกทุกวันผลก็ย่อมดีขึ้น,thaa fuek thuk wan phon gaw yawm dii khuen,"If you practice every day, the results will naturally improve.","[{""thai"":""ถ้าฝึกทุกวัน"",""english"":""if you practice every day"",""tones"":[""falling"",""low"",""high"",""mid""],""romanization"":""thaa fuek thuk wan""},{""thai"":""ผลก็"",""english"":""the results then"",""tones"":[""rising"",""low""],""romanization"":""phon gaw""},{""thai"":""ย่อม"",""english"":""naturally"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""yawm""},{""thai"":""ดีขึ้น"",""english"":""improve"",""tones"":[""mid"",""falling""],""romanization"":""dii khuen""}]",medium
เมื่องานเยอะทุกคนย่อมเหนื่อย,muea ngaan yoe thuk khon yawm nueai,"When work piles up, everyone naturally gets tired.","[{""thai"":""เมื่องานเยอะ"",""english"":""when there is a lot of work"",""tones"":[""falling"",""mid"",""high""],""romanization"":""muea ngaan yoe""},{""thai"":""ทุกคน"",""english"":""everyone"",""tones"":[""high"",""mid""],""romanization"":""thuk khon""},{""thai"":""ย่อม"",""english"":""naturally"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""yawm""},{""thai"":""เหนื่อย"",""english"":""be tired"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""nueai""}]",medium
คนที่ไม่พักผ่อนย่อมล้า,khon thii mai phak-phon yawm laa,People who don't rest will naturally get worn out.,"[{""thai"":""คนที่ไม่พักผ่อน"",""english"":""people who don't rest"",""tones"":[""mid"",""falling"",""falling"",""high"",""falling""],""romanization"":""khon thii mai phak-phon""},{""thai"":""ย่อม"",""english"":""naturally"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""yawm""},{""thai"":""ล้า"",""english"":""be exhausted"",""tones"":[""high""],""tone"":""high"",""romanization"":""laa""}]",medium
การเริ่มต้นย่อมยากเสมอ,gaan roem-dton yawm yaak sa-mer,Beginnings are naturally difficult.,"[{""thai"":""การเริ่มต้น"",""english"":""beginning"",""tones"":[""mid"",""falling"",""falling""],""romanization"":""gaan roem-dton""},{""thai"":""ย่อม"",""english"":""naturally"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""yawm""},{""thai"":""ยากเสมอ"",""english"":""always difficult"",""tones"":[""falling"",""mid"",""mid""],""romanization"":""yaak sa-mer""}]",medium
เมื่ออากาศร้อนน้ำแข็งย่อมละลาย,muea aa-gaat rawn naam-khaeng yawm la-laai,"When the weather is hot, ice naturally melts.","[{""thai"":""เมื่ออากาศร้อน"",""english"":""when the weather is hot"",""tones"":[""falling"",""mid"",""low"",""high""],""romanization"":""muea aa-gaat rawn""},{""thai"":""น้ำแข็ง"",""english"":""ice"",""tones"":[""high"",""rising""],""romanization"":""naam-khaeng""},{""thai"":""ย่อม"",""english"":""naturally"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""yawm""},{""thai"":""ละลาย"",""english"":""melt"",""tones"":[""high"",""mid""],""romanization"":""la-laai""}]",medium
ผู้ที่ฟังดีๆ ย่อมเข้าใจมากขึ้น,phuu thii fang dii dii yawm khao-jai maak khuen,People who listen carefully naturally understand more.,"[{""thai"":""ผู้ที่ฟังดีๆ"",""english"":""those who listen carefully"",""tones"":[""falling"",""falling"",""mid"",""mid"",""mid""],""romanization"":""phuu thii fang dii dii""},{""thai"":""ย่อม"",""english"":""naturally"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""yawm""},{""thai"":""เข้าใจมากขึ้น"",""english"":""understand more"",""tones"":[""falling"",""mid"",""falling"",""falling""],""romanization"":""khao-jai maak khuen""}]",medium
