thai,romanization,english,breakdown,difficulty
แพงทีเดียว,phaeng thi diao,It's quite expensive.,"[{""thai"":""แพง"",""english"":""expensive"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""phaeng""},{""thai"":""ทีเดียว"",""english"":""quite / rather"",""grammar"":true,""romanization"":""thi diao""}]",hard
ห้องนี้เงียบทีเดียว,hong nii ngiap thii-diao,This room is quite quiet.,"[{""thai"":""ห้องนี้"",""english"":""this room"",""tones"":[""falling"",""high""],""romanization"":""hong nii""},{""thai"":""เงียบทีเดียว"",""english"":""is quite quiet"",""tones"":[""low"",""mid"",""mid""],""grammar"":true,""romanization"":""ngiap thii-diao""}]",medium
งานนี้ยากทีเดียว,ngaan nii yaak thii-diao,This task is rather difficult.,"[{""thai"":""งานนี้"",""english"":""this task"",""tones"":[""mid"",""high""],""romanization"":""ngaan nii""},{""thai"":""ยากทีเดียว"",""english"":""is rather difficult"",""tones"":[""falling"",""mid"",""mid""],""grammar"":true,""romanization"":""yaak thii-diao""}]",medium
เขาพูดเร็วทีเดียว,khao phuut reo thii-diao,He speaks quite quickly.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khao""},{""thai"":""พูดเร็วทีเดียว"",""english"":""speaks quite quickly"",""tones"":[""falling"",""mid"",""mid"",""mid""],""grammar"":true,""romanization"":""phuut reo thii-diao""}]",medium
ร้านนั้นแพงทีเดียว,raan nan phaeng thii-diao,That place is rather expensive.,"[{""thai"":""ร้านนั้น"",""english"":""that place"",""tones"":[""high"",""high""],""romanization"":""raan nan""},{""thai"":""แพงทีเดียว"",""english"":""is rather expensive"",""tones"":[""mid"",""mid"",""mid""],""grammar"":true,""romanization"":""phaeng thii-diao""}]",medium
วันนี้ร้อนทีเดียว,wan nii ron thii-diao,It's quite hot today.,"[{""thai"":""วันนี้"",""english"":""today"",""tones"":[""mid"",""high""],""romanization"":""wan nii""},{""thai"":""ร้อนทีเดียว"",""english"":""is quite hot"",""tones"":[""high"",""mid"",""mid""],""grammar"":true,""romanization"":""ron thii-diao""}]",medium
เด็กคนนี้โตเร็วทีเดียว,dek khon nii dto reo thii-diao,This child is growing quite fast.,"[{""thai"":""เด็กคนนี้"",""english"":""this child"",""tones"":[""low"",""mid"",""high""],""romanization"":""dek khon nii""},{""thai"":""โตเร็วทีเดียว"",""english"":""is growing quite fast"",""tones"":[""mid"",""mid"",""mid"",""mid""],""grammar"":true,""romanization"":""dto reo thii-diao""}]",medium
หนังเรื่องนี้สนุกทีเดียว,nang rueang nii sa-nuk thii-diao,This movie is quite enjoyable.,"[{""thai"":""หนังเรื่องนี้"",""english"":""this movie"",""tones"":[""rising"",""falling"",""high""],""romanization"":""nang rueang nii""},{""thai"":""สนุกทีเดียว"",""english"":""is quite enjoyable"",""tones"":[""low"",""high"",""mid"",""mid""],""grammar"":true,""romanization"":""sa-nuk thii-diao""}]",medium
ข้อเสนอนี้น่าสนใจทีเดียว,kho sa-noe nii naa son-jai thii-diao,This proposal is quite interesting.,"[{""thai"":""ข้อเสนอนี้"",""english"":""this proposal"",""tones"":[""falling"",""low"",""mid"",""high""],""romanization"":""kho sa-noe nii""},{""thai"":""น่าสนใจทีเดียว"",""english"":""is quite interesting"",""tones"":[""falling"",""mid"",""mid"",""mid"",""mid""],""grammar"":true,""romanization"":""naa son-jai thii-diao""}]",medium
กาแฟร้านนี้เข้มทีเดียว,gaa-fae raan nii khem thii-diao,This shop's coffee is quite strong.,"[{""thai"":""กาแฟร้านนี้"",""english"":""this shop's coffee"",""tones"":[""mid"",""mid"",""high"",""high""],""romanization"":""gaa-fae raan nii""},{""thai"":""เข้มทีเดียว"",""english"":""is quite strong"",""tones"":[""falling"",""mid"",""mid""],""grammar"":true,""romanization"":""khem thii-diao""}]",medium
ห้องประชุมนี้กว้างทีเดียว,hong pra-chum nii gwaang thii-diao,This meeting room is quite spacious.,"[{""thai"":""ห้องประชุมนี้"",""english"":""this meeting room"",""tones"":[""falling"",""low"",""mid"",""high""],""romanization"":""hong pra-chum nii""},{""thai"":""กว้างทีเดียว"",""english"":""is quite spacious"",""tones"":[""falling"",""mid"",""mid""],""grammar"":true,""romanization"":""gwaang thii-diao""}]",medium
เขาใจเย็นทีเดียว,khao jai-yen thii-diao,He is rather calm.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khao""},{""thai"":""ใจเย็นทีเดียว"",""english"":""is rather calm"",""tones"":[""mid"",""mid"",""mid"",""mid""],""grammar"":true,""romanization"":""jai-yen thii-diao""}]",medium
เส้นทางนี้ไกลทีเดียว,sen-thaang nii glai thii-diao,This route is quite far.,"[{""thai"":""เส้นทางนี้"",""english"":""this route"",""tones"":[""falling"",""mid"",""high""],""romanization"":""sen-thaang nii""},{""thai"":""ไกลทีเดียว"",""english"":""is quite far"",""tones"":[""falling"",""mid"",""mid""],""grammar"":true,""romanization"":""glai thii-diao""}]",medium
ทีมนี้แข็งแรงทีเดียว,thiim nii khaeng-raeng thii-diao,This team is quite strong.,"[{""thai"":""ทีมนี้"",""english"":""this team"",""tones"":[""mid"",""high""],""romanization"":""thiim nii""},{""thai"":""แข็งแรงทีเดียว"",""english"":""is quite strong"",""tones"":[""falling"",""mid"",""mid"",""mid""],""grammar"":true,""romanization"":""khaeng-raeng thii-diao""}]",medium
วิธีนี้เข้าใจง่ายทีเดียว,wi-thii nii khao-jai ngaai thii-diao,This method is quite easy to understand.,"[{""thai"":""วิธีนี้"",""english"":""this method"",""tones"":[""mid"",""falling"",""high""],""romanization"":""wi-thii nii""},{""thai"":""เข้าใจง่ายทีเดียว"",""english"":""is quite easy to understand"",""tones"":[""rising"",""mid"",""falling"",""mid"",""mid""],""grammar"":true,""romanization"":""khao-jai ngaai thii-diao""}]",medium
ราคานี้ดีทีเดียว,raa-khaa nii dii thii-diao,This price is quite good.,"[{""thai"":""ราคานี้"",""english"":""this price"",""tones"":[""mid"",""high"",""high""],""romanization"":""raa-khaa nii""},{""thai"":""ดีทีเดียว"",""english"":""is quite good"",""tones"":[""mid"",""mid"",""mid""],""grammar"":true,""romanization"":""dii thii-diao""}]",medium
