thai,romanization,english,breakdown,difficulty
ปัญหาคือเวลาไม่พอ,panha khue wela mai pho,The problem is that there isn't enough time.,"[{""thai"":""ปัญหา"",""english"":""problem"",""romanization"":""panha""},{""thai"":""คือ"",""english"":""that is / namely"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""khue""},{""thai"":""เวลา"",""english"":""time"",""romanization"":""wela""},{""thai"":""ไม่"",""english"":""not"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""mai""},{""thai"":""พอ"",""english"":""enough"",""romanization"":""pho""}]",hard
ปัญหาคือเวลาไม่พอ,bpan-haa khue wee-laa mai phaaw,The problem is that there is not enough time.,"[{""thai"":""ปัญหา"",""english"":""problem"",""tones"":[""mid"",""rising""],""romanization"":""bpan-haa""},{""thai"":""คือ"",""english"":""that is / namely"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""khue""},{""thai"":""เวลาไม่พอ"",""english"":""not enough time"",""tones"":[""mid"",""mid"",""falling"",""mid""],""romanization"":""wee-laa mai phaaw""}]",hard
ข้อดีคือทีมนี้ตอบเร็ว,khaaw-dii khue thiim nii dtaawp reo,The advantage is that this team responds quickly.,"[{""thai"":""ข้อดี"",""english"":""advantage"",""tones"":[""falling"",""mid""],""romanization"":""khaaw-dii""},{""thai"":""คือ"",""english"":""that is / namely"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""khue""},{""thai"":""ทีมนี้ตอบเร็ว"",""english"":""this team responds quickly"",""tones"":[""mid"",""high"",""falling"",""mid""],""romanization"":""thiim nii dtaawp reo""}]",hard
สิ่งสำคัญคือเราต้องสื่อสารให้ชัด,sing sam-khan khue rao dtawng sue-saan hai chat,What matters is that we must communicate clearly.,"[{""thai"":""สิ่งสำคัญ"",""english"":""important thing"",""tones"":[""low"",""mid""],""romanization"":""sing sam-khan""},{""thai"":""คือ"",""english"":""that is / namely"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""khue""},{""thai"":""เราต้องสื่อสารให้ชัด"",""english"":""we must communicate clearly"",""tones"":[""mid"",""falling"",""mid"",""rising"",""falling"",""high""],""romanization"":""rao dtawng sue-saan hai chat""}]",hard
ความจริงคือเขายังไม่พร้อม,khwaam-jing khue khao yang mai phrawm,The truth is that he is still not ready.,"[{""thai"":""ความจริง"",""english"":""truth"",""tones"":[""mid"",""mid""],""romanization"":""khwaam-jing""},{""thai"":""คือ"",""english"":""that is / namely"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""khue""},{""thai"":""เขายังไม่พร้อม"",""english"":""he is still not ready"",""tones"":[""high"",""mid"",""falling"",""high""],""romanization"":""khao yang mai phrawm""}]",hard
เป้าหมายคือปิดงานให้ทัน,bpao-maai khue bpit ngaan hai than,The goal is to finish the work on time.,"[{""thai"":""เป้าหมาย"",""english"":""goal"",""tones"":[""falling"",""high""],""romanization"":""bpao-maai""},{""thai"":""คือ"",""english"":""that is / namely"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""khue""},{""thai"":""ปิดงานให้ทัน"",""english"":""finish the work on time"",""tones"":[""low"",""mid"",""falling"",""mid""],""romanization"":""bpit ngaan hai than""}]",hard
สิ่งที่ต้องทำก่อนคือเช็กข้อมูล,sing thii dtawng tham gawn khue chek khaaw-muun,What has to be done first is to check the information.,"[{""thai"":""สิ่งที่ต้องทำก่อน"",""english"":""what must be done first"",""tones"":[""low"",""falling"",""falling"",""mid"",""falling""],""romanization"":""sing thii dtawng tham gawn""},{""thai"":""คือ"",""english"":""that is / namely"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""khue""},{""thai"":""เช็กข้อมูล"",""english"":""check the information"",""tones"":[""high"",""falling"",""rising""],""romanization"":""chek khaaw-muun""}]",hard
เงื่อนไขคือทุกคนต้องส่งตรงเวลา,ngeuan-khai khue thuk-khon dtawng song dtrong wee-laa,The condition is that everyone must submit on time.,"[{""thai"":""เงื่อนไข"",""english"":""condition"",""tones"":[""mid"",""rising""],""romanization"":""ngeuan-khai""},{""thai"":""คือ"",""english"":""that is / namely"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""khue""},{""thai"":""ทุกคนต้องส่งตรงเวลา"",""english"":""everyone must submit on time"",""tones"":[""high"",""mid"",""falling"",""low"",""mid"",""mid""],""romanization"":""thuk-khon dtawng song dtrong wee-laa""}]",hard
ความต่างคือแผนนี้ใช้เงินน้อยกว่า,khwaam-dtaang khue phaen nii chai ngern naawy gwaa,The difference is that this plan uses less money.,"[{""thai"":""ความต่าง"",""english"":""difference"",""tones"":[""mid"",""low""],""romanization"":""khwaam-dtaang""},{""thai"":""คือ"",""english"":""that is / namely"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""khue""},{""thai"":""แผนนี้ใช้เงินน้อยกว่า"",""english"":""this plan uses less money"",""tones"":[""rising"",""high"",""high"",""mid"",""falling"",""low""],""romanization"":""phaen nii chai ngern naawy gwaa""}]",hard
เรื่องยากคือหาข้อมูลให้ครบ,rueang yaak khue haa khaaw-muun hai khrop,The difficult part is finding complete information.,"[{""thai"":""เรื่องยาก"",""english"":""difficult part"",""tones"":[""falling"",""falling""],""romanization"":""rueang yaak""},{""thai"":""คือ"",""english"":""that is / namely"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""khue""},{""thai"":""หาข้อมูลให้ครบ"",""english"":""find complete information"",""tones"":[""rising"",""falling"",""rising"",""falling"",""high""],""romanization"":""haa khaaw-muun hai khrop""}]",hard
ประเด็นคือเรายังไม่รู้ต้นเหตุ,bpra-den khue rao yang mai ruu dton-h?t,The issue is that we still do not know the root cause.,"[{""thai"":""ประเด็น"",""english"":""point / issue"",""tones"":[""low"",""mid""],""romanization"":""bpra-den""},{""thai"":""คือ"",""english"":""that is / namely"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""khue""},{""thai"":""เรายังไม่รู้ต้นเหตุ"",""english"":""we still do not know the root cause"",""tones"":[""mid"",""mid"",""falling"",""high"",""mid"",""low""],""romanization"":""rao yang mai ruu dton-h?t""}]",hard
สิ่งที่ลูกค้าต้องการคือคำตอบที่ชัดเจน,sing thii luuk-khaa dtawng-gaan khue kham-dtaawp thii chat-jen,What the customer wants is a clear answer.,"[{""thai"":""สิ่งที่ลูกค้าต้องการ"",""english"":""what the customer wants"",""tones"":[""low"",""falling"",""high"",""high"",""falling"",""mid""],""romanization"":""sing thii luuk-khaa dtawng-gaan""},{""thai"":""คือ"",""english"":""that is / namely"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""khue""},{""thai"":""คำตอบที่ชัดเจน"",""english"":""a clear answer"",""tones"":[""mid"",""falling"",""falling"",""high"",""mid""],""romanization"":""kham-dtaawp thii chat-jen""}]",hard
แผนสำรองคือเลื่อนวันเปิดตัว,phaen sam-raawng khue luean wan bpoet-dtua,The backup plan is to postpone the launch day.,"[{""thai"":""แผนสำรอง"",""english"":""backup plan"",""tones"":[""rising"",""mid"",""mid""],""romanization"":""phaen sam-raawng""},{""thai"":""คือ"",""english"":""that is / namely"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""khue""},{""thai"":""เลื่อนวันเปิดตัว"",""english"":""postpone the launch day"",""tones"":[""falling"",""mid"",""low"",""mid""],""romanization"":""luean wan bpoet-dtua""}]",hard
ขั้นตอนต่อไปคือคุยกับฝ่ายกฎหมาย,khan-dtaawn dtaw bpai khue khui gap faai got-maai,The next step is to talk with the legal team.,"[{""thai"":""ขั้นตอนต่อไป"",""english"":""next step"",""tones"":[""falling"",""falling"",""low"",""mid""],""romanization"":""khan-dtaawn dtaw bpai""},{""thai"":""คือ"",""english"":""that is / namely"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""khue""},{""thai"":""คุยกับฝ่ายกฎหมาย"",""english"":""talk with the legal team"",""tones"":[""mid"",""low"",""low"",""low"",""high""],""romanization"":""khui gap faai got-maai""}]",hard
ความเสี่ยงคือระบบอาจล่มอีก,khwaam siang khue ra-bop aat lom iik,The risk is that the system may crash again.,"[{""thai"":""ความเสี่ยง"",""english"":""risk"",""tones"":[""mid"",""low""],""romanization"":""khwaam siang""},{""thai"":""คือ"",""english"":""that is / namely"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""khue""},{""thai"":""ระบบอาจล่มอีก"",""english"":""the system may crash again"",""tones"":[""mid"",""low"",""low"",""low"",""mid""],""romanization"":""ra-bop aat lom iik""}]",hard
ทางออกคือแบ่งงานให้ชัด,thaang-aawk khue baeng ngaan hai chat,The solution is to divide the work clearly.,"[{""thai"":""ทางออก"",""english"":""solution"",""tones"":[""mid"",""low""],""romanization"":""thaang-aawk""},{""thai"":""คือ"",""english"":""that is / namely"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""khue""},{""thai"":""แบ่งงานให้ชัด"",""english"":""divide the work clearly"",""tones"":[""low"",""mid"",""falling"",""high""],""romanization"":""baeng ngaan hai chat""}]",hard
สิ่งที่ฉันกังวลคือเวลาจะไม่พอ,sing thii chan gang-won khue wee-laa ja mai phaaw,What I am worried about is that there will not be enough time.,"[{""thai"":""สิ่งที่ฉันกังวล"",""english"":""what I am worried about"",""tones"":[""low"",""falling"",""rising"",""mid"",""mid""],""romanization"":""sing thii chan gang-won""},{""thai"":""คือ"",""english"":""that is / namely"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""khue""},{""thai"":""เวลาจะไม่พอ"",""english"":""there will not be enough time"",""tones"":[""mid"",""mid"",""low"",""falling"",""mid""],""romanization"":""wee-laa ja mai phaaw""}]",hard
