thai,romanization,english,breakdown,difficulty
ทิ้งมันไปซะ,thing man pai sa,Just throw it away.,"[{""thai"":""ทิ้ง"",""english"":""throw away"",""tones"":[""high""],""tone"":""high"",""romanization"":""thíng""},{""thai"":""มัน"",""english"":""it"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""man""},{""thai"":""ไป"",""english"":""away"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""pai""},{""thai"":""ซะ"",""english"":""just do it / finish it"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""sá""}]",hard
พูดมาซะ,phuut maa sa,Say it already.,"[{""thai"":""พูดมา"",""english"":""say it"",""tones"":[""falling"",""mid""],""romanization"":""phuut maa""},{""thai"":""ซะ"",""english"":""just do it / get it over with"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""sa""}]",hard
บอกความจริงมาซะ,bok khwaam-jing maa sa,Just tell me the truth.,"[{""thai"":""บอกความจริงมา"",""english"":""tell me the truth"",""tones"":[""low"",""mid"",""mid"",""mid""],""romanization"":""bok khwaam-jing maa""},{""thai"":""ซะ"",""english"":""just do it / get it over with"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""sa""}]",hard
ทิ้งมันไปซะ,thing man bpai sa,Just throw it away.,"[{""thai"":""ทิ้งมันไป"",""english"":""throw it away"",""tones"":[""high"",""mid"",""mid""],""romanization"":""thing man bpai""},{""thai"":""ซะ"",""english"":""just do it / get it over with"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""sa""}]",hard
ทำให้เสร็จซะ,tham hai set sa,Just finish it.,"[{""thai"":""ทำให้เสร็จ"",""english"":""finish it"",""tones"":[""mid"",""falling"",""low""],""romanization"":""tham hai set""},{""thai"":""ซะ"",""english"":""just do it / get it over with"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""sa""}]",hard
เขียนลงไปซะ,khian long bpai sa,Just write it down.,"[{""thai"":""เขียนลงไป"",""english"":""write it down"",""tones"":[""rising"",""mid"",""mid""],""romanization"":""khian long bpai""},{""thai"":""ซะ"",""english"":""just do it / get it over with"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""sa""}]",hard
ปิดโทรศัพท์ซะ,bpit thoo-ra-sap sa,Just turn off the phone.,"[{""thai"":""ปิดโทรศัพท์"",""english"":""turn off the phone"",""tones"":[""low"",""mid"",""high"",""low""],""romanization"":""bpit thoo-ra-sap""},{""thai"":""ซะ"",""english"":""just do it / get it over with"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""sa""}]",hard
ลืมเรื่องนั้นไปซะ,luem rueang nan bpai sa,Just forget about that.,"[{""thai"":""ลืมเรื่องนั้นไป"",""english"":""forget about that"",""tones"":[""mid"",""falling"",""high"",""mid""],""romanization"":""luem rueang nan bpai""},{""thai"":""ซะ"",""english"":""just do it / get it over with"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""sa""}]",hard
ตอบเขาไปซะ,dtop khao bpai sa,Just reply to him.,"[{""thai"":""ตอบเขาไป"",""english"":""reply to him"",""tones"":[""low"",""rising"",""mid""],""romanization"":""dtop khao bpai""},{""thai"":""ซะ"",""english"":""just do it / get it over with"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""sa""}]",hard
กินข้าวซะก่อน,gin khao sa gawn,Just eat first.,"[{""thai"":""กินข้าว"",""english"":""eat first"",""tones"":[""mid"",""falling""],""romanization"":""gin khao""},{""thai"":""ซะก่อน"",""english"":""just do it first"",""tones"":[""high"",""falling""],""grammar"":true,""romanization"":""sa gawn""}]",hard
พักซะบ้าง,phak sa baang,Just get some rest for once.,"[{""thai"":""พัก"",""english"":""rest"",""tones"":[""high""],""tone"":""high"",""romanization"":""phak""},{""thai"":""ซะบ้าง"",""english"":""just do it for once"",""tones"":[""high"",""falling""],""grammar"":true,""romanization"":""sa baang""}]",hard
เริ่มซะเลย,reum sa loei,Just go ahead and start.,"[{""thai"":""เริ่ม"",""english"":""start"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""reum""},{""thai"":""ซะเลย"",""english"":""just go ahead and do it"",""tones"":[""high"",""mid""],""grammar"":true,""romanization"":""sa loei""}]",hard
เลือกสักทางซะ,leuak sak thaang sa,Just choose one way.,"[{""thai"":""เลือกสักทาง"",""english"":""choose one way"",""tones"":[""falling"",""low"",""mid""],""romanization"":""leuak sak thaang""},{""thai"":""ซะ"",""english"":""just do it / get it over with"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""sa""}]",hard
ถามให้ชัดซะ,thaam hai chat sa,Just ask clearly.,"[{""thai"":""ถามให้ชัด"",""english"":""ask clearly"",""tones"":[""rising"",""falling"",""low""],""romanization"":""thaam hai chat""},{""thai"":""ซะ"",""english"":""just do it / get it over with"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""sa""}]",hard
เล่ามาซะดีๆ,lao maa sa dii-dii,Just tell me properly.,"[{""thai"":""เล่ามา"",""english"":""tell me"",""tones"":[""falling"",""mid""],""romanization"":""lao maa""},{""thai"":""ซะดีๆ"",""english"":""just do it properly"",""tones"":[""high"",""mid"",""mid""],""grammar"":true,""romanization"":""sa dii-dii""}]",hard
หยุดบ่นซะ,yut bon sa,Just stop complaining.,"[{""thai"":""หยุดบ่น"",""english"":""stop complaining"",""tones"":[""low"",""falling""],""romanization"":""yut bon""},{""thai"":""ซะ"",""english"":""just do it / get it over with"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""sa""}]",hard
รีบส่งซะ,riip song sa,Just send it already.,"[{""thai"":""รีบส่ง"",""english"":""send it quickly"",""tones"":[""falling"",""rising""],""romanization"":""riip song""},{""thai"":""ซะ"",""english"":""just do it / get it over with"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""sa""}]",hard
เปิดดูซะ,bpoet duu sa,Just open it and look.,"[{""thai"":""เปิดดู"",""english"":""open it and look"",""tones"":[""low"",""mid""],""romanization"":""bpoet duu""},{""thai"":""ซะ"",""english"":""just do it / get it over with"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""sa""}]",hard
เก็บของซะก่อน,gep khawng sa gawn,Just pack up first.,"[{""thai"":""เก็บของ"",""english"":""pack up"",""tones"":[""low"",""rising""],""romanization"":""gep khawng""},{""thai"":""ซะก่อน"",""english"":""just do it first"",""tones"":[""high"",""falling""],""grammar"":true,""romanization"":""sa gawn""}]",hard
คุยกันซะให้รู้เรื่อง,khui gan sa hai ruu-rueang,Just talk it out clearly.,"[{""thai"":""คุยกัน"",""english"":""talk it out"",""tones"":[""mid"",""mid""],""romanization"":""khui gan""},{""thai"":""ซะให้รู้เรื่อง"",""english"":""just do it so it's clear"",""tones"":[""high"",""falling"",""high"",""falling""],""grammar"":true,""romanization"":""sa hai ruu-rueang""}]",hard
กลับบ้านซะ,glap baan sa,Just go home.,"[{""thai"":""กลับบ้าน"",""english"":""go home"",""tones"":[""low"",""falling""],""romanization"":""glap baan""},{""thai"":""ซะ"",""english"":""just do it / get it over with"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""sa""}]",hard
เอาออกไปซะ,ao awk bpai sa,Just take it out.,"[{""thai"":""เอาออกไป"",""english"":""take it out"",""tones"":[""mid"",""low"",""mid""],""romanization"":""ao awk bpai""},{""thai"":""ซะ"",""english"":""just do it / get it over with"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""sa""}]",hard
ตัดออกซะ,dtat awk sa,Just cut it out.,"[{""thai"":""ตัดออก"",""english"":""cut it out"",""tones"":[""low"",""low""],""romanization"":""dtat awk""},{""thai"":""ซะ"",""english"":""just do it / get it over with"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""sa""}]",hard
ส่งข้อความไปซะ,song khaw-khwaam bpai sa,Just send the message.,"[{""thai"":""ส่งข้อความไป"",""english"":""send the message"",""tones"":[""rising"",""falling"",""high"",""mid""],""romanization"":""song khaw-khwaam bpai""},{""thai"":""ซะ"",""english"":""just do it / get it over with"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""sa""}]",hard
ทำตามแผนซะก่อน,tham dtaam phaen sa gawn,Just follow the plan first.,"[{""thai"":""ทำตามแผน"",""english"":""follow the plan"",""tones"":[""mid"",""mid"",""falling""],""romanization"":""tham dtaam phaen""},{""thai"":""ซะก่อน"",""english"":""just do it first"",""tones"":[""high"",""falling""],""grammar"":true,""romanization"":""sa gawn""}]",hard
วางมันลงซะ,waang man long sa,Just put it down.,"[{""thai"":""วางมันลง"",""english"":""put it down"",""tones"":[""mid"",""mid"",""mid""],""romanization"":""waang man long""},{""thai"":""ซะ"",""english"":""just do it / get it over with"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""sa""}]",hard
