thai,romanization,english,breakdown,difficulty
นอกจากครู ก็ไม่มีใครรู้,nok chak khru ko mai mi khrai ru,"Apart from the teacher, nobody knows.","[{""thai"":""นอกจาก"",""english"":""apart from / besides"",""tones"":[""falling"",""low""],""grammar"":true,""romanization"":""nôk jàk""},{""thai"":""ครู"",""english"":""teacher"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""khruu""},{""thai"":""ก็"",""english"":""then / as for"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""gâw""},{""thai"":""ไม่มี"",""english"":""there is not"",""romanization"":""mâi mii""},{""thai"":""ใคร"",""english"":""anyone"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""khrai""},{""thai"":""รู้"",""english"":""know"",""tones"":[""high""],""tone"":""high"",""romanization"":""rúu""}]",hard
นอกจากครู ก็ไม่มีใครรู้,nok-jak khru gor mai mii khrai ruu,"Apart from the teacher, nobody knows.","[{""thai"":""นอกจากครู"",""english"":""apart from the teacher"",""tones"":[""falling"",""low"",""mid""],""grammar"":true,""romanization"":""nok-jak khru""},{""thai"":""ก็ไม่มีใครรู้"",""english"":""nobody knows"",""tones"":[""falling"",""falling"",""mid"",""mid"",""high""],""romanization"":""gor mai mii khrai ruu""}]",hard
นอกจากกาแฟ เขาไม่ดื่มอะไรเลย,nok-jak gaa-fae khao mai deum a-rai loei,"Apart from coffee, he doesn't drink anything else.","[{""thai"":""นอกจากกาแฟ"",""english"":""apart from coffee"",""tones"":[""falling"",""low"",""mid"",""mid""],""grammar"":true,""romanization"":""nok-jak gaa-fae""},{""thai"":""เขาไม่ดื่มอะไรเลย"",""english"":""he doesn't drink anything else"",""tones"":[""rising"",""falling"",""mid"",""mid"",""mid""],""romanization"":""khao mai deum a-rai loei""}]",hard
นอกจากวันนี้ ฉันว่างทุกวัน,nok-jak wan-nii chan waang thuk wan,"Apart from today, I'm free every other day.","[{""thai"":""นอกจากวันนี้"",""english"":""apart from today"",""tones"":[""falling"",""low"",""mid"",""high""],""grammar"":true,""romanization"":""nok-jak wan-nii""},{""thai"":""ฉันว่างทุกวัน"",""english"":""I'm free every other day"",""tones"":[""rising"",""falling"",""high"",""mid""],""romanization"":""chan waang thuk wan""}]",hard
นอกจากภาษาไทย เธอยังเรียนญี่ปุ่นด้วย,nok-jak phaa-saa thai thoe yang riian yii-bpun duay,"Apart from Thai, she also studies Japanese.","[{""thai"":""นอกจากภาษาไทย"",""english"":""apart from Thai"",""tones"":[""falling"",""low"",""mid"",""rising"",""mid""],""grammar"":true,""romanization"":""nok-jak phaa-saa thai""},{""thai"":""เธอยังเรียนญี่ปุ่นด้วย"",""english"":""she also studies Japanese"",""tones"":[""mid"",""mid"",""mid"",""high"",""falling""],""romanization"":""thoe yang riian yii-bpun duay""}]",hard
นอกจากทำงาน เขายังสอนพิเศษด้วย,nok-jak tham-ngaan khao yang saawn phi-set duay,"Apart from working, he also tutors.","[{""thai"":""นอกจากทำงาน"",""english"":""apart from working"",""tones"":[""falling"",""low"",""mid"",""mid""],""grammar"":true,""romanization"":""nok-jak tham-ngaan""},{""thai"":""เขายังสอนพิเศษด้วย"",""english"":""he also tutors"",""tones"":[""rising"",""mid"",""rising"",""low"",""falling""],""romanization"":""khao yang saawn phi-set duay""}]",hard
นอกจากราคาแพงแล้ว คุณภาพยังไม่ดี,nok-jak raa-khaa phaeng laeo khun-na-phaap yang mai dii,"Apart from being expensive, its quality still isn't good.","[{""thai"":""นอกจากราคาแพงแล้ว"",""english"":""apart from being expensive"",""tones"":[""falling"",""low"",""mid"",""high"",""mid"",""high""],""grammar"":true,""romanization"":""nok-jak raa-khaa phaeng laeo""},{""thai"":""คุณภาพยังไม่ดี"",""english"":""its quality still isn't good"",""tones"":[""mid"",""high"",""falling"",""mid"",""falling"",""mid""],""romanization"":""khun-na-phaap yang mai dii""}]",hard
นอกจากแม่ ก็ไม่มีใครอยู่บ้าน,nok-jak mae gor mai mii khrai yuu baan,"Apart from Mom, no one is at home.","[{""thai"":""นอกจากแม่"",""english"":""apart from Mom"",""tones"":[""falling"",""low"",""falling""],""grammar"":true,""romanization"":""nok-jak mae""},{""thai"":""ก็ไม่มีใครอยู่บ้าน"",""english"":""no one is at home"",""tones"":[""falling"",""falling"",""mid"",""mid"",""high"",""falling""],""romanization"":""gor mai mii khrai yuu baan""}]",hard
นอกจากเอกสารนี้ ต้องใช้สำเนาบัตรด้วย,nok-jak eek-ga-saan nii dtong chai sam-nao bat duay,"Apart from this document, we also need an ID copy.","[{""thai"":""นอกจากเอกสารนี้"",""english"":""apart from this document"",""tones"":[""falling"",""low"",""low"",""low"",""high""],""grammar"":true,""romanization"":""nok-jak eek-ga-saan nii""},{""thai"":""ต้องใช้สำเนาบัตรด้วย"",""english"":""we also need an ID copy"",""tones"":[""falling"",""high"",""low"",""low"",""falling""],""romanization"":""dtong chai sam-nao bat duay""}]",hard
นอกจากอ่านเร็ว เขายังจับประเด็นเก่ง,nok-jak aan reo khao yang jap bpra-den geng,"Apart from reading quickly, he's also good at catching the main point.","[{""thai"":""นอกจากอ่านเร็ว"",""english"":""apart from reading quickly"",""tones"":[""falling"",""low"",""low"",""mid""],""grammar"":true,""romanization"":""nok-jak aan reo""},{""thai"":""เขายังจับประเด็นเก่ง"",""english"":""he's also good at catching the main point"",""tones"":[""rising"",""mid"",""low"",""mid"",""mid"",""falling""],""romanization"":""khao yang jap bpra-den geng""}]",hard
