thai,romanization,english,breakdown,difficulty
ทำอะไรก็ได้ ตราบใดที่ไม่ผิดกฎหมาย,tham arai ko dai trap dai thi mai phit kotmai,You can do anything as long as it isn't illegal.,"[{""thai"":""ทำอะไรก็ได้"",""english"":""do anything"",""romanization"":""tham arai ko dai""},{""thai"":""ตราบใดที่"",""english"":""as long as"",""grammar"":true,""romanization"":""trap dai thi""},{""thai"":""ไม่"",""english"":""not"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""mai""},{""thai"":""ผิดกฎหมาย"",""english"":""illegal / against the law"",""romanization"":""phit kotmai""}]",hard
คุณพักที่นี่ได้ตราบใดที่ไม่ส่งเสียงดัง,khun phak thii nii dai dtraap dai thii mai song siang dang,You can stay here as long as you do not make noise.,"[{""thai"":""คุณพักที่นี่ได้"",""english"":""you can stay here"",""tones"":[""mid"",""high"",""falling"",""falling"",""falling""],""romanization"":""khun phak thii nii dai""},{""thai"":""ตราบใดที่"",""english"":""as long as"",""tones"":[""low"",""mid"",""falling""],""grammar"":true,""romanization"":""dtraap dai thii""},{""thai"":""ไม่ส่งเสียงดัง"",""english"":""do not make noise"",""tones"":[""falling"",""low"",""rising"",""mid""],""romanization"":""mai song siang dang""}]",hard
ฉันจะช่วยตราบใดที่ยังมีเวลา,chan ja chuai dtraap dai thii yang mii wee-laa,I will help as long as I still have time.,"[{""thai"":""ฉันจะช่วย"",""english"":""I will help"",""tones"":[""rising"",""low"",""falling""],""romanization"":""chan ja chuai""},{""thai"":""ตราบใดที่"",""english"":""as long as"",""tones"":[""low"",""mid"",""falling""],""grammar"":true,""romanization"":""dtraap dai thii""},{""thai"":""ยังมีเวลา"",""english"":""still have time"",""tones"":[""mid"",""mid"",""mid"",""mid""],""romanization"":""yang mii wee-laa""}]",medium
เขาใช้รถคันนี้ได้ตราบใดที่เติมน้ำมันเอง,khao chai rot khan nii dai dtraap dai thii dtoem naam-man eeng,He can use this car as long as he fills it with gas himself.,"[{""thai"":""เขาใช้รถคันนี้ได้"",""english"":""he can use this car"",""tones"":[""rising"",""high"",""high"",""mid"",""high"",""falling""],""romanization"":""khao chai rot khan nii dai""},{""thai"":""ตราบใดที่"",""english"":""as long as"",""tones"":[""low"",""mid"",""falling""],""grammar"":true,""romanization"":""dtraap dai thii""},{""thai"":""เติมน้ำมันเอง"",""english"":""fill it with gas himself"",""tones"":[""mid"",""high"",""mid"",""mid""],""romanization"":""dtoem naam-man eeng""}]",hard
เราจะสนับสนุนคุณตราบใดที่แผนนี้ยังโปร่งใส,rao ja sa-nap-sa-nun khun dtraap dai thii phaen nii yang bproeng-sai,We will support you as long as this plan remains transparent.,"[{""thai"":""เราจะสนับสนุนคุณ"",""english"":""we will support you"",""tones"":[""mid"",""low"",""low"",""high"",""low"",""mid""],""romanization"":""rao ja sa-nap-sa-nun khun""},{""thai"":""ตราบใดที่"",""english"":""as long as"",""tones"":[""low"",""mid"",""falling""],""grammar"":true,""romanization"":""dtraap dai thii""},{""thai"":""แผนนี้ยังโปร่งใส"",""english"":""this plan remains transparent"",""tones"":[""rising"",""high"",""mid"",""mid"",""rising""],""romanization"":""phaen nii yang bproeng-sai""}]",hard
เด็กเล่นข้างนอกได้ตราบใดที่มีผู้ใหญ่ดู,dek len khaang naawk dai dtraap dai thii mii phuu-yai duu,Children can play outside as long as an adult is watching.,"[{""thai"":""เด็กเล่นข้างนอกได้"",""english"":""children can play outside"",""tones"":[""low"",""mid"",""falling"",""falling"",""falling""],""romanization"":""dek len khaang naawk dai""},{""thai"":""ตราบใดที่"",""english"":""as long as"",""tones"":[""low"",""mid"",""falling""],""grammar"":true,""romanization"":""dtraap dai thii""},{""thai"":""มีผู้ใหญ่ดู"",""english"":""an adult is watching"",""tones"":[""mid"",""falling"",""falling"",""mid""],""romanization"":""mii phuu-yai duu""}]",hard
คุณถามได้ตราบใดที่เกี่ยวกับงานนี้,khun thaam dai dtraap dai thii kiaw gap ngaan nii,You can ask as long as it is related to this work.,"[{""thai"":""คุณถามได้"",""english"":""you can ask"",""tones"":[""mid"",""rising"",""falling""],""romanization"":""khun thaam dai""},{""thai"":""ตราบใดที่"",""english"":""as long as"",""tones"":[""low"",""mid"",""falling""],""grammar"":true,""romanization"":""dtraap dai thii""},{""thai"":""เกี่ยวกับงานนี้"",""english"":""related to this work"",""tones"":[""falling"",""low"",""mid"",""high""],""romanization"":""kiaw gap ngaan nii""}]",medium
ร้านนี้รับคืนสินค้า ตราบใดที่มีใบเสร็จ,raan nii rap khuen sin-khaa dtraap dai thii mii bai set,This shop takes returns as long as you have the receipt.,"[{""thai"":""ร้านนี้รับคืนสินค้า"",""english"":""this shop takes returns"",""tones"":[""high"",""high"",""high"",""falling"",""rising"",""high""],""romanization"":""raan nii rap khuen sin-khaa""},{""thai"":""ตราบใดที่"",""english"":""as long as"",""tones"":[""low"",""mid"",""falling""],""grammar"":true,""romanization"":""dtraap dai thii""},{""thai"":""มีใบเสร็จ"",""english"":""you have the receipt"",""tones"":[""mid"",""mid"",""low""],""romanization"":""mii bai set""}]",hard
ฉันอยู่ต่อได้ตราบใดที่ประชุมยังไม่เริ่ม,chan yuu dtor dai dtraap dai thii bpra-chum yang mai roem,I can stay longer as long as the meeting has not started yet.,"[{""thai"":""ฉันอยู่ต่อได้"",""english"":""I can stay longer"",""tones"":[""rising"",""low"",""low"",""falling""],""romanization"":""chan yuu dtor dai""},{""thai"":""ตราบใดที่"",""english"":""as long as"",""tones"":[""low"",""mid"",""falling""],""grammar"":true,""romanization"":""dtraap dai thii""},{""thai"":""ประชุมยังไม่เริ่ม"",""english"":""the meeting has not started yet"",""tones"":[""mid"",""mid"",""falling"",""falling""],""romanization"":""bpra-chum yang mai roem""}]",hard
เขาจะรอตราบใดที่ยังมีหวัง,khao ja raw dtraap dai thii yang mii wang,He will wait as long as there is still hope.,"[{""thai"":""เขาจะรอ"",""english"":""he will wait"",""tones"":[""rising"",""low"",""mid""],""romanization"":""khao ja raw""},{""thai"":""ตราบใดที่"",""english"":""as long as"",""tones"":[""low"",""mid"",""falling""],""grammar"":true,""romanization"":""dtraap dai thii""},{""thai"":""ยังมีหวัง"",""english"":""there is still hope"",""tones"":[""mid"",""mid"",""rising""],""romanization"":""yang mii wang""}]",medium
