thai,romanization,english,breakdown,difficulty
คอร์สนี้คุ้มค่าที่จะเรียน,kho ni khum kha thi cha rian,This course is worth taking.,"[{""thai"":""คอร์ส"",""english"":""course"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""khôs""},{""thai"":""นี้"",""english"":""this"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""ní""},{""thai"":""คุ้มค่า"",""english"":""worthwhile"",""tones"":[""high"",""falling""],""grammar"":true,""romanization"":""khúm khâ""},{""thai"":""ที่จะ"",""english"":""to / to be worth doing"",""tones"":[""falling"",""low""],""grammar"":true,""romanization"":""thî chà""},{""thai"":""เรียน"",""english"":""study / take"",""romanization"":""rian""}]",hard
คอร์สนี้คุ้มค่าที่จะเรียน,khot nii khum-khaa thii ja rian,This course is worth taking.,"[{""thai"":""คอร์สนี้"",""english"":""this course"",""tones"":[""falling"",""high""],""romanization"":""khot nii""},{""thai"":""คุ้มค่าที่จะ"",""english"":""worth doing"",""tones"":[""high"",""falling"",""falling"",""low""],""grammar"":true,""romanization"":""khum-khaa thii ja""},{""thai"":""เรียน"",""english"":""take / study"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""rian""}]",medium
หนังสือเล่มนี้คุ้มค่าที่จะซื้อ,nang-sue lem nii khum-khaa thii ja sue,This book is worth buying.,"[{""thai"":""หนังสือเล่มนี้"",""english"":""this book"",""tones"":[""rising"",""rising"",""falling"",""high""],""romanization"":""nang-sue lem nii""},{""thai"":""คุ้มค่าที่จะ"",""english"":""worth doing"",""tones"":[""high"",""falling"",""falling"",""low""],""grammar"":true,""romanization"":""khum-khaa thii ja""},{""thai"":""ซื้อ"",""english"":""buy"",""tones"":[""high""],""tone"":""high"",""romanization"":""sue""}]",medium
ทริปนี้คุ้มค่ามาก,thrip nii khum-khaa maak,This trip is very worthwhile.,"[{""thai"":""ทริปนี้"",""english"":""this trip"",""tones"":[""high"",""high""],""romanization"":""thrip nii""},{""thai"":""คุ้มค่า"",""english"":""worthwhile"",""tones"":[""high"",""falling""],""grammar"":true,""romanization"":""khum-khaa""},{""thai"":""มาก"",""english"":""very"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""maak""}]",medium
งานชิ้นนี้คุ้มค่ากับเวลา,ngaan chin nii khum-khaa gap wee-laa,This task is worth the time.,"[{""thai"":""งานชิ้นนี้"",""english"":""this task"",""tones"":[""mid"",""falling"",""high""],""romanization"":""ngaan chin nii""},{""thai"":""คุ้มค่า"",""english"":""worthwhile"",""tones"":[""high"",""falling""],""grammar"":true,""romanization"":""khum-khaa""},{""thai"":""กับเวลา"",""english"":""for the time"",""tones"":[""low"",""mid"",""mid""],""romanization"":""gap wee-laa""}]",medium
ร้านนี้คุ้มค่ากับราคาที่จ่าย,raan nii khum-khaa gap raa-khaa thii jaai,This place is worth the price paid.,"[{""thai"":""ร้านนี้"",""english"":""this place"",""tones"":[""high"",""high""],""romanization"":""raan nii""},{""thai"":""คุ้มค่า"",""english"":""worthwhile"",""tones"":[""high"",""falling""],""grammar"":true,""romanization"":""khum-khaa""},{""thai"":""กับราคาที่จ่าย"",""english"":""for the price paid"",""tones"":[""low"",""mid"",""high"",""falling"",""falling""],""romanization"":""gap raa-khaa thii jaai""}]",hard
การรอคิวครั้งนี้คุ้มค่า,gaan raw khiu khrang nii khum-khaa,This wait in line is worth it.,"[{""thai"":""การรอคิวครั้งนี้"",""english"":""this waiting in line"",""tones"":[""mid"",""mid"",""mid"",""falling"",""high""],""romanization"":""gaan raw khiu khrang nii""},{""thai"":""คุ้มค่า"",""english"":""worthwhile"",""tones"":[""high"",""falling""],""grammar"":true,""romanization"":""khum-khaa""}]",medium
เมนูนี้คุ้มค่าที่จะลอง,may-nuu nii khum-khaa thii ja laawng,This dish is worth trying.,"[{""thai"":""เมนูนี้"",""english"":""this menu item"",""tones"":[""mid"",""mid"",""high""],""romanization"":""may-nuu nii""},{""thai"":""คุ้มค่าที่จะ"",""english"":""worth doing"",""tones"":[""high"",""falling"",""falling"",""low""],""grammar"":true,""romanization"":""khum-khaa thii ja""},{""thai"":""ลอง"",""english"":""try"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""laawng""}]",medium
โปรแกรมนี้คุ้มค่าที่จะลงทุน,bpro-graem nii khum-khaa thii ja long-thun,This program is worth investing in.,"[{""thai"":""โปรแกรมนี้"",""english"":""this program"",""tones"":[""mid"",""mid"",""high""],""romanization"":""bpro-graem nii""},{""thai"":""คุ้มค่าที่จะ"",""english"":""worth doing"",""tones"":[""high"",""falling"",""falling"",""low""],""grammar"":true,""romanization"":""khum-khaa thii ja""},{""thai"":""ลงทุน"",""english"":""invest"",""tones"":[""mid"",""mid""],""romanization"":""long-thun""}]",hard
การฝึกทุกวันคุ้มค่าในระยะยาว,gaan fuek thuk wan khum-khaa nai ra-ya yaao,Practicing every day is worth it in the long run.,"[{""thai"":""การฝึกทุกวัน"",""english"":""practicing every day"",""tones"":[""mid"",""low"",""high"",""mid""],""romanization"":""gaan fuek thuk wan""},{""thai"":""คุ้มค่า"",""english"":""worthwhile"",""tones"":[""high"",""falling""],""grammar"":true,""romanization"":""khum-khaa""},{""thai"":""ในระยะยาว"",""english"":""in the long run"",""tones"":[""mid"",""high"",""mid"",""mid""],""romanization"":""nai ra-ya yaao""}]",hard
