thai,romanization,english,breakdown,difficulty
พอฝนหยุดก็ออกไป,pho fon yut ko ok pai,As soon as the rain stopped we went out.,"[{""thai"":""พอฝนหยุด"",""english"":""as soon as the rain stopped"",""grammar"":true,""romanization"":""pho fon yut""},{""thai"":""ก็ออกไป"",""english"":""we went out"",""grammar"":true,""romanization"":""ko ok pai""}]",easy
พอถึงบ้านก็อาบน้ำ,pho thueng ban ko ap nam,As soon as he got home he took a shower.,"[{""thai"":""พอถึงบ้าน"",""english"":""as soon as he got home"",""grammar"":true,""romanization"":""pho thueng ban""},{""thai"":""ก็อาบน้ำ"",""english"":""he took a shower"",""grammar"":true,""romanization"":""ko ap nam""}]",medium
พอครูถามเขาก็ตอบทันที,pho khru tham khao ko top thanthi,As soon as the teacher asked he answered immediately.,"[{""thai"":""พอครูถาม"",""english"":""as soon as the teacher asked"",""grammar"":true,""romanization"":""pho khru tham""},{""thai"":""เขาก็ตอบทันที"",""english"":""he answered immediately"",""grammar"":true,""romanization"":""khao ko top thanthi""}]",hard
พอฝนหยุด เราก็ออกไป,"phaw fon yut, rao gaaw aawk bpai","As soon as the rain stopped, we went out.","[{""thai"":""พอฝนหยุด"",""english"":""as soon as the rain stopped"",""tones"":[""mid"",""rising"",""low""],""grammar"":true,""romanization"":""phaw fon yut""},{""thai"":""เราก็ออกไป"",""english"":""we went out"",""tones"":[""mid"",""falling"",""low"",""mid""],""romanization"":""rao gaaw aawk bpai""}]",hard
พอถึงบ้าน ฉันก็อาบน้ำ,"phaw thueng baan, chan gaaw aap naam","As soon as I got home, I took a shower.","[{""thai"":""พอถึงบ้าน"",""english"":""as soon as I got home"",""tones"":[""mid"",""rising"",""falling""],""grammar"":true,""romanization"":""phaw thueng baan""},{""thai"":""ฉันก็อาบน้ำ"",""english"":""I took a shower"",""tones"":[""rising"",""falling"",""low"",""high""],""romanization"":""chan gaaw aap naam""}]",hard
พอครูถาม เขาก็ตอบทันที,"phaw khru thaam, khao gaaw dtaawp than-thii","As soon as the teacher asked, he answered immediately.","[{""thai"":""พอครูถาม"",""english"":""as soon as the teacher asked"",""tones"":[""mid"",""mid"",""falling""],""grammar"":true,""romanization"":""phaw khru thaam""},{""thai"":""เขาก็ตอบทันที"",""english"":""he answered immediately"",""tones"":[""high"",""falling"",""falling"",""falling""],""romanization"":""khao gaaw dtaawp than-thii""}]",hard
พอประชุมจบ ทุกคนก็ลุกขึ้น,"phaw bpra-chum jop, thuk-khon gaaw luk kheun","As soon as the meeting ended, everyone got up.","[{""thai"":""พอประชุมจบ"",""english"":""as soon as the meeting ended"",""tones"":[""mid"",""low"",""mid"",""low""],""grammar"":true,""romanization"":""phaw bpra-chum jop""},{""thai"":""ทุกคนก็ลุกขึ้น"",""english"":""everyone got up"",""tones"":[""high"",""mid"",""falling"",""falling""],""romanization"":""thuk-khon gaaw luk kheun""}]",hard
พอไฟกลับมา เราก็เริ่มงานต่อ,"phaw fai glap maa, rao gaaw roem ngaan dtaw","As soon as the power came back, we got back to work.","[{""thai"":""พอไฟกลับมา"",""english"":""as soon as the power came back"",""tones"":[""mid"",""mid"",""low"",""mid""],""grammar"":true,""romanization"":""phaw fai glap maa""},{""thai"":""เราก็เริ่มงานต่อ"",""english"":""we got back to work"",""tones"":[""mid"",""falling"",""falling"",""mid"",""low""],""romanization"":""rao gaaw roem ngaan dtaw""}]",hard
พอเธอเห็นราคา เธอก็เงียบไป,"phaw hen raa-khaa, thoe gaaw ngiap bpai","As soon as she saw the price, she went quiet.","[{""thai"":""พอเธอเห็นราคา"",""english"":""as soon as she saw the price"",""tones"":[""mid"",""rising"",""mid"",""high""],""grammar"":true,""romanization"":""phaw hen raa-khaa""},{""thai"":""เธอก็เงียบไป"",""english"":""she went quiet"",""tones"":[""mid"",""falling"",""low"",""mid""],""romanization"":""thoe gaaw ngiap bpai""}]",hard
พอเขามาถึง เราก็เริ่มคุย,"phaw khao maa thueng, rao gaaw roem khui","As soon as he arrived, we started talking.","[{""thai"":""พอเขามาถึง"",""english"":""as soon as he arrived"",""tones"":[""mid"",""high"",""mid"",""rising""],""grammar"":true,""romanization"":""phaw khao maa thueng""},{""thai"":""เราก็เริ่มคุย"",""english"":""we started talking"",""tones"":[""mid"",""falling"",""falling"",""mid""],""romanization"":""rao gaaw roem khui""}]",hard
พอร้านเปิด ลูกค้าก็เข้ามา,"phaw raan bpoet, luuk-khaa gaaw khao maa","As soon as the shop opened, customers came in.","[{""thai"":""พอร้านเปิด"",""english"":""as soon as the shop opened"",""tones"":[""mid"",""high"",""low""],""grammar"":true,""romanization"":""phaw raan bpoet""},{""thai"":""ลูกค้าก็เข้ามา"",""english"":""customers came in"",""tones"":[""high"",""high"",""falling"",""high"",""mid""],""romanization"":""luuk-khaa gaaw khao maa""}]",hard
พอได้รับอีเมล ฉันก็โทรกลับ,"phaw dai-rap ii-meel, chan gaaw thoo glap","As soon as I got the email, I called back.","[{""thai"":""พอได้รับอีเมล"",""english"":""as soon as I got the email"",""tones"":[""mid"",""falling"",""high"",""mid""],""grammar"":true,""romanization"":""phaw dai-rap ii-meel""},{""thai"":""ฉันก็โทรกลับ"",""english"":""I called back"",""tones"":[""rising"",""falling"",""mid"",""low""],""romanization"":""chan gaaw thoo glap""}]",hard
พอรถหยุด เด็กก็ลงทันที,"phaw rot yut, d?k gaaw long than-thii","As soon as the car stopped, the child got out right away.","[{""thai"":""พอรถหยุด"",""english"":""as soon as the car stopped"",""tones"":[""mid"",""high"",""low""],""grammar"":true,""romanization"":""phaw rot yut""},{""thai"":""เด็กก็ลงทันที"",""english"":""the child got out right away"",""tones"":[""low"",""falling"",""mid"",""falling""],""romanization"":""d?k gaaw long than-thii""}]",hard
พอเรารู้ข่าว ทุกคนก็ตกใจ,"phaw ruu khaao, thuk-khon gaaw dtok-jai","As soon as we heard the news, everyone was shocked.","[{""thai"":""พอเรารู้ข่าว"",""english"":""as soon as we heard the news"",""tones"":[""mid"",""high"",""falling""],""grammar"":true,""romanization"":""phaw ruu khaao""},{""thai"":""ทุกคนก็ตกใจ"",""english"":""everyone was shocked"",""tones"":[""high"",""mid"",""falling"",""mid""],""romanization"":""thuk-khon gaaw dtok-jai""}]",hard
พออาหารมา เขาก็เริ่มกิน,"phaw aa-haan maa, khao gaaw roem gin","As soon as the food arrived, he started eating.","[{""thai"":""พออาหารมา"",""english"":""as soon as the food arrived"",""tones"":[""mid"",""low"",""mid""],""grammar"":true,""romanization"":""phaw aa-haan maa""},{""thai"":""เขาก็เริ่มกิน"",""english"":""he started eating"",""tones"":[""high"",""falling"",""falling"",""mid""],""romanization"":""khao gaaw roem gin""}]",hard
พอหมดเวลา ครูก็เก็บข้อสอบ,"phaw mot wee-laa, khru gaaw gep khaaw-saawp","As soon as time ran out, the teacher collected the papers.","[{""thai"":""พอหมดเวลา"",""english"":""as soon as time ran out"",""tones"":[""mid"",""low"",""mid"",""mid""],""grammar"":true,""romanization"":""phaw mot wee-laa""},{""thai"":""ครูก็เก็บข้อสอบ"",""english"":""the teacher collected the papers"",""tones"":[""mid"",""falling"",""low"",""falling"",""low""],""romanization"":""khru gaaw gep khaaw-saawp""}]",hard
พอฝนเริ่มตก เราก็รีบกลับ,"phaw fon roem dtok, rao gaaw riip glap","As soon as it started raining, we hurried back.","[{""thai"":""พอฝนเริ่มตก"",""english"":""as soon as it started raining"",""tones"":[""mid"",""rising"",""falling"",""low""],""grammar"":true,""romanization"":""phaw fon roem dtok""},{""thai"":""เราก็รีบกลับ"",""english"":""we hurried back"",""tones"":[""mid"",""falling"",""falling"",""low""],""romanization"":""rao gaaw riip glap""}]",hard
พอเปิดประตู แมวก็วิ่งออกมา,"phaw bpoet bpra-dtuu, maeo gaaw wing aawk maa","As soon as he opened the door, the cat ran out.","[{""thai"":""พอเปิดประตู"",""english"":""as soon as he opened the door"",""tones"":[""mid"",""low"",""low"",""mid""],""grammar"":true,""romanization"":""phaw bpoet bpra-dtuu""},{""thai"":""แมวก็วิ่งออกมา"",""english"":""the cat ran out"",""tones"":[""mid"",""falling"",""falling"",""low"",""mid""],""romanization"":""maeo gaaw wing aawk maa""}]",hard
พอถึงคิว ฉันก็เดินเข้าไป,"phaw thueng khiu, chan gaaw doen khao bpai","As soon as it was our turn, I walked in.","[{""thai"":""พอถึงคิว"",""english"":""as soon as it was our turn"",""tones"":[""mid"",""rising"",""mid""],""grammar"":true,""romanization"":""phaw thueng khiu""},{""thai"":""ฉันก็เดินเข้าไป"",""english"":""I walked in"",""tones"":[""rising"",""falling"",""mid"",""high"",""mid""],""romanization"":""chan gaaw doen khao bpai""}]",hard
พอเขาวางสาย ฉันก็ส่งข้อความ,"phaw khao waang saai, chan gaaw song khaaw-khwaam","As soon as he hung up, I sent a message.","[{""thai"":""พอเขาวางสาย"",""english"":""as soon as he hung up"",""tones"":[""mid"",""high"",""mid"",""rising""],""grammar"":true,""romanization"":""phaw khao waang saai""},{""thai"":""ฉันก็ส่งข้อความ"",""english"":""I sent a message"",""tones"":[""rising"",""falling"",""low"",""falling"",""high""],""romanization"":""chan gaaw song khaaw-khwaam""}]",hard
พอเครื่องพร้อม ทีมก็เริ่มทดสอบ,"phaw khreuang phrawm, thiim gaaw roem thot-saawp","As soon as the machine was ready, the team began testing.","[{""thai"":""พอเครื่องพร้อม"",""english"":""as soon as the machine was ready"",""tones"":[""mid"",""falling"",""high""],""grammar"":true,""romanization"":""phaw khreuang phrawm""},{""thai"":""ทีมก็เริ่มทดสอบ"",""english"":""the team began testing"",""tones"":[""mid"",""falling"",""falling"",""low"",""low""],""romanization"":""thiim gaaw roem thot-saawp""}]",hard
พอเด็กหลับ แม่ก็เบาเสียง,"phaw d?k lap, mae gaaw bao siang","As soon as the child fell asleep, Mom lowered her voice.","[{""thai"":""พอเด็กหลับ"",""english"":""as soon as the child fell asleep"",""tones"":[""mid"",""low"",""low""],""grammar"":true,""romanization"":""phaw d?k lap""},{""thai"":""แม่ก็เบาเสียง"",""english"":""Mom lowered her voice"",""tones"":[""falling"",""falling"",""mid"",""low""],""romanization"":""mae gaaw bao siang""}]",hard
พอเขายิ้ม ทุกคนก็สบายใจ,"phaw khao yim, thuk-khon gaaw sa-baai-jai","As soon as he smiled, everyone felt relieved.","[{""thai"":""พอเขายิ้ม"",""english"":""as soon as he smiled"",""tones"":[""mid"",""high"",""high""],""grammar"":true,""romanization"":""phaw khao yim""},{""thai"":""ทุกคนก็สบายใจ"",""english"":""everyone felt relieved"",""tones"":[""high"",""mid"",""falling"",""low"",""mid""],""romanization"":""thuk-khon gaaw sa-baai-jai""}]",hard
พอเธอรู้ผลสอบ เธอก็โทรหาแม่,"phaw ruu phon-saawp, thoe gaaw thoo haa mae","As soon as she knew the result, she called her mom.","[{""thai"":""พอเธอรู้ผลสอบ"",""english"":""as soon as she knew the result"",""tones"":[""mid"",""high"",""rising"",""low""],""grammar"":true,""romanization"":""phaw ruu phon-saawp""},{""thai"":""เธอก็โทรหาแม่"",""english"":""she called her mom"",""tones"":[""mid"",""falling"",""mid"",""rising"",""falling""],""romanization"":""thoe gaaw thoo haa mae""}]",hard
พอถึงวันจริง ทุกอย่างก็เร็วมาก,"phaw thueng wan jing, thuk-yaang gaaw reo maak","As soon as the actual day arrived, everything moved quickly.","[{""thai"":""พอถึงวันจริง"",""english"":""as soon as the real day arrived"",""tones"":[""mid"",""rising"",""mid"",""mid""],""grammar"":true,""romanization"":""phaw thueng wan jing""},{""thai"":""ทุกอย่างก็เร็วมาก"",""english"":""everything moved quickly"",""tones"":[""high"",""falling"",""falling"",""high""],""romanization"":""thuk-yaang gaaw reo maak""}]",hard
พองานเสร็จ เราก็กลับบ้าน,"phaw ngaan set, rao gaaw glap baan","As soon as the work was done, we went home.","[{""thai"":""พองานเสร็จ"",""english"":""as soon as the work was done"",""tones"":[""mid"",""mid"",""falling""],""grammar"":true,""romanization"":""phaw ngaan set""},{""thai"":""เราก็กลับบ้าน"",""english"":""we went home"",""tones"":[""mid"",""falling"",""low"",""falling""],""romanization"":""rao gaaw glap baan""}]",hard
พอเธอเปิดไฟ เขาก็ตื่นเลย,"phaw bpoet fai, khao gaaw dteun loei","As soon as she turned on the light, he woke up immediately.","[{""thai"":""พอเธอเปิดไฟ"",""english"":""as soon as she turned on the light"",""tones"":[""mid"",""low"",""mid""],""grammar"":true,""romanization"":""phaw bpoet fai""},{""thai"":""เขาก็ตื่นเลย"",""english"":""he woke up immediately"",""tones"":[""high"",""falling"",""low"",""mid""],""romanization"":""khao gaaw dteun loei""}]",hard
พอเราเห็นข้อผิดพลาด ทีมก็หยุดส่งงาน,"phaw hen khaaw-phit-phlaat, thiim gaaw yut song ngaan","As soon as we saw the error, the team stopped the submission.","[{""thai"":""พอเราเห็นข้อผิดพลาด"",""english"":""as soon as we saw the error"",""tones"":[""mid"",""rising"",""falling"",""low"",""low""],""grammar"":true,""romanization"":""phaw hen khaaw-phit-phlaat""},{""thai"":""ทีมก็หยุดส่งงาน"",""english"":""the team stopped the submission"",""tones"":[""mid"",""falling"",""low"",""low"",""mid""],""romanization"":""thiim gaaw yut song ngaan""}]",hard
