thai,romanization,english,breakdown,difficulty
เฉพาะสมาชิกเข้าได้,chapho samachik khao dai,Only members may enter.,"[{""thai"":""เฉพาะ"",""english"":""only / exclusively"",""grammar"":true,""romanization"":""chapho""},{""thai"":""สมาชิก"",""english"":""member"",""romanization"":""samachik""},{""thai"":""เข้าได้"",""english"":""may enter / can enter"",""romanization"":""khao dai""}]",hard
ร้านนี้รับเฉพาะเงินสด,raan nii rap cha-phaw ngoen sot,This place accepts cash only.,"[{""thai"":""ร้านนี้รับ"",""english"":""this place accepts"",""tones"":[""high"",""high"",""high""],""romanization"":""raan nii rap""},{""thai"":""เฉพาะเงินสด"",""english"":""cash only"",""tones"":[""low"",""falling"",""mid"",""low""],""grammar"":true,""romanization"":""cha-phaw ngoen sot""}]",medium
ช่องนี้ใช้เฉพาะกรอกชื่อ,chong nii chai cha-phaw graawk chue,This field is only for entering a name.,"[{""thai"":""ช่องนี้ใช้"",""english"":""this field is for use"",""tones"":[""falling"",""high"",""high""],""romanization"":""chong nii chai""},{""thai"":""เฉพาะกรอกชื่อ"",""english"":""only for entering a name"",""tones"":[""low"",""falling"",""low"",""falling""],""grammar"":true,""romanization"":""cha-phaw graawk chue""}]",medium
ห้องนี้เปิดเฉพาะสมาชิก,hong nii bpoet cha-phaw sa-maa-chik,This room is open only to members.,"[{""thai"":""ห้องนี้เปิด"",""english"":""this room is open"",""tones"":[""falling"",""high"",""low""],""romanization"":""hong nii bpoet""},{""thai"":""เฉพาะสมาชิก"",""english"":""only to members"",""tones"":[""low"",""falling"",""low"",""mid"",""high""],""grammar"":true,""romanization"":""cha-phaw sa-maa-chik""}]",medium
โปรแกรมนี้มีเฉพาะในคอมพิวเตอร์รุ่นใหม่,bpro-graem nii mii cha-phaw nai khom-phiu-dtoe run mai,This program exists only on newer computers.,"[{""thai"":""โปรแกรมนี้มี"",""english"":""this program exists"",""tones"":[""mid"",""mid"",""high"",""mid""],""romanization"":""bpro-graem nii mii""},{""thai"":""เฉพาะในคอมพิวเตอร์รุ่นใหม่"",""english"":""only on newer computers"",""tones"":[""low"",""falling"",""mid"",""mid"",""mid"",""mid"",""falling"",""falling""],""grammar"":true,""romanization"":""cha-phaw nai khom-phiu-dtoe run mai""}]",hard
บัตรนี้ใช้ได้เฉพาะวันธรรมดา,bat nii chai dai cha-phaw wan tham-ma-daa,This pass can be used only on weekdays.,"[{""thai"":""บัตรนี้ใช้ได้"",""english"":""this pass can be used"",""tones"":[""low"",""high"",""high"",""mid""],""romanization"":""bat nii chai dai""},{""thai"":""เฉพาะวันธรรมดา"",""english"":""only on weekdays"",""tones"":[""low"",""falling"",""mid"",""mid"",""mid"",""mid""],""grammar"":true,""romanization"":""cha-phaw wan tham-ma-daa""}]",medium
ร้านนี้ขายเฉพาะของมือสอง,raan nii khaai cha-phaw khong mue song,This shop sells only secondhand items.,"[{""thai"":""ร้านนี้ขาย"",""english"":""this shop sells"",""tones"":[""high"",""high"",""rising""],""romanization"":""raan nii khaai""},{""thai"":""เฉพาะของมือสอง"",""english"":""only secondhand items"",""tones"":[""low"",""falling"",""rising"",""mid"",""rising""],""grammar"":true,""romanization"":""cha-phaw khong mue song""}]",medium
งานส่วนนี้เป็นหน้าที่เฉพาะของทีมเทคนิค,ngaan suan nii bpen naa-thii cha-phaw khong thiim thek-nik,This part of the work is specifically the technical team's responsibility.,"[{""thai"":""งานส่วนนี้เป็นหน้าที่"",""english"":""this part is the responsibility"",""tones"":[""mid"",""rising"",""high"",""mid"",""falling"",""falling""],""romanization"":""ngaan suan nii bpen naa-thii""},{""thai"":""เฉพาะของทีมเทคนิค"",""english"":""specifically of the technical team"",""tones"":[""low"",""falling"",""rising"",""mid"",""high"",""low""],""grammar"":true,""romanization"":""cha-phaw khong thiim thek-nik""}]",hard
คูปองนี้ใช้เฉพาะสาขาที่ร่วมรายการ,khuu-bpong nii chai cha-phaw saa-khaa thii ruam raai-gaan,This coupon can be used only at participating branches.,"[{""thai"":""คูปองนี้ใช้"",""english"":""this coupon is used"",""tones"":[""mid"",""mid"",""high"",""high""],""romanization"":""khuu-bpong nii chai""},{""thai"":""เฉพาะสาขาที่ร่วมรายการ"",""english"":""only at participating branches"",""tones"":[""low"",""falling"",""rising"",""falling"",""falling"",""high"",""mid""],""grammar"":true,""romanization"":""cha-phaw saa-khaa thii ruam raai-gaan""}]",medium
ประตูนี้เปิดเฉพาะตอนเช้า,bpra-dtuu nii bpoet cha-phaw dtawn chao,This door opens only in the morning.,"[{""thai"":""ประตูนี้เปิด"",""english"":""this door opens"",""tones"":[""low"",""mid"",""high"",""low""],""romanization"":""bpra-dtuu nii bpoet""},{""thai"":""เฉพาะตอนเช้า"",""english"":""only in the morning"",""tones"":[""low"",""falling"",""mid"",""falling""],""grammar"":true,""romanization"":""cha-phaw dtawn chao""}]",medium
