thai,romanization,english,breakdown,difficulty
กลายเป็นว่าเขาไม่มา,klai pen wa khao mai ma,It turned out that he didn't come.,"[{""thai"":""กลายเป็นว่า"",""english"":""it turned out that"",""grammar"":true,""romanization"":""klai pen wa""},{""thai"":""เขา"",""english"":""he / she"",""romanization"":""khao""},{""thai"":""ไม่"",""english"":""not"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""mâi""},{""thai"":""มา"",""english"":""come"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""ma""}]",hard
กลายเป็นว่าเขาไม่มา,klai bpen waa khao mai maa,It turned out that he didn't come.,"[{""thai"":""กลายเป็นว่า"",""english"":""it turned out that"",""tones"":[""mid"",""mid"",""falling""],""grammar"":true,""romanization"":""klai bpen waa""},{""thai"":""เขาไม่มา"",""english"":""he didn't come"",""tones"":[""rising"",""falling"",""mid""],""romanization"":""khao mai maa""}]",hard
กลายเป็นว่าฝนหยุดแล้ว,klai bpen waa fon yut laeo,It turned out that the rain had already stopped.,"[{""thai"":""กลายเป็นว่า"",""english"":""it turned out that"",""tones"":[""mid"",""mid"",""falling""],""grammar"":true,""romanization"":""klai bpen waa""},{""thai"":""ฝนหยุดแล้ว"",""english"":""the rain stopped already"",""tones"":[""rising"",""low"",""high""],""romanization"":""fon yut laeo""}]",hard
กลายเป็นว่าร้านปิด,klai bpen waa raan bpit,It turned out that the shop was closed.,"[{""thai"":""กลายเป็นว่า"",""english"":""it turned out that"",""tones"":[""mid"",""mid"",""falling""],""grammar"":true,""romanization"":""klai bpen waa""},{""thai"":""ร้านปิด"",""english"":""the shop was closed"",""tones"":[""high"",""low""],""romanization"":""raan bpit""}]",hard
กลายเป็นว่าเราเข้าใจผิด,klai bpen waa rao khao-jai phit,It turned out that we had misunderstood.,"[{""thai"":""กลายเป็นว่า"",""english"":""it turned out that"",""tones"":[""mid"",""mid"",""falling""],""grammar"":true,""romanization"":""klai bpen waa""},{""thai"":""เราเข้าใจผิด"",""english"":""we misunderstood"",""tones"":[""mid"",""rising"",""mid"",""low""],""romanization"":""rao khao-jai phit""}]",hard
กลายเป็นว่าเอกสารหาย,klai bpen waa eek-ga-saan haai,It turned out that the documents were missing.,"[{""thai"":""กลายเป็นว่า"",""english"":""it turned out that"",""tones"":[""mid"",""mid"",""falling""],""grammar"":true,""romanization"":""klai bpen waa""},{""thai"":""เอกสารหาย"",""english"":""the documents were missing"",""tones"":[""low"",""low"",""rising"",""falling""],""romanization"":""eek-ga-saan haai""}]",hard
กลายเป็นว่าห้องนี้ว่าง,klai bpen waa hong nii waang,It turned out that this room was available.,"[{""thai"":""กลายเป็นว่า"",""english"":""it turned out that"",""tones"":[""mid"",""mid"",""falling""],""grammar"":true,""romanization"":""klai bpen waa""},{""thai"":""ห้องนี้ว่าง"",""english"":""this room was available"",""tones"":[""falling"",""high"",""falling""],""romanization"":""hong nii waang""}]",hard
กลายเป็นว่าเขารู้เรื่องนี้แล้ว,klai bpen waa khao ruu rueang nii laeo,It turned out that he already knew about this.,"[{""thai"":""กลายเป็นว่า"",""english"":""it turned out that"",""tones"":[""mid"",""mid"",""falling""],""grammar"":true,""romanization"":""klai bpen waa""},{""thai"":""เขารู้เรื่องนี้แล้ว"",""english"":""he already knew about this"",""tones"":[""rising"",""high"",""falling"",""high"",""high""],""romanization"":""khao ruu rueang nii laeo""}]",hard
กลายเป็นว่าทีมอื่นเริ่มก่อน,klai bpen waa thiim eun reum gawn,It turned out that the other team started first.,"[{""thai"":""กลายเป็นว่า"",""english"":""it turned out that"",""tones"":[""mid"",""mid"",""falling""],""grammar"":true,""romanization"":""klai bpen waa""},{""thai"":""ทีมอื่นเริ่มก่อน"",""english"":""the other team started first"",""tones"":[""mid"",""mid"",""mid"",""falling""],""romanization"":""thiim eun reum gawn""}]",hard
กลายเป็นว่ารถคันนั้นเสีย,klai bpen waa rot khan nan sia,It turned out that that car was broken.,"[{""thai"":""กลายเป็นว่า"",""english"":""it turned out that"",""tones"":[""mid"",""mid"",""falling""],""grammar"":true,""romanization"":""klai bpen waa""},{""thai"":""รถคันนั้นเสีย"",""english"":""the car was broken"",""tones"":[""high"",""mid"",""high"",""rising""],""romanization"":""rot khan nan sia""}]",hard
กลายเป็นว่าลูกค้าเปลี่ยนใจ,klai bpen waa luuk-khaa bplian jai,It turned out that the client changed their mind.,"[{""thai"":""กลายเป็นว่า"",""english"":""it turned out that"",""tones"":[""mid"",""mid"",""falling""],""grammar"":true,""romanization"":""klai bpen waa""},{""thai"":""ลูกค้าเปลี่ยนใจ"",""english"":""the client changed their mind"",""tones"":[""falling"",""high"",""low"",""mid""],""romanization"":""luuk-khaa bplian jai""}]",hard
กลายเป็นว่าเธอเคยทำงานที่นี่,klai bpen waa thoe koey tham-ngaan thii nii,It turned out that she'd worked here before.,"[{""thai"":""กลายเป็นว่า"",""english"":""it turned out that"",""tones"":[""mid"",""mid"",""falling""],""grammar"":true,""romanization"":""klai bpen waa""},{""thai"":""เธอเคยทำงานที่นี่"",""english"":""she had worked here before"",""tones"":[""mid"",""mid"",""mid"",""mid"",""falling"",""high""],""romanization"":""thoe koey tham-ngaan thii nii""}]",hard
กลายเป็นว่าเขาต้องกลับด่วน,klai bpen waa khao dtong glap duan,It turned out that he had to go back urgently.,"[{""thai"":""กลายเป็นว่า"",""english"":""it turned out that"",""tones"":[""mid"",""mid"",""falling""],""grammar"":true,""romanization"":""klai bpen waa""},{""thai"":""เขาต้องกลับด่วน"",""english"":""he had to go back urgently"",""tones"":[""rising"",""falling"",""low"",""low""],""romanization"":""khao dtong glap duan""}]",hard
กลายเป็นว่าเรานัดวันผิด,klai bpen waa rao nat wan phit,It turned out that we set the wrong date.,"[{""thai"":""กลายเป็นว่า"",""english"":""it turned out that"",""tones"":[""mid"",""mid"",""falling""],""grammar"":true,""romanization"":""klai bpen waa""},{""thai"":""เรานัดวันผิด"",""english"":""we set the wrong date"",""tones"":[""mid"",""high"",""mid"",""low""],""romanization"":""rao nat wan phit""}]",hard
กลายเป็นว่าเรื่องนี้ง่ายกว่าที่คิด,klai bpen waa rueang nii ngaai gwaa thii khit,It turned out that this was easier than expected.,"[{""thai"":""กลายเป็นว่า"",""english"":""it turned out that"",""tones"":[""mid"",""mid"",""falling""],""grammar"":true,""romanization"":""klai bpen waa""},{""thai"":""เรื่องนี้ง่ายกว่าที่คิด"",""english"":""this was easier than expected"",""tones"":[""falling"",""high"",""falling"",""low"",""mid"",""high""],""romanization"":""rueang nii ngaai gwaa thii khit""}]",hard
กลายเป็นว่าคำตอบอยู่หน้าแรก,klai bpen waa kham-dtop yuu naa raek,It turned out that the answer was on the first page.,"[{""thai"":""กลายเป็นว่า"",""english"":""it turned out that"",""tones"":[""mid"",""mid"",""falling""],""grammar"":true,""romanization"":""klai bpen waa""},{""thai"":""คำตอบอยู่หน้าแรก"",""english"":""the answer was on the first page"",""tones"":[""mid"",""low"",""high"",""falling"",""falling""],""romanization"":""kham-dtop yuu naa raek""}]",hard
กลายเป็นว่าเขาฟังทันทุกอย่าง,klai bpen waa khao fang than thuk yaang,It turned out that he caught everything.,"[{""thai"":""กลายเป็นว่า"",""english"":""it turned out that"",""tones"":[""mid"",""mid"",""falling""],""grammar"":true,""romanization"":""klai bpen waa""},{""thai"":""เขาฟังทันทุกอย่าง"",""english"":""he caught everything"",""tones"":[""rising"",""mid"",""mid"",""high"",""falling""],""romanization"":""khao fang than thuk yaang""}]",hard
กลายเป็นว่าไม่มีใครได้รับอีเมล,klai bpen waa mai mii khrai dai-rap ii-meel,It turned out that no one received the email.,"[{""thai"":""กลายเป็นว่า"",""english"":""it turned out that"",""tones"":[""mid"",""mid"",""falling""],""grammar"":true,""romanization"":""klai bpen waa""},{""thai"":""ไม่มีใครได้รับอีเมล"",""english"":""no one received the email"",""tones"":[""falling"",""mid"",""mid"",""mid"",""high"",""mid""],""romanization"":""mai mii khrai dai-rap ii-meel""}]",hard
กลายเป็นว่าแผนเก่าใช้ได้,klai bpen waa phaen gao chai dai,It turned out that the old plan worked.,"[{""thai"":""กลายเป็นว่า"",""english"":""it turned out that"",""tones"":[""mid"",""mid"",""falling""],""grammar"":true,""romanization"":""klai bpen waa""},{""thai"":""แผนเก่าใช้ได้"",""english"":""the old plan worked"",""tones"":[""falling"",""low"",""high"",""mid""],""romanization"":""phaen gao chai dai""}]",hard
กลายเป็นว่าเขาอ่านไทยได้คล่อง,klai bpen waa khao aan thai dai khlong,It turned out that he can read Thai fluently.,"[{""thai"":""กลายเป็นว่า"",""english"":""it turned out that"",""tones"":[""mid"",""mid"",""falling""],""grammar"":true,""romanization"":""klai bpen waa""},{""thai"":""เขาอ่านไทยได้คล่อง"",""english"":""he can read Thai fluently"",""tones"":[""rising"",""low"",""mid"",""mid"",""falling""],""romanization"":""khao aan thai dai khlong""}]",hard
กลายเป็นว่างานนี้ใช้เวลาน้อยกว่าที่คาด,klai bpen waa ngaan nii chai wee-laa noi gwaa thii khat,It turned out that this took less time than expected.,"[{""thai"":""กลายเป็นว่า"",""english"":""it turned out that"",""tones"":[""mid"",""mid"",""falling""],""grammar"":true,""romanization"":""klai bpen waa""},{""thai"":""งานนี้ใช้เวลาน้อยกว่าที่คาด"",""english"":""this took less time than expected"",""tones"":[""mid"",""high"",""high"",""mid"",""mid"",""falling"",""low"",""mid"",""low""],""romanization"":""ngaan nii chai wee-laa noi gwaa thii khat""}]",hard
กลายเป็นว่าเราไม่ต้องรอแล้ว,klai bpen waa rao mai dtong raw laeo,It turned out that we didn't have to wait anymore.,"[{""thai"":""กลายเป็นว่า"",""english"":""it turned out that"",""tones"":[""mid"",""mid"",""falling""],""grammar"":true,""romanization"":""klai bpen waa""},{""thai"":""เราไม่ต้องรอแล้ว"",""english"":""we didn't have to wait anymore"",""tones"":[""mid"",""falling"",""falling"",""mid"",""high""],""romanization"":""rao mai dtong raw laeo""}]",hard
กลายเป็นว่าเธอเป็นคนตัดสินใจ,klai bpen waa thoe bpen khon dtat-sin-jai,It turned out that she was the one making the decision.,"[{""thai"":""กลายเป็นว่า"",""english"":""it turned out that"",""tones"":[""mid"",""mid"",""falling""],""grammar"":true,""romanization"":""klai bpen waa""},{""thai"":""เธอเป็นคนตัดสินใจ"",""english"":""she was the one making the decision"",""tones"":[""mid"",""mid"",""mid"",""low"",""rising"",""mid""],""romanization"":""thoe bpen khon dtat-sin-jai""}]",hard
กลายเป็นว่าปัญหาอยู่ที่ระบบ,klai bpen waa bpan-haa yuu thii ra-bop,It turned out that the problem was in the system.,"[{""thai"":""กลายเป็นว่า"",""english"":""it turned out that"",""tones"":[""mid"",""mid"",""falling""],""grammar"":true,""romanization"":""klai bpen waa""},{""thai"":""ปัญหาอยู่ที่ระบบ"",""english"":""the problem was in the system"",""tones"":[""mid"",""high"",""high"",""falling"",""low"",""low""],""romanization"":""bpan-haa yuu thii ra-bop""}]",hard
