thai,romanization,english,breakdown,difficulty
เขาน่าจะถึงแล้ว,khao na cha thueng laeo,He should have arrived by now.,"[{""thai"":""เขา"",""english"":""he"",""romanization"":""khao""},{""thai"":""น่าจะ"",""english"":""should / probably"",""grammar"":true,""romanization"":""na cha""},{""thai"":""ถึงแล้ว"",""english"":""has arrived already"",""romanization"":""thueng laeo""}]",easy
รถไฟควรจะมาถึงเร็วๆนี้,rotfai khuan cha ma thueng reo reo ni,The train should arrive soon.,"[{""thai"":""รถไฟ"",""english"":""train"",""romanization"":""rotfai""},{""thai"":""ควรจะ"",""english"":""should"",""grammar"":true,""romanization"":""khuan cha""},{""thai"":""มาถึงเร็วๆนี้"",""english"":""arrive soon"",""romanization"":""ma thueng reo reo ni""}]",medium
เรื่องนี้น่าจะง่ายกว่าที่คิด,rueang ni na cha ngai kwa thi khit,This should be easier than expected.,"[{""thai"":""เรื่องนี้"",""english"":""this matter"",""romanization"":""rueang ni""},{""thai"":""น่าจะ"",""english"":""should / probably"",""grammar"":true,""romanization"":""na cha""},{""thai"":""ง่ายกว่าที่คิด"",""english"":""be easier than expected"",""romanization"":""ngai kwa thi khit""}]",medium
เขาน่าจะถึงแล้ว,khao naa-ja thueng laeo,He should have arrived by now.,"[{""thai"":""เขา"",""english"":""he / she"",""tones"":[""high""],""tone"":""high"",""romanization"":""khao""},{""thai"":""น่าจะ"",""english"":""should / probably"",""tones"":[""falling"",""low""],""grammar"":true,""romanization"":""naa-ja""},{""thai"":""ถึงแล้ว"",""english"":""have arrived already"",""tones"":[""rising"",""falling""],""romanization"":""thueng laeo""}]",hard
รถไฟควรจะมาถึงเร็วๆนี้,rot-fai khuan-ja maa thueng reo-reo nii,The train should arrive soon.,"[{""thai"":""รถไฟ"",""english"":""train"",""tones"":[""high"",""mid""],""romanization"":""rot-fai""},{""thai"":""ควรจะ"",""english"":""should"",""tones"":[""mid"",""low""],""grammar"":true,""romanization"":""khuan-ja""},{""thai"":""มาถึงเร็วๆนี้"",""english"":""arrive soon"",""tones"":[""mid"",""rising"",""mid"",""mid"",""high""],""romanization"":""maa thueng reo-reo nii""}]",hard
เรื่องนี้น่าจะง่ายกว่าที่คิด,rueang nii naa-ja ngaai gwaa thii khit,This should be easier than expected.,"[{""thai"":""เรื่องนี้"",""english"":""this matter"",""tones"":[""falling"",""high""],""romanization"":""rueang nii""},{""thai"":""น่าจะ"",""english"":""should / probably"",""tones"":[""falling"",""low""],""grammar"":true,""romanization"":""naa-ja""},{""thai"":""ง่ายกว่าที่คิด"",""english"":""be easier than expected"",""tones"":[""falling"",""low"",""falling"",""high""],""romanization"":""ngaai gwaa thii khit""}]",hard
เขาควรจะรู้เรื่องนี้แล้ว,khao khuan-ja ruu rueang nii laeo,He should know about this by now.,"[{""thai"":""เขา"",""english"":""he / she"",""tones"":[""high""],""tone"":""high"",""romanization"":""khao""},{""thai"":""ควรจะ"",""english"":""should"",""tones"":[""mid"",""low""],""grammar"":true,""romanization"":""khuan-ja""},{""thai"":""รู้เรื่องนี้แล้ว"",""english"":""know about this already"",""tones"":[""high"",""falling"",""high"",""falling""],""romanization"":""ruu rueang nii laeo""}]",hard
เธอน่าจะเข้าใจเหตุผลของเรา,thoe naa-ja khao-jai het-phon khaawng rao,She should understand our reasons.,"[{""thai"":""เธอ"",""english"":""she / you"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""thoe""},{""thai"":""น่าจะ"",""english"":""should / probably"",""tones"":[""falling"",""low""],""grammar"":true,""romanization"":""naa-ja""},{""thai"":""เข้าใจเหตุผลของเรา"",""english"":""understand our reasons"",""tones"":[""falling"",""mid"",""low"",""rising"",""rising"",""mid""],""romanization"":""khao-jai het-phon khaawng rao""}]",hard
ทีมควรจะส่งได้วันนี้,thiim khuan-ja song dai wan-nii,The team should be able to send it today.,"[{""thai"":""ทีม"",""english"":""team"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""thiim""},{""thai"":""ควรจะ"",""english"":""should"",""tones"":[""mid"",""low""],""grammar"":true,""romanization"":""khuan-ja""},{""thai"":""ส่งได้วันนี้"",""english"":""be able to send it today"",""tones"":[""low"",""falling"",""mid"",""high""],""romanization"":""song dai wan-nii""}]",hard
เขาน่าจะยังไม่กลับ,khao naa-ja yang mai glap,He probably has not come back yet.,"[{""thai"":""เขา"",""english"":""he / she"",""tones"":[""high""],""tone"":""high"",""romanization"":""khao""},{""thai"":""น่าจะ"",""english"":""should / probably"",""tones"":[""falling"",""low""],""grammar"":true,""romanization"":""naa-ja""},{""thai"":""ยังไม่กลับ"",""english"":""still not be back"",""tones"":[""mid"",""falling"",""low""],""romanization"":""yang mai glap""}]",hard
เราควรจะคุยกันก่อน,rao khuan-ja khui gan gawn,We should talk first.,"[{""thai"":""เรา"",""english"":""we"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""rao""},{""thai"":""ควรจะ"",""english"":""should"",""tones"":[""mid"",""low""],""grammar"":true,""romanization"":""khuan-ja""},{""thai"":""คุยกันก่อน"",""english"":""talk first"",""tones"":[""mid"",""mid"",""falling""],""romanization"":""khui gan gawn""}]",hard
ลูกค้าน่าจะอยากได้คำตอบเร็ว,luuk-khaa naa-ja yaak dai kham-dtaawp reo,The customer probably wants a quick answer.,"[{""thai"":""ลูกค้า"",""english"":""customer"",""tones"":[""high"",""high""],""romanization"":""luuk-khaa""},{""thai"":""น่าจะ"",""english"":""should / probably"",""tones"":[""falling"",""low""],""grammar"":true,""romanization"":""naa-ja""},{""thai"":""อยากได้คำตอบเร็ว"",""english"":""want a quick answer"",""tones"":[""low"",""falling"",""mid"",""falling"",""mid""],""romanization"":""yaak dai kham-dtaawp reo""}]",hard
ฉันควรจะถามให้ชัดกว่านี้,chan khuan-ja thaam hai chat gwaa nii,I should have asked more clearly.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""},{""thai"":""ควรจะ"",""english"":""should"",""tones"":[""mid"",""low""],""grammar"":true,""romanization"":""khuan-ja""},{""thai"":""ถามให้ชัดกว่านี้"",""english"":""ask more clearly"",""tones"":[""falling"",""falling"",""high"",""high""],""romanization"":""thaam hai chat gwaa nii""}]",hard
เขาน่าจะลืมเวลา,khao naa-ja leum wee-laa,He probably forgot the time.,"[{""thai"":""เขา"",""english"":""he / she"",""tones"":[""high""],""tone"":""high"",""romanization"":""khao""},{""thai"":""น่าจะ"",""english"":""should / probably"",""tones"":[""falling"",""low""],""grammar"":true,""romanization"":""naa-ja""},{""thai"":""ลืมเวลา"",""english"":""forget the time"",""tones"":[""mid"",""mid"",""mid""],""romanization"":""leum wee-laa""}]",hard
เราควรจะเผื่อเวลาเดินทาง,rao khuan-ja phuea wee-laa doen-thaang,We should allow extra travel time.,"[{""thai"":""เรา"",""english"":""we"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""rao""},{""thai"":""ควรจะ"",""english"":""should"",""tones"":[""mid"",""low""],""grammar"":true,""romanization"":""khuan-ja""},{""thai"":""เผื่อเวลาเดินทาง"",""english"":""allow extra travel time"",""tones"":[""falling"",""mid"",""mid"",""mid""],""romanization"":""phuea wee-laa doen-thaang""}]",hard
