thai,romanization,english,breakdown,difficulty
สวัสดีครับ,sà-wàt-dii khráp,Hello. (male speaker),"[{""thai"":""สวัสดี"",""english"":""hello"",""tones"":[""low"",""low"",""mid""],""romanization"":""sà-wàt-dii""},{""thai"":""ครับ"",""english"":""polite particle"",""tones"":[""high""],""tone"":""high"",""romanization"":""khráp""}]",easy
สวัสดีค่ะ,sà-wàt-dii khâ,Hello. (female speaker),"[{""thai"":""สวัสดี"",""english"":""hello"",""tones"":[""low"",""low"",""mid""],""romanization"":""sà-wàt-dii""},{""thai"":""ค่ะ"",""english"":""polite particle"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""khâ""}]",easy
ขอบคุณครับ,khàwp-khun khráp,Thank you. (male speaker),"[{""thai"":""ขอบคุณ"",""english"":""thank you"",""tones"":[""low"",""mid""],""romanization"":""khàwp-khun""},{""thai"":""ครับ"",""english"":""polite particle"",""tones"":[""high""],""tone"":""high"",""romanization"":""khráp""}]",easy
ขอบคุณค่ะ,khàwp-khun khâ,Thank you. (female speaker),"[{""thai"":""ขอบคุณ"",""english"":""thank you"",""tones"":[""low"",""mid""],""romanization"":""khàwp-khun""},{""thai"":""ค่ะ"",""english"":""polite particle"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""khâ""}]",easy
ผมชื่อมินครับ,phǒm chʉ̂ʉ Min khráp,My name is Min. (male speaker),"[{""thai"":""ผม"",""english"":""I (male speaker)"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""phǒm""},{""thai"":""ชื่อ"",""english"":""name / am named"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""chʉ̂ʉ""},{""thai"":""มิน"",""english"":""Min"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""Min""},{""thai"":""ครับ"",""english"":""polite particle"",""tones"":[""high""],""tone"":""high"",""romanization"":""khráp""}]",easy
ฉันชื่อดาวค่ะ,chǎn chʉ̂ʉ Daao khâ,My name is Dao. (female speaker),"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chǎn""},{""thai"":""ชื่อ"",""english"":""name / am named"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""chʉ̂ʉ""},{""thai"":""ดาว"",""english"":""Dao"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""Daao""},{""thai"":""ค่ะ"",""english"":""polite particle"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""khâ""}]",easy
ผมอยู่บ้านครับ,phǒm yùu bâan khráp,I'm at home. (male speaker),"[{""thai"":""ผม"",""english"":""I (male speaker)"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""phǒm""},{""thai"":""อยู่"",""english"":""am / stay"",""tones"":[""low""],""tone"":""low"",""romanization"":""yùu""},{""thai"":""บ้าน"",""english"":""home"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""bâan""},{""thai"":""ครับ"",""english"":""polite particle"",""tones"":[""high""],""tone"":""high"",""romanization"":""khráp""}]",easy
หนูหิวค่ะ,nǔu hǐu khâ,I'm hungry. (younger/female speaker),"[{""thai"":""หนู"",""english"":""I (younger speaker)"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""nǔu""},{""thai"":""หิว"",""english"":""hungry"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""hǐu""},{""thai"":""ค่ะ"",""english"":""polite particle"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""khâ""}]",easy
ผมไปก่อนครับ,phǒm bpai gàwn khráp,I'm heading out first. (male speaker),"[{""thai"":""ผม"",""english"":""I (male speaker)"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""phǒm""},{""thai"":""ไป"",""english"":""go"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""bpai""},{""thai"":""ก่อน"",""english"":""first / before"",""tones"":[""low""],""tone"":""low"",""romanization"":""gàwn""},{""thai"":""ครับ"",""english"":""polite particle"",""tones"":[""high""],""tone"":""high"",""romanization"":""khráp""}]",easy
แม่อยู่บ้านค่ะ,mâe yùu bâan khâ,Mom is at home. (female speaker),"[{""thai"":""แม่"",""english"":""Mom"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""mâe""},{""thai"":""อยู่"",""english"":""is / stay"",""tones"":[""low""],""tone"":""low"",""romanization"":""yùu""},{""thai"":""บ้าน"",""english"":""home"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""bâan""},{""thai"":""ค่ะ"",""english"":""polite particle"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""khâ""}]",easy
