thai,romanization,english,breakdown,difficulty
เสียงนี้คล้ายกับครู,siang ni khlai kap khru,This voice sounds like the teacher's.,"[{""thai"":""เสียง"",""english"":""voice"",""tones"":[""high""],""tone"":""high"",""romanization"":""siáng""},{""thai"":""นี้"",""english"":""this"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""níi""},{""thai"":""คล้ายกับ"",""english"":""be similar to"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""khlaái-kàp""},{""thai"":""ครู"",""english"":""teacher"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""khruu""}]",hard
เสียงนี้คล้ายกับครู,siang nii khlaai gap khruu,This voice sounds like the teacher's.,"[{""thai"":""เสียงนี้"",""english"":""this voice"",""tones"":[""rising"",""high""],""romanization"":""siang nii""},{""thai"":""คล้ายกับ"",""english"":""be similar to"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""khlaai gap""},{""thai"":""ครู"",""english"":""teacher"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""khruu""}]",medium
เมืองนี้คล้ายกับเชียงใหม่,mueang nii khlaai gap chiang mai,This city is similar to Chiang Mai.,"[{""thai"":""เมืองนี้"",""english"":""this city"",""tones"":[""mid"",""high""],""romanization"":""mueang nii""},{""thai"":""คล้ายกับ"",""english"":""be similar to"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""khlaai gap""},{""thai"":""เชียงใหม่"",""english"":""Chiang Mai"",""tones"":[""mid"",""falling""],""romanization"":""chiang mai""}]",medium
กลิ่นนี้คล้ายกับกาแฟคั่ว,glin nii khlaai gap gaa-fae khua,This smell is similar to roasted coffee.,"[{""thai"":""กลิ่นนี้"",""english"":""this smell"",""tones"":[""low"",""high""],""romanization"":""glin nii""},{""thai"":""คล้ายกับ"",""english"":""be similar to"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""khlaai gap""},{""thai"":""กาแฟคั่ว"",""english"":""roasted coffee"",""tones"":[""mid"",""mid"",""falling""],""romanization"":""gaa-fae khua""}]",medium
สีนี้คล้ายกับสีเดิม,sii nii khlaai gap sii doem,This color is similar to the old one.,"[{""thai"":""สีนี้"",""english"":""this color"",""tones"":[""rising"",""high""],""romanization"":""sii nii""},{""thai"":""คล้ายกับ"",""english"":""be similar to"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""khlaai gap""},{""thai"":""สีเดิม"",""english"":""the old color"",""tones"":[""rising"",""mid""],""romanization"":""sii doem""}]",medium
ลายเสื้อตัวนี้คล้ายกับของพี่,laai suea dtua nii khlaai gap khawng phii,This shirt pattern is similar to my older sibling's.,"[{""thai"":""ลายเสื้อตัวนี้"",""english"":""this shirt pattern"",""tones"":[""mid"",""falling"",""mid"",""high""],""romanization"":""laai suea dtua nii""},{""thai"":""คล้ายกับ"",""english"":""be similar to"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""khlaai gap""},{""thai"":""ของพี่"",""english"":""my older sibling's"",""tones"":[""rising"",""falling""],""romanization"":""khawng phii""}]",hard
วิธีนี้คล้ายกับที่เราใช้เมื่อก่อน,wi-thii nii khlaai gap thii rao chai muea gawn,This method is similar to what we used before.,"[{""thai"":""วิธีนี้"",""english"":""this method"",""tones"":[""mid"",""falling"",""high""],""romanization"":""wi-thii nii""},{""thai"":""คล้ายกับ"",""english"":""be similar to"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""khlaai gap""},{""thai"":""ที่เราใช้เมื่อก่อน"",""english"":""what we used before"",""tones"":[""falling"",""mid"",""high"",""falling"",""low""],""romanization"":""thii rao chai muea gawn""}]",hard
ท่าทางเขาคล้ายกับพ่อมาก,thaa-thaang khao khlaai gap phaw maak,He looks a lot like Dad.,"[{""thai"":""ท่าทางเขา"",""english"":""his look / manner"",""tones"":[""falling"",""mid"",""rising""],""romanization"":""thaa-thaang khao""},{""thai"":""คล้ายกับ"",""english"":""be similar to"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""khlaai gap""},{""thai"":""พ่อมาก"",""english"":""Dad a lot"",""tones"":[""falling"",""falling""],""romanization"":""phaw maak""}]",hard
สำเนียงเขาคล้ายกับคนเหนือ,sam-niang khao khlaai gap khon nuea,His accent sounds like a northern accent.,"[{""thai"":""สำเนียงเขา"",""english"":""his accent"",""tones"":[""rising"",""mid"",""rising""],""romanization"":""sam-niang khao""},{""thai"":""คล้ายกับ"",""english"":""be similar to"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""khlaai gap""},{""thai"":""คนเหนือ"",""english"":""northerner"",""tones"":[""mid"",""falling""],""romanization"":""khon nuea""}]",hard
รสชาตินี้คล้ายกับร้านเดิม,rot-chaat nii khlaai gap raan doem,This taste is similar to the old shop's.,"[{""thai"":""รสชาตินี้"",""english"":""this taste"",""tones"":[""high"",""falling"",""high""],""romanization"":""rot-chaat nii""},{""thai"":""คล้ายกับ"",""english"":""be similar to"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""khlaai gap""},{""thai"":""ร้านเดิม"",""english"":""the old shop"",""tones"":[""high"",""mid""],""romanization"":""raan doem""}]",medium
