thai,romanization,english,breakdown,difficulty
รีบไปสิ,rip pai si,"Go on, hurry up.","[{""thai"":""รีบ"",""english"":""hurry"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""rîip""},{""thai"":""ไป"",""english"":""go"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""pai""},{""thai"":""สิ"",""english"":""urging particle"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""sì""}]",hard
พูดมาเลยสิ,phuut maa loei si,"Go on, say it.","[{""thai"":""พูดมาเลย"",""english"":""say it"",""tones"":[""falling"",""mid"",""mid""],""romanization"":""phuut maa loei""},{""thai"":""สิ"",""english"":""come on"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""si""}]",medium
ลองอีกทีสิ,lawng iik thii si,Try one more time.,"[{""thai"":""ลองอีกที"",""english"":""try one more time"",""tones"":[""mid"",""low"",""mid""],""romanization"":""lawng iik thii""},{""thai"":""สิ"",""english"":""come on"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""si""}]",medium
นั่งก่อนสิ,nang gon si,Sit down first.,"[{""thai"":""นั่งก่อน"",""english"":""sit first"",""tones"":[""falling"",""mid""],""romanization"":""nang gon""},{""thai"":""สิ"",""english"":""come on"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""si""}]",medium
ถามเขาดูสิ,thaam khao duu si,Ask him and see.,"[{""thai"":""ถามเขาดู"",""english"":""ask him and see"",""tones"":[""rising"",""rising"",""mid""],""romanization"":""thaam khao duu""},{""thai"":""สิ"",""english"":""come on"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""si""}]",medium
รีบหน่อยสิ,riip noi si,Hurry up a bit.,"[{""thai"":""รีบหน่อย"",""english"":""hurry a bit"",""tones"":[""falling"",""low""],""romanization"":""riip noi""},{""thai"":""สิ"",""english"":""come on"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""si""}]",medium
ดูนี่สิ,duu nii si,Look at this.,"[{""thai"":""ดูนี่"",""english"":""look at this"",""tones"":[""mid"",""high""],""romanization"":""duu nii""},{""thai"":""สิ"",""english"":""come on"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""si""}]",medium
ฟังให้ดีสิ,fang hai dii si,Listen carefully.,"[{""thai"":""ฟังให้ดี"",""english"":""listen carefully"",""tones"":[""mid"",""falling"",""mid""],""romanization"":""fang hai dii""},{""thai"":""สิ"",""english"":""come on"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""si""}]",medium
เขียนชื่อไว้สิ,khian chue wai si,Write your name down.,"[{""thai"":""เขียนชื่อไว้"",""english"":""write your name down"",""tones"":[""rising"",""falling"",""falling""],""romanization"":""khian chue wai""},{""thai"":""สิ"",""english"":""come on"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""si""}]",medium
โทรหาเขาสิ,thoo haa khao si,Call him.,"[{""thai"":""โทรหาเขา"",""english"":""call him"",""tones"":[""mid"",""rising"",""rising""],""romanization"":""thoo haa khao""},{""thai"":""สิ"",""english"":""come on"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""si""}]",medium
ใจเย็นๆสิ,jai yen yen si,Calm down.,"[{""thai"":""ใจเย็นๆ"",""english"":""calm down"",""tones"":[""mid"",""mid"",""mid""],""romanization"":""jai yen yen""},{""thai"":""สิ"",""english"":""come on"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""si""}]",medium
