thai,romanization,english,breakdown,difficulty
ผู้เรียนพึงฝึกทุกวัน,phu rian phueng fuek thuk wan,Learners ought to practice every day.,"[{""thai"":""ผู้เรียน"",""english"":""learner"",""romanization"":""phûu rian""},{""thai"":""พึง"",""english"":""ought to"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""phueng""},{""thai"":""ฝึก"",""english"":""practice"",""tones"":[""low""],""tone"":""low"",""romanization"":""fùek""},{""thai"":""ทุกวัน"",""english"":""every day"",""romanization"":""thúk wan""}]",hard
ผู้เรียนพึงฝึกทุกวัน,phuu-rian phueng fuek thuk wan,Learners should practice every day.,"[{""thai"":""ผู้เรียน"",""english"":""learner"",""tones"":[""falling"",""mid""],""romanization"":""phuu-rian""},{""thai"":""พึง"",""english"":""ought to / should"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""phueng""},{""thai"":""ฝึกทุกวัน"",""english"":""practice every day"",""tones"":[""low"",""high"",""mid""],""romanization"":""fuek thuk wan""}]",medium
ผู้สมัครพึงอ่านรายละเอียดก่อนสมัคร,phuu-sa-mak phueng aan raai-la-iat gawn sa-mak,Applicants should read the details before applying.,"[{""thai"":""ผู้สมัคร"",""english"":""applicant"",""tones"":[""falling"",""low"",""low""],""romanization"":""phuu-sa-mak""},{""thai"":""พึง"",""english"":""should"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""phueng""},{""thai"":""อ่านรายละเอียด"",""english"":""read the details"",""tones"":[""low"",""falling"",""high"",""low""],""romanization"":""aan raai-la-iat""},{""thai"":""ก่อนสมัคร"",""english"":""before applying"",""tones"":[""low"",""low"",""low""],""romanization"":""gawn sa-mak""}]",hard
ผู้ใช้พึงเก็บรหัสผ่านไว้เป็นความลับ,phuu-chai phueng gep ra-hat-phaan wai bpen khwaam-lap,Users should keep their password confidential.,"[{""thai"":""ผู้ใช้"",""english"":""user"",""tones"":[""falling"",""high""],""romanization"":""phuu-chai""},{""thai"":""พึง"",""english"":""should"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""phueng""},{""thai"":""เก็บรหัสผ่าน"",""english"":""keep the password"",""tones"":[""low"",""high"",""mid"",""falling""],""romanization"":""gep ra-hat-phaan""},{""thai"":""ไว้เป็นความลับ"",""english"":""as confidential"",""tones"":[""high"",""mid"",""mid"",""high""],""romanization"":""wai bpen khwaam-lap""}]",hard
นักเรียนพึงส่งงานตรงเวลา,nak-rian phueng song ngaan dtrong wee-laa,Students should submit work on time.,"[{""thai"":""นักเรียน"",""english"":""student"",""tones"":[""high"",""mid""],""romanization"":""nak-rian""},{""thai"":""พึง"",""english"":""should"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""phueng""},{""thai"":""ส่งงานตรงเวลา"",""english"":""submit work on time"",""tones"":[""low"",""mid"",""mid"",""mid"",""mid""],""romanization"":""song ngaan dtrong wee-laa""}]",medium
ผู้ขับขี่พึงคาดเข็มขัดนิรภัย,phuu-khap-khii phueng khaat khem-khat ni-ra-phai,Drivers should wear a seat belt.,"[{""thai"":""ผู้ขับขี่"",""english"":""driver"",""tones"":[""falling"",""low"",""falling""],""romanization"":""phuu-khap-khii""},{""thai"":""พึง"",""english"":""should"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""phueng""},{""thai"":""คาดเข็มขัดนิรภัย"",""english"":""wear a seat belt"",""tones"":[""falling"",""rising"",""low"",""high"",""mid"",""mid""],""romanization"":""khaat khem-khat ni-ra-phai""}]",hard
ผู้เข้าร่วมพึงมาถึงก่อนเวลาเล็กน้อย,phuu-khao-ruam phueng maa thueng gawn wee-laa lek noi,Participants should arrive a little before the scheduled time.,"[{""thai"":""ผู้เข้าร่วม"",""english"":""participant"",""tones"":[""falling"",""falling"",""falling""],""romanization"":""phuu-khao-ruam""},{""thai"":""พึง"",""english"":""should"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""phueng""},{""thai"":""มาถึงก่อนเวลาเล็กน้อย"",""english"":""arrive a little early"",""tones"":[""mid"",""rising"",""low"",""mid"",""mid"",""high"",""low""],""romanization"":""maa thueng gawn wee-laa lek noi""}]",hard
ผู้ปกครองพึงแจ้งข้อมูลติดต่อให้โรงเรียนทราบ,phuu-bpok-khrong phueng jaeng khaaw-muun dtit-dtor hai roong-rian saap,Parents should provide the school with contact information.,"[{""thai"":""ผู้ปกครอง"",""english"":""parent / guardian"",""tones"":[""falling"",""low"",""mid""],""romanization"":""phuu-bpok-khrong""},{""thai"":""พึง"",""english"":""should"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""phueng""},{""thai"":""แจ้งข้อมูลติดต่อ"",""english"":""provide contact information"",""tones"":[""falling"",""falling"",""mid"",""low"",""falling""],""romanization"":""jaeng khaaw-muun dtit-dtor""},{""thai"":""ให้โรงเรียนทราบ"",""english"":""to the school"",""tones"":[""falling"",""mid"",""mid"",""falling""],""romanization"":""hai roong-rian saap""}]",hard
พนักงานพึงตรวจเอกสารก่อนส่ง,pha-nak-ngaan phueng dtruat eek-ga-saan gawn song,Staff should check documents before sending them.,"[{""thai"":""พนักงาน"",""english"":""staff"",""tones"":[""high"",""high"",""mid""],""romanization"":""pha-nak-ngaan""},{""thai"":""พึง"",""english"":""should"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""phueng""},{""thai"":""ตรวจเอกสาร"",""english"":""check documents"",""tones"":[""low"",""mid"",""mid"",""rising""],""romanization"":""dtruat eek-ga-saan""},{""thai"":""ก่อนส่ง"",""english"":""before sending"",""tones"":[""low"",""low""],""romanization"":""gawn song""}]",hard
ผู้เดินทางพึงเตรียมบัตรประชาชนให้พร้อม,phuu-doen-thaang phueng dtriam bat bpra-chaa-chon hai phrawm,Travellers should prepare their ID card in advance.,"[{""thai"":""ผู้เดินทาง"",""english"":""traveller"",""tones"":[""falling"",""mid"",""mid""],""romanization"":""phuu-doen-thaang""},{""thai"":""พึง"",""english"":""should"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""phueng""},{""thai"":""เตรียมบัตรประชาชน"",""english"":""prepare an ID card"",""tones"":[""mid"",""low"",""low"",""mid"",""mid""],""romanization"":""dtriam bat bpra-chaa-chon""},{""thai"":""ให้พร้อม"",""english"":""have it ready"",""tones"":[""falling"",""high""],""romanization"":""hai phrawm""}]",hard
