thai,romanization,english,breakdown,difficulty
เด็กเดินเข้าไปในห้อง,dek doen khao pai nai hong,The child walked into the room.,"[{""thai"":""เด็ก"",""english"":""child"",""tones"":[""low""],""tone"":""low"",""romanization"":""dèk""},{""thai"":""เดิน"",""english"":""walk"",""romanization"":""doen""},{""thai"":""เข้าไป"",""english"":""go in"",""grammar"":true,""romanization"":""khâo pai""},{""thai"":""ในห้อง"",""english"":""into the room"",""romanization"":""nai hâwng""}]",hard
เด็กเดินเข้าไปในห้อง,dek doen khao pai nai hong,The child walked into the room.,"[{""thai"":""เด็ก"",""english"":""child"",""tones"":[""low""],""tone"":""low"",""romanization"":""dek""},{""thai"":""เดิน"",""english"":""walk"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""doen""},{""thai"":""เข้าไป"",""english"":""go in / into"",""tones"":[""falling"",""mid""],""grammar"":true,""romanization"":""khao pai""},{""thai"":""ใน"",""english"":""in / into"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""nai""},{""thai"":""ห้อง"",""english"":""room"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""hong""}]",easy
พ่อวิ่งออกมาจากร้าน,pho wing ok maa jaak raan,Dad ran out of the shop.,"[{""thai"":""พ่อ"",""english"":""Dad"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""pho""},{""thai"":""วิ่ง"",""english"":""run"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""wing""},{""thai"":""ออกมา"",""english"":""come out / out"",""tones"":[""low"",""mid""],""grammar"":true,""romanization"":""ok maa""},{""thai"":""จาก"",""english"":""from"",""tones"":[""low""],""tone"":""low"",""romanization"":""jaak""},{""thai"":""ร้าน"",""english"":""shop"",""tones"":[""high""],""tone"":""high"",""romanization"":""raan""}]",easy
ฉันถือกล่องขึ้นไปข้างบน,chan thue klong khuen pai khang bon,I carried the box upstairs.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""},{""thai"":""ถือ"",""english"":""carry / hold"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""thue""},{""thai"":""กล่อง"",""english"":""box"",""tones"":[""low""],""tone"":""low"",""romanization"":""klong""},{""thai"":""ขึ้นไป"",""english"":""go up / up"",""tones"":[""falling"",""mid""],""grammar"":true,""romanization"":""khuen pai""},{""thai"":""ข้างบน"",""english"":""upstairs / up above"",""tones"":[""falling"",""mid""],""romanization"":""khang bon""}]",medium
เขาหิ้วกระเป๋าลงมา,khao hiu krapao long maa,He carried the bag down.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khao""},{""thai"":""หิ้ว"",""english"":""carry"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""hiu""},{""thai"":""กระเป๋า"",""english"":""bag"",""tones"":[""low"",""rising""],""romanization"":""krapao""},{""thai"":""ลงมา"",""english"":""come down / down"",""tones"":[""mid"",""mid""],""grammar"":true,""romanization"":""long maa""}]",easy
แม่เอาจานออกมาจากตู้,mae ao jaan ok maa jaak tuu,Mom took the plates out of the cabinet.,"[{""thai"":""แม่"",""english"":""Mom"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""mae""},{""thai"":""เอา"",""english"":""take"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""ao""},{""thai"":""จาน"",""english"":""plates"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""jaan""},{""thai"":""ออกมา"",""english"":""come out / out"",""tones"":[""low"",""mid""],""grammar"":true,""romanization"":""ok maa""},{""thai"":""จาก"",""english"":""from"",""tones"":[""low""],""tone"":""low"",""romanization"":""jaak""},{""thai"":""ตู้"",""english"":""cabinet"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""tuu""}]",medium
ฉันเดินกลับมาที่โต๊ะ,chan doen glap maa thii to,I walked back to the table.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""},{""thai"":""เดิน"",""english"":""walk"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""doen""},{""thai"":""กลับมา"",""english"":""come back / back"",""tones"":[""low"",""mid""],""grammar"":true,""romanization"":""glap maa""},{""thai"":""ที่"",""english"":""to"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""thii""},{""thai"":""โต๊ะ"",""english"":""table"",""tones"":[""high""],""tone"":""high"",""romanization"":""to""}]",easy
คนงานยกของเข้าไปในรถตู้,khon ngaan yok khong khao pai nai rot tuu,The workers carried the things into the van.,"[{""thai"":""คนงาน"",""english"":""workers"",""tones"":[""mid"",""mid""],""romanization"":""khon ngaan""},{""thai"":""ยก"",""english"":""lift / carry"",""tones"":[""high""],""tone"":""high"",""romanization"":""yok""},{""thai"":""ของ"",""english"":""things"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khong""},{""thai"":""เข้าไป"",""english"":""go in / into"",""tones"":[""falling"",""mid""],""grammar"":true,""romanization"":""khao pai""},{""thai"":""ใน"",""english"":""in / into"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""nai""},{""thai"":""รถตู้"",""english"":""van"",""tones"":[""high"",""falling""],""romanization"":""rot tuu""}]",medium
เด็กวิ่งออกมาจากบ้าน,dek wing ok maa jaak baan,The child ran out of the house.,"[{""thai"":""เด็ก"",""english"":""child"",""tones"":[""low""],""tone"":""low"",""romanization"":""dek""},{""thai"":""วิ่ง"",""english"":""run"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""wing""},{""thai"":""ออกมา"",""english"":""come out / out"",""tones"":[""low"",""mid""],""grammar"":true,""romanization"":""ok maa""},{""thai"":""จาก"",""english"":""from"",""tones"":[""low""],""tone"":""low"",""romanization"":""jaak""},{""thai"":""บ้าน"",""english"":""house"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""baan""}]",easy
เราเดินขึ้นไปบนสะพาน,rao doen khuen pai bon saphaan,We walked up onto the bridge.,"[{""thai"":""เรา"",""english"":""we"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""rao""},{""thai"":""เดิน"",""english"":""walk"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""doen""},{""thai"":""ขึ้นไป"",""english"":""go up / up"",""tones"":[""falling"",""mid""],""grammar"":true,""romanization"":""khuen pai""},{""thai"":""บน"",""english"":""on / onto"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""bon""},{""thai"":""สะพาน"",""english"":""bridge"",""tones"":[""low"",""mid""],""romanization"":""saphaan""}]",medium
