thai,romanization,english,breakdown,difficulty
ฉันจะไป เว้นแต่ฝนตก,chan cha pai wen tae fon tok,I will go unless it rains.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chán""},{""thai"":""จะ"",""english"":""will"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""jà""},{""thai"":""ไป"",""english"":""go"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""pai""},{""thai"":""เว้นแต่"",""english"":""unless"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""wén tàe""},{""thai"":""ฝน"",""english"":""rain"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""fǒn""},{""thai"":""ตก"",""english"":""fall / rain"",""tones"":[""low""],""tone"":""low"",""romanization"":""tòk""}]",hard
ฉันจะไป เว้นแต่ฝนตก,chan ja bpai wen dtae fon dtok,I will go unless it rains.,"[{""thai"":""ฉันจะไป"",""english"":""I will go"",""tones"":[""rising"",""low"",""mid""],""romanization"":""chan ja bpai""},{""thai"":""เว้นแต่"",""english"":""unless"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""wen dtae""},{""thai"":""ฝนตก"",""english"":""it rains"",""tones"":[""rising"",""low""],""romanization"":""fon dtok""}]",hard
เราจะเริ่มตรงเวลา เว้นแต่ระบบมีปัญหา,rao ja reum dtrong wee-laa wen dtae ra-bop mii bpan-haa,We will start on time unless the system has a problem.,"[{""thai"":""เราจะเริ่มตรงเวลา"",""english"":""we will start on time"",""tones"":[""mid"",""low"",""mid"",""mid"",""mid""],""romanization"":""rao ja reum dtrong wee-laa""},{""thai"":""เว้นแต่"",""english"":""unless"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""wen dtae""},{""thai"":""ระบบมีปัญหา"",""english"":""the system has a problem"",""tones"":[""low"",""low"",""mid"",""high""],""romanization"":""ra-bop mii bpan-haa""}]",hard
เขาจะมาด้วย เว้นแต่งานด่วนเข้ามา,khao ja maa duay wen dtae dtit ngaan duan,He will come too unless urgent work comes up.,"[{""thai"":""เขาจะมาด้วย"",""english"":""he will come too"",""tones"":[""rising"",""low"",""mid"",""falling""],""romanization"":""khao ja maa duay""},{""thai"":""เว้นแต่"",""english"":""unless"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""wen dtae""},{""thai"":""งานด่วนเข้ามา"",""english"":""urgent work comes up"",""tones"":[""low"",""mid"",""low""],""romanization"":""dtit ngaan duan""}]",hard
ร้านนี้ปิดหกโมง เว้นแต่มีลูกค้าค้างอยู่,raan nii bpit hok moong wen dtae mii luuk-khaa khaang yuu,This place closes at six unless customers are still here.,"[{""thai"":""ร้านนี้ปิดหกโมง"",""english"":""this place closes at six"",""tones"":[""high"",""high"",""low"",""low"",""mid""],""romanization"":""raan nii bpit hok moong""},{""thai"":""เว้นแต่"",""english"":""unless"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""wen dtae""},{""thai"":""มีลูกค้าค้างอยู่"",""english"":""there are customers still here"",""tones"":[""mid"",""falling"",""high"",""falling"",""high""],""romanization"":""mii luuk-khaa khaang yuu""}]",hard
เราจะใช้แผนเดิม เว้นแต่หัวหน้าจะเปลี่ยนใจ,rao ja chai phaen derm wen dtae hua-naa bplian jai,We will use the same plan unless the manager changes their mind.,"[{""thai"":""เราจะใช้แผนเดิม"",""english"":""we will use the same plan"",""tones"":[""mid"",""low"",""high"",""falling"",""mid""],""romanization"":""rao ja chai phaen derm""},{""thai"":""เว้นแต่"",""english"":""unless"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""wen dtae""},{""thai"":""หัวหน้าจะเปลี่ยนใจ"",""english"":""the manager changes their mind"",""tones"":[""rising"",""falling"",""low"",""mid""],""romanization"":""hua-naa bplian jai""}]",hard
ฉันไม่ยกเลิกนัด เว้นแต่มันจำเป็นจริงๆ,chan mai yok-loek nat wen dtae man jam-bpen jing-jing,I won't cancel the appointment unless it's truly necessary.,"[{""thai"":""ฉันไม่ยกเลิกนัด"",""english"":""I won't cancel the appointment"",""tones"":[""rising"",""falling"",""high"",""falling"",""high""],""romanization"":""chan mai yok-loek nat""},{""thai"":""เว้นแต่"",""english"":""unless"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""wen dtae""},{""thai"":""มันจำเป็นจริงๆ"",""english"":""it's truly necessary"",""tones"":[""mid"",""mid"",""mid"",""mid""],""romanization"":""man jam-bpen jing-jing""}]",hard
เขาจะตอบวันนี้ เว้นแต่ยังไม่ได้ข้อมูล,khao ja dtop wan-nii wen dtae yang mai dai khaw-muun,He will reply today unless he still doesn't have the information.,"[{""thai"":""เขาจะตอบวันนี้"",""english"":""he will reply today"",""tones"":[""rising"",""low"",""low"",""mid"",""high""],""romanization"":""khao ja dtop wan-nii""},{""thai"":""เว้นแต่"",""english"":""unless"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""wen dtae""},{""thai"":""ยังไม่ได้ข้อมูล"",""english"":""he still doesn't have the information"",""tones"":[""mid"",""falling"",""mid"",""low"",""rising""],""romanization"":""yang mai dai khaw-muun""}]",hard
เราจะส่งพรุ่งนี้ เว้นแต่ลูกค้าจะขอเร็วกว่านั้น,rao ja song phrung-nii wen dtae luuk-khaa khaw reo gwaa,We will send it tomorrow unless the client asks for it sooner.,"[{""thai"":""เราจะส่งพรุ่งนี้"",""english"":""we will send it tomorrow"",""tones"":[""mid"",""low"",""rising"",""mid"",""high""],""romanization"":""rao ja song phrung-nii""},{""thai"":""เว้นแต่"",""english"":""unless"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""wen dtae""},{""thai"":""ลูกค้าจะขอเร็วกว่านั้น"",""english"":""the client asks for it sooner"",""tones"":[""falling"",""high"",""rising"",""mid"",""low""],""romanization"":""luuk-khaa khaw reo gwaa""}]",hard
ผมจะอยู่ต่อ เว้นแต่คุณอยากคุยกันลำพัง,phom ja yuu dtaw wen dtae khun yaak khui gan lam-phang,I will stay unless you want to talk privately.,"[{""thai"":""ผมจะอยู่ต่อ"",""english"":""I will stay on"",""tones"":[""rising"",""low"",""high"",""low""],""romanization"":""phom ja yuu dtaw""},{""thai"":""เว้นแต่"",""english"":""unless"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""wen dtae""},{""thai"":""คุณอยากคุยกันลำพัง"",""english"":""you want to talk privately"",""tones"":[""mid"",""falling"",""mid"",""mid"",""mid"",""mid""],""romanization"":""khun yaak khui gan lam-phang""}]",hard
