thai,romanization,english,breakdown,difficulty
ครูให้เราไปแก้ใหม่,khru hai rao pai kae mai,The teacher had us revise it again.,"[{""thai"":""ครู"",""english"":""teacher"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""khru""},{""thai"":""ให้"",""english"":""make / let / have"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""hâi""},{""thai"":""เรา"",""english"":""us"",""romanization"":""rao""},{""thai"":""ไป"",""english"":""go / do forward"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""pai""},{""thai"":""แก้ใหม่"",""english"":""revise again"",""tones"":[""falling"",""low""],""romanization"":""kâe mài""}]",hard
ครูให้เราไปแก้ใหม่,khruu hai rao bpai gae mai,The teacher had us revise it again.,"[{""thai"":""ครู"",""english"":""the teacher"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""khruu""},{""thai"":""ให้"",""english"":""make / let / have"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""hai""},{""thai"":""เรา"",""english"":""us"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""rao""},{""thai"":""ไปแก้ใหม่"",""english"":""go revise it again"",""tones"":[""mid"",""falling"",""falling""],""romanization"":""bpai gae mai""}]",hard
หัวหน้าให้ทีมตรวจอีกครั้ง,hua-naa hai thiim dtruat iik khrang,The manager had the team check it again.,"[{""thai"":""หัวหน้า"",""english"":""the manager"",""tones"":[""rising"",""falling""],""romanization"":""hua-naa""},{""thai"":""ให้"",""english"":""make / let / have"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""hai""},{""thai"":""ทีม"",""english"":""the team"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""thiim""},{""thai"":""ตรวจอีกครั้ง"",""english"":""check it again"",""tones"":[""low"",""mid"",""high""],""romanization"":""dtruat iik khrang""}]",hard
แม่ให้ฉันซื้อของก่อน,mae hai chan sue khawng gawn,Mom had me buy the groceries first.,"[{""thai"":""แม่"",""english"":""Mom"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""mae""},{""thai"":""ให้"",""english"":""make / let / have"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""hai""},{""thai"":""ฉัน"",""english"":""me"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""},{""thai"":""ซื้อของก่อน"",""english"":""buy things first"",""tones"":[""high"",""rising"",""falling""],""romanization"":""sue khawng gawn""}]",hard
พ่อให้น้องนอนเร็วขึ้น,phaw hai nawng nawn reo kheun,Dad made my younger sibling sleep earlier.,"[{""thai"":""พ่อ"",""english"":""Dad"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""phaw""},{""thai"":""ให้"",""english"":""make / let / have"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""hai""},{""thai"":""น้อง"",""english"":""my younger sibling"",""tones"":[""high""],""tone"":""high"",""romanization"":""nawng""},{""thai"":""นอนเร็วขึ้น"",""english"":""sleep earlier"",""tones"":[""mid"",""mid"",""falling""],""romanization"":""nawn reo kheun""}]",hard
ลูกค้าให้เราส่งไฟล์ใหม่,luuk-khaa hai rao song fai mai,The client had us send a new file.,"[{""thai"":""ลูกค้า"",""english"":""the client"",""tones"":[""falling"",""high""],""romanization"":""luuk-khaa""},{""thai"":""ให้"",""english"":""make / let / have"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""hai""},{""thai"":""เรา"",""english"":""us"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""rao""},{""thai"":""ส่งไฟล์ใหม่"",""english"":""send a new file"",""tones"":[""rising"",""mid"",""falling""],""romanization"":""song fai mai""}]",hard
เขาให้ฉันรอข้างนอก,khao hai chan raw khaang nawk,He had me wait outside.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khao""},{""thai"":""ให้"",""english"":""make / let / have"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""hai""},{""thai"":""ฉัน"",""english"":""me"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""},{""thai"":""รอข้างนอก"",""english"":""wait outside"",""tones"":[""mid"",""falling"",""low""],""romanization"":""raw khaang nawk""}]",hard
อาจารย์ให้นักเรียนอ่านดังๆ,aa-jaan hai nak-riian aan dang-dang,The instructor had the students read aloud.,"[{""thai"":""อาจารย์"",""english"":""the instructor"",""tones"":[""mid"",""mid""],""romanization"":""aa-jaan""},{""thai"":""ให้"",""english"":""make / let / have"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""hai""},{""thai"":""นักเรียน"",""english"":""the students"",""tones"":[""high"",""mid""],""romanization"":""nak-riian""},{""thai"":""อ่านดังๆ"",""english"":""read aloud"",""tones"":[""low"",""mid"",""mid""],""romanization"":""aan dang-dang""}]",hard
หัวหน้าให้ผมคุยกับลูกค้าเอง,hua-naa hai phom khui gap luuk-khaa eng,The manager had me talk to the client myself.,"[{""thai"":""หัวหน้า"",""english"":""the manager"",""tones"":[""rising"",""falling""],""romanization"":""hua-naa""},{""thai"":""ให้"",""english"":""make / let / have"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""hai""},{""thai"":""ผม"",""english"":""me"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""phom""},{""thai"":""คุยกับลูกค้าเอง"",""english"":""talk to the client myself"",""tones"":[""mid"",""low"",""falling"",""high"",""mid""],""romanization"":""khui gap luuk-khaa eng""}]",hard
แม่ให้พี่พาน้องกลับบ้าน,mae hai phii phaa nawng glap baan,Mom had my older sibling take the younger one home.,"[{""thai"":""แม่"",""english"":""Mom"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""mae""},{""thai"":""ให้"",""english"":""make / let / have"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""hai""},{""thai"":""พี่"",""english"":""my older sibling"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""phii""},{""thai"":""พาน้องกลับบ้าน"",""english"":""take the younger one home"",""tones"":[""mid"",""high"",""low"",""falling""],""romanization"":""phaa nawng glap baan""}]",hard
