thai,romanization,english,breakdown,difficulty
เรื่องง่ายยังไม่เข้าใจ นับประสาอะไรกับเรื่องยาก,rueang ngai yang mai khaochai nap prasa arai kap rueang yak,"You don't even understand the easy part, let alone the difficult part.","[{""thai"":""เรื่องง่าย"",""english"":""easy matter"",""romanization"":""rueang ngâi""},{""thai"":""ยังไม่เข้าใจ"",""english"":""still don't understand"",""romanization"":""yang mâi khâochai""},{""thai"":""นับประสาอะไรกับ"",""english"":""let alone"",""grammar"":true,""romanization"":""náp prasǎ arai kàp""},{""thai"":""เรื่องยาก"",""english"":""difficult matter"",""romanization"":""rueang yâak""}]",hard
เรื่องง่ายยังไม่เข้าใจ นับประสาอะไรกับเรื่องยาก,rueang ngaai yang mai khao-jai nap bprasa arai gap rueang yaak,"He doesn't even understand simple things, let alone difficult ones.","[{""thai"":""เรื่องง่ายยังไม่เข้าใจ"",""english"":""he still doesn't understand simple things"",""tones"":[""falling"",""falling"",""mid"",""falling"",""rising"",""mid""],""romanization"":""rueang ngaai yang mai khao-jai""},{""thai"":""นับประสาอะไรกับ"",""english"":""let alone"",""tones"":[""high"",""low"",""rising"",""low""],""grammar"":true,""romanization"":""nap bprasa arai gap""},{""thai"":""เรื่องยาก"",""english"":""difficult things"",""tones"":[""falling"",""falling""],""romanization"":""rueang yaak""}]",hard
เดินขึ้นบันไดยังเหนื่อย นับประสาอะไรกับวิ่งไกล,dern kheun ban-dai yang nueay nap bprasa arai gap wing glai,"Walking up the stairs already tires him out, let alone running far.","[{""thai"":""เดินขึ้นบันไดยังเหนื่อย"",""english"":""walking up the stairs still makes him tired"",""tones"":[""mid"",""falling"",""mid"",""mid"",""mid"",""falling""],""romanization"":""dern kheun ban-dai yang nueay""},{""thai"":""นับประสาอะไรกับ"",""english"":""let alone"",""tones"":[""high"",""low"",""rising"",""low""],""grammar"":true,""romanization"":""nap bprasa arai gap""},{""thai"":""วิ่งไกล"",""english"":""running far"",""tones"":[""falling"",""falling""],""romanization"":""wing glai""}]",hard
แค่อ่านยังช้า นับประสาอะไรกับเขียนรายงาน,khae aan yang chaa nap bprasa arai gap khian raai-ngaan,"Reading is already slow, let alone writing a report.","[{""thai"":""แค่อ่านยังช้า"",""english"":""just reading is already slow"",""tones"":[""falling"",""low"",""mid"",""high""],""romanization"":""khae aan yang chaa""},{""thai"":""นับประสาอะไรกับ"",""english"":""let alone"",""tones"":[""high"",""low"",""rising"",""low""],""grammar"":true,""romanization"":""nap bprasa arai gap""},{""thai"":""เขียนรายงาน"",""english"":""writing a report"",""tones"":[""rising"",""mid"",""mid""],""romanization"":""khian raai-ngaan""}]",hard
เงินค่าน้ำยังจ่ายไม่ไหว นับประสาอะไรกับค่ารถ,ngern khaa-naam yang jaai mai wai nap bprasa arai gap khaa rot,"He can barely pay the water bill, let alone transport costs.","[{""thai"":""เงินค่าน้ำยังจ่ายไม่ไหว"",""english"":""he can barely pay the water bill"",""tones"":[""mid"",""high"",""high"",""falling"",""falling"",""rising""],""romanization"":""ngern khaa-naam yang jaai mai wai""},{""thai"":""นับประสาอะไรกับ"",""english"":""let alone"",""tones"":[""high"",""low"",""rising"",""low""],""grammar"":true,""romanization"":""nap bprasa arai gap""},{""thai"":""ค่ารถ"",""english"":""transport costs"",""tones"":[""high"",""high""],""romanization"":""khaa rot""}]",hard
ประชุมสั้นๆ ยังงง นับประสาอะไรกับประชุมทั้งวัน,bpra-chum san-san yang ngong nap bprasa arai gap bpra-chum thang wan,"He's already confused in a short meeting, let alone an all-day meeting.","[{""thai"":""ประชุมสั้นๆ ยังงง"",""english"":""he's already confused in a short meeting"",""tones"":[""low"",""mid"",""high"",""high"",""mid"",""mid""],""romanization"":""bpra-chum san-san yang ngong""},{""thai"":""นับประสาอะไรกับ"",""english"":""let alone"",""tones"":[""high"",""low"",""rising"",""low""],""grammar"":true,""romanization"":""nap bprasa arai gap""},{""thai"":""ประชุมทั้งวัน"",""english"":""an all-day meeting"",""tones"":[""low"",""mid"",""high"",""mid""],""romanization"":""bpra-chum thang wan""}]",hard
ภาษาไทยพื้นฐานยังไม่แม่น นับประสาอะไรกับภาษาเขียนระดับสูง,phaa-saa thai pheun-thaan yang mai maen nap bprasa arai gap phaa-saa khian ra-dap suung,"He still isn't solid on basic Thai, let alone advanced written Thai.","[{""thai"":""ภาษาไทยพื้นฐานยังไม่แม่น"",""english"":""he still isn't solid on basic Thai"",""tones"":[""mid"",""rising"",""mid"",""rising"",""mid"",""falling"",""falling""],""romanization"":""phaa-saa thai pheun-thaan yang mai maen""},{""thai"":""นับประสาอะไรกับ"",""english"":""let alone"",""tones"":[""high"",""low"",""rising"",""low""],""grammar"":true,""romanization"":""nap bprasa arai gap""},{""thai"":""ภาษาเขียนระดับสูง"",""english"":""advanced written Thai"",""tones"":[""mid"",""rising"",""rising"",""low"",""rising""],""romanization"":""phaa-saa khian ra-dap suung""}]",hard
แค่ตอบอีเมลยังช้า นับประสาอะไรกับคุยกับลูกค้าโดยตรง,khae dtop ii-meel yang chaa nap bprasa arai gap khui gap luuk-khaa doei dtrong,"Replying to email is already slow, let alone speaking directly with clients.","[{""thai"":""แค่ตอบอีเมลยังช้า"",""english"":""just replying to email is already slow"",""tones"":[""falling"",""low"",""mid"",""mid"",""high""],""romanization"":""khae dtop ii-meel yang chaa""},{""thai"":""นับประสาอะไรกับ"",""english"":""let alone"",""tones"":[""high"",""low"",""rising"",""low""],""grammar"":true,""romanization"":""nap bprasa arai gap""},{""thai"":""คุยกับลูกค้าโดยตรง"",""english"":""speaking directly with clients"",""tones"":[""mid"",""low"",""falling"",""high"",""mid"",""mid""],""romanization"":""khui gap luuk-khaa doei dtrong""}]",hard
เรื่องของตัวเองยังจัดไม่ดี นับประสาอะไรกับดูแลทีม,rueang khawng dtua eng yang jat mai dii nap bprasa arai gap duu-lae thiim,"He can't even organize his own things well, let alone manage a team.","[{""thai"":""เรื่องของตัวเองยังจัดไม่ดี"",""english"":""he still can't organize his own things well"",""tones"":[""falling"",""rising"",""mid"",""mid"",""mid"",""low"",""falling"",""mid""],""romanization"":""rueang khawng dtua eng yang jat mai dii""},{""thai"":""นับประสาอะไรกับ"",""english"":""let alone"",""tones"":[""high"",""low"",""rising"",""low""],""grammar"":true,""romanization"":""nap bprasa arai gap""},{""thai"":""ดูแลทีม"",""english"":""managing a team"",""tones"":[""mid"",""mid"",""mid""],""romanization"":""duu-lae thiim""}]",hard
งานวันนี้ยังไม่เสร็จ นับประสาอะไรกับงานพรุ่งนี้,ngaan wan-nii yang mai set nap bprasa arai gap ngaan phrung-nii,"Today's work still isn't finished, let alone tomorrow's.","[{""thai"":""งานวันนี้ยังไม่เสร็จ"",""english"":""today's work still isn't finished"",""tones"":[""mid"",""mid"",""high"",""mid"",""falling"",""low""],""romanization"":""ngaan wan-nii yang mai set""},{""thai"":""นับประสาอะไรกับ"",""english"":""let alone"",""tones"":[""high"",""low"",""rising"",""low""],""grammar"":true,""romanization"":""nap bprasa arai gap""},{""thai"":""งานพรุ่งนี้"",""english"":""tomorrow's work"",""tones"":[""mid"",""mid"",""high""],""romanization"":""ngaan phrung-nii""}]",hard
