thai,romanization,english,breakdown,difficulty
กระเป๋าของฉันถูกขโมย,krapǎo khǎawng chǎn thùuk khamoi,My bag was stolen.,"[{""thai"":""กระเป๋า"",""english"":""bag"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""krapǎo""},{""thai"":""ของ"",""english"":""of"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khǎawng""},{""thai"":""ฉัน"",""english"":""my"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chǎn""},{""thai"":""ถูก"",""english"":""was"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""thùuk""},{""thai"":""ขโมย"",""english"":""stolen"",""romanization"":""khamoi""}]",easy
เขาถูกตำหนิในที่ประชุม,khǎo thùuk tamnì nai thîi prachum,He was criticized in the meeting.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khǎo""},{""thai"":""ถูก"",""english"":""was"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""thùuk""},{""thai"":""ตำหนิ"",""english"":""criticized"",""tones"":[""low""],""tone"":""low"",""romanization"":""tamnì""},{""thai"":""ใน"",""english"":""in"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""nai""},{""thai"":""ที่ประชุม"",""english"":""the meeting"",""romanization"":""thîi prachum""}]",medium
หนังสือเล่มนี้ถูกแปลเป็นหลายภาษา,nǎngsǔe lêm níi thùuk plae pen lǎai phaasǎa,This book was translated into many languages.,"[{""thai"":""หนังสือ"",""english"":""book"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""nǎngsǔe""},{""thai"":""เล่มนี้"",""english"":""this"",""tones"":[""falling"",""high""],""romanization"":""lêm níi""},{""thai"":""ถูก"",""english"":""was"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""thùuk""},{""thai"":""แปล"",""english"":""translated"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""plae""},{""thai"":""เป็น"",""english"":""into"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""pen""},{""thai"":""หลายภาษา"",""english"":""many languages"",""tones"":[""rising"",""rising""],""romanization"":""lǎai phaasǎa""}]",hard
ร้านอาหารนี้ถูกแนะนำในนิตยสาร,ráan aahǎan níi thùuk nàenam nai nítayasǎan,This restaurant was recommended in the magazine.,"[{""thai"":""ร้านอาหาร"",""english"":""restaurant"",""tones"":[""high"",""rising""],""romanization"":""ráan aahǎan""},{""thai"":""นี้"",""english"":""this"",""tones"":[""high""],""tone"":""high"",""romanization"":""níi""},{""thai"":""ถูก"",""english"":""was"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""thùuk""},{""thai"":""แนะนำ"",""english"":""recommended"",""tones"":[""low""],""tone"":""low"",""romanization"":""nàenam""},{""thai"":""ใน"",""english"":""in"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""nai""},{""thai"":""นิตยสาร"",""english"":""magazine"",""romanization"":""nítayasǎan""}]",medium
เธอถูกทิ้งในห้องเรียน,thoe thùuk thíng nai hông rian,She was left behind in the classroom.,"[{""thai"":""เธอ"",""english"":""she"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""thoe""},{""thai"":""ถูก"",""english"":""was"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""thùuk""},{""thai"":""ทิ้ง"",""english"":""left behind"",""tones"":[""high""],""tone"":""high"",""romanization"":""thíng""},{""thai"":""ใน"",""english"":""in"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""nai""},{""thai"":""ห้องเรียน"",""english"":""the classroom"",""romanization"":""hông rian""}]",easy
จดหมายฉบับนี้ถูกส่งผิดที่,jòt mâai chàbàp níi thùuk sòng phìt thîi,This letter was sent to the wrong place.,"[{""thai"":""จดหมาย"",""english"":""letter"",""tones"":[""low"",""falling""],""romanization"":""jòt mâai""},{""thai"":""ฉบับนี้"",""english"":""this"",""tones"":[""low"",""high""],""romanization"":""chàbàp níi""},{""thai"":""ถูก"",""english"":""was"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""thùuk""},{""thai"":""ส่ง"",""english"":""sent"",""tones"":[""low""],""tone"":""low"",""romanization"":""sòng""},{""thai"":""ผิดที่"",""english"":""to the wrong place"",""tones"":[""low"",""falling""],""romanization"":""phìt thîi""}]",medium
เขาถูกเลือกเป็นหัวหน้า,khǎo thùuk lêuak pen hǔanâa,He was chosen as the leader.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khǎo""},{""thai"":""ถูก"",""english"":""was"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""thùuk""},{""thai"":""เลือก"",""english"":""chosen"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""lêuak""},{""thai"":""เป็น"",""english"":""as"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""pen""},{""thai"":""หัวหน้า"",""english"":""the leader"",""romanization"":""hǔanâa""}]",medium
โทรศัพท์ของฉันถูกทิ้งไว้ในรถแท็กซี่,thorásàp khǎawng chǎn thùuk thíng wái nai rót tháeksi,My phone was left in a taxi.,"[{""thai"":""โทรศัพท์"",""english"":""phone"",""romanization"":""thorásàp""},{""thai"":""ของ"",""english"":""of"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khǎawng""},{""thai"":""ฉัน"",""english"":""my"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chǎn""},{""thai"":""ถูก"",""english"":""was"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""thùuk""},{""thai"":""ทิ้งไว้"",""english"":""left"",""tones"":[""high"",""high""],""romanization"":""thíng wái""},{""thai"":""ใน"",""english"":""in"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""nai""},{""thai"":""รถแท็กซี่"",""english"":""a taxi"",""tones"":[""high"",""high""],""romanization"":""rót tháeksi""}]",hard
สินค้าถูกขนส่งมาถึงวันนี้,sǐnkhǎa thùuk khǒnsòng maa thǔeng wan-níi,The goods were delivered today.,"[{""thai"":""สินค้า"",""english"":""goods"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""sǐnkhǎa""},{""thai"":""ถูก"",""english"":""were"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""thùuk""},{""thai"":""ขนส่ง"",""english"":""delivered"",""romanization"":""khǒnsòng""},{""thai"":""มาถึง"",""english"":""arrived"",""romanization"":""maa thǔeng""},{""thai"":""วันนี้"",""english"":""today"",""romanization"":""wan-níi""}]",medium
เพื่อนของฉันถูกบังคับให้ทำงานล่วงเวลา,phûean khǎawng chǎn thùuk bangkháp hâi tham-ngaan lûang welaa,My friend was forced to work overtime.,"[{""thai"":""เพื่อน"",""english"":""friend"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""phûean""},{""thai"":""ของ"",""english"":""of"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khǎawng""},{""thai"":""ฉัน"",""english"":""my"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chǎn""},{""thai"":""ถูก"",""english"":""was"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""thùuk""},{""thai"":""บังคับ"",""english"":""forced"",""tones"":[""high""],""tone"":""high"",""romanization"":""bangkháp""},{""thai"":""ให้"",""english"":""to"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""hâi""},{""thai"":""ทำงาน"",""english"":""work"",""romanization"":""tham-ngaan""},{""thai"":""ล่วงเวลา"",""english"":""overtime"",""romanization"":""lûang welaa""}]",hard
