thai,romanization,english,breakdown,difficulty
เปิดประตูหน่อย,bpə̀ət prà-dtuu nòi,Please open the door.,"[{""thai"":""เปิด"",""english"":""open"",""tones"":[""low""],""tone"":""low"",""romanization"":""bpə̀ət""},{""thai"":""ประตู"",""english"":""door"",""tones"":[""low"",""mid""],""romanization"":""prà-dtuu""},{""thai"":""หน่อย"",""english"":""please / a bit"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""nòi""}]",easy
ปิดหน้าต่างหน่อย,bpìt nâa-dtàang nòi,Please close the window.,"[{""thai"":""ปิด"",""english"":""close"",""tones"":[""low""],""tone"":""low"",""romanization"":""bpìt""},{""thai"":""หน้าต่าง"",""english"":""window"",""tones"":[""falling"",""low""],""romanization"":""nâa-dtàang""},{""thai"":""หน่อย"",""english"":""please / a bit"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""nòi""}]",easy
นั่งก่อน,nâng gàwn,Have a seat first.,"[{""thai"":""นั่ง"",""english"":""sit"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""nâng""},{""thai"":""ก่อน"",""english"":""first"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""gàwn""}]",easy
รอสักครู่,raw sàk khrûu,Please wait a moment.,"[{""thai"":""รอ"",""english"":""wait"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""raw""},{""thai"":""สัก"",""english"":""for a"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""sàk""},{""thai"":""ครู่"",""english"":""moment"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""khrûu""}]",easy
ฟังดีๆ,fang dii-dii,Listen carefully.,"[{""thai"":""ฟัง"",""english"":""listen"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""fang""},{""thai"":""ดีๆ"",""english"":""carefully"",""tones"":[""mid"",""mid""],""romanization"":""dii-dii""}]",easy
ดูนี่สิ,duu nîi sì,Look at this.,"[{""thai"":""ดู"",""english"":""look"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""duu""},{""thai"":""นี่"",""english"":""this"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""nîi""},{""thai"":""สิ"",""english"":""(softening particle)"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""sì""}]",easy
อ่านคำนี้,àan kham-níi,Read this word.,"[{""thai"":""อ่าน"",""english"":""read"",""tones"":[""low""],""tone"":""low"",""romanization"":""àan""},{""thai"":""คำ"",""english"":""word"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""kham""},{""thai"":""นี้"",""english"":""this"",""tones"":[""high""],""tone"":""high"",""romanization"":""níi""}]",easy
พูดช้าๆ หน่อย,phûut cháa-cháa nòi,Please speak slowly.,"[{""thai"":""พูด"",""english"":""speak"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""phûut""},{""thai"":""ช้าๆ"",""english"":""slowly"",""tones"":[""high"",""high""],""romanization"":""cháa-cháa""},{""thai"":""หน่อย"",""english"":""please / a bit"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""nòi""}]",easy
บอกฉันอีกที,bàwk chǎn ìik thii,Tell me again.,"[{""thai"":""บอก"",""english"":""tell"",""tones"":[""low""],""tone"":""low"",""romanization"":""bàwk""},{""thai"":""ฉัน"",""english"":""me"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chǎn""},{""thai"":""อีก"",""english"":""again / one more"",""tones"":[""low""],""tone"":""low"",""romanization"":""ìik""},{""thai"":""ที"",""english"":""time"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""thii""}]",easy
ช่วยพูดอีกทีหน่อย,chûay phûut ìik thii nòi,Please say it again.,"[{""thai"":""ช่วย"",""english"":""please / help"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""chûay""},{""thai"":""พูด"",""english"":""say"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""phûut""},{""thai"":""อีก"",""english"":""again"",""tones"":[""low""],""tone"":""low"",""romanization"":""ìik""},{""thai"":""ที"",""english"":""time"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""thii""},{""thai"":""หน่อย"",""english"":""please / a bit"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""nòi""}]",easy
โทรหาฉันหน่อย,thoo-hǎa chǎn nòi,Give me a call.,"[{""thai"":""โทรหา"",""english"":""call"",""tones"":[""mid"",""rising""],""romanization"":""thoo-hǎa""},{""thai"":""ฉัน"",""english"":""me"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chǎn""},{""thai"":""หน่อย"",""english"":""please / a bit"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""nòi""}]",easy
ช่วยถือกระเป๋าหน่อย,chûay thǔue grà-bpǎo nòi,Please help carry the bag.,"[{""thai"":""ช่วย"",""english"":""please / help"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""chûay""},{""thai"":""ถือ"",""english"":""carry"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""thǔue""},{""thai"":""กระเป๋า"",""english"":""bag"",""tones"":[""low"",""rising""],""romanization"":""grà-bpǎo""},{""thai"":""หน่อย"",""english"":""please / a bit"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""nòi""}]",easy
