thai,romanization,english,breakdown,difficulty
ฝนกำลังจะตก,fon kamlang cha tok,It is about to rain.,"[{""thai"":""ฝน"",""english"":""rain"",""romanization"":""fŏn""},{""thai"":""กำลังจะ"",""english"":""be about to"",""grammar"":true,""romanization"":""kamlang ja""},{""thai"":""ตก"",""english"":""fall / rain"",""tones"":[""low""],""tone"":""low"",""romanization"":""tòk""}]",hard
ฝนกำลังจะตก,fon kamlang ja dtok,It's about to rain.,"[{""thai"":""ฝน"",""english"":""rain"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""fon""},{""thai"":""กำลังจะ"",""english"":""be about to"",""tones"":[""mid"",""mid"",""low""],""grammar"":true,""romanization"":""kamlang ja""},{""thai"":""ตก"",""english"":""rain / fall"",""tones"":[""low""],""tone"":""low"",""romanization"":""dtok""}]",easy
รถไฟกำลังจะออกแล้ว,rot-fai kamlang ja ok laeo,The train is about to leave.,"[{""thai"":""รถไฟ"",""english"":""train"",""tones"":[""high"",""mid""],""romanization"":""rot-fai""},{""thai"":""กำลังจะ"",""english"":""be about to"",""tones"":[""mid"",""mid"",""low""],""grammar"":true,""romanization"":""kamlang ja""},{""thai"":""ออกแล้ว"",""english"":""leave now"",""tones"":[""low"",""high""],""romanization"":""ok laeo""}]",medium
ฉันกำลังจะโทรหาเธอ,chan kamlang ja thoo haa thoe,I'm about to call you.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""},{""thai"":""กำลังจะ"",""english"":""be about to"",""tones"":[""mid"",""mid"",""low""],""grammar"":true,""romanization"":""kamlang ja""},{""thai"":""โทรหาเธอ"",""english"":""call you"",""tones"":[""mid"",""rising"",""mid""],""romanization"":""thoo haa thoe""}]",easy
เขากำลังจะกลับบ้าน,khao kamlang ja glap baan,He's about to go home.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khao""},{""thai"":""กำลังจะ"",""english"":""be about to"",""tones"":[""mid"",""mid"",""low""],""grammar"":true,""romanization"":""kamlang ja""},{""thai"":""กลับบ้าน"",""english"":""go home"",""tones"":[""low"",""falling""],""romanization"":""glap baan""}]",easy
ร้านกำลังจะปิด,raan kamlang ja bpit,The shop is about to close.,"[{""thai"":""ร้าน"",""english"":""shop"",""tones"":[""high""],""tone"":""high"",""romanization"":""raan""},{""thai"":""กำลังจะ"",""english"":""be about to"",""tones"":[""mid"",""mid"",""low""],""grammar"":true,""romanization"":""kamlang ja""},{""thai"":""ปิด"",""english"":""close"",""tones"":[""low""],""tone"":""low"",""romanization"":""bpit""}]",easy
เด็กกำลังจะร้องไห้,dek kamlang ja rong-hai,The child is about to cry.,"[{""thai"":""เด็ก"",""english"":""child"",""tones"":[""low""],""tone"":""low"",""romanization"":""dek""},{""thai"":""กำลังจะ"",""english"":""be about to"",""tones"":[""mid"",""mid"",""low""],""grammar"":true,""romanization"":""kamlang ja""},{""thai"":""ร้องไห้"",""english"":""cry"",""tones"":[""high"",""falling""],""romanization"":""rong-hai""}]",medium
เรากำลังจะเริ่มประชุม,rao kamlang ja roem bpra-chum,We're about to start the meeting.,"[{""thai"":""เรา"",""english"":""we"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""rao""},{""thai"":""กำลังจะ"",""english"":""be about to"",""tones"":[""mid"",""mid"",""low""],""grammar"":true,""romanization"":""kamlang ja""},{""thai"":""เริ่มประชุม"",""english"":""start the meeting"",""tones"":[""falling"",""low"",""mid""],""romanization"":""roem bpra-chum""}]",medium
แม่กำลังจะทำอาหารเย็น,mae kamlang ja tham aa-haan yen,Mom is about to make dinner.,"[{""thai"":""แม่"",""english"":""Mom"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""mae""},{""thai"":""กำลังจะ"",""english"":""be about to"",""tones"":[""mid"",""mid"",""low""],""grammar"":true,""romanization"":""kamlang ja""},{""thai"":""ทำอาหารเย็น"",""english"":""make dinner"",""tones"":[""mid"",""mid"",""rising"",""mid""],""romanization"":""tham aa-haan yen""}]",medium
พ่อกำลังจะออกจากบ้าน,phaw kamlang ja ok jaak baan,Dad is about to leave the house.,"[{""thai"":""พ่อ"",""english"":""Dad"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""phaw""},{""thai"":""กำลังจะ"",""english"":""be about to"",""tones"":[""mid"",""mid"",""low""],""grammar"":true,""romanization"":""kamlang ja""},{""thai"":""ออกจากบ้าน"",""english"":""leave the house"",""tones"":[""low"",""low"",""falling""],""romanization"":""ok jaak baan""}]",medium
