thai,romanization,english,breakdown,difficulty
ฉันเชื่อว่าเขาน่าจะรู้,chan chuea wa khao na cha ru,I believe that he probably knows.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""},{""thai"":""เชื่อ"",""english"":""believe"",""romanization"":""chuea""},{""thai"":""ว่า"",""english"":""that"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""wa""},{""thai"":""เขา"",""english"":""he / she"",""romanization"":""khao""},{""thai"":""น่าจะ"",""english"":""probably"",""grammar"":true,""romanization"":""na cha""},{""thai"":""รู้"",""english"":""know"",""tones"":[""high""],""tone"":""high"",""romanization"":""ru""}]",hard
ฉันเชื่อว่าเขาน่าจะเข้าใจแล้ว,chan chuea waa khao naa-ja khao-jai laeo,I believe that he probably understands already.,"[{""thai"":""ฉันเชื่อ"",""english"":""I believe"",""tones"":[""rising"",""mid""],""romanization"":""chan chuea""},{""thai"":""ว่า"",""english"":""that"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""waa""},{""thai"":""เขาน่าจะเข้าใจแล้ว"",""english"":""he probably understands already"",""tones"":[""high"",""falling"",""low"",""falling"",""falling""],""romanization"":""khao naa-ja khao-jai laeo""}]",hard
เราคิดว่าแผนนี้ยังใช้ได้,rao khit waa phaen nii yang chai dai,We think that this plan can still work.,"[{""thai"":""เราคิด"",""english"":""we think"",""tones"":[""mid"",""falling""],""romanization"":""rao khit""},{""thai"":""ว่า"",""english"":""that"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""waa""},{""thai"":""แผนนี้ยังใช้ได้"",""english"":""this plan can still work"",""tones"":[""rising"",""high"",""mid"",""high"",""falling""],""romanization"":""phaen nii yang chai dai""}]",hard
หัวหน้าบอกว่าทีมต้องส่งก่อนเที่ยง,hua-naa bpawk waa thiim dtawng song gawn thiang,The manager said that the team has to send it before noon.,"[{""thai"":""หัวหน้าบอก"",""english"":""the manager said"",""tones"":[""rising"",""falling"",""low""],""romanization"":""hua-naa bpawk""},{""thai"":""ว่า"",""english"":""that"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""waa""},{""thai"":""ทีมต้องส่งก่อนเที่ยง"",""english"":""the team has to send it before noon"",""tones"":[""mid"",""falling"",""low"",""falling"",""mid""],""romanization"":""thiim dtawng song gawn thiang""}]",hard
เขายอมรับว่าตัวเลขนี้ยังไม่ชัด,khao yaawm-rap waa dtua-lek nii yang mai chat,He admitted that these numbers are still unclear.,"[{""thai"":""เขายอมรับ"",""english"":""he admitted"",""tones"":[""high"",""mid"",""high""],""romanization"":""khao yaawm-rap""},{""thai"":""ว่า"",""english"":""that"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""waa""},{""thai"":""ตัวเลขนี้ยังไม่ชัด"",""english"":""these numbers are still unclear"",""tones"":[""mid"",""high"",""high"",""mid"",""falling"",""high""],""romanization"":""dtua-lek nii yang mai chat""}]",hard
ฉันหวังว่าทุกอย่างจะเรียบร้อย,chan wang waa thuk-yaang ja riiap-roi,I hope that everything will go smoothly.,"[{""thai"":""ฉันหวัง"",""english"":""I hope"",""tones"":[""rising"",""rising""],""romanization"":""chan wang""},{""thai"":""ว่า"",""english"":""that"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""waa""},{""thai"":""ทุกอย่างจะเรียบร้อย"",""english"":""everything will go smoothly"",""tones"":[""high"",""falling"",""low"",""falling"",""falling""],""romanization"":""thuk-yaang ja riiap-roi""}]",hard
เรารู้สึกว่าเขาเริ่มกังวลแล้ว,rao ruu-seuk waa khao roem gang-won laeo,We feel that he has started to worry.,"[{""thai"":""เรารู้สึก"",""english"":""we feel"",""tones"":[""mid"",""high"",""low""],""romanization"":""rao ruu-seuk""},{""thai"":""ว่า"",""english"":""that"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""waa""},{""thai"":""เขาเริ่มกังวลแล้ว"",""english"":""he has started to worry"",""tones"":[""high"",""falling"",""mid"",""mid"",""falling""],""romanization"":""khao roem gang-won laeo""}]",hard
ลูกค้ารายงานว่าระบบตอบช้าลง,luuk-khaa raai-ngaan waa ra-bop dtaawp chaa long,The customer reported that the system is responding more slowly.,"[{""thai"":""ลูกค้ารายงาน"",""english"":""the customer reported"",""tones"":[""high"",""high"",""mid"",""mid""],""romanization"":""luuk-khaa raai-ngaan""},{""thai"":""ว่า"",""english"":""that"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""waa""},{""thai"":""ระบบตอบช้าลง"",""english"":""the system is responding more slowly"",""tones"":[""mid"",""low"",""falling"",""high"",""mid""],""romanization"":""ra-bop dtaawp chaa long""}]",hard
ทีมสรุปว่าข้อเสนอนี้ยังไม่พอ,thiim sa-rup waa khaaw-sa-noe nii yang mai phaaw,The team concluded that this proposal is still not enough.,"[{""thai"":""ทีมสรุป"",""english"":""the team concluded"",""tones"":[""mid"",""low"",""high""],""romanization"":""thiim sa-rup""},{""thai"":""ว่า"",""english"":""that"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""waa""},{""thai"":""ข้อเสนอนี้ยังไม่พอ"",""english"":""this proposal is still not enough"",""tones"":[""falling"",""low"",""mid"",""high"",""mid"",""falling"",""mid""],""romanization"":""khaaw-sa-noe nii yang mai phaaw""}]",hard
ฉันกังวลว่าเขาจะมาสายอีก,chan gang-won waa khao ja maa saai iik,I am worried that he will be late again.,"[{""thai"":""ฉันกังวล"",""english"":""I am worried"",""tones"":[""rising"",""mid"",""mid""],""romanization"":""chan gang-won""},{""thai"":""ว่า"",""english"":""that"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""waa""},{""thai"":""เขาจะมาสายอีก"",""english"":""he will be late again"",""tones"":[""high"",""low"",""mid"",""rising"",""mid""],""romanization"":""khao ja maa saai iik""}]",hard
