thai,romanization,english,breakdown,difficulty
เขาคงจะมาสาย,khao khong cha ma sai,He will probably be late.,"[{""thai"":""เขา"",""english"":""he / she"",""romanization"":""khao""},{""thai"":""คงจะ"",""english"":""probably"",""grammar"":true,""romanization"":""khong cha""},{""thai"":""มา"",""english"":""come"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""ma""},{""thai"":""สาย"",""english"":""late"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""sai""}]",hard
เขาคงจะมาสาย,khao khong ja maa saai,He'll probably be late.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khao""},{""thai"":""คงจะ"",""english"":""probably / I suppose"",""tones"":[""mid"",""low""],""grammar"":true,""romanization"":""khong ja""},{""thai"":""มาสาย"",""english"":""arrive late"",""tones"":[""mid"",""rising""],""romanization"":""maa saai""}]",easy
ฝนคงจะตกคืนนี้,fon khong ja dtok khuen-nii,It'll probably rain tonight.,"[{""thai"":""ฝน"",""english"":""rain"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""fon""},{""thai"":""คงจะ"",""english"":""probably"",""tones"":[""mid"",""low""],""grammar"":true,""romanization"":""khong ja""},{""thai"":""ตกคืนนี้"",""english"":""rain tonight"",""tones"":[""low"",""falling"",""high""],""romanization"":""dtok khuen-nii""}]",easy
เขาคงกลับไปแล้ว,khao khong glap bpai laeo,He's probably gone back already.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khao""},{""thai"":""คง"",""english"":""probably"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""khong""},{""thai"":""กลับไปแล้ว"",""english"":""has already gone back"",""tones"":[""low"",""mid"",""high""],""romanization"":""glap bpai laeo""}]",medium
ร้านนั้นคงปิดแล้ว,raan nan khong bpit laeo,That shop is probably closed already.,"[{""thai"":""ร้านนั้น"",""english"":""that shop"",""tones"":[""high"",""high""],""romanization"":""raan nan""},{""thai"":""คง"",""english"":""probably"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""khong""},{""thai"":""ปิดแล้ว"",""english"":""closed already"",""tones"":[""low"",""high""],""romanization"":""bpit laeo""}]",easy
พ่อคงยังทำงานอยู่,phaw khong yang tham-ngaan yuu,Dad is probably still working.,"[{""thai"":""พ่อ"",""english"":""Dad"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""phaw""},{""thai"":""คง"",""english"":""probably"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""khong""},{""thai"":""ยังทำงานอยู่"",""english"":""still working"",""tones"":[""mid"",""mid"",""mid"",""low""],""romanization"":""yang tham-ngaan yuu""}]",medium
แม่คงลืมโทรศัพท์ไว้ที่บ้าน,mae khong luem thoo-ra-sap wai thii baan,Mom probably left her phone at home.,"[{""thai"":""แม่"",""english"":""Mom"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""mae""},{""thai"":""คง"",""english"":""probably"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""khong""},{""thai"":""ลืมโทรศัพท์"",""english"":""forget the phone"",""tones"":[""rising"",""mid"",""high"",""low""],""romanization"":""luem thoo-ra-sap""},{""thai"":""ไว้ที่บ้าน"",""english"":""at home"",""tones"":[""high"",""falling"",""falling""],""romanization"":""wai thii baan""}]",medium
เราคงจะต้องรออีกหน่อย,rao khong ja dtong raw iik noi,We'll probably have to wait a little longer.,"[{""thai"":""เรา"",""english"":""we"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""rao""},{""thai"":""คงจะ"",""english"":""probably"",""tones"":[""mid"",""low""],""grammar"":true,""romanization"":""khong ja""},{""thai"":""ต้องรอ"",""english"":""have to wait"",""tones"":[""falling"",""mid""],""romanization"":""dtong raw""},{""thai"":""อีกหน่อย"",""english"":""a little longer"",""tones"":[""low"",""low""],""romanization"":""iik noi""}]",medium
เขาคงไม่ว่างตอนนี้,khao khong mai waang dton-nii,He's probably not free right now.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khao""},{""thai"":""คง"",""english"":""probably"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""khong""},{""thai"":""ไม่ว่าง"",""english"":""not free"",""tones"":[""falling"",""falling""],""romanization"":""mai waang""},{""thai"":""ตอนนี้"",""english"":""right now"",""tones"":[""mid"",""high""],""romanization"":""dton-nii""}]",medium
รถคันนี้คงใช้มานานแล้ว,rot khan nii khong chai maa naan laeo,This car has probably been used for a long time.,"[{""thai"":""รถคันนี้"",""english"":""this car"",""tones"":[""high"",""mid"",""high""],""romanization"":""rot khan nii""},{""thai"":""คง"",""english"":""probably"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""khong""},{""thai"":""ใช้มานานแล้ว"",""english"":""has been used for a long time already"",""tones"":[""high"",""mid"",""mid"",""high""],""romanization"":""chai maa naan laeo""}]",medium
เธอคงหิวมาก,thoe khong hiu maak,She is probably very hungry.,"[{""thai"":""เธอ"",""english"":""she"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""thoe""},{""thai"":""คง"",""english"":""probably"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""khong""},{""thai"":""หิวมาก"",""english"":""very hungry"",""tones"":[""rising"",""falling""],""romanization"":""hiu maak""}]",easy
เขาคงได้อ่านอีเมลแล้ว,khao khong dai aan ii-meen laeo,He has probably read the email already.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khao""},{""thai"":""คง"",""english"":""probably"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""khong""},{""thai"":""ได้อ่านอีเมลแล้ว"",""english"":""has already read the email"",""tones"":[""falling"",""low"",""mid"",""mid"",""high""],""romanization"":""dai aan ii-meen laeo""}]",medium
