thai,romanization,english,breakdown,difficulty
ฉันดูโทรศัพท์ตอนดึกเสมอ,chǎn duu thoo-rá-sàp dton dùek sà-mǒe,I always check my phone late at night.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chǎn""},{""thai"":""ดู"",""english"":""look / check"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""duu""},{""thai"":""โทรศัพท์"",""english"":""phone"",""tones"":[""mid"",""low""],""romanization"":""thoo-rá-sàp""},{""thai"":""ตอน"",""english"":""time / at"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""dton""},{""thai"":""ดึก"",""english"":""late"",""tones"":[""low""],""tone"":""low"",""romanization"":""dùek""},{""thai"":""เสมอ"",""english"":""always"",""tones"":[""low"",""rising""],""grammar"":true,""romanization"":""sà-mǒe""}]",easy
เขาลืมกุญแจไว้ที่โต๊ะบ่อย,khǎo luuem kun-jae wái thîi tó bòi,He often forgets his keys on the table.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khǎo""},{""thai"":""ลืม"",""english"":""forget"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""luuem""},{""thai"":""กุญแจ"",""english"":""keys"",""tones"":[""mid"",""mid""],""romanization"":""kun-jae""},{""thai"":""ไว้"",""english"":""leave (keep)"",""tones"":[""high""],""tone"":""high"",""romanization"":""wái""},{""thai"":""ที่"",""english"":""at"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""thîi""},{""thai"":""โต๊ะ"",""english"":""table"",""tones"":[""high""],""tone"":""high"",""romanization"":""tó""},{""thai"":""บ่อย"",""english"":""often"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""bòi""}]",easy
พวกเราเดินเล่นในสวนเก่าบางครั้ง,phûak rao doen lên nai sǔan gào baang khráng,We sometimes walk around the old park.,"[{""thai"":""พวกเรา"",""english"":""we"",""tones"":[""falling"",""mid""],""romanization"":""phûak rao""},{""thai"":""เดินเล่น"",""english"":""walk / stroll"",""tones"":[""mid"",""mid"",""falling""],""romanization"":""doen lên""},{""thai"":""ใน"",""english"":""in"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""nai""},{""thai"":""สวน"",""english"":""park"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""sǔan""},{""thai"":""เก่า"",""english"":""old"",""tones"":[""low""],""tone"":""low"",""romanization"":""gào""},{""thai"":""บางครั้ง"",""english"":""sometimes"",""tones"":[""mid"",""high""],""grammar"":true,""romanization"":""baang khráng""}]",easy
เธอส่งรูปขำๆ ไปในกลุ่มแชทบ่อย,thoe sòng rûup khǎm-khǎm pai nai klùam châet bòi,She often sends funny pictures to the group chat.,"[{""thai"":""เธอ"",""english"":""she"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""thoe""},{""thai"":""ส่ง"",""english"":""send"",""tones"":[""low""],""tone"":""low"",""romanization"":""sòng""},{""thai"":""รูป"",""english"":""picture"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""rûup""},{""thai"":""ขำๆ"",""english"":""funny"",""tones"":[""rising"",""rising""],""romanization"":""khǎm-khǎm""},{""thai"":""ไป"",""english"":""to"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""pai""},{""thai"":""ใน"",""english"":""in"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""nai""},{""thai"":""กลุ่มแชท"",""english"":""group chat"",""tones"":[""low"",""falling""],""romanization"":""klùam châet""},{""thai"":""บ่อย"",""english"":""often"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""bòi""}]",easy
เพื่อนฉันมาตรงเวลาแปดโมงเสมอ,phûean chǎn maa trong wee-laa bpàet moong sà-mǒe,My friend always shows up right at eight.,"[{""thai"":""เพื่อนฉัน"",""english"":""my friend"",""tones"":[""falling"",""rising""],""romanization"":""phûean chǎn""},{""thai"":""มา"",""english"":""come / arrive"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""maa""},{""thai"":""ตรงเวลา"",""english"":""on time"",""tones"":[""mid"",""mid""],""romanization"":""trong wee-laa""},{""thai"":""แปดโมง"",""english"":""eight o'clock"",""tones"":[""low"",""mid""],""romanization"":""bpàet moong""},{""thai"":""เสมอ"",""english"":""always"",""tones"":[""low"",""rising""],""grammar"":true,""romanization"":""sà-mǒe""}]",easy
เพื่อนบ้านเปิดเพลงดังบ่อย,phûean bâan bpèrt phleŋ daŋ bòi,The neighbors often play loud music.,"[{""thai"":""เพื่อนบ้าน"",""english"":""neighbours"",""tones"":[""falling"",""falling""],""romanization"":""phûean bâan""},{""thai"":""เปิด"",""english"":""turn on / play"",""tones"":[""low""],""tone"":""low"",""romanization"":""bpèrt""},{""thai"":""เพลง"",""english"":""music"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""phleŋ""},{""thai"":""ดัง"",""english"":""loud"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""daŋ""},{""thai"":""บ่อย"",""english"":""often"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""bòi""}]",easy
พ่อพับเสื้อผ้าวันอาทิตย์เสมอ,phôr pháp sûua-phâa wan aa-thít sà-mǒe,Dad always folds the laundry on Sundays.,"[{""thai"":""พ่อ"",""english"":""dad"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""phôr""},{""thai"":""พับ"",""english"":""fold"",""tones"":[""high""],""tone"":""high"",""romanization"":""pháp""},{""thai"":""เสื้อผ้า"",""english"":""clothes"",""tones"":[""falling"",""falling""],""romanization"":""sûua-phâa""},{""thai"":""วันอาทิตย์"",""english"":""Sunday"",""tones"":[""mid"",""mid"",""high""],""romanization"":""wan aa-thít""},{""thai"":""เสมอ"",""english"":""always"",""tones"":[""low"",""rising""],""grammar"":true,""romanization"":""sà-mǒe""}]",easy
เขาล้างจักรยานหลังเลิกงานบ่อย,khǎo láang jàk-grà-yaan lâŋ lêrk ngaan bòi,He often cleans his bike after work.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khǎo""},{""thai"":""ล้าง"",""english"":""wash / clean"",""tones"":[""high""],""tone"":""high"",""romanization"":""láang""},{""thai"":""จักรยาน"",""english"":""bicycle"",""tones"":[""low"",""mid""],""romanization"":""jàk-grà-yaan""},{""thai"":""หลัง"",""english"":""after"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""lâŋ""},{""thai"":""เลิกงาน"",""english"":""finish work"",""tones"":[""falling"",""mid"",""mid""],""romanization"":""lêrk ngaan""},{""thai"":""บ่อย"",""english"":""often"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""bòi""}]",easy
ฉันโทรหาเพื่อนบ่อย,chǎn too hăa phûuean bòi,I often call my friend.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chǎn""},{""thai"":""โทรหา"",""english"":""call"",""tones"":[""mid"",""rising""],""romanization"":""too hăa""},{""thai"":""เพื่อน"",""english"":""friend"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""phûuean""},{""thai"":""บ่อย"",""english"":""often"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""bòi""}]",easy
น้องสาวฉันดูโทรศัพท์ตอนเช้าเสมอ,náwng-săao chǎn duu thoo-rá-sàp dtaawn cháao samǒe,My sister always checks her phone in the morning.,"[{""thai"":""น้องสาว"",""english"":""younger sister"",""tones"":[""high""],""tone"":""high"",""romanization"":""náwng-săao""},{""thai"":""ฉัน"",""english"":""my"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chǎn""},{""thai"":""ดู"",""english"":""look at / check"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""duu""},{""thai"":""โทรศัพท์"",""english"":""phone"",""tones"":[""mid"",""low""],""romanization"":""thoo-rá-sàp""},{""thai"":""ตอนเช้า"",""english"":""in the morning"",""tones"":[""mid"",""high""],""romanization"":""dtaawn cháao""},{""thai"":""เสมอ"",""english"":""always"",""tones"":[""rising""],""tone"":""rising"",""grammar"":true,""romanization"":""samǒe""}]",easy
