thai,romanization,english,breakdown,difficulty
ฉันเหนื่อยมาก,chǎn nʉ̀ai mâak,I'm very tired.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chǎn""},{""thai"":""เหนื่อย"",""english"":""tired"",""tones"":[""low""],""tone"":""low"",""romanization"":""nʉ̀ai""},{""thai"":""มาก"",""english"":""very"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""mâak""}]",easy
ฝนตกมากวันนี้,fǒn dtòk mâak wan-níi,It's raining a lot today.,"[{""thai"":""ฝน"",""english"":""rain"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""fǒn""},{""thai"":""ตก"",""english"":""fall / rain"",""tones"":[""low""],""tone"":""low"",""romanization"":""dtòk""},{""thai"":""มาก"",""english"":""a lot"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""mâak""},{""thai"":""วันนี้"",""english"":""today"",""tones"":[""mid"",""high""],""romanization"":""wan-níi""}]",easy
เขารักเธอมาก,khǎo rák thoe mâak,He loves her very much.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khǎo""},{""thai"":""รัก"",""english"":""love"",""tones"":[""high""],""tone"":""high"",""romanization"":""rák""},{""thai"":""เธอ"",""english"":""her"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""thoe""},{""thai"":""มาก"",""english"":""very much"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""mâak""}]",easy
น้ำเย็นมาก,náam yen mâak,The water is very cold.,"[{""thai"":""น้ำ"",""english"":""water"",""tones"":[""high""],""tone"":""high"",""romanization"":""náam""},{""thai"":""เย็น"",""english"":""cold"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""yen""},{""thai"":""มาก"",""english"":""very"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""mâak""}]",easy
เขาอ่านหนังสือมาก,khǎo àan nǎng-sǔue mâak,He reads a lot.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khǎo""},{""thai"":""อ่าน"",""english"":""read"",""tones"":[""low""],""tone"":""low"",""romanization"":""àan""},{""thai"":""หนังสือ"",""english"":""books"",""tones"":[""rising"",""rising""],""romanization"":""nǎng-sǔue""},{""thai"":""มาก"",""english"":""a lot"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""mâak""}]",easy
พวกเขามีเงินมาก,phûak-khǎo mii ngoen mâak,They have a lot of money.,"[{""thai"":""พวกเขา"",""english"":""they"",""tones"":[""falling"",""rising""],""romanization"":""phûak-khǎo""},{""thai"":""มี"",""english"":""have"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""mii""},{""thai"":""เงิน"",""english"":""money"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""ngoen""},{""thai"":""มาก"",""english"":""a lot of"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""mâak""}]",easy
อาหารร้อนมาก,aa-hǎan rón mâak,The food is very hot.,"[{""thai"":""อาหาร"",""english"":""food"",""tones"":[""mid"",""rising""],""romanization"":""aa-hǎan""},{""thai"":""ร้อน"",""english"":""hot"",""tones"":[""high""],""tone"":""high"",""romanization"":""rón""},{""thai"":""มาก"",""english"":""very"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""mâak""}]",easy
นักท่องเที่ยวมาที่นี่มาก,nák-thông-thîao maa thîi nîi mâak,A lot of tourists come here.,"[{""thai"":""นักท่องเที่ยว"",""english"":""tourists"",""tones"":[""high"",""falling"",""falling""],""romanization"":""nák-thông-thîao""},{""thai"":""มา"",""english"":""come"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""maa""},{""thai"":""ที่"",""english"":""to"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""thîi""},{""thai"":""นี่"",""english"":""here"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""nîi""},{""thai"":""มาก"",""english"":""a lot"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""mâak""}]",medium
กาแฟหวานมาก,gaa-fae wǎan mâak,The coffee is very sweet.,"[{""thai"":""กาแฟ"",""english"":""coffee"",""tones"":[""mid"",""mid""],""romanization"":""gaa-fae""},{""thai"":""หวาน"",""english"":""sweet"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""wǎan""},{""thai"":""มาก"",""english"":""very"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""mâak""}]",easy
ช่วงนี้ฉันอ่านข่าวมาก,chûang-níi chǎn àan khàao mâak,I've been reading the news a lot lately.,"[{""thai"":""ช่วงนี้"",""english"":""lately"",""tones"":[""falling"",""high""],""romanization"":""chûang-níi""},{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chǎn""},{""thai"":""อ่าน"",""english"":""read"",""tones"":[""low""],""tone"":""low"",""romanization"":""àan""},{""thai"":""ข่าว"",""english"":""news"",""tones"":[""low""],""tone"":""low"",""romanization"":""khàao""},{""thai"":""มาก"",""english"":""a lot"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""mâak""}]",medium
