thai,romanization,english,breakdown,difficulty
ถ้าเป็นวันหยุด ฉันจะไม่ตื่นเช้า,tha pen wan yut chan cha mai tuen chao,"If it's a holiday, I won't wake up early.","[{""thai"":""ถ้าเป็นวันหยุด"",""english"":""if it's a holiday"",""grammar"":true,""romanization"":""thâa pen wan yùt""},{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chǎn""},{""thai"":""จะ"",""english"":""will"",""tones"":[""low""],""tone"":""low"",""grammar"":true,""romanization"":""jà""},{""thai"":""ไม่"",""english"":""not"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""mâi""},{""thai"":""ตื่น"",""english"":""wake up"",""tones"":[""low""],""tone"":""low"",""romanization"":""tùen""},{""thai"":""เช้า"",""english"":""early"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""châo""}]",hard
ถ้าพรุ่งนี้ฝนตก เราจะเลื่อนประชุม,"thaa phrung-nii fon dtok, rao ja luean bpra-chum","If it rains tomorrow, we will postpone the meeting.","[{""thai"":""ถ้าพรุ่งนี้ฝนตก"",""english"":""if it rains tomorrow"",""tones"":[""falling"",""mid"",""rising"",""low""],""grammar"":true,""romanization"":""thaa phrung-nii fon dtok""},{""thai"":""เราจะเลื่อนประชุม"",""english"":""we will postpone the meeting"",""tones"":[""mid"",""low"",""falling"",""low"",""mid""],""romanization"":""rao ja luean bpra-chum""}]",hard
ก่อนจะส่งงาน กรุณาตรวจอีกครั้ง,"gawn ja song ngaan, ga-ru-naa dtruat iik khrang","Before submitting the work, please check it once more.","[{""thai"":""ก่อนจะส่งงาน"",""english"":""before submitting the work"",""tones"":[""falling"",""low"",""low"",""mid""],""grammar"":true,""romanization"":""gawn ja song ngaan""},{""thai"":""กรุณาตรวจอีกครั้ง"",""english"":""please check it once more"",""tones"":[""mid"",""mid"",""mid"",""low"",""mid"",""high""],""romanization"":""ga-ru-naa dtruat iik khrang""}]",hard
หลังจากคุยกับลูกค้าแล้ว เราเปลี่ยนแผนทันที,"lang-jaak khui gap luuk-khaa laeo, rao plian phaen than-thii","After talking with the customer, we changed the plan immediately.","[{""thai"":""หลังจากคุยกับลูกค้าแล้ว"",""english"":""after talking with the customer"",""tones"":[""falling"",""low"",""mid"",""low"",""high"",""high"",""falling""],""grammar"":true,""romanization"":""lang-jaak khui gap luuk-khaa laeo""},{""thai"":""เราเปลี่ยนแผนทันที"",""english"":""we changed the plan immediately"",""tones"":[""mid"",""low"",""rising"",""mid"",""falling""],""romanization"":""rao plian phaen than-thii""}]",hard
เพราะข้อมูลยังไม่ครบ เรายังตอบไม่ได้,"phraw khaaw-muun yang mai khrop, rao yang dtaawp mai dai","Because the information is still incomplete, we still cannot answer.","[{""thai"":""เพราะข้อมูลยังไม่ครบ"",""english"":""because the information is still incomplete"",""tones"":[""falling"",""falling"",""rising"",""mid"",""falling"",""high""],""grammar"":true,""romanization"":""phraw khaaw-muun yang mai khrop""},{""thai"":""เรายังตอบไม่ได้"",""english"":""we still cannot answer"",""tones"":[""mid"",""mid"",""falling"",""falling"",""falling""],""romanization"":""rao yang dtaawp mai dai""}]",hard
เมื่อทุกคนพร้อมแล้ว หัวหน้าก็เริ่มประชุม,"muea thuk-khon phrawm laeo, hua-naa gaaw roem bpra-chum","When everyone was ready, the manager started the meeting.","[{""thai"":""เมื่อทุกคนพร้อมแล้ว"",""english"":""when everyone was ready"",""tones"":[""falling"",""high"",""mid"",""high"",""falling""],""grammar"":true,""romanization"":""muea thuk-khon phrawm laeo""},{""thai"":""หัวหน้าก็เริ่มประชุม"",""english"":""the manager started the meeting"",""tones"":[""falling"",""falling"",""falling"",""low"",""mid""],""romanization"":""hua-naa gaaw roem bpra-chum""}]",hard
ถ้าไม่รีบตอนนี้ เราจะไม่ทันเวลา,"thaa mai riip dtawn-nii, rao ja mai than wee-laa","If we do not hurry now, we will not make it in time.","[{""thai"":""ถ้าไม่รีบตอนนี้"",""english"":""if we do not hurry now"",""tones"":[""falling"",""falling"",""falling"",""high""],""grammar"":true,""romanization"":""thaa mai riip dtawn-nii""},{""thai"":""เราจะไม่ทันเวลา"",""english"":""we will not make it in time"",""tones"":[""mid"",""low"",""falling"",""mid"",""mid""],""romanization"":""rao ja mai than wee-laa""}]",hard
หลังจากระบบกลับมา ทีมก็ส่งงานต่อ,"lang-jaak ra-bop glap maa, thiim gaaw song ngaan dtaw","After the system came back, the team continued the work.","[{""thai"":""หลังจากระบบกลับมา"",""english"":""after the system came back"",""tones"":[""falling"",""low"",""mid"",""low"",""mid""],""grammar"":true,""romanization"":""lang-jaak ra-bop glap maa""},{""thai"":""ทีมก็ส่งงานต่อ"",""english"":""the team continued sending the work"",""tones"":[""mid"",""falling"",""low"",""mid"",""low""],""romanization"":""thiim gaaw song ngaan dtaw""}]",hard
แม้ว่าราคาจะสูง ลูกค้าก็ยังสนใจ,"mae-waa raa-khaa ja suung, luuk-khaa gaaw yang son-jai","Even though the price is high, the customer is still interested.","[{""thai"":""แม้ว่าราคาจะสูง"",""english"":""even though the price is high"",""tones"":[""falling"",""falling"",""mid"",""high"",""low"",""rising""],""grammar"":true,""romanization"":""mae-waa raa-khaa ja suung""},{""thai"":""ลูกค้าก็ยังสนใจ"",""english"":""the customer is still interested"",""tones"":[""high"",""high"",""falling"",""mid"",""rising"",""mid""],""romanization"":""luuk-khaa gaaw yang son-jai""}]",hard
เมื่อเห็นตัวเลขล่าสุด เราก็ต้องปรับแผน,"muea hen dtua-lek laa-sut, rao gaaw dtawng bprap phaen","When we saw the latest numbers, we had to adjust the plan.","[{""thai"":""เมื่อเห็นตัวเลขล่าสุด"",""english"":""when we saw the latest numbers"",""tones"":[""falling"",""rising"",""mid"",""high"",""falling"",""low""],""grammar"":true,""romanization"":""muea hen dtua-lek laa-sut""},{""thai"":""เราก็ต้องปรับแผน"",""english"":""we had to adjust the plan"",""tones"":[""mid"",""falling"",""falling"",""low"",""rising""],""romanization"":""rao gaaw dtawng bprap phaen""}]",hard
ถ้าลูกค้ายังไม่ตอบ เราจะตามอีกครั้ง,"thaa luuk-khaa yang mai dtaawp, rao ja dtaam iik khrang","If the customer still does not reply, we will follow up again.","[{""thai"":""ถ้าลูกค้ายังไม่ตอบ"",""english"":""if the customer still does not reply"",""tones"":[""falling"",""high"",""high"",""mid"",""falling"",""falling""],""grammar"":true,""romanization"":""thaa luuk-khaa yang mai dtaawp""},{""thai"":""เราจะตามอีกครั้ง"",""english"":""we will follow up again"",""tones"":[""mid"",""low"",""mid"",""mid"",""high""],""romanization"":""rao ja dtaam iik khrang""}]",hard
หลังจากงานเสร็จแล้ว ทุกคนก็กลับบ้าน,"lang-jaak ngaan set laeo, thuk-khon gaaw glap baan","After the work was finished, everyone went home.","[{""thai"":""หลังจากงานเสร็จแล้ว"",""english"":""after the work was finished"",""tones"":[""falling"",""low"",""mid"",""low"",""falling""],""grammar"":true,""romanization"":""lang-jaak ngaan set laeo""},{""thai"":""ทุกคนก็กลับบ้าน"",""english"":""everyone went home"",""tones"":[""mid"",""mid"",""falling"",""low"",""falling""],""romanization"":""thuk-khon gaaw glap baan""}]",hard
ก่อนที่เขาจะพูดจบ ฉันก็เข้าใจแล้ว,"gawn thii khao ja phuut jop, chan gaaw khao-jai laeo","Before he finished speaking, I already understood.","[{""thai"":""ก่อนที่เขาจะพูดจบ"",""english"":""before he finished speaking"",""tones"":[""falling"",""falling"",""high"",""low"",""falling"",""low""],""grammar"":true,""romanization"":""gawn thii khao ja phuut jop""},{""thai"":""ฉันก็เข้าใจแล้ว"",""english"":""I already understood"",""tones"":[""rising"",""falling"",""falling"",""mid"",""falling""],""romanization"":""chan gaaw khao-jai laeo""}]",hard
ถ้าข้อเสนอนี้ผ่าน เราจะเริ่มเดือนหน้า,"thaa khaaw-sa-noe nii phaan, rao ja roem duean naa","If this proposal passes, we will start next month.","[{""thai"":""ถ้าข้อเสนอนี้ผ่าน"",""english"":""if this proposal passes"",""tones"":[""falling"",""falling"",""low"",""mid"",""high"",""rising""],""grammar"":true,""romanization"":""thaa khaaw-sa-noe nii phaan""},{""thai"":""เราจะเริ่มเดือนหน้า"",""english"":""we will start next month"",""tones"":[""mid"",""low"",""falling"",""mid"",""falling""],""romanization"":""rao ja roem duean naa""}]",hard
เพราะเขาแจ้งช้า ทุกอย่างเลยล่าช้า,"phraw khao jaeng chaa, thuk-yaang loei laa-chaa","Because he informed us late, everything ended up delayed.","[{""thai"":""เพราะเขาแจ้งช้า"",""english"":""because he informed us late"",""tones"":[""falling"",""high"",""falling"",""high""],""grammar"":true,""romanization"":""phraw khao jaeng chaa""},{""thai"":""ทุกอย่างเลยล่าช้า"",""english"":""everything ended up delayed"",""tones"":[""mid"",""falling"",""mid"",""falling"",""high""],""romanization"":""thuk-yaang loei laa-chaa""}]",hard
เมื่อแผนเดิมใช้ไม่ได้ เราก็ต้องหาอีกทาง,"muea phaen doem chai mai dai, rao gaaw dtawng haa iik thaang","When the original plan could not be used, we had to find another way.","[{""thai"":""เมื่อแผนเดิมใช้ไม่ได้"",""english"":""when the original plan could not be used"",""tones"":[""falling"",""rising"",""mid"",""high"",""falling"",""falling""],""grammar"":true,""romanization"":""muea phaen doem chai mai dai""},{""thai"":""เราก็ต้องหาอีกทาง"",""english"":""we had to find another way"",""tones"":[""mid"",""falling"",""falling"",""rising"",""mid"",""mid""],""romanization"":""rao gaaw dtawng haa iik thaang""}]",hard
หลังจากได้คำตอบแล้ว ฉันก็ตัดสินใจทันที,"lang-jaak dai kham-dtaawp laeo, chan gaaw dtat-sin-jai than-thii","After receiving the answer, I decided immediately.","[{""thai"":""หลังจากได้คำตอบแล้ว"",""english"":""after receiving the answer"",""tones"":[""falling"",""low"",""falling"",""mid"",""falling""],""grammar"":true,""romanization"":""lang-jaak dai kham-dtaawp laeo""},{""thai"":""ฉันก็ตัดสินใจทันที"",""english"":""I decided immediately"",""tones"":[""rising"",""falling"",""low"",""mid"",""mid"",""falling""],""romanization"":""chan gaaw dtat-sin-jai than-thii""}]",hard
ถ้ายังมีเวลา เราอยากคุยรายละเอียดเพิ่ม,"thaa yang mii wee-laa, rao yaak khui raai-la-iat phern","If there is still time, we want to discuss the details more.","[{""thai"":""ถ้ายังมีเวลา"",""english"":""if there is still time"",""tones"":[""falling"",""mid"",""mid"",""mid""],""grammar"":true,""romanization"":""thaa yang mii wee-laa""},{""thai"":""เราอยากคุยรายละเอียดเพิ่ม"",""english"":""we want to discuss the details more"",""tones"":[""mid"",""low"",""mid"",""mid"",""low"",""falling"",""mid""],""romanization"":""rao yaak khui raai-la-iat phern""}]",hard
ก่อนจะเริ่มรอบใหม่ ทีมควรสรุปปัญหาเดิม,"gawn ja roem raawp mai, thiim khuan sa-rup bpan-haa doem","Before starting a new round, the team should summarize the old problem.","[{""thai"":""ก่อนจะเริ่มรอบใหม่"",""english"":""before starting a new round"",""tones"":[""falling"",""low"",""falling"",""falling"",""falling""],""grammar"":true,""romanization"":""gawn ja roem raawp mai""},{""thai"":""ทีมควรสรุปปัญหาเดิม"",""english"":""the team should summarize the old problem"",""tones"":[""mid"",""mid"",""low"",""high"",""mid"",""rising"",""mid""],""romanization"":""thiim khuan sa-rup bpan-haa doem""}]",hard
เมื่อทุกฝ่ายเห็นตรงกัน เราก็ประกาศผล,"muea thuk faai hen dtrong gan, rao gaaw bpra-gaat phon","When every side agreed, we announced the result.","[{""thai"":""เมื่อทุกฝ่ายเห็นตรงกัน"",""english"":""when every side agreed"",""tones"":[""falling"",""high"",""low"",""rising"",""mid"",""mid""],""grammar"":true,""romanization"":""muea thuk faai hen dtrong gan""},{""thai"":""เราก็ประกาศผล"",""english"":""we announced the result"",""tones"":[""mid"",""falling"",""low"",""low"",""rising""],""romanization"":""rao gaaw bpra-gaat phon""}]",hard
ถ้าปล่อยไว้นานเกินไป ปัญหานี้จะยิ่งแก้ยาก,"thaa bploy wai naan gern bpai, bpan-haa nii ja ying gae yaak","If we leave it too long, this problem will become even harder to fix.","[{""thai"":""ถ้าปล่อยไว้นานเกินไป"",""english"":""if we leave it too long"",""tones"":[""falling"",""low"",""falling"",""mid"",""mid"",""mid""],""grammar"":true,""romanization"":""thaa bploy wai naan gern bpai""},{""thai"":""ปัญหานี้จะยิ่งแก้ยาก"",""english"":""this problem will become even harder to fix"",""tones"":[""mid"",""rising"",""high"",""low"",""mid"",""falling"",""low""],""romanization"":""bpan-haa nii ja ying gae yaak""}]",hard
