thai,romanization,english,breakdown,difficulty
เขาพูดราวกับว่าเป็นครู,khao phut rao kap wa pen khru,He spoke as if he were the teacher.,"[{""thai"":""เขา"",""english"":""he / she"",""romanization"":""khao""},{""thai"":""พูด"",""english"":""speak"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""phut""},{""thai"":""ราวกับว่า"",""english"":""as if"",""grammar"":true,""romanization"":""rao kap wa""},{""thai"":""เป็น"",""english"":""be"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""pen""},{""thai"":""ครู"",""english"":""teacher"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""khru""}]",hard
เขาพูดราวกับว่าเป็นครู,khao phuut raao gap waa bpen khruu,He spoke as if he were the teacher.,"[{""thai"":""เขาพูด"",""english"":""he spoke"",""tones"":[""rising"",""falling""],""romanization"":""khao phuut""},{""thai"":""ราวกับว่า"",""english"":""as if"",""tones"":[""mid"",""low"",""falling""],""grammar"":true,""romanization"":""raao gap waa""},{""thai"":""เป็นครู"",""english"":""he were the teacher"",""tones"":[""mid"",""mid""],""romanization"":""bpen khruu""}]",hard
ฝนตกหนักราวกับว่าฟ้ารั่ว,fon dtok nak raao gap waa faa rua,It rained as if the sky had burst open.,"[{""thai"":""ฝนตกหนัก"",""english"":""it was raining hard"",""tones"":[""rising"",""low"",""high""],""romanization"":""fon dtok nak""},{""thai"":""ราวกับว่า"",""english"":""as if"",""tones"":[""mid"",""low"",""falling""],""grammar"":true,""romanization"":""raao gap waa""},{""thai"":""ฟ้ารั่ว"",""english"":""the sky had burst open"",""tones"":[""high"",""rising""],""romanization"":""faa rua""}]",hard
เด็กดีใจราวกับว่าได้ของขวัญชิ้นใหญ่,dek dii-jai raao gap waa dai khawng-khwan yai,The child was delighted as if he had received a big gift.,"[{""thai"":""เด็กดีใจ"",""english"":""the child was delighted"",""tones"":[""low"",""mid"",""mid""],""romanization"":""dek dii-jai""},{""thai"":""ราวกับว่า"",""english"":""as if"",""tones"":[""mid"",""low"",""falling""],""grammar"":true,""romanization"":""raao gap waa""},{""thai"":""ได้ของขวัญชิ้นใหญ่"",""english"":""he had received a big gift"",""tones"":[""mid"",""rising"",""falling"",""low""],""romanization"":""dai khawng-khwan yai""}]",hard
เขายิ้มราวกับว่าไม่มีอะไรเกิดขึ้น,khao yim raao gap waa mai mii a-rai goet kheun,He smiled as if nothing had happened.,"[{""thai"":""เขายิ้ม"",""english"":""he smiled"",""tones"":[""rising"",""high""],""romanization"":""khao yim""},{""thai"":""ราวกับว่า"",""english"":""as if"",""tones"":[""mid"",""low"",""falling""],""grammar"":true,""romanization"":""raao gap waa""},{""thai"":""ไม่มีอะไรเกิดขึ้น"",""english"":""nothing had happened"",""tones"":[""falling"",""mid"",""mid"",""low"",""falling""],""romanization"":""mai mii a-rai goet kheun""}]",hard
เธอนิ่งราวกับว่าไม่ได้ยินอะไรเลย,thoe ning raao gap waa mai dai yin a-rai loei,She stayed still as if she hadn't heard anything at all.,"[{""thai"":""เธอนิ่ง"",""english"":""she stayed still"",""tones"":[""mid"",""falling""],""romanization"":""thoe ning""},{""thai"":""ราวกับว่า"",""english"":""as if"",""tones"":[""mid"",""low"",""falling""],""grammar"":true,""romanization"":""raao gap waa""},{""thai"":""ไม่ได้ยินอะไรเลย"",""english"":""she hadn't heard anything at all"",""tones"":[""falling"",""mid"",""mid"",""mid"",""mid""],""romanization"":""mai dai yin a-rai loei""}]",hard
เมืองนี้เงียบราวกับว่าทุกคนหายไปหมด,mueang nii ngiap raao gap waa thuk-khon haai bpai mot,This town was quiet as if everyone had disappeared.,"[{""thai"":""เมืองนี้เงียบ"",""english"":""this town was quiet"",""tones"":[""mid"",""high"",""low""],""romanization"":""mueang nii ngiap""},{""thai"":""ราวกับว่า"",""english"":""as if"",""tones"":[""mid"",""low"",""falling""],""grammar"":true,""romanization"":""raao gap waa""},{""thai"":""ทุกคนหายไปหมด"",""english"":""everyone had disappeared"",""tones"":[""high"",""mid"",""rising"",""mid"",""low""],""romanization"":""thuk-khon haai bpai mot""}]",hard
เขาเดินช้าๆราวกับว่าไม่มีแรงเหลือ,khao dern chaa-chaa raao gap waa mai mii raeng leua,He walked very slowly as if he had no strength left.,"[{""thai"":""เขาเดินช้าๆ"",""english"":""he walked very slowly"",""tones"":[""rising"",""mid"",""high"",""high""],""romanization"":""khao dern chaa-chaa""},{""thai"":""ราวกับว่า"",""english"":""as if"",""tones"":[""mid"",""low"",""falling""],""grammar"":true,""romanization"":""raao gap waa""},{""thai"":""ไม่มีแรงเหลือ"",""english"":""he had no strength left"",""tones"":[""falling"",""mid"",""mid"",""rising""],""romanization"":""mai mii raeng leua""}]",hard
เธอมองฉันราวกับว่าไม่เคยเจอกันมาก่อน,thoe mawng chan raao gap waa mai koey jer gan maa gawn,She looked at me as if we'd never met before.,"[{""thai"":""เธอมองฉัน"",""english"":""she looked at me"",""tones"":[""mid"",""mid"",""rising""],""romanization"":""thoe mawng chan""},{""thai"":""ราวกับว่า"",""english"":""as if"",""tones"":[""mid"",""low"",""falling""],""grammar"":true,""romanization"":""raao gap waa""},{""thai"":""ไม่เคยเจอกันมาก่อน"",""english"":""we had never met before"",""tones"":[""falling"",""mid"",""mid"",""mid"",""mid"",""falling""],""romanization"":""mai koey jer gan maa gawn""}]",hard
ห้องนี้เย็นราวกับว่าเปิดแอร์ทั้งคืน,hong nii yen raao gap waa bpoet ae thang-kheun,This room was cool as if the AC had been on all night.,"[{""thai"":""ห้องนี้เย็น"",""english"":""this room was cool"",""tones"":[""falling"",""high"",""mid""],""romanization"":""hong nii yen""},{""thai"":""ราวกับว่า"",""english"":""as if"",""tones"":[""mid"",""low"",""falling""],""grammar"":true,""romanization"":""raao gap waa""},{""thai"":""เปิดแอร์ทั้งคืน"",""english"":""the AC had been on all night"",""tones"":[""low"",""mid"",""high"",""falling""],""romanization"":""bpoet ae thang-kheun""}]",hard
