thai,romanization,english,breakdown,difficulty
เขามักจะตื่นสายในวันหยุด,khao mák jà tǔen sǎai nai wan yùt,He tends to wake up late on holidays.,"[{""thai"":""เขา"",""english"":""he"",""romanization"":""khao""},{""thai"":""มักจะ"",""english"":""tends to"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""mák jà""},{""thai"":""ตื่นสาย"",""english"":""wake up late"",""tones"":[""rising"",""rising""],""romanization"":""tǔen sǎai""},{""thai"":""ในวันหยุด"",""english"":""on holidays"",""romanization"":""nai wan yùt""}]",easy
เธอมักจะไปวิ่งที่สวนสาธารณะตอนเช้า,thoe mák jà pai wîng thîi sǔan sǎa-thaa-ra-naa tawn cháo,She tends to go running in the park in the morning.,"[{""thai"":""เธอ"",""english"":""she"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""thoe""},{""thai"":""มักจะ"",""english"":""tends to"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""mák jà""},{""thai"":""ไปวิ่ง"",""english"":""go running"",""romanization"":""pai wîng""},{""thai"":""ที่สวนสาธารณะ"",""english"":""in the park"",""romanization"":""thîi sǔan sǎa-thaa-ra-naa""},{""thai"":""ตอนเช้า"",""english"":""in the morning"",""romanization"":""tawn cháo""}]",medium
พวกเขามักจะทำงานล่วงเวลาวันศุกร์,phûak khao mák jà tham ngaan lûang we-laa wan sùk,They tend to work overtime on Fridays.,"[{""thai"":""พวกเขา"",""english"":""they"",""romanization"":""phûak khao""},{""thai"":""มักจะ"",""english"":""tends to"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""mák jà""},{""thai"":""ทำงานล่วงเวลา"",""english"":""work overtime"",""romanization"":""tham ngaan lûang we-laa""},{""thai"":""วันศุกร์"",""english"":""on Fridays"",""romanization"":""wan sùk""}]",medium
เพื่อนของฉันมักจะลืมโทรศัพท์ไว้ที่บ้าน,phûean khǎawng chǎn mák jà luem tho-ra-sàp wái thîi bâan,My friend tends to forget her phone at home.,"[{""thai"":""เพื่อนของฉัน"",""english"":""my friend"",""tones"":[""falling"",""rising"",""rising""],""romanization"":""phûean khǎawng chǎn""},{""thai"":""มักจะ"",""english"":""tends to"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""mák jà""},{""thai"":""ลืม"",""english"":""forget"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""luem""},{""thai"":""โทรศัพท์"",""english"":""phone"",""romanization"":""tho-ra-sàp""},{""thai"":""ไว้ที่บ้าน"",""english"":""at home"",""tones"":[""high"",""falling"",""falling""],""romanization"":""wái thîi bâan""}]",medium
เขามักจะทำอาหารเย็นเอง,khao mák jà tham aa-hǎan yen eeng,He tends to make dinner himself.,"[{""thai"":""เขา"",""english"":""he"",""romanization"":""khao""},{""thai"":""มักจะ"",""english"":""tends to"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""mák jà""},{""thai"":""ทำอาหารเย็น"",""english"":""make dinner"",""romanization"":""tham aa-hǎan yen""},{""thai"":""เอง"",""english"":""himself"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""eeng""}]",easy
ลูกค้ามักจะถามคำถามเดิม,lûuk-kháa mák jà thǎam kham-thǎam deum,Customers tend to ask the same questions.,"[{""thai"":""ลูกค้า"",""english"":""customers"",""tones"":[""falling"",""high""],""romanization"":""lûuk-kháa""},{""thai"":""มักจะ"",""english"":""tend to"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""mák jà""},{""thai"":""ถาม"",""english"":""ask"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""thǎam""},{""thai"":""คำถามเดิม"",""english"":""the same questions"",""romanization"":""kham-thǎam deum""}]",medium
น้องชายฉันมักจะทำการบ้านล่วงหน้า,nóng chai chǎn mák jà tham gaan-bâan lûang nâa,My younger brother tends to do homework in advance.,"[{""thai"":""น้องชายฉัน"",""english"":""my younger brother"",""romanization"":""nóng chai chǎn""},{""thai"":""มักจะ"",""english"":""tends to"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""mák jà""},{""thai"":""ทำการบ้าน"",""english"":""do homework"",""romanization"":""tham gaan-bâan""},{""thai"":""ล่วงหน้า"",""english"":""in advance"",""tones"":[""falling"",""falling""],""romanization"":""lûang nâa""}]",hard
พี่สาวมักจะฟังเพลงก่อนนอน,phîi sǎao mák jà fang phleeng gàawn nawn,My elder sister tends to listen to music before bed.,"[{""thai"":""พี่สาว"",""english"":""elder sister"",""tones"":[""falling"",""rising""],""romanization"":""phîi sǎao""},{""thai"":""มักจะ"",""english"":""tends to"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""mák jà""},{""thai"":""ฟังเพลง"",""english"":""listen to music"",""romanization"":""fang phleeng""},{""thai"":""ก่อนนอน"",""english"":""before bed"",""romanization"":""gàawn nawn""}]",easy
ครูมักจะให้การบ้านเยอะ,khruu mák jà hâi gaan-bâan yóe,The teacher tends to give a lot of homework.,"[{""thai"":""ครู"",""english"":""teacher"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""khruu""},{""thai"":""มักจะ"",""english"":""tends to"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""mák jà""},{""thai"":""ให้การบ้าน"",""english"":""give homework"",""romanization"":""hâi gaan-bâan""},{""thai"":""เยอะ"",""english"":""a lot"",""tones"":[""high""],""tone"":""high"",""romanization"":""yóe""}]",medium
เจ้านายมักจะประชุมยาว,jâo-naai mák jà bpra-chum yaao,The boss tends to hold long meetings.,"[{""thai"":""เจ้านาย"",""english"":""boss"",""romanization"":""jâo-naai""},{""thai"":""มักจะ"",""english"":""tends to"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""mák jà""},{""thai"":""ประชุม"",""english"":""hold meetings"",""romanization"":""bpra-chum""},{""thai"":""ยาว"",""english"":""long"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""yaao""}]",medium
