thai,romanization,english,breakdown,difficulty
เขากินข้าวแล้วก็ไปทำงาน,khao kin khao laeo ko pai tham ngan,He ate and then went to work.,"[{""thai"":""เขา"",""english"":""he / she"",""romanization"":""khao""},{""thai"":""กิน"",""english"":""eat"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""kin""},{""thai"":""ข้าว"",""english"":""rice / meal"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""khao""},{""thai"":""แล้วก็"",""english"":""and then"",""grammar"":true,""romanization"":""laeo ko""},{""thai"":""ไป"",""english"":""go"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""pai""},{""thai"":""ทำงาน"",""english"":""work"",""romanization"":""tham ngan""}]",easy
ฉันอาบน้ำแล้วก็นอน,chan ap nam laeo ko non,I showered and then slept.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""},{""thai"":""อาบน้ำ"",""english"":""shower"",""romanization"":""ap nam""},{""thai"":""แล้วก็"",""english"":""and then"",""grammar"":true,""romanization"":""laeo ko""},{""thai"":""นอน"",""english"":""sleep"",""romanization"":""non""}]",easy
ฉันไปซื้อของแล้วก็กลับบ้าน,chǎn pai súue khǎawng láew gôo klàp bâan,I went shopping and then went home.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""},{""thai"":""ไปซื้อของ"",""english"":""went shopping"",""romanization"":""pai sue khong""},{""thai"":""แล้วก็"",""english"":""and then"",""grammar"":true,""romanization"":""laeo ko""},{""thai"":""กลับบ้าน"",""english"":""went home"",""romanization"":""klap ban""}]",easy
เขาดูหนังแล้วก็นอน,khǎo duu nǎng láew gôo norn,He watched a movie and then slept.,"[{""thai"":""เขา"",""english"":""he"",""romanization"":""khao""},{""thai"":""ดูหนัง"",""english"":""watched a movie"",""romanization"":""duu nang""},{""thai"":""แล้วก็"",""english"":""and then"",""grammar"":true,""romanization"":""laeo ko""},{""thai"":""นอน"",""english"":""slept"",""romanization"":""non""}]",easy
เรากินข้าวแล้วก็ไปเล่นกีฬา,rao kin khâaw láew gôo pai lên giilaa,We ate and then went to play sports.,"[{""thai"":""เรา"",""english"":""we"",""romanization"":""rao""},{""thai"":""กินข้าว"",""english"":""ate"",""romanization"":""kin khao""},{""thai"":""แล้วก็"",""english"":""and then"",""grammar"":true,""romanization"":""laeo ko""},{""thai"":""ไปเล่นกีฬา"",""english"":""went to play sports"",""romanization"":""pai len giilaa""}]",medium
เธอทำการบ้านเสร็จแล้วก็ออกไปเจอเพื่อน,thooe tham gaan-bâan sèt láew gôo òok pai jooe phûuean,She finished her homework and then went out to meet friends.,"[{""thai"":""เธอ"",""english"":""she"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""thoe""},{""thai"":""ทำการบ้านเสร็จ"",""english"":""finished her homework"",""romanization"":""tham gaan-baan set""},{""thai"":""แล้วก็"",""english"":""and then"",""grammar"":true,""romanization"":""laeo ko""},{""thai"":""ออกไปเจอเพื่อน"",""english"":""went out to meet friends"",""romanization"":""ok pai joe phuean""}]",hard
พวกเขาเดินเล่นริมทะเลแล้วก็ถ่ายรูป,phûuak-khǎo dooen lên rim thalée láew gôo thàai rûup,They walked along the beach and then took photos.,"[{""thai"":""พวกเขา"",""english"":""they"",""romanization"":""phuak khao""},{""thai"":""เดินเล่นริมทะเล"",""english"":""walked along the beach"",""romanization"":""doen len rim thalee""},{""thai"":""แล้วก็"",""english"":""and then"",""grammar"":true,""romanization"":""laeo ko""},{""thai"":""ถ่ายรูป"",""english"":""took photos"",""romanization"":""thai rup""}]",medium
เขาอ่านหนังสือแล้วก็หลับไป,khǎo àan nǎngsǔe láew gôo làp pai,He read a book and then fell asleep.,"[{""thai"":""เขา"",""english"":""he"",""romanization"":""khao""},{""thai"":""อ่านหนังสือ"",""english"":""read a book"",""romanization"":""an nangsue""},{""thai"":""แล้วก็"",""english"":""and then"",""grammar"":true,""romanization"":""laeo ko""},{""thai"":""หลับไป"",""english"":""fell asleep"",""romanization"":""lap pai""}]",medium
ฉันกินกาแฟแล้วก็ไปทำงาน,chǎn kin gaafae láew gôo pai tham-ngaan,I drank coffee and then went to work.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""},{""thai"":""กินกาแฟ"",""english"":""drank coffee"",""romanization"":""kin gaafae""},{""thai"":""แล้วก็"",""english"":""and then"",""grammar"":true,""romanization"":""laeo ko""},{""thai"":""ไปทำงาน"",""english"":""went to work"",""romanization"":""pai tham-ngaan""}]",easy
พ่อซ่อมรถแล้วก็ดูทีวี,phâaw sòom rót láew gôo duu thiiwii,Dad fixed the car and then watched TV.,"[{""thai"":""พ่อ"",""english"":""dad"",""romanization"":""phaw""},{""thai"":""ซ่อมรถ"",""english"":""fixed the car"",""romanization"":""som rot""},{""thai"":""แล้วก็"",""english"":""and then"",""grammar"":true,""romanization"":""laeo ko""},{""thai"":""ดูทีวี"",""english"":""watched TV"",""romanization"":""duu thiiwii""}]",medium
เราทำงานเสร็จแล้วก็ไปกินข้าวเย็น,rao tham-ngaan sèt láew gôo pai kin khâaw yen,We finished work and then went to have dinner.,"[{""thai"":""เรา"",""english"":""we"",""romanization"":""rao""},{""thai"":""ทำงานเสร็จ"",""english"":""finished work"",""romanization"":""tham-ngaan set""},{""thai"":""แล้วก็"",""english"":""and then"",""grammar"":true,""romanization"":""laeo ko""},{""thai"":""ไปกินข้าวเย็น"",""english"":""went to have dinner"",""romanization"":""pai kin khao yen""}]",medium
แม่ทำอาหารแล้วก็โทรหาเพื่อน,mâae tham aahǎan láew gôo thoo hǎa phûuean,Mom cooked and then called her friend.,"[{""thai"":""แม่"",""english"":""mom"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""mae""},{""thai"":""ทำอาหาร"",""english"":""cooked"",""romanization"":""tham aahaan""},{""thai"":""แล้วก็"",""english"":""and then"",""grammar"":true,""romanization"":""laeo ko""},{""thai"":""โทรหาเพื่อน"",""english"":""called her friend"",""romanization"":""thoo haa phuean""}]",easy
เด็กๆเรียนเสร็จแล้วก็เล่นเกม,dèk-dèk rian sèt láew gôo lên geem,The kids finished studying and then played games.,"[{""thai"":""เด็กๆ"",""english"":""the kids"",""romanization"":""dek dek""},{""thai"":""เรียนเสร็จ"",""english"":""finished studying"",""romanization"":""rian set""},{""thai"":""แล้วก็"",""english"":""and then"",""grammar"":true,""romanization"":""laeo ko""},{""thai"":""เล่นเกม"",""english"":""played games"",""romanization"":""len geem""}]",medium
เรานั่งรถเมล์แล้วก็เดินต่อ,rao nâng rót mee láew gôo dooen tò,We took the bus and then continued walking.,"[{""thai"":""เรา"",""english"":""we"",""romanization"":""rao""},{""thai"":""นั่งรถเมล์"",""english"":""took the bus"",""romanization"":""nang rot mee""},{""thai"":""แล้วก็"",""english"":""and then"",""grammar"":true,""romanization"":""laeo ko""},{""thai"":""เดินต่อ"",""english"":""continued walking"",""romanization"":""doen to""}]",hard
เขาไปทำงานแล้วก็ไปออกกำลังกาย,khǎo pai tham-ngaan láew gôo pai òok kamlang gaai,He went to work and then went to exercise.,"[{""thai"":""เขา"",""english"":""he"",""romanization"":""khao""},{""thai"":""ไปทำงาน"",""english"":""went to work"",""romanization"":""pai tham-ngaan""},{""thai"":""แล้วก็"",""english"":""and then"",""grammar"":true,""romanization"":""laeo ko""},{""thai"":""ไปออกกำลังกาย"",""english"":""went to exercise"",""romanization"":""pai ok kamlang gaai""}]",medium
เธอเรียนเสร็จแล้วก็ดูละคร,thooe rian sèt láew gôo duu lakhawn,She finished studying and then watched a drama.,"[{""thai"":""เธอ"",""english"":""she"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""thoe""},{""thai"":""เรียนเสร็จ"",""english"":""finished studying"",""romanization"":""rian set""},{""thai"":""แล้วก็"",""english"":""and then"",""grammar"":true,""romanization"":""laeo ko""},{""thai"":""ดูละคร"",""english"":""watched a drama"",""romanization"":""duu lakhawn""}]",medium
เราไปตลาดแล้วก็กลับมาเตรียมอาหาร,rao pai talàat láew gôo klàp maa triam aahǎan,We went to the market and then came back to prepare food.,"[{""thai"":""เรา"",""english"":""we"",""romanization"":""rao""},{""thai"":""ไปตลาด"",""english"":""went to the market"",""romanization"":""pai talat""},{""thai"":""แล้วก็"",""english"":""and then"",""grammar"":true,""romanization"":""laeo ko""},{""thai"":""กลับมาเตรียมอาหาร"",""english"":""came back to prepare food"",""romanization"":""klap maa triam aahaan""}]",hard
ฉันทำงานบ้านแล้วก็พักผ่อน,chǎn tham-ngaan bâan láew gôo phák phàwn,I did housework and then rested.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""},{""thai"":""ทำงานบ้าน"",""english"":""did housework"",""romanization"":""tham-ngaan baan""},{""thai"":""แล้วก็"",""english"":""and then"",""grammar"":true,""romanization"":""laeo ko""},{""thai"":""พักผ่อน"",""english"":""rested"",""romanization"":""phak phon""}]",easy
พ่อไปออกกำลังกายแล้วก็ซื้อของเข้าบ้าน,phâaw pai òok kamlang gaai láew gôo súue khǎawng khâo bâan,Dad went to exercise and then bought groceries.,"[{""thai"":""พ่อ"",""english"":""dad"",""romanization"":""phaw""},{""thai"":""ไปออกกำลังกาย"",""english"":""went to exercise"",""romanization"":""pai ok kamlang gaai""},{""thai"":""แล้วก็"",""english"":""and then"",""grammar"":true,""romanization"":""laeo ko""},{""thai"":""ซื้อของเข้าบ้าน"",""english"":""bought groceries"",""romanization"":""sue khong khao ban""}]",hard
เขาเปิดคอมพิวเตอร์แล้วก็เช็คอีเมล์,khǎo pèet khawmphiútóe láew gôo chék iimeeo,He turned on the computer and then checked emails.,"[{""thai"":""เขา"",""english"":""he"",""romanization"":""khao""},{""thai"":""เปิดคอมพิวเตอร์"",""english"":""turned on the computer"",""romanization"":""poet khomphiutoe""},{""thai"":""แล้วก็"",""english"":""and then"",""grammar"":true,""romanization"":""laeo ko""},{""thai"":""เช็คอีเมล์"",""english"":""checked emails"",""romanization"":""chek iimeeo""}]",medium
พวกเขาไปเที่ยวแล้วก็ถ่ายรูป,phûuak-khǎo pai thîiao láew gôo thàai rûup,They went traveling and then took photos.,"[{""thai"":""พวกเขา"",""english"":""they"",""tones"":[""falling"",""rising""],""romanization"":""phûuak-khǎo""},{""thai"":""ไปเที่ยว"",""english"":""went traveling"",""romanization"":""pai thîiao""},{""thai"":""แล้วก็"",""english"":""and then"",""tones"":[""high"",""falling""],""grammar"":true,""romanization"":""láew gôo""},{""thai"":""ถ่ายรูป"",""english"":""took photos"",""tones"":[""low"",""falling""],""romanization"":""thàai rûup""}]",medium
ฉันทำสมาธิแล้วก็รู้สึกผ่อนคลาย,chǎn tham samáathi láew gôo rúusùek phàwnkhlaai,I meditated and then felt relaxed.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chǎn""},{""thai"":""ทำสมาธิ"",""english"":""meditated"",""romanization"":""tham samáathi""},{""thai"":""แล้วก็"",""english"":""and then"",""tones"":[""high"",""falling""],""grammar"":true,""romanization"":""láew gôo""},{""thai"":""รู้สึกผ่อนคลาย"",""english"":""felt relaxed"",""romanization"":""rúusùek phàwnkhlaai""}]",medium
เธอทำงานเสร็จแล้วก็ออกไปซื้อของ,thooe tham-ngaan sèt láew gôo òok pai súue khǎawng,She finished work and then went out shopping.,"[{""thai"":""เธอ"",""english"":""she"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""thooe""},{""thai"":""ทำงานเสร็จ"",""english"":""finished work"",""romanization"":""tham-ngaan sèt""},{""thai"":""แล้วก็"",""english"":""and then"",""tones"":[""high"",""falling""],""grammar"":true,""romanization"":""láew gôo""},{""thai"":""ออกไปซื้อของ"",""english"":""went out shopping"",""romanization"":""òok pai súue khǎawng""}]",medium
เด็กๆอาบน้ำแล้วก็เข้านอน,dèk-dèk àap náam láew gôo khâo norn,The kids took a bath and then went to bed.,"[{""thai"":""เด็กๆ"",""english"":""the kids"",""tones"":[""low"",""low""],""romanization"":""dèk-dèk""},{""thai"":""อาบน้ำ"",""english"":""took a bath"",""tones"":[""low"",""high""],""romanization"":""àap náam""},{""thai"":""แล้วก็"",""english"":""and then"",""tones"":[""high"",""falling""],""grammar"":true,""romanization"":""láew gôo""},{""thai"":""เข้านอน"",""english"":""went to bed"",""romanization"":""khâo norn""}]",easy
เราซื้อตั๋วหนังแล้วก็ไปดูด้วยกัน,rao súue dtǔa nǎng láew gôo pai duu dûuai gan,We bought movie tickets and then went to watch together.,"[{""thai"":""เรา"",""english"":""we"",""romanization"":""rao""},{""thai"":""ซื้อตั๋วหนัง"",""english"":""bought movie tickets"",""tones"":[""high"",""rising"",""rising""],""romanization"":""súue dtǔa nǎng""},{""thai"":""แล้วก็"",""english"":""and then"",""tones"":[""high"",""falling""],""grammar"":true,""romanization"":""láew gôo""},{""thai"":""ไปดูด้วยกัน"",""english"":""went to watch together"",""romanization"":""pai duu dûuai gan""}]",medium
ฉันตื่นเช้าแล้วก็ชงกาแฟ,chan tueun-chao laeo-gaw chong gaa-fae,I wake up early and then make coffee.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chan""},{""thai"":""ตื่นเช้า"",""english"":""wake up early"",""tones"":[""low"",""high""],""romanization"":""tueun-chao"",""displayThaiSegments"":[""ตื่น"",""เช้า""]},{""thai"":""แล้วก็"",""english"":""and then"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""laeo-gaw"",""displayThaiSegments"":[""แล้ว"",""ก็""]},{""thai"":""ชง"",""english"":""make / brew"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""chong""},{""thai"":""กาแฟ"",""english"":""coffee"",""tones"":[""mid"",""mid""],""romanization"":""gaa-fae""}]",medium
เขาอาบน้ำแล้วก็แต่งตัว,khao aap-naam laeo-gaw dtaeng-dtua,He showered and then got dressed.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khao""},{""thai"":""อาบน้ำ"",""english"":""take a shower"",""tones"":[""low"",""high""],""romanization"":""aap-naam"",""displayThaiSegments"":[""อาบ"",""น้ำ""]},{""thai"":""แล้วก็"",""english"":""and then"",""tones"":[""high"",""low""],""grammar"":true,""romanization"":""laeo-gaw"",""displayThaiSegments"":[""แล้ว"",""ก็""]},{""thai"":""แต่งตัว"",""english"":""get dressed"",""tones"":[""low"",""mid""],""romanization"":""dtaeng-dtua"",""displayThaiSegments"":[""แต่ง"",""ตัว""]}]",medium
