thai,romanization,english,breakdown,difficulty
เรื่องนี้ล่ะยาก,rueang ni la yak,"This topic, though, is difficult.","[{""thai"":""เรื่องนี้"",""english"":""this topic"",""romanization"":""rueang ni""},{""thai"":""ล่ะ"",""english"":""topic-shift particle"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""la""},{""thai"":""ยาก"",""english"":""difficult"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""yak""}]",hard
ฉันพร้อมแล้ว แล้วเธอล่ะ,chan phrawm laeo laeo thoe la,I'm ready. What about you?,"[{""thai"":""ฉันพร้อมแล้ว แล้วเธอ"",""english"":""I'm ready, and you"",""tones"":[""rising"",""falling"",""high"",""high"",""mid""],""romanization"":""chan phrawm laeo laeo thoe""},{""thai"":""ล่ะ"",""english"":""what about?"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""la""}]",medium
เรื่องงบประมาณล่ะ เราจะเอายังไง,rueang ngop-bpra-maan la rao ja ao yang-ngai,What about the budget? What should we do?,"[{""thai"":""เรื่องงบประมาณ"",""english"":""the budget"",""tones"":[""falling"",""low"",""mid"",""mid""],""romanization"":""rueang ngop-bpra-maan""},{""thai"":""ล่ะ"",""english"":""what about?"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""la""},{""thai"":""เราจะเอายังไง"",""english"":""what should we do"",""tones"":[""mid"",""mid"",""mid"",""mid"",""mid""],""romanization"":""rao ja ao yang-ngai""}]",medium
งานส่วนนี้ล่ะ ใครจะดูต่อ,ngaan suan nii la khrai ja duu dtaw,What about this part of the work? Who will handle it next?,"[{""thai"":""งานส่วนนี้"",""english"":""this part of the work"",""tones"":[""mid"",""falling"",""high""],""romanization"":""ngaan suan nii""},{""thai"":""ล่ะ"",""english"":""what about?"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""la""},{""thai"":""ใครจะดูต่อ"",""english"":""who will handle next"",""tones"":[""mid"",""mid"",""mid"",""low""],""romanization"":""khrai ja duu dtaw""}]",medium
เรื่องวันเดินทางล่ะ ตกลงหรือยัง,rueang wan dern-thaang la dtok-long reu yang,What about the travel date? Has it been settled yet?,"[{""thai"":""เรื่องวันเดินทาง"",""english"":""the travel date"",""tones"":[""falling"",""mid"",""mid"",""mid""],""romanization"":""rueang wan dern-thaang""},{""thai"":""ล่ะ"",""english"":""what about?"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""la""},{""thai"":""ตกลงหรือยัง"",""english"":""has it been settled yet"",""tones"":[""low"",""mid"",""mid"",""mid""],""romanization"":""dtok-long reu yang""}]",medium
ส่วนลูกค้ารายเก่าล่ะ เขาว่ายังไง,suan luuk-khaa raai gao la khao waa yaang-rai,What about the old client? What did they say?,"[{""thai"":""ส่วนลูกค้ารายเก่า"",""english"":""the old client"",""tones"":[""falling"",""falling"",""high"",""mid"",""low""],""romanization"":""suan luuk-khaa raai gao""},{""thai"":""ล่ะ"",""english"":""what about?"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""la""},{""thai"":""เขาว่ายังไง"",""english"":""what did they say"",""tones"":[""rising"",""falling"",""falling"",""mid""],""romanization"":""khao waa yaang-rai""}]",medium
เรื่องเอกสารล่ะ เตรียมครบหรือยัง,rueang eek-ga-saan la dtriam khrop reu yang,What about the documents? Are they all ready yet?,"[{""thai"":""เรื่องเอกสาร"",""english"":""the documents"",""tones"":[""falling"",""low"",""low""],""romanization"":""rueang eek-ga-saan""},{""thai"":""ล่ะ"",""english"":""what about?"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""la""},{""thai"":""เตรียมครบหรือยัง"",""english"":""are they fully prepared yet"",""tones"":[""mid"",""high"",""mid"",""mid""],""romanization"":""dtriam khrop reu yang""}]",medium
ห้องนี้ดี แต่ห้องนั้นล่ะ,hong nii dii dtae hong nan la,"This room is good, but what about that room?","[{""thai"":""ห้องนี้ดี แต่ห้องนั้น"",""english"":""this room is good, but that room"",""tones"":[""falling"",""high"",""mid"",""low"",""falling"",""high""],""romanization"":""hong nii dii dtae hong nan""},{""thai"":""ล่ะ"",""english"":""what about?"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""la""}]",medium
เขาไปได้แล้ว พี่ล่ะ,khao bpai dai laeo phii la,He can go. What about you?,"[{""thai"":""เขาไปได้แล้ว พี่"",""english"":""he can go, and you"",""tones"":[""rising"",""mid"",""mid"",""high"",""falling""],""romanization"":""khao bpai dai laeo phii""},{""thai"":""ล่ะ"",""english"":""what about?"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""la""}]",medium
เรื่องอาหารล่ะ สั่งไว้หรือยัง,rueang aa-haan la sang wai reu yang,What about the food? Has it been ordered yet?,"[{""thai"":""เรื่องอาหาร"",""english"":""the food"",""tones"":[""falling"",""mid"",""rising""],""romanization"":""rueang aa-haan""},{""thai"":""ล่ะ"",""english"":""what about?"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""la""},{""thai"":""สั่งไว้หรือยัง"",""english"":""has it been ordered yet"",""tones"":[""falling"",""high"",""mid"",""mid""],""romanization"":""sang wai reu yang""}]",medium
ส่วนเรื่องค่าใช้จ่ายล่ะ ใครรับผิดชอบ,suan rueang khaa-chai-jaai la khrai rap-phit-chop,What about the expenses? Who is responsible?,"[{""thai"":""ส่วนเรื่องค่าใช้จ่าย"",""english"":""the expenses"",""tones"":[""falling"",""falling"",""falling"",""high"",""low""],""romanization"":""suan rueang khaa-chai-jaai""},{""thai"":""ล่ะ"",""english"":""what about?"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""la""},{""thai"":""ใครรับผิดชอบ"",""english"":""who is responsible"",""tones"":[""mid"",""high"",""low"",""falling""],""romanization"":""khrai rap-phit-chop""}]",medium
งานวันนี้เสร็จแล้ว แล้วพรุ่งนี้ล่ะ,ngaan wan-nii set laeo laeo phrung-nii la,Today's work is done. What about tomorrow?,"[{""thai"":""งานวันนี้เสร็จแล้ว แล้วพรุ่งนี้"",""english"":""today's work is finished, and tomorrow"",""tones"":[""mid"",""mid"",""high"",""low"",""high"",""high"",""mid"",""high""],""romanization"":""ngaan wan-nii set laeo laeo phrung-nii""},{""thai"":""ล่ะ"",""english"":""what about?"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""la""}]",medium
ฝ่ายขายพร้อมแล้ว ฝ่ายผลิตล่ะ,faai-khaai phrawm laeo faai pha-lit la,Sales is ready. What about production?,"[{""thai"":""ฝ่ายขายพร้อมแล้ว ฝ่ายผลิต"",""english"":""sales is ready, and production"",""tones"":[""falling"",""high"",""falling"",""high"",""falling"",""high"",""high""],""romanization"":""faai-khaai phrawm laeo faai pha-lit""},{""thai"":""ล่ะ"",""english"":""what about?"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""la""}]",medium
เรื่องคุณภาพล่ะ เราจะตรวจเมื่อไร,rueang khun-na-phaap la rao ja dtruat muea-rai,What about quality? When will we check it?,"[{""thai"":""เรื่องคุณภาพ"",""english"":""quality"",""tones"":[""falling"",""mid"",""high"",""falling""],""romanization"":""rueang khun-na-phaap""},{""thai"":""ล่ะ"",""english"":""what about?"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""la""},{""thai"":""เราจะตรวจเมื่อไร"",""english"":""when will we check it"",""tones"":[""mid"",""mid"",""low"",""falling"",""mid""],""romanization"":""rao ja dtruat muea-rai""}]",medium
ฉันไม่มีปัญหา แล้วทีมอื่นล่ะ,chan mai mii bpan-haa laeo thiim eun la,I don't have a problem. What about the other team?,"[{""thai"":""ฉันไม่มีปัญหา แล้วทีมอื่น"",""english"":""I don't have a problem, and the other team"",""tones"":[""rising"",""falling"",""mid"",""mid"",""high"",""high"",""mid""],""romanization"":""chan mai mii bpan-haa laeo thiim eun""},{""thai"":""ล่ะ"",""english"":""what about?"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""la""}]",medium
ถ้าแบบนี้ไม่เอา แล้วแบบไหนล่ะ,thaa baep nii mai ao laeo baep nai la,"If not this option, then which one?","[{""thai"":""ถ้าแบบนี้ไม่เอา แล้วแบบไหน"",""english"":""if we don't want this option, then which one"",""tones"":[""falling"",""low"",""high"",""falling"",""mid"",""high"",""low"",""mid""],""romanization"":""thaa baep nii mai ao laeo baep nai""},{""thai"":""ล่ะ"",""english"":""what about?"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""la""}]",medium
เรื่องนี้พอเข้าใจแล้ว เรื่องนั้นล่ะ,rueang nii phaw khao-jai laeo rueang nan la,I more or less understand this. What about that topic?,"[{""thai"":""เรื่องนี้พอเข้าใจแล้ว เรื่องนั้น"",""english"":""I sort of understand this, and that topic"",""tones"":[""falling"",""high"",""mid"",""rising"",""mid"",""high"",""falling"",""high""],""romanization"":""rueang nii phaw khao-jai laeo rueang nan""},{""thai"":""ล่ะ"",""english"":""what about?"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""la""}]",medium
เขาเห็นด้วยแล้ว หัวหน้าล่ะ,khao hen duay laeo hua-naa la,He agrees. What about the manager?,"[{""thai"":""เขาเห็นด้วยแล้ว หัวหน้า"",""english"":""he agrees, and the manager"",""tones"":[""rising"",""rising"",""falling"",""high"",""rising"",""falling""],""romanization"":""khao hen duay laeo hua-naa""},{""thai"":""ล่ะ"",""english"":""what about?"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""la""}]",medium
ส่วนกำหนดส่งล่ะ ขยับได้ไหม,suan gam-not song la khayap dai mai,What about the deadline? Can it be moved?,"[{""thai"":""ส่วนกำหนดส่ง"",""english"":""the deadline"",""tones"":[""falling"",""low"",""low""],""romanization"":""suan gam-not song""},{""thai"":""ล่ะ"",""english"":""what about?"",""tones"":[""falling""],""tone"":""falling"",""grammar"":true,""romanization"":""la""},{""thai"":""ขยับได้ไหม"",""english"":""can it be moved"",""tones"":[""low"",""mid"",""high""],""romanization"":""khayap dai mai""}]",medium
