thai,romanization,english,breakdown,difficulty
นอกจากนั้น เรายังต้องเตรียมเอกสาร,nok chak nan rao yang tong triam ekkasan,"Besides that, we still have to prepare the documents.","[{""thai"":""นอกจากนั้น"",""english"":""besides that"",""grammar"":true,""romanization"":""nok chak nan""},{""thai"":""เรา"",""english"":""we"",""romanization"":""rao""},{""thai"":""ยัง"",""english"":""still"",""tones"":[""mid""],""tone"":""mid"",""grammar"":true,""romanization"":""yang""},{""thai"":""ต้อง"",""english"":""must"",""romanization"":""tong""},{""thai"":""เตรียมเอกสาร"",""english"":""prepare documents"",""romanization"":""triam ekkasan""}]",hard
นอกจากนี้ เรายังต้องเตรียมเอกสาร,nawk-jaak nan rao yang dtawng dtriiam eek-ga-saan,"Besides that, we still have to prepare the documents.","[{""thai"":""นอกจากนี้"",""english"":""besides that / furthermore"",""tones"":[""falling"",""low"",""high""],""grammar"":true,""romanization"":""nawk-jaak nan""},{""thai"":""เรายังต้องเตรียมเอกสาร"",""english"":""we still have to prepare the documents"",""tones"":[""mid"",""mid"",""falling"",""mid"",""mid"",""low""],""romanization"":""rao yang dtawng dtriiam eek-ga-saan""}]",hard
นอกจากนี้ บริษัทต้องแจ้งลูกค้าล่วงหน้า,nawk-jaak nan baw-ri-sat dtawng jaeng luuk-khaa luang-naa,"Besides that, the company has to notify customers in advance.","[{""thai"":""นอกจากนี้"",""english"":""besides that / furthermore"",""tones"":[""falling"",""low"",""high""],""grammar"":true,""romanization"":""nawk-jaak nan""},{""thai"":""บริษัทต้องแจ้งลูกค้าล่วงหน้า"",""english"":""the company has to notify customers in advance"",""tones"":[""mid"",""low"",""low"",""falling"",""falling"",""high"",""high"",""falling""],""romanization"":""baw-ri-sat dtawng jaeng luuk-khaa luang-naa""}]",hard
นอกจากนี้ ทีมควรทดสอบระบบอีกครั้ง,nawk-jaak nan thiim khuan thot-saawp ra-bop iik khrang,"Besides that, the team should test the system again.","[{""thai"":""นอกจากนี้"",""english"":""besides that / furthermore"",""tones"":[""falling"",""low"",""high""],""grammar"":true,""romanization"":""nawk-jaak nan""},{""thai"":""ทีมควรทดสอบระบบอีกครั้ง"",""english"":""the team should test the system again"",""tones"":[""mid"",""mid"",""low"",""low"",""mid"",""low"",""mid"",""high""],""romanization"":""thiim khuan thot-saawp ra-bop iik khrang""}]",hard
นอกจากนี้ เราต้องคุยเรื่องงบประมาณ,nawk-jaak nan rao dtawng khui rueang ngop-bpra-maan,"Besides that, we have to discuss the budget.","[{""thai"":""นอกจากนี้"",""english"":""besides that / furthermore"",""tones"":[""falling"",""low"",""high""],""grammar"":true,""romanization"":""nawk-jaak nan""},{""thai"":""เราต้องคุยเรื่องงบประมาณ"",""english"":""we have to discuss the budget"",""tones"":[""mid"",""falling"",""mid"",""falling"",""low"",""low"",""mid""],""romanization"":""rao dtawng khui rueang ngop-bpra-maan""}]",hard
นอกจากนี้ หัวหน้าขอรายงานสั้นๆ,nawk-jaak nan hua-naa khaaw raai-ngaan san san,"Besides that, the manager wants a short report.","[{""thai"":""นอกจากนี้"",""english"":""besides that / furthermore"",""tones"":[""falling"",""low"",""high""],""grammar"":true,""romanization"":""nawk-jaak nan""},{""thai"":""หัวหน้าขอรายงานสั้นๆ"",""english"":""the manager wants a short report"",""tones"":[""rising"",""falling"",""falling"",""mid"",""high"",""high""],""romanization"":""hua-naa khaaw raai-ngaan san san""}]",hard
นอกจากนี้ คุณควรส่งรายละเอียดให้ครบ,nawk-jaak nan khun khuan song raai-la-iat hai khrop,"Besides that, you should send complete details.","[{""thai"":""นอกจากนี้"",""english"":""besides that / furthermore"",""tones"":[""falling"",""low"",""high""],""grammar"":true,""romanization"":""nawk-jaak nan""},{""thai"":""คุณควรส่งรายละเอียดให้ครบ"",""english"":""you should send complete details"",""tones"":[""mid"",""mid"",""low"",""mid"",""low"",""falling"",""high""],""romanization"":""khun khuan song raai-la-iat hai khrop""}]",hard
นอกจากนี้ เรายังขาดข้อมูลจากฝ่ายขาย,nawk-jaak nan rao yang khaat khaaw-muun jaak faai khaai,"Besides that, we still lack information from sales.","[{""thai"":""นอกจากนี้"",""english"":""besides that / furthermore"",""tones"":[""falling"",""low"",""high""],""grammar"":true,""romanization"":""nawk-jaak nan""},{""thai"":""เรายังขาดข้อมูลจากฝ่ายขาย"",""english"":""we still lack information from sales"",""tones"":[""mid"",""mid"",""low"",""falling"",""rising"",""low"",""low"",""rising""],""romanization"":""rao yang khaat khaaw-muun jaak faai khaai""}]",hard
นอกจากนี้ เขาอยากขอเวลาเพิ่มอีกวัน,nawk-jaak nan khao yaak khaaw wee-laa phern iik wan,"Besides that, he wants to ask for one more day.","[{""thai"":""นอกจากนี้"",""english"":""besides that / furthermore"",""tones"":[""falling"",""low"",""high""],""grammar"":true,""romanization"":""nawk-jaak nan""},{""thai"":""เขาอยากขอเวลาเพิ่มอีกวัน"",""english"":""he wants to ask for one more day"",""tones"":[""high"",""low"",""falling"",""mid"",""mid"",""mid"",""mid""],""romanization"":""khao yaak khaaw wee-laa phern iik wan""}]",hard
นอกจากนี้ ทีมต้องปรับตารางใหม่,nawk-jaak nan thiim dtawng bprap dtaa-raang mai,"Besides that, the team has to adjust the schedule.","[{""thai"":""นอกจากนี้"",""english"":""besides that / furthermore"",""tones"":[""falling"",""low"",""high""],""grammar"":true,""romanization"":""nawk-jaak nan""},{""thai"":""ทีมต้องปรับตารางใหม่"",""english"":""the team has to adjust the schedule"",""tones"":[""mid"",""falling"",""low"",""mid"",""falling"",""falling""],""romanization"":""thiim dtawng bprap dtaa-raang mai""}]",hard
